Symbol,Name,Sector,Value,Close,Grade
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,38.18179/-1.41386,2053.0,214.8852
TLV:CPTP,CAPITAL POINT LTD,Financial Services,0.82201/-1.75545,79.9,175.8229
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,12.16053/-1.69906,680.4,160.1116
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,1835.62991/-1.07177,449.3,152.5638
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,79.06855/-1.3855,34300.0,148.8134
TLV:PLRM,PALRAM INDUSTRIES,Industrials,1.49156/-1.46157,4736.0,132.1469
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,0.00173/-2.30284,4164.0,123.2395
TLV:HRON,HIRON TRADE INVS,Real Estate,667.94218/-0.76926,178400.0,114.3143
TLV:MLTM,MALAM TEAM LTD,Technology,170614.48725/-1.33798,10480.0,106.4985
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,1.20722/-1.49509,5348.0,105.8714
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,157761.83104/-1.1249,78620.0,105.1511
TLV:MTDS,MEITAV DASH INV,Financial Services,15657971.19348/-1.27759,1690.0,103.859
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,1081.5423/-1.46493,21320.0,86.5175
TLV:IBI,IBI INV HOUSE,Financial Services,63.89759/-1.76891,7636.0,76.1796
TLV:SNEL,SYNEL PAYWAY M.L.L,Real Estate,187628.34811/-0.90143,4684.0,74.9747
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,1.68443/-1.56054,3958.0,72.0656
TLV:DUNI,DUNIEC BROS,Real Estate,0.00447/-1.66175,20670.0,69.1889
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,22178050.1441/-1.38253,257.0,69.0746
TLV:IDIN,I.D.I. INSURANCE,Financial Services,3051314502.31643/-2.07126,11790.0,60.841
TLV:AFPR,AFI PROPERTIES,Real Estate,33734753.78977/-0.64589,18350.0,55.4359
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,2458465.68734/-0.77858,18290.0,55.3164
TLV:HAMAT,HAMAT GROUP LTD,Industrials,1360.43305/-1.03551,2212.0,54.8555
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,3592644.17409/-1.29733,638.4,53.9759
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,48898460541.50979/-0.99251,11300.0,52.6642
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,192577.3671/-1.1962,2967.0,50.7855
TLV:ASGR,ASPEN GROUP LTD,Real Estate,300998295724.5309/-0.65435,883.2,50.3702
TLV:YAAC,YAACOBI BROTHERS,Real Estate,7707891.09398/-1.19605,69.2,47.346
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,99.12815/-1.48727,4479.0,43.4097
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,7921859.0692/-0.83432,2114.0,42.9851
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,368.72723/-1.40136,1070.0,42.1544
TLV:KEN,KENON HLDGS LTD,Utilities,2082906417.95245/-1.1303,14100.0,40.6751
TLV:VILR,VILLAR INTL LTD,Real Estate,20348705.90508/-0.57243,18750.0,40.2235
TLV:SMT,SUMMIT R/EST HLDGS,Real Estate,22913.7047/-0.45586,6210.0,39.5893
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,29979.35552/-1.1168,2660.0,39.5733
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,52215.17223/-1.78253,7677.0,39.3308
TLV:BLSR,BLUE SQUARE REAL,Real Estate,9990487.06245/-0.36888,28230.0,36.1565
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,3797.87277/-0.67177,6539.0,35.854
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,85146.58472/-1.29274,2097.0,35.2004
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,2.85125/-1.6089,29700.0,35.0559
TLV:KRDI,KARDAN ISRAEL LTD,Real Estate,3134.18577/-1.5718,281.9,34.3931
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,2502.53883/-1.28417,6414.0,33.9919
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,2822938.91964/-1.60009,526.5,33.0557
TLV:ASPF,ALTSHULER SHAHM,Financial Services,275.02259/-2.32101,1783.0,32.9262
TLV:DRAL,DOR ALON ENERGY IN,Energy,1278973887.23383/-0.88061,9782.0,32.3774
TLV:ARAD,ARAD INVESTMENT &,Industrials,624540198.86646/-0.49411,43800.0,30.1895
TLV:AZRM,AZORIM INV DEV,Real Estate,76149.25688/-0.82743,1691.0,30.0322
TLV:MISH,MIVTACH SHAMIR HDS,Financial Services,1358397.54078/-1.68671,10790.0,29.8306
TLV:GOLF,GOLF & CO,Consumer Cyclical,29143.79621/-0.70955,1011.0,27.9576
TLV:TREN,TRENDLINE INFO & C,Communication Services,16678.66873/-1.18173,1203.0,27.7161
TLV:ZUR,ZUR SHAMIR HOLD,Financial Services,26238651507336.18/-1.11387,1097.0,26.8209
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,193.06496/-2.3062,47020.0,26.286
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,15559.4935/-1.28551,9296.0,26.2261
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,2697.83309/-0.736,1471.0,25.8
TLV:SPGE,SUPERGAS ENERGY LT,Utilities,8769963.56832/-1.1615,6674.0,25.6069
TLV:TDRN,TADIRAN GROUP LTD,Consumer Cyclical,5463430.46353/-1.80496,41660.0,25.2489
TLV:PPIL,PLASTOPIL HAZOREA,Consumer Cyclical,4686269.43361/-1.2687,588.7,24.9311
TLV:ACKR,ACKERSTEIN GROUP L,Basic Materials,641961184.65251/-1.13194,383.0,24.9097
TLV:AFHL,AFCON HOLDINGS LTD,Technology,3796.17393/-1.05912,19930.0,24.625
TLV:EMCO,E & M COMPUTING,Technology,106745729.67747/-1.19176,2303.0,22.496
TLV:GOLD,GOLD BOND GROUP,Industrials,9078331.66036/-1.11387,14000.0,21.8184
TLV:LHIS,LACHISH INDUSTRIES,Industrials,9894483.37468/-1.31283,838.1,21.2571
TLV:MGIC,MAGIC SOFTWARE ENT,Technology,187756.28431/-1.22904,6744.0,20.6515
TLV:NXTM,NEXTCOM,Communication Services,142.45651/-1.46738,1232.0,20.0153
TLV:ESLT,ELBIT SYSTEMS LTD,Technology,792396.40677/-1.05401,46760.0,18.6994
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,377.05457/-0.88644,10320.0,18.4797
TLV:FORTY,FORMULA SYST(1985),Technology,123776.10997/-0.04588,37700.0,17.4864
TLV:DRSL,DORSEL (B.A.Z.),Real Estate,19762982.31935/-0.96539,1595.0,16.7717
TLV:AVIV,MORDECHAI AVIV,Real Estate,2529470420.08607/-1.07743,2882.0,16.1928
TLV:ROTS,ROTSHTEIN REALEST,Real Estate,158326810.3757/-1.50863,4081.0,15.7179
TLV:NTGR,NETANEL GROUP,Real Estate,33654733.91665/-1.00995,1362.0,15.3273
TLV:CMDR,COMPUTER DIRECT,Technology,36502.68353/-1.323,28100.0,15.2679
TLV:TAYA,TAYA INVESTMENT CO,Communication Services,12308.41644/-1.06961,6555.0,14.469
TLV:SAE,SHUFERSAL LTD,Consumer Defensive,30814271.09506/-0.4943,2540.0,13.7241
TLV:SEMG,SEACH MEDICAL,Industrials,308229.93582/-1.62164,38.8,13.7016
TLV:MMAN,MAMAN CARGO TERMIN,Industrials,8389763.58394/-1.19909,993.5,13.6766
TLV:YHNF,M YOCHANANOF & SON,Consumer Defensive,2172.85233/-1.14018,22930.0,13.5656
TLV:VRDS,VERIDIS ENVIRONMEN,Industrials,6622.27614/-1.3245,3721.0,13.3845
TLV:MGDL,MIGDAL INS & FINAN,Financial Services,361942338531.12134/-0.85109,516.0,12.8358
TLV:MTRN,MAYTRONICS LTD,Technology,5399800.65075/-1.18346,7917.0,12.6448
TLV:HLAN,HILAN LTD,Technology,37807.87983/-0.84229,19430.0,12.6445
TLV:SHAN,SHANIV PAPER IND,Basic Materials,1066153.25762/-1.37772,580.3,12.6391
TLV:PEN,PENINSULA GROUP,Financial Services,12799552850.41154/-0.59144,285.3,12.579
TLV:LUZN,AMOS LUZON DEVELOP,Industrials,11114.92891/-1.3572,141.3,12.4802
TLV:ARPT,AIRPORT CITY,Real Estate,7058915.73685/-0.34863,6922.0,12.0823
TLV:MTRX,MATRIX IT LTD,Technology,5088175.04729/-0.9903,9070.0,12.0303
TLV:DIPL,DIPLOMAT HOLDINGS,Consumer Defensive,1342.24287/-1.2306,5588.0,12.0261
TLV:ILX,ILEX MEDICAL,Healthcare,13.3776/-0.9255,14700.0,11.8125
TLV:ZNKL,ZANLAKOL,Consumer Defensive,964545.3473/-1.29555,2044.0,11.6484
TLV:SPRG,SPRING VENTURES,Financial Services,51689.03045/-2.99565,2709.0,11.4408
TLV:ASHG,ASHTROM GROUP LTD,Real Estate,26799329597.12876/-0.44218,7871.0,11.4246
TLV:TLSY,TELSYS LTD,Technology,1204655.15313/-1.32394,13760.0,11.1679
TLV:GVYM,GAV-YAM LANDS CORP,Real Estate,184030.27642/-1.20293,3829.0,10.9629
TLV:MRHL,MERCHAVIA HOLD,Healthcare,136158.57204/-1.89057,73.7,10.9501
TLV:GNRS,GENERATION CAPITAL,Energy,1383992741762.117/-0.15793,106.7,10.8091
TLV:AFRE,AFRICA ISRAEL RESI,Real Estate,54021635.00371/-0.91936,18700.0,10.7706
TLV:KARE,KARDAN REAL ESTATE,Real Estate,20534.8588/-0.98101,467.3,10.7516
TLV:MMHD,MENORA MIVTACHIM,Financial Services,144821165689.40973/-0.34713,7515.0,10.1635
TLV:ANLT,ANALYST INV MGT SV,Financial Services,44006.00777/-1.08523,3492.0,9.5289
TLV:VTNA,VITANIA LTD,Real Estate,5083386.46707/-0.53201,3078.0,9.1467
TLV:VISN,VISION SIGMA,Industrials,203855392828.91095/-1.75043,5260.0,9.1303
TLV:INCR,INTERCURE LTD,Healthcare,384064359836.47125/-1.53449,2332.0,9.0936
TLV:AMOT,AMOT INVESTMENTS,Real Estate,73318582410.60916/-0.60778,2451.0,8.8145
TLV:BRAN,BARAN GROUP LTD,Industrials,32.88181/-1.24309,828.4,8.8031
TLV:FRDN,FRIDENSON LOGISTIC,Industrials,26.35556/-1.543,8754.0,8.4721
TLV:MVNE,MIVNE REAL ESTATE,Real Estate,161688136.60945/-0.12089,1276.0,8.2379
TLV:ORTC,O.R.T. TECHNOLOGIE,Technology,2179527841525.7776/-0.21894,2991.0,7.7955
TLV:RMLI,RAMI LEVI CHAIN,Consumer Defensive,13268.607/-1.21252,24470.0,7.6377
TLV:FIBIH,F.I.B.I. HLDGS,Financial Services,1.968731094256329e+16/0.80437,14290.0,7.5065
TLV:ONE,ONE SOFTWARE TECHN,Technology,5663.27306/-1.34693,5480.0,7.4406
TLV:PIU,POALIM I.B.I,Financial Services,712.99843/-0.47763,1445.0,7.3854
TLV:CTPL1,I.C.P. ISRAEL CITR,Real Estate,99273845193.3503/-0.64424,28760.0,7.1346
TLV:BCNV,BRACK CAPITAL PROP,Real Estate,6154783.05925/-1.17679,35280.0,7.1126
TLV:JBNK,BANK OF JERUSALEM,Financial Services,1.0923815221656846e+19/0.04426,1269.0,7.023
TLV:TSEM,TOWER SEMICONDUCTO,Technology,210516108.59525/0.10807,11600.0,6.9292
TLV:MNIN,MENDELSON INFRASTR,Basic Materials,13883.25185/-1.00159,1165.0,6.8726
TLV:SCOP,SCOPE METALS GROUP,Industrials,15166.87157/-1.00661,13550.0,6.6028
TLV:DIFI,DIRECT FINANCE OF,Financial Services,16958807405144.17/0.05366,85000.0,6.3125
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,2708.94193/-2.18592,1728.0,6.1311
TLV:ARAN,ARAN RESEARCH&DEVE,Industrials,9873.52023/-1.14868,2319.0,6.1085
TLV:AMRK,AMIR MARKETING AND,Basic Materials,13055.12627/-0.79452,4254.0,6.0823
TLV:DEDR.L,DELEK DRILLING,Energy,11975.90268/-0.76577,626.5,5.827
TLV:AUDC,AUDIOCODES,Technology,44270.96949/-1.02594,11030.0,5.7521
TLV:ALMA,ALMOGIM HOLDINGS,Real Estate,763767.0094/-0.73836,803.8,5.4442
TLV:POLI,BANK HAPOALIM B.M.,Financial Services,25957202662555.465/1.99271,3128.0,5.2216
TLV:EQTL,EQUITAL,Industrials,146062948490.26862/0.00245,11590.0,5.1956
TLV:GILT,GILAT SATELLITE NE,Technology,15900453.88273/-0.53631,2271.0,5.1871
TLV:ELSPC,ELSPEC ENGINEERING,Industrials,7659424.28099/-1.15206,425.6,5.1617
TLV:NTML,NETO MALINDA,Consumer Defensive,45423.9366/-0.74553,11100.0,5.0343
TLV:SPEN,SHAPIR ENGINEERING,Industrials,96129.43879/-1.04083,2714.0,4.8656
TLV:ELMR,ELMORE ELEC INSTL,Industrials,2990697.94304/-1.06921,1023.0,4.8641
TLV:EXPO,EXPORT INVESTMENT,Financial Services,5.639303629327659e+19/1.21449,4016.0,4.8007
TLV:DLTI,DELTA ISRAEL BRAND,Consumer Cyclical,62518.86469/-1.25313,7574.0,4.7289
TLV:SRAC,S.R ACCORD LTD,Financial Services,490960155684.7999/-0.41104,5270.0,4.6496
TLV:KMDA,KAMADA LTD,Healthcare,1273880645.34151/-0.8047,1995.0,4.5936
TLV:RVL,RAVAL ICS LTD,Consumer Cyclical,47.26929/-1.43574,624.0,4.5498
TLV:HMAM,HAMAMA MEIR TRADIN,Consumer Defensive,4659.58372/-0.83795,539.6,4.4831
TLV:TMRP,TAMAR PETROLEUM,Energy,7821713904.67039/-0.14343,538.8,4.4517
TLV:ATRY,ATREYU CAPITAL,Financial Services,4460921.65195/-1.96122,6601.0,4.3424
TLV:LUMI,BK LEUMI LE ISRAEL,Financial Services,4.99226442502317e+16/1.86666,3090.0,4.2599
TLV:ECP,ELECTRA CONSUMER P,Consumer Cyclical,9295498796.33294/-1.31623,15620.0,3.9318
TLV:ALHE,ALONY HETZ,Real Estate,3155546106223.0205/0.13161,5460.0,3.9022
TLV:NAWI,NAWI BROTHERS GROU,Financial Services,1816168583969.7961/0.24889,2962.0,3.8004
TLV:ICL,ICL GROUP LTD,Basic Materials,1318170523.49598/-0.73934,2816.0,3.6112
TLV:ELCRE,ELECTRA REAL ESTAT,Real Estate,11698905.49801/-1.4543,6049.0,3.5488
TLV:BIG,BIG SHOPPING CENTE,Real Estate,5778703.99906/-1.02096,48620.0,3.5104
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,329697709.65312/-0.68662,749.5,3.4629
TLV:CLIS,CLAL INSURANCE ENT,Financial Services,9385708176.64395/-0.17987,7997.0,3.4412
TLV:MGOR,MEGA OR HOLDINGS L,Real Estate,9330098239.30294/-0.28916,13690.0,3.292
TLV:FBRT,FMS ENTERPR. MIGUN,Industrials,3546356.83898/-1.55157,9822.0,3.2696
TLV:AMAN,AMANET MANAGEMENT,Industrials,2309.52263/-1.11675,1798.0,3.2209
TLV:MZTF,MIZRAHI TEFAHOT BK,Financial Services,16602869521853.354/1.65753,11800.0,3.2206
TLV:OVRS,OVERSEAS,Industrials,281549311.48662/-0.85931,405.6,3.2125
TLV:STG,STG INTERNATIONAL,Technology,480216014076.14526/-0.33416,1954.0,3.1712
TLV:DSCT,ISRAEL DISCOUNT BK,Financial Services,5.622575637204831e+17/1.80406,1966.0,3.0935
TLV:HARL,HAREL INS INVS,Financial Services,1.9363493557799142e+17/-0.29685,3508.0,3.0556
TLV:MNRT,MENIVIM REIT,Real Estate,204463334249.27243/0.74459,228.4,2.9621
TLV:ISHI,ISRAEL SHIPYARDS,Industrials,1124559277.83683/-0.98103,7983.0,2.9332
TLV:IMCO,IMCO INDUSTRIES,Industrials,51356.51023/-1.35014,1769.0,2.9281
TLV:PHOE,PHOENIX HLDGS LTD,Financial Services,25764117532.50338/-0.05229,3978.0,2.7974
TLV:SLARL,SELLA CAPITAL REAL,Real Estate,90073176222402.88/1.08154,1135.0,2.7891
TLV:AVER,AVERBUCH FORMICA,Consumer Cyclical,136971.41995/-1.3294,2999.0,2.7782
TLV:OBAS,OPTIBASE LTD,Real Estate,502617243900897.25/-1.09244,3713.0,2.7427
TLV:AURA,AURA INVESTMENTS,Real Estate,398648.08378/-0.54419,531.0,2.7091
TLV:TOPS,TOP RAMDOR SYSTEMS,Technology,278588.54507/-0.83494,1254.0,2.6707
TLV:HOD,HOD-ASSAF INDS,Basic Materials,122.93085/-1.05634,4111.0,2.659
TLV:BIRM,BIRMAN WOOD,Industrials,229102.85668/-0.45927,2370.0,2.6112
TLV:HAP,HADERA PAPER LTD,Basic Materials,2256530.20173/-0.73705,22070.0,2.59
TLV:IES,IES HOLDINGS LTD,Real Estate,18112603569.06669/-0.6706,27290.0,2.5351
TLV:SNFL,SUNFLOWER SUSTAINA,Technology,1393638661.11832/-0.82888,872.6,2.5188
TLV:ALGS,ALON NATURAL GAS E,Energy,4941594961.5459/-1.28504,2000.0,2.5102
