Symbol,Name,Sector,Value,Close,Grade
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,-1.41386,2053.0,102.9284
TLV:CPTP,CAPITAL POINT LTD,Financial Services,-1.75545,79.9,85.7914
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,-1.69906,680.4,80.5785
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,-1.3855,34300.0,69.0192
TLV:MTDS,MEITAV DASH INV,Financial Services,-1.27759,1690.0,66.8768
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,-2.30284,4164.0,61.2541
TLV:PLRM,PALRAM INDUSTRIES,Industrials,-1.46157,4736.0,60.3475
TLV:MLTM,MALAM TEAM LTD,Technology,-1.33798,10480.0,58.6027
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,-1.07177,449.3,57.0932
TLV:IDIN,I.D.I. INSURANCE,Financial Services,-2.07126,11790.0,52.9467
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,-1.38253,257.0,52.0841
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,-1.1249,78620.0,51.2528
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,-1.49509,5348.0,47.2145
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,-1.46493,21320.0,45.3143
TLV:IBI,IBI INV HOUSE,Financial Services,-1.76891,7636.0,41.8262
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,-0.99251,11300.0,37.2071
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,-1.56054,3958.0,35.3688
TLV:HRON,HIRON TRADE INVS,Real Estate,-0.76926,178400.0,34.2212
TLV:ASGR,ASPEN GROUP LTD,Real Estate,-0.65435,883.2,33.3466
TLV:DUNI,DUNIEC BROS,Real Estate,-1.66175,20670.0,32.7439
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,-1.29733,638.4,31.6584
TLV:SNEL,SYNEL PAYWAY M.L.L,Real Estate,-0.90143,4684.0,30.1678
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,-1.1962,2967.0,27.6777
TLV:YAAC,YAACOBI BROTHERS,Real Estate,-1.19605,69.2,27.6184
TLV:KEN,KENON HLDGS LTD,Utilities,-1.1303,14100.0,27.1653
TLV:AFPR,AFI PROPERTIES,Real Estate,-0.64589,18350.0,26.7224
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,-1.78253,7677.0,23.6892
