"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,0.0001152,72168341.2006933,1.0,14230876.9119467,188763193.0381333,2.0,415337744.6124001,3.0,68175633.9128,2.0,611456006.2896,1.5,68175633.9128,611456006.2896,415337744.6124001,72168341.2006933,1.0,14230876.9119467,415337744.6124001,3.0,68175633.9128,2.0,68175633.9128,415337744.6124001,0.4517076,0.4517076,9.402573,9.402573,9.402573,0.0054849,9.402573,1.3631781,1.3636001,147949603.6363636,147858000.0,63957933.3333333,147858000.0,0.24622,1.9447745,10.0,604.7095037,2500.0,202.301166,0.03857,0.42147,0,21.76,20670,0.0010527,2.3906337,3866740,110027000,28.454719,42,201806528,245101540,2619690.4761905,13.407,7.882,-0.1656159,-0.1337305,-0.1656159,-0.1337305,10.013846,31.8946615,5.8780674,24.494726,0.9389572,0.9389572,4142780.8019733,0.5,66880614.7368,0.75,48.7128184,3.0174144,3.0174144,3.3172354,2.0,2.5256033,2.0,2.5256033,1.5902147,ILS,ILS,0.3098132,0.3098132,0,0,0,0,20670,56.14,21080,95.6,21521.3389121,36718.6676167,-1.9449715,1.9609967,56.8671118,1.6274212,1.0,1.8284566,1.0,0.6572112,1.0,0.2489389,0.5,8.1993441,1.0,14.3724265,2.0,1.2943549,1.0,2.8318898,2.0,1.8384566,0.2589389,14.3824265,2.8418898,2.3401732,221700859.4708533,1.0,218033703.89352,1.0,218033703.89352,170020320.6066667,2.0,145610995.72852,1.5,145610995.72852,0.4126839,0.5682039,123864066.6666667,143626866.6666667,143626866.6666667,136690699.16752,1.0,120959706.7411733,1.0,120959706.7411733,3.1743702,None
TLV:FORTY,FORMULA SYST(1985),Technology,Israel,0.0007316,7097845066.666667,4.0,40304666.6666667,599962400.0,2.0,6120873000.0,3.0,48174000.0,1.0,324358000.0,1.0,48174000.0,324358000.0,6120873000.0,7097845066.666667,4.0,40304666.6666667,6120873000.0,3.0,48174000.0,1.0,48174000.0,6120873000.0,0.7754624,0.7754624,36.9754464,36.9754464,36.9754464,0.0085812,12.3251488,6.5290034,9.7935051,121160448.7045649,0,231024666.6666667,0,0.02361,330.63966,14000.0,5.6433145,250.0,112.1031948,0.41381,0.37577,0,3.096,37700,8.21e-05,3.5011156,15294300,48174000,3.1498009,15101,1582113957,1750818417,3190.1198596,0.127,0.228,0.4778743,0.1325631,0.4778743,0.1325631,0.2147186,4.8837736,0.2041408,4.7681941,172.204222,172.204222,443487066.6666667,2.0,110871766.6666667,1.0,3.567441,14.2697641,14.2697641,2.7088821,1.0,1.3758869,0.5,1.3758869,1.1739821,USD,ILS,1.0,0.3098132,0,0,0,0,37700,141,37520,266.7,14035.7330334,26637.5886525,0.4797441,2.0096311,65.8715719,1.8093747,1.0,3.5917697,2.0,0.0064887,3.0,0.0016222,1.0,0.8950657,2.0,0.4221079,1.0,1.4825003,1.0,0.745553,0.5,3.6017697,0.0116222,0.4321079,0.755553,2.1786613,4454720933.333333,2.0,2414385733.3333335,1.0,2414385733.3333335,907550666.6666666,2.0,488974133.3333333,1.0,488974133.3333333,0.1199529,0.1985205,333144666.6666667,363359133.3333333,363359133.3333333,2476401466.6666665,2.0,1344035466.6666667,1.0,1344035466.6666667,1.9624077,None
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,Israel,0.0032618,120668275.79104,4.0,25168067.7320533,13753444.44364,0.5,53409936.8008,1.0,50255108.9852,1.0,191392526.031,1.5,50255108.9852,191392526.031,53409936.8008,120668275.79104,4.0,25168067.7320533,53409936.8008,1.0,50255108.9852,1.0,50255108.9852,53409936.8008,2.6331024,2.6331024,7.5656323,7.5656323,7.5656323,0.0067251,7.5656323,3.0113843,3.0053909,150925238.6831276,151526000.0,83381466.6666667,151526000.0,0.94357,0.2843197,0.35,121.9881406,100.0,41.0730101,0.05612,0.70118,0,0.838,638.4,0.0013127,2.4990146,58859100,163948992,2.7854485,1989,452684771,115611767,82427.8491704,2.8188091,5.015,2.8188091,3.8441776,2.8188091,3.8441776,2.8188091,17.0393093,4.7222944,21.9808408,2.6839818,2.6839818,-6510084.1173867,0.5,-7175273.712,0.5,1438.1053937,6308954.7495682,6308954.7495682,1.4234264,2.0,1.0599586,2.0,1.0599586,1.0305429,ILS,ILS,0.3098132,0.3098132,0,0,0,0,638.4,1.509,639,2.378,26746.0891505,42206.1630219,-0.0938967,1.9981176,63.6394325,5.1165405,2.0,2.9296775,1.0,34.585889,1.0,0.1590993,0.5,2.6921561,0.1666667,11.7284362,1.0,1.3004973,1.0,1.8667136,1.0,2.9396775,0.1690993,11.7384362,1.8767136,2.4081956,365431030.8977067,2.0,269679027.3239734,1.0,269679027.3239734,230212109.6638933,2.0,265894018.80536,1.5,265894018.80536,0.2863516,0.2890043,-38015400.0,5726133.3333333,5726133.3333333,67418161.2930133,1.0,92195616.5425067,1.0,92195616.5425067,1.9535465,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,0.0160914,495437466.6666667,0.0,69362333.3333333,40491200.0,1.0,537167000.0,0.0,76178000.0,0.0,208616000.0,1.0,76178000.0,208616000.0,537167000.0,495437466.6666667,1.0,69362333.3333333,537167000.0,1.0,76178000.0,1.0,76178000.0,537167000.0,0.3878861,0.3878861,7.435033,7.435033,7.435033,0.0031573,7.435033,1.9223909,1.8993252,111064784.6897663,113730000.0,103019600.0,113730000.0,0.14181,0.1388383,0.0,1.4139351,10.0,0.5658611,0.04992,0.69952,0,62.609,47020,0.0013315,8.098328,1176000,76178000,64.7772109,199,208386346,169600410,382804.0201005,0.271,0.141,0.0502436,0.0667107,0.0502436,0.0667107,0.2158109,4.8955451,0.1224277,3.7489666,34.4516111,34.4516111,34750266.6666667,0.5,30611000.0,0.5,5.9966834,6.8075642,6.8075642,4.1109098,1.0,1.7370025,0.5,1.7370025,1.3189539,USD,ILS,1.0,0.3098132,0,0,0,0,47020,46540,47280,47020,0.0,1.0313709,-0.5499154,1.2972973,4.7669114,1.2449222,1.0,0.6492813,0.5,1.4256588,1.0,0.8981938,1.0,2.3017417,1.0,10.5718992,4.0,1.1413942,1.0,0.6010724,0.5,0.6592813,0.9081938,10.5818992,0.6110724,0.6351769,254928933.3333333,1.0,296593800.0,1.0,296593800.0,49821866.6666667,1.0,67779666.6666667,1.0,67779666.6666667,0.3568429,1.2239064,26207000.0,41033400.0,41033400.0,205107066.6666667,1.0,343221200.0,1.5,343221200.0,2.1199268,None
TLV:ILX,ILEX MEDICAL,Healthcare,Israel,0.0288044,3163568000.0,0.0,89157400.0,538812133.3333334,2.0,1059234000.0,0.0,145703000.0,0.0,1208118000.0,1.0,145703000.0,1208118000.0,1059234000.0,3163568000.0,4.0,89157400.0,1059234000.0,1.0,145703000.0,1.0,145703000.0,1059234000.0,0.3104328,0.3104328,11.311327,11.311327,11.311327,0.0043851,11.311327,1.5496856,1.5299337,217662456.417433,223211000.0,147127533.3333333,223211000.0,0.13755,0.1183231,0.0,1.3448137,10.0,0.5345623,0.12716,0.61936,0,13.208,14700,0.0008985,3.9810275,10035000,145703008,14.5194826,240,328709881,464480951,607095.8666667,1.744,0.658,0.6897633,0.3095209,0.6897633,0.3095209,1.4804408,12.4173367,0.5708802,7.8056617,7.6405127,7.6405127,132796266.6666667,1.0,208369000.0,1.0,2.4752946,1.5775374,1.5775374,0.4856386,0.5,0.4361218,0.5,0.4361218,0.6613952,USD,ILS,1.0,0.3098132,0,0,0,0,14700,61.28,15100,99.88,14617.6611934,23888.2506527,-2.6490066,1.946804,54.4419105,6.8481695,3.0,2.1575857,1.0,0.1770786,1.0,0.1026004,1.0,2.5352827,1.0,2.2443052,1.0,2.0259397,1.0,1.8809498,1.0,2.1675857,0.1126004,2.2543052,1.8909498,2.0292677,1348406533.3333333,2.0,1186639700.0,1.5,1186639700.0,664193333.3333334,2.0,422876066.6666667,1.0,422876066.6666667,0.2227862,0.4445525,239615333.3333333,268231466.6666667,268231466.6666667,589029466.6666666,2.0,552325600.0,1.5,552325600.0,1.9233067,None
TLV:STG,STG INTERNATIONAL,Technology,Israel,0.0330722,422089866.6666667,0.0,4604533.3333333,78136800.0,2.0,113424000.0,0.0,5325000.0,0.0,174240000.0,1.0,5325000.0,174240000.0,113424000.0,422089866.6666667,4.0,4604533.3333333,113424000.0,1.0,5325000.0,1.0,5325000.0,113424000.0,0.2509487,0.2509487,15.93801,15.93801,15.93801,0.0023179,5.31267,3.0845002,3.026963,9590214.9457613,9948000.0,8077466.6666667,9948000.0,0.04695,0.0459655,0.0,0.1843991,10.0,0.0934382,0.05838,0.73772,0,1.226,1954,0.0006274,1.1380315,4342890,5325000,1.226142,59,28477432,26290225,90254.2372881,-0.87,-0.036,1.4248577,0.1227521,1.4248577,0.1227521,-0.2962856,0.2203714,0.003688,0.8572906,-53.7927311,1858.9872271,-3168800.0,0.5,-6570000.0,0.5,11127.4078271,433446.4539445,433446.4539445,0.8347674,2.0,0.4875437,1.0,0.4875437,0.6992433,USD,ILS,1.0,0.3098132,0,0,0,0,1954,10.14,1954,12.74,15237.5196232,19170.2169625,0.0,2.0,64.0,1.1785274,0.3333333,3.0758772,1.0,0.0749167,0.5,0.098914,1.0,0.5478464,0.3333333,1.5272999,1.0,0.9905321,0.3333333,2.5708798,1.0,3.0858772,0.108914,1.5372999,2.5808798,2.8333785,203943333.3333333,2.0,112403600.0,1.0,112403600.0,142286133.3333333,2.0,74955400.0,1.0,74955400.0,0.1473739,0.1710422,48156600.0,51102000.0,51102000.0,60026533.3333333,2.0,36546200.0,1.0,36546200.0,2.1066535,None
TLV:BIRM,BIRMAN WOOD,Industrials,Israel,0.0771902,85591266.5954667,1.0,3551450.67424,12298448.0582667,1.0,85374603.8976,1.0,3760512.6216,1.0,49555860.5928,1.0,3760512.6216,49555860.5928,85374603.8976,85591266.5954667,1.0,3551450.67424,85374603.8976,1.0,3760512.6216,1.0,3760512.6216,85374603.8976,0.4077142,0.4077142,20.834087,20.834087,20.834087,0.0028419,20.834087,3.9857468,3.9316355,28985961.1737272,29773000.0,28277733.3333333,29773000.0,0.04405,0.4190832,10.0,0.4720581,10.0,0.3127304,0.01,0.80239,0,1.103,2370,0.0004654,2.6705405,10999800,12138000,1.1034746,233,112393765,78312444,52094.4206009,0.745,0.148,0.1227034,-0.0051899,0.1227034,-0.0051899,0.5894259,7.9274075,0.1097025,3.562137,35.3464081,35.3464081,6810768.1550933,1.0,1780496.4604,0.5,16.5023625,63.1249584,63.1249584,2.3444508,1.0,2.3597784,1.0,2.3597784,1.537157,ILS,ILS,0.3098132,0.3098132,0,0,0,0,2370,6.25,2322,9.715,24295.265054,37820.0,2.0671835,2.0414553,72.383435,1.4271472,1.0,1.4237687,1.0,0.017998,0.5,0.0101401,1.0,0.4195878,0.3333333,1.009416,1.0,0.4980299,0.3333333,1.5057208,1.0,1.4337687,0.0201401,1.019416,1.5157208,1.4747448,96257618.7161333,1.0,97910141.67072,1.0,97910141.67072,28777721.9794667,1.0,29141959.0316,1.0,29141959.0316,0.1384078,0.2290412,81806800.0,84874200.0,84874200.0,67479896.7366667,1.0,68768182.63912,1.0,68768182.63912,2.0690617,None
TLV:INCR,INTERCURE LTD,Healthcare,Israel,0.1620495,37065600.0,0.0,-23502466.6666667,-1374013866.6666667,0.125,383616000.0,0.0,19761000.0,0.0,-2031562666.6666667,0.375,19761000.0,-2031562666.6666667,383616000.0,37065600.0,1.0,-23502466.6666667,383616000.0,3.0,19761000.0,1.0,19761000.0,383616000.0,2.0398101,2.0398101,15.5074836,15.5074836,15.5074836,0.0239649,15.5074836,9.9112341,9.853163,26629943.9529868,26942000.0,-22213933.3333333,26942000.0,0.15923,-0.5900223,0.0,14.461726,100.0,4.6779779,0.05584,0.64855,0,-1.466,2332,-0.0006286,0.7048258,42671400,20361000,0.477158,75,260842747,306443384,271480.0,-0.2274311,3.044,-0.2274311,3.5920105,-0.2274311,3.5920105,-0.2274311,0.2272569,3.1810026,18.0853655,-68.1854084,1466.5894401,407000.0,0.5,25417000.0,1.0,640.8912716,10.2625309,10.2625309,0.1071362,0.5,0.4966406,2.0,0.4966406,0.7057273,USD,ILS,1.0,0.3098132,0,0,0,0,2332,1513.1965,3100,2322.6357,0.4031756,54.1108508,-24.7741935,1.0320163,1.2081454,8.7682244,1.0,12.154777,2.0,0.3333619,0.3333333,0.0709371,0.25,18.7354839,1.0,0.7388329,0.25,1.956913,1.0,2.813433,1.0,12.164777,0.0809371,0.7488329,2.823433,7.494105,511477466.6666667,2.0,705278800.0,1.5,705278800.0,218731866.6666667,1.0,534756100.0,1.5,534756100.0,0.1280187,0.1369533,28605000.0,126570933.3333333,126570933.3333333,55115066.6666667,2.0,95681333.3333333,1.0,95681333.3333333,1e-05,None
TLV:RADA,RADA ELECTRONIC,Technology,Israel,0.4015281,231814933.3333333,0.0,2637666.6666667,-302351466.6666667,0.25,291336000.0,0.0,37958000.0,0.0,-741482666.6666666,0.375,37958000.0,-741482666.6666666,291336000.0,231814933.3333333,4.0,2637666.6666667,291336000.0,3.0,37958000.0,2.0,37958000.0,291336000.0,5.1444482,5.1444482,43.9874857,43.9874857,43.9874857,4.597617,14.6624952,31.7220834,47.583125,7874477.0927132,0,4222733.3333333,0,0.19542,0.0483771,0.0,2590.8570512,10000.0,863.7012828,0.57653,0.04734,0,0.207,2998,6.9e-05,3.3773775,49035000,18978000,0.3870297,244,499589637,44648376319,77778.6885246,13.772,0.614,0.1532572,0.5872326,0.1532572,0.5872326,10.3673143,32.4483141,0.6073082,8.0429978,4.2429008,4.2429008,360066.6666667,0.5,90016.6666667,1.0,1387.4920501,5549.9682006,5549.9682006,0.2311149,0.5,0.3312231,1.0,0.3312231,0.5765199,USD,ILS,1.0,0.3098132,0,0,0,0,2998,2934,4760,3780.65,-20.7014667,2.1813224,-37.0168067,0.0700986,0.0710986,3.33547,1.0,4.1243195,1.0,0.0878698,0.0833333,0.1862775,1.0,0.2386306,1.0,4.460881,1.0,1.7292185,0.5,4.4176227,1.0,4.1343195,0.1962775,4.470881,4.4276227,4.2809711,167725600.0,2.0,248837400.0,1.5,248837400.0,56993066.6666667,1.0,188984700.0,1.5,188984700.0,0.2525414,0.3008522,45516066.6666667,103349733.3333333,103349733.3333333,53745466.6666667,2.0,59852700.0,1.5,59852700.0,21.0993955,None
TLV:BVC,BATM ADVANCED COMM,Technology,Israel,0.5431314,615565600.0,4.0,6330733.3333333,-590451066.6666666,0.5,177604000.0,1.0,20187000.0,1.0,-4545608000.0,0.25,20187000.0,-4545608000.0,177604000.0,615565600.0,4.0,6330733.3333333,177604000.0,1.0,20187000.0,1.0,20187000.0,177604000.0,2.7437057,2.7437057,46.8944506,46.8944506,46.8944506,2.7436495,15.6314835,14.5128895,14.260871,34783942.9596106,35992000.0,11071600.0,35992000.0,0.11366,648.3415515,14000.0,1.4959235,10.0,216.6513783,0.41206,0.22694,0,0.022,327.8,6.71e-05,3.711072,100000000,20187000,0.20187,1196,487283123,487283123,16878.7625418,6.558,-0.077,3.774239,0.3043691,3.774239,0.3043691,5.8620597,24.4616909,0.0183423,1.6043362,7.9996542,7.9996542,24214133.3333333,2.0,5089000.0,0.5,20.1239135,95.7522349,95.7522349,0.6328541,1.0,0.5446361,1.0,0.5446361,0.7389947,USD,ILS,1.0,0.3098132,0,0,0,0,327.8,1.389,334.9,3.79,8549.0765172,23499.712023,-2.1200358,1.9574227,56.2480815,2.5303523,1.0,2.8014481,1.0,0.0,1.0,0.0,1.0,0.4206513,0.5,1.0545324,1.0,2.0462339,1.0,2.3384613,1.0,2.8114481,0.01,1.0645324,2.3484613,2.5799547,179473800.0,1.0,196770000.0,1.0,196770000.0,112037866.6666667,1.0,129969800.0,1.0,129969800.0,0.2025919,0.2553207,58761933.3333333,77506600.0,77506600.0,71500266.6666667,1.0,70567000.0,1.0,70567000.0,1e-05,None
