Symbol,Name,Sector,Value,Close,Grade
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,-1.41437,2037.0,102.1033
TLV:CPTP,CAPITAL POINT LTD,Financial Services,-1.7392,85.8,88.9409
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,-1.69572,706.5,80.8777
TLV:MTDS,MEITAV DASH INV,Financial Services,-1.27476,1684.0,68.1522
TLV:MLTM,MALAM TEAM LTD,Technology,-1.31342,10530.0,64.6887
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,-2.21817,4197.0,62.4038
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,-1.46427,250.3,61.87
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,-1.07421,444.6,61.0517
TLV:PLRM,PALRAM INDUSTRIES,Industrials,-1.44319,4737.0,60.3726
TLV:IDIN,I.D.I. INSURANCE,Financial Services,-2.06954,11770.0,53.2279
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,-0.96331,79460.0,49.9525
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,-0.99801,11250.0,47.8046
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,-1.32912,5394.0,41.7237
TLV:AFPR,AFI PROPERTIES,Real Estate,-0.80164,17800.0,40.7633
TLV:IBI,IBI INV HOUSE,Financial Services,-1.71159,7960.0,39.4159
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,-1.56062,3906.0,36.3533
TLV:HRON,HIRON TRADE INVS,Real Estate,-0.69567,176820.0,35.8794
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,-1.16799,24370.0,35.4839
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,-1.26584,638.6,32.8551
TLV:SNEL,SYNEL PAYWAY M.L.L,Real Estate,-0.80803,4707.0,32.1463
TLV:YAAC,YAACOBI BROTHERS,Real Estate,-1.19234,76.3,28.9046
TLV:DUNI,DUNIEC BROS,Real Estate,-1.63052,22250.0,25.2022
TLV:ASPF,ALTSHULER SHAHM,Financial Services,-2.3828,1759.0,25.0539
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,-1.73951,7856.0,23.8407
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,-1.5964,556.6,22.7086
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,-1.18899,2596.0,21.6301
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,-1.42673,1029.0,21.268
TLV:VILR,VILLAR INTL LTD,Real Estate,-0.68211,18430.0,21.1218
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,-1.2945,2004.0,19.8853
TLV:DRAL,DOR ALON ENERGY IN,Energy,-0.74001,9824.0,19.2023
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,-1.27535,4595.0,18.558
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,-1.56242,31080.0,18.547
