Symbol,Name,Sector,Value,Close,Grade
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,10.45648/-1.50064,2022.0,214.2539
TLV:CPTP,CAPITAL POINT LTD,Financial Services,2.07248/-1.74547,84.9,170.1863
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,32.28644/-1.07948,443.8,158.8341
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,3.16267/-1.69707,707.8,158.689
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,2.64225/-1.01184,36170.0,131.4063
TLV:PLRM,PALRAM INDUSTRIES,Industrials,1.33742/-1.4503,4756.0,131.295
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,0.07344/-2.26451,4206.0,122.996
TLV:HRON,HIRON TRADE INVS,Real Estate,134.98227/-0.86982,191700.0,116.3157
TLV:MLTM,MALAM TEAM LTD,Technology,1081.26078/-1.34469,10450.0,108.9454
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,0.22737/-1.44529,5598.0,107.0434
TLV:MTDS,MEITAV DASH INV,Financial Services,450127.79969/-1.27747,1631.0,104.4701
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,21906.32801/-0.88246,80400.0,91.2427
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,0.02146/-1.56266,3973.0,83.7947
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,265.86723/-1.35469,23220.0,80.7823
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,0.19876/-1.3468,6012.0,75.1878
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,2184759.77309/-1.41604,254.8,69.4799
TLV:VILR,VILLAR INTL LTD,Real Estate,64145.40641/-1.06252,17720.0,69.2123
TLV:SNEL,SYNEL PAYWAY M.L.L,Real Estate,10733.45506/-0.866,4702.0,68.5591
TLV:IDIN,I.D.I. INSURANCE,Financial Services,1081486.88829/-2.08238,11700.0,63.0267
TLV:DUNI,DUNIEC BROS,Real Estate,0.0068/-1.64099,23250.0,53.3924
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,1363790.61853/-1.44164,670.0,51.1467
TLV:ASPF,ALTSHU FUND PEN,Financial Services,0.99888/-2.3839,1697.0,50.4306
TLV:ALMA,ALMOGIM,Real Estate,1162.20469/-1.02772,875.0,50.1488
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,267.49622/-0.8498,18800.0,48.7367
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,31367.83254/-0.79371,2257.0,45.9927
TLV:KEN,KENON HLDGS LTD,Utilities,459093.60412/-1.18116,13980.0,45.9492
TLV:IBI,IBI INV HOUSE,Financial Services,12.30772/-1.59888,8400.0,44.1427
TLV:AFPR,AFI PROPERTIES,Real Estate,1596610.49177/-0.56478,18630.0,42.4836
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,619.51175/-1.18332,2618.0,41.9972
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,39.53165/-1.39746,4680.0,41.1945
TLV:DRAL,DOR ALON ENERGY IN,Energy,577140.94838/-0.79588,9938.0,40.806
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,34.74211/-1.41463,1051.0,40.7745
TLV:YAAC,YAACOBI BROTHERS,Real Estate,1310078.98819/-1.19391,76.0,40.729
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,525.05003/-1.70901,8005.0,39.8942
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,44.1242/-1.29519,2010.0,38.7379
TLV:SMT,SUMMIT R/EST HLDGS,Real Estate,1430.20936/-0.80414,6011.0,37.576
TLV:HAMAT,HAMAT GROUP LTD,Industrials,546.05999/-0.67519,2388.0,37.4473
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,1.19638/-1.55082,31450.0,35.0311
TLV:GOLF,GOLF & CO,Consumer Cyclical,537.39696/-0.97573,991.1,34.9756
TLV:ARPT,AIRPORT CITY,Real Estate,555034.31218/-0.59608,6900.0,33.98
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,1693.39211/-1.59769,551.5,33.2452
TLV:AZRM,AZORIM INV DEV,Real Estate,4801.32111/-0.89827,1805.0,31.0895
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,38.03513/-1.28346,9225.0,30.0665
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,4925359981.41725/-0.76787,12650.0,29.661
TLV:ASGR,ASPEN GROUP,Real Estate,101878437.80643/-0.59094,1005.0,29.3878
TLV:TREN,TRENDLINE INFO & C,Communication Services,51.46457/-1.17953,1199.0,29.2817
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,84.15248/-0.96568,1442.0,28.8522
TLV:MTRX,MATRIX IT LTD,Technology,10123.07747/-1.00197,9038.0,28.5593
TLV:MISH,MIVTACH SHAMIR HDS,Financial Services,875684.48557/-1.69084,10560.0,27.6633
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,62.16198/-2.26954,43670.0,24.7291
TLV:EMCO,E & M COMPUTING,Technology,134069.24091/-1.17564,2349.0,24.6148
TLV:SPGE,SUPERGAS ENERGY LT,Utilities,99690.38348/-1.15828,6949.0,24.5873
TLV:LHIS,LACHISH INDUSTRIES,Industrials,10895.60425/-1.30648,836.9,24.243
TLV:BLSR,BLUE SQUARE REAL,Real Estate,1103667.2352/-0.59017,28610.0,24.1758
TLV:PPIL,PLASTOPIL HAZOREA,Consumer Cyclical,30768.79848/-1.25242,594.6,23.9877
TLV:MGIC,MAGIC SOFTWARE ENT,Technology,711.4217/-1.24184,6481.0,23.0875
TLV:MMAN,MAMAN CARGO TERMIN,Industrials,61497.15265/-1.34309,887.3,22.4673
TLV:KRDI,KARDAN ISRAEL LTD,Real Estate,230.0425/-1.57243,293.7,21.8607
TLV:SHAN,SHANIV PAPER IND,Basic Materials,478.39027/-1.37822,575.0,21.541
TLV:ARAD,ARAD INVESTMENT,Industrials,772258.63333/-0.47162,44180.0,21.3225
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,51.13339/-1.28189,6529.0,21.1673
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,8.15138/-0.97489,10230.0,20.7682
TLV:DRSL,DORSEL (B.A.Z.),Real Estate,70128.41629/-1.14832,1509.0,20.5924
TLV:AVIV,MORDECHAI AVIV,Real Estate,12161462.32707/-1.18512,2766.0,20.0423
TLV:ILX,ILEX MEDICAL,Healthcare,2.14398/-0.8724,15460.0,18.8243
TLV:AFHL,AFCON HOLD,Technology,423.55603/-0.72858,21240.0,18.4129
TLV:FORTY,FORMULA SYST(1985),Technology,560.95276/-0.22864,36320.0,18.3461
TLV:GOLD,GOLD BOND GROUP,Industrials,22513.37846/-0.86138,14490.0,17.6302
TLV:ZUR,ZUR SHAMIR HOLD,Financial Services,21026532552.80328/-0.77245,1174.0,17.457
TLV:ELSPC,ELSPEC ENGINEERING,Industrials,1016.18935/-1.1405,368.9,17.0025
TLV:PEN,PENINSULA GROUP,Financial Services,2718057442.5596/-0.59038,281.3,16.0792
TLV:MGDL,MIGDAL INS & FINAN,Financial Services,12736987305.70228/-0.90021,512.4,15.5875
TLV:SEMG,SEACH MEDICAL,Industrials,1772.3483/-1.61916,36.6,14.9551
TLV:TAYA,TAYA INVESTMENT CO,Communication Services,2398.49254/-1.18332,6353.0,14.7052
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,308670.12305/-1.17465,369.8,14.4262
TLV:ASHG,ASHTROM GROUP,Real Estate,30892728.25008/-0.71042,7850.0,14.1771
TLV:HLAN,HILAN LTD,Technology,97.63067/-0.95421,19100.0,14.1676
TLV:VRDS,VERIDIS ENVIRONMEN,Industrials,1004.75524/-1.31907,3784.0,13.3288
TLV:ZNKL,ZANLAKOL,Consumer Defensive,2873.90352/-1.40606,1983.0,13.2064
TLV:DIPL,DIPLOMAT HOLDINGS,Consumer Defensive,5.47769/-1.2319,5406.0,13.1703
TLV:NXTM,NEXTCOM,Communication Services,8.81581/-1.46238,1237.0,12.8175
