"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,0.0068,72168341.2006933,1.0,14230876.9119467,188763193.0381333,2.0,415337744.6124001,3.0,68175633.9128,2.0,611456006.2896,1.5,68175633.9128,611456006.2896,415337744.6124001,72168341.2006933,1.0,14230876.9119467,415337744.6124001,3.0,68175633.9128,2.0,68175633.9128,415337744.6124001,0.4517076,0.4517076,10.606617,10.606617,10.606617,0.0061872,10.606617,1.3631781,1.3636001,147949603.6363636,147858000.0,63957933.3333333,147858000.0,0.24622,0.9237679,4.75,21.5967464,89.285625,7.5899114,0.03857,0.42147,0,21.76,23250,0.0009359,2.6967657,3866740,110027000,28.454719,42,201806528,276487947,2619690.4761905,13.407,7.882,-0.1656159,-0.1337305,-0.1656159,-0.1337305,10.013846,31.8946615,5.8780674,24.494726,1.0591951,1.0591951,4142780.8019733,0.5,66880614.7368,0.75,48.7128184,3.0174144,3.0174144,3.3172354,2.0,2.5256033,2.0,2.5256033,1.5902147,ILS,ILS,0.3098132,0.3098132,0,0,0,0,23250,56.14,23700,95.6,24220.083682,41314.3213395,-1.8987342,1.9619351,57.030593,1.6274212,1.0,1.8284566,1.0,0.6572112,1.0,0.2489389,0.5,8.1993441,1.0,14.3724265,2.0,1.2943549,1.0,2.8318898,2.0,1.8384566,0.2589389,14.3824265,2.8418898,2.3401732,221700859.4708533,1.0,218033703.89352,1.0,218033703.89352,170020320.6066667,2.0,145610995.72852,1.5,145610995.72852,0.4126839,0.5682039,123864066.6666667,143626866.6666667,143626866.6666667,136690699.16752,1.0,120959706.7411733,1.0,120959706.7411733,3.1987986,None
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,Israel,0.1987566,1654338133.3333333,0.0,46578200.0,757730266.6666666,2.0,451895000.0,0.0,72880000.0,0.0,2556661500.0,1.5,72880000.0,2556661500.0,451895000.0,1654338133.3333333,4.0,46578200.0,451895000.0,1.0,72880000.0,1.0,72880000.0,451895000.0,0.399659,0.399659,3.6520514,3.6520514,3.6520514,0.3998027,3.6520514,3.3119031,3.2834614,55504683.4424696,56458000.0,54496000.0,56458000.0,0.16128,0.1154936,0.0,0.1542331,1.0,0.1446689,0.1093,0.71197,0,5.196,6012,0.0008643,0.4340659,100000000,72882000,0.72882,181,180668841,180668841,402662.9834254,0.09,0.098,0.3111844,0.1449376,0.3111844,0.1449376,0.1452961,4.0617726,0.1097344,3.5626183,25.1352331,25.1352331,19146566.6666667,0.5,55591000.0,1.0,9.436096,3.2499657,3.2499657,0.1525437,2.0,0.1518831,2.0,0.1518831,0.3907218,USD,ILS,1.0,0.3098132,0,0,0,0,6012,5951,6125,6012,0.0,1.0250378,-1.844898,0.7011494,0.7021494,29.0546911,2.0,28.4427182,2.0,1.9578256,2.0,1.4964895,1.0,1.3621106,1.0,0.6431204,1.0,28.8579107,2.0,30.7980144,2.0,28.4527182,1.5064895,0.6531204,30.8080144,29.6303663,1141076266.6666667,2.0,984545000.0,1.5,984545000.0,1059827600.0,2.0,915102800.0,1.5,915102800.0,0.174024,0.1796413,485277000.0,558363400.0,558363400.0,40624333.3333333,1.0,46294800.0,1.0,46294800.0,2.7023398,None
TLV:ILX,ILEX MEDICAL,Healthcare,Israel,2.1439845,3163568000.0,0.0,89157400.0,538812133.3333334,2.0,1059234000.0,0.0,145703000.0,0.0,1208118000.0,1.0,145703000.0,1208118000.0,1059234000.0,3163568000.0,4.0,89157400.0,1059234000.0,1.0,145703000.0,1.0,145703000.0,1059234000.0,0.3104328,0.3104328,11.932162,11.932162,11.932162,0.0046257,11.932162,1.5496856,1.5299337,217662456.417433,223211000.0,147127533.3333333,223211000.0,0.13755,0.1183231,0.0,0.1344814,1.0,0.1311182,0.12716,0.61936,0,13.208,15460,0.0008543,4.199531,10035000,145703008,14.5194826,240,328709881,489974542,607095.8666667,1.744,0.658,0.6897633,0.3095209,0.6897633,0.3095209,1.4804408,12.4173367,0.5708802,7.8056617,8.0598709,8.0598709,132796266.6666667,1.0,208369000.0,1.0,2.4752946,1.5775374,1.5775374,0.4856386,0.5,0.4361218,0.5,0.4361218,0.6613952,USD,ILS,1.0,0.3098132,0,0,0,0,15460,61.28,15760,99.88,15378.5742891,25128.45953,-1.9035533,1.9617803,57.003595,6.8481695,3.0,2.1575857,1.0,0.1770786,1.0,0.1026004,1.0,2.5352827,1.0,2.2443052,1.0,2.0259397,1.0,1.8809498,1.0,2.1675857,0.1126004,2.2543052,1.8909498,2.0292677,1348406533.3333333,2.0,1186639700.0,1.5,1186639700.0,664193333.3333334,2.0,422876066.6666667,1.0,422876066.6666667,0.2227862,0.4445525,239615333.3333333,268231466.6666667,268231466.6666667,589029466.6666666,2.0,552325600.0,1.5,552325600.0,1.9304929,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,62.1619823,495437466.6666667,0.0,69362333.3333333,40491200.0,1.0,537167000.0,0.0,76178000.0,0.0,208616000.0,1.0,76178000.0,208616000.0,537167000.0,495437466.6666667,1.0,69362333.3333333,537167000.0,1.0,76178000.0,1.0,76178000.0,537167000.0,0.3878861,0.3878861,6.971841,6.971841,6.971841,0.0029606,6.971841,1.9223909,1.8993252,111064784.6897663,113730000.0,103019600.0,113730000.0,0.14181,0.1388383,0.0,0.1413935,1.0,0.1416806,0.04992,0.69952,0,62.609,43670,0.0014337,7.5938135,1176000,76178000,64.7772109,199,208386346,159034551,382804.0201005,0.271,0.141,0.0502436,0.0667107,0.0502436,0.0667107,0.2158109,4.8955451,0.1224277,3.7489666,32.3053247,32.3053247,34750266.6666667,0.5,30611000.0,0.5,5.9966834,6.8075642,6.8075642,4.1109098,1.0,1.7370025,0.5,1.7370025,1.3189539,USD,ILS,1.0,0.3098132,0,0,0,0,43670,43220,43670,43670,0.0,1.0411846,0.0,2.0,7.2409,1.2449222,1.0,0.6492813,0.5,1.4256588,1.0,0.8981938,1.0,2.3017417,1.0,10.5718992,4.0,1.1413942,1.0,0.6010724,0.5,0.6592813,0.9081938,10.5818992,0.6110724,0.6351769,254928933.3333333,1.0,296593800.0,1.0,296593800.0,49821866.6666667,1.0,67779666.6666667,1.0,67779666.6666667,0.3568429,1.2239064,26207000.0,41033400.0,41033400.0,205107066.6666667,1.0,343221200.0,1.5,343221200.0,2.1155659,None
TLV:FORTY,FORMULA SYST(1985),Technology,Israel,560.9527622,7097845066.666667,4.0,40304666.6666667,599962400.0,2.0,6120873000.0,3.0,48174000.0,1.0,324358000.0,1.0,48174000.0,324358000.0,6120873000.0,7097845066.666667,4.0,40304666.6666667,6120873000.0,3.0,48174000.0,1.0,48174000.0,6120873000.0,0.7754624,0.7754624,37.0254781,37.0254781,37.0254781,0.0085928,12.341826,6.5290034,9.7935051,121160448.7045649,0,231024666.6666667,0,0.02361,13.8919028,588.2132813,0.6201438,27.4725,4.8462189,0.41381,0.37577,0,3.096,36320,8.52e-05,3.5058533,15294300,48174000,3.1498009,15101,1582113957,1753187631,3190.1198596,0.127,0.228,0.4778743,0.1325631,0.4778743,0.1325631,0.2147186,4.8837736,0.2041408,4.7681941,172.4372327,172.4372327,443487066.6666667,2.0,110871766.6666667,1.0,3.567441,14.2697641,14.2697641,2.7088821,1.0,1.3758869,0.5,1.3758869,1.1739821,USD,ILS,1.0,0.3098132,0,0,0,0,36320,141,37690,266.7,13518.2977128,25658.8652482,-3.6349164,1.9270287,51.2069694,1.8093747,1.0,3.5917697,2.0,0.0064887,3.0,0.0016222,1.0,0.8950657,2.0,0.4221079,1.0,1.4825003,1.0,0.745553,0.5,3.6017697,0.0116222,0.4321079,0.755553,2.1786613,4454720933.333333,2.0,2414385733.3333335,1.0,2414385733.3333335,907550666.6666666,2.0,488974133.3333333,1.0,488974133.3333333,0.1199529,0.1985205,333144666.6666667,363359133.3333333,363359133.3333333,2476401466.6666665,2.0,1344035466.6666667,1.0,1344035466.6666667,1.9626772,None
TLV:LUZN,AMOS LUZON DEVELOP,Industrials,Israel,805.3192172,305928886.02368,1.0,7663126.2309333,-681511380.1578667,0.25,347918054.9076,1.0,6313683.2028,0.5,-1721351881.2672002,0.375,6313683.2028,-1721351881.2672002,347918054.9076,305928886.02368,1.0,7663126.2309333,347918054.9076,1.0,6313683.2028,0.5,6313683.2028,347918054.9076,0.2896753,0.2896753,18.2,18.2,18.2,0.1546525,18.2,3.0082862,2.9605992,111654148.5066941,115194000.0,105932066.6666667,115194000.0,0.03629,0.003552,0.1,0.0209806,0.6875,0.0212742,0.05006,0.72362,0,0.085,147.6,0.0005759,1.9557521,362363008,40758000,0.1124784,10000000,325238744,17367371115,4.0758,0.5202077,0.39,0.5202077,0.1621028,0.5202077,0.1621028,0.5202077,7.4625428,0.3330257,6.0208378,34.9860237,34.9860237,9064266.75504,0.5,37071008.2592,0.6666667,35.881418,8.7733989,8.7733989,6.6957773,1.0,4.456228,1.0,4.456228,2.111978,ILS,ILS,0.3098132,0.3098132,0,0,0,0,147.6,75,196.4,147.1525,0.3041063,96.8,-24.8472505,1.1960461,2.9274371,0.6433105,0.5,2.7726701,2.0,0.2125503,1.0,0.2081365,1.0,10.7872235,1.0,9.715969,1.0,1.690379,1.0,7.6517768,4.0,2.7826701,0.2181365,9.725969,7.6617768,5.2222234,257218154.5320534,0.5,502055781.1620533,1.0,502055781.1620533,60776179.36928,1.0,124011408.0696,1.5,124011408.0696,0.1125757,0.1509121,540318466.6666666,614093533.3333334,614093533.3333334,400332417.3173067,1.0,362372740.8752267,1.0,362372740.8752267,5.1817676,None
TLV:VRDS,VERIDIS ENVIRONMEN,Industrials,Israel,1004.7552368,3412422285.714286,0.0,177062428.5714286,340447333.3333333,2.0,2689386000.0,0.0,49581000.0,0.0,534934500.0,1.5,49581000.0,534934500.0,2689386000.0,3412422285.714286,4.0,177062428.5714286,2689386000.0,3.0,49581000.0,0.5,49581000.0,2689386000.0,1.5558819,1.5558819,16.003323,16.003323,16.003323,1.3531095,16.003323,7.5467397,7.6717235,186573806.2728355,180394000.0,159595000.0,180394000.0,0.24479,0.2416919,0.0,0.0900934,1.0,0.1931918,0.26005,0.66349,0,2.407,3784,0.0006361,7.4868805,106000000,228848000,2.1589434,824,1454661347,126500443670,277728.1553398,-0.449,0.121,7.1755368,0.0694095,7.1755368,0.0694095,1.4571342,12.3211814,0.1081024,3.5378927,10.9827379,10.9827379,529590000.0,2.0,306119000.0,1.0,2.7467689,4.7519473,4.7519473,0.8864767,0.5,3.0325212,2.0,3.0325212,1.7424136,USD,ILS,1.0,0.3098132,0,0,0,0,3784,3574,4108,3855.7646,-1.8612288,5.8757694,-7.8870497,0.7865169,0.7875169,4.7254946,3.0,13.4261865,8.0,0.0035901,0.0833333,0.0008975,1.0,0.2069198,0.3333333,0.2153558,0.5,12.0729552,12.0,9.5184514,8.0,13.4361865,0.0108975,0.2253558,9.5284514,11.482319,2976057333.3333335,2.0,2504126500.0,1.5,2504126500.0,1088028666.6666667,2.0,957944357.1428572,1.5,957944357.1428572,0.1197997,0.1517577,1377666.6666667,76354333.3333333,76354333.3333333,1888028666.6666667,2.0,664248666.6666666,0.6666667,664248666.6666666,10.7666313,None
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,Israel,1693.3921075,808247266.6666666,0.0,65639333.3333333,85902000.0,1.0,1576446000.0,0.0,48511000.0,0.0,417792000.0,1.0,48511000.0,417792000.0,1576446000.0,808247266.6666666,1.0,65639333.3333333,1576446000.0,1.0,48511000.0,1.0,48511000.0,1576446000.0,0.2314305,0.2314305,6.833334,6.833334,6.833334,0.2313885,6.833334,3.7062953,3.5752592,105908224.6510073,113397000.0,56819866.6666667,113397000.0,0.03077,0.0826257,0.0,0.0306379,1.0,0.0490112,0.10841,0.78414,0,0.84,551.5,0.0015231,3.4515936,100000000,48511000,0.48511,1349,364771543,364771543,35960.7116383,-0.801,0.498,1.3862461,1.1701854,1.3862461,1.1701854,-0.2541885,0.2245812,0.6660463,8.4111663,-26.8829427,3719.8308708,53189200.0,1.0,98539000.0,1.0,6.8580002,3.7017987,3.7017987,5.2730964,1.0,3.2188142,1.0,3.2188142,1.7951054,USD,ILS,1.0,0.3098132,0,0,0,0,551.5,502.8,728,593.741,-7.1143815,9.6857597,-24.2445055,0.4325044,0.4335044,2.8827767,2.0,1.382399,1.0,0.7732477,0.5,0.8934523,0.5,13.0143034,2.0,1.4471502,1.0,0.6459209,1.0,1.0251145,1.0,1.392399,0.9034523,1.4571502,1.0351145,1.2137568,1211963600.0,2.0,859610466.6666666,1.0,859610466.6666666,115543333.3333333,1.0,233769266.6666667,1.0,233769266.6666667,0.1564337,0.3075166,-75352266.6666667,9691466.6666667,9691466.6666667,489815133.3333333,1.0,625841200.0,1.0,625841200.0,1.8122244,None
TLV:DEDR.L,DELEK DRILLING,Energy,Israel,1698.4720828,580662400.0,1.0,345773866.6666667,1555296800.0,2.0,810924000.0,1.0,482493000.0,1.0,3935751000.0,1.0,482493000.0,3935751000.0,810924000.0,580662400.0,1.0,345773866.6666667,810924000.0,1.0,482493000.0,1.0,482493000.0,810924000.0,3.290526,3.290526,19.584569,19.584569,19.584569,0.0260861,19.584569,3.8633706,3.9728032,741663217.722534,699647000.0,497818933.3333333,699647000.0,0.52439,0.6353629,1.1875,1.7433087,2.75,0.9686872,0.00019,0.55197,0,0.337,676,0.0004985,6.903766,1173810048,507353984,0.4322284,16,3027644093,2400168167,31709624.0,2.464,0.943,0.2119784,0.6213446,0.2119784,0.6213446,1.9009946,14.0376561,0.8625861,9.5375516,10.3022749,10.3022749,299402400.0,1.0,442919000.0,1.0,10.1122907,6.8356609,6.8356609,3.8443321,1.0,1.5406358,0.5,1.5406358,1.2422235,USD,ILS,1.0,0.3098132,0,0,0,0,676,2.52,663,3.363,20001.1002081,26725.3968254,1.9607843,2.0393653,71.9399556,2.5263087,2.0,2.6555487,2.0,0.2656462,1.0,1.0625846,0.125,5.6698747,2.0,22.5853687,4.0,0.9027501,1.0,1.2080225,1.0,2.6655487,1.0725846,22.5953687,1.2180225,1.9417856,8705072133.333334,2.0,4735453666.666667,1.0,4735453666.666667,904284933.3333334,1.0,1168032866.6666667,1.0,1168032866.6666667,0.2018895,0.5130817,-163043200.0,189472066.6666667,189472066.6666667,3448251133.3333335,1.0,3567420800.0,1.0,3567420800.0,1.1516789,None
TLV:SEMG,SEACH MEDICAL,Industrials,Israel,1772.3482981,122440533.3333333,0.0,1633800.0,1612216.6666667,0.25,40134000.0,0.0,13493000.0,0.0,39048000.0,1.5,13493000.0,39048000.0,40134000.0,122440533.3333333,4.0,1633800.0,40134000.0,1.0,13493000.0,1.0,13493000.0,40134000.0,0.784447,0.784447,10.852941,10.852941,10.852941,0.9574382,10.852941,8.370533,7.2732341,5097524.0950477,6434000.0,6451800.0,6434000.0,0.3362,0.1207598,0.0,0.3200997,1.0,0.2600198,0.04439,0.64291,0,0.034,36.6,0.000929,1.476,336121984,13493000,0.0401432,73,31481978,3842582762,184835.6164384,0.848,0.435,0.5300739,0.3888743,0.5300739,0.3888743,0.7685185,9.0165186,0.4234686,6.7574463,14.1218999,14.1218999,-4469333.3333333,0.5,-17748000.0,0.5,14196.4819196,177383.2439216,177383.2439216,0.3089266,1.0,0.1823148,1.0,0.1823148,0.4279833,USD,ILS,1.0,0.3098132,0,0,0,0,36.6,32.7,383,67.2815,-45.6016884,11.9266055,-90.4438642,0.0222666,0.0232666,5.0961647,1.0,13.1417001,2.0,1.6873501,1.0,0.7412929,1.0,0.0,1.0,0.0,1.0,9.9519185,2.0,13.1996317,2.0,13.1517001,0.7512929,0.01,13.2096317,13.1806659,74344600.0,1.0,94901600.0,1.0,94901600.0,59314400.0,1.0,120497300.0,1.5,120497300.0,0.2421788,0.2119776,40284133.3333333,55471133.3333333,55471133.3333333,15030200.0,1.0,14570066.6666667,1.0,14570066.6666667,12.6537108,None
