"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:CDEV,COHEN DEV&IND BLDG,Energy,Israel,2968.7556121,11127800.0,1.0,6299600.0,5756300.0,0.5,15336000.0,1.0,15305000.0,1.0,39209000.0,1.0,15305000.0,39209000.0,15336000.0,11127800.0,1.0,6299600.0,15336000.0,1.0,15305000.0,1.0,15305000.0,15336000.0,9.4778054,9.4778054,36.3253,36.3253,36.3253,9.3955828,36.3253,10.3341291,10.3337927,14066084.242715,14067000.0,10349400.0,14067000.0,0.9979799,2.2140923,4.75,2.6439675,2.75,1.9530132,0.4627,0.24634,0,1.992,7233,0.0002754,26.710962,6427430,15305000,2.3812006,10000000,145351266,14409066170,1.5305,1.758,0.616,-0.2415517,0.3384045,-0.2415517,0.3384045,1.2581121,11.4665595,0.5466011,7.6432478,28.872865,28.872865,8039400.0,1.0,10578000.0,1.0,18.079865,13.7409025,13.7409025,0.0875734,0.5,0.2004825,1.0,0.2004825,0.4487527,USD,ILS,1.0,0.3098132,91.177,83.579,106.373,75.981,7233,6000,7913,6777.38,6.7226568,20.55,-8.5934538,1.2890748,4.5884776,3.5840484,0.5,5.9997545,1.0,0.7747924,0.5,0.525,1.0,2.0462828,1.0,0.5115707,1.0,3.7034161,1.0,2.3082397,1.0,6.0097545,0.535,0.5215707,2.3182397,4.1639971,10329366.6666667,0.5,19349800.0,1.0,19349800.0,8865600.0,0.5,16127266.6666667,1.0,16127266.6666667,0.8909642,1.0490139,3738666.6666667,4232333.3333333,4232333.3333333,2927533.3333333,1.0,3222533.3333333,1.0,3222533.3333333,51.8565256,None
TLV:CISY,CI SYSTEMS(ISRAEL),Technology,Israel,48802.5573503,24122666.6666667,1.0,957533.3333333,14443866.6666667,2.0,25851000.0,1.0,1274000.0,1.0,30991000.0,1.0,1274000.0,30991000.0,25851000.0,24122666.6666667,1.0,957533.3333333,25851000.0,1.0,1274000.0,1.0,1274000.0,25851000.0,0.8250326,0.8250326,92.27712,92.27712,92.27712,0.976644,30.75904,10.0187393,9.6604818,2293009.7408621,2457000.0,1870266.6666667,2457000.0,0.04928,0.1831482,4.75,0.1648658,2.75,0.1334313,0.01,0.8051799,0,0.083,765.9,0.0001084,5.315059,10640000,1274000,0.1197368,138,21330091,2524722393,9231.884058,1.76,0.214,0.0112397,0.0251522,0.0112397,0.0251522,1.3228099,11.7513474,0.1667881,4.3339694,69.7584128,69.7584128,1882666.6666667,1.0,3629000.0,1.0,11.3297226,5.8776773,5.8776773,1.3167102,2.0,0.6840978,1.0,0.6840978,0.8281021,USD,ILS,1.0,0.3098132,15.0,0,0,0,765.9,6.65,765.9,645.15857,18.7150006,11417.2932331,0.0,2.0,64.0,5.0599518,2.0,4.9302711,2.0,0.4477798,1.0,0.375,1.0,0.3085851,1.0,0.3068956,1.0,16.024799,6.0,5.3363009,2.0,4.9402711,0.385,0.3168956,5.3463009,5.143286,49790000.0,2.0,39422500.0,1.5,39422500.0,29991200.0,2.0,15608266.6666667,1.0,15608266.6666667,0.1323166,0.1816234,11836066.6666667,12454333.3333333,12454333.3333333,9899400.0,1.0,10673400.0,1.0,10673400.0,12.010554,None
TLV:CLBV,CLAL INDUSTRI.&.B,Consumer Defensive,Israel,438541.1233332,0.0,0.0,33500600.0,115190800.0,1.0,0.0,0.0,39955000.0,0.0,479456000.0,1.0,39955000.0,479456000.0,0.0,0.0,1.0,33500600.0,0.0,1.0,39955000.0,1.0,39955000.0,0.0,19.9005411,19.9005411,11.653132,11.653132,11.653132,0.7130646,11.653132,0,100000,0.0,0,0,0,7.04922,0.0,0.0,0,1.0,2.35074,0.67373,0.13923,0,3.448,4022,0.0008573,1.7576552,32467500,39955000,1.2306152,10000000,112796323,404164990,3.9955,0.271,0.0,0.0302881,0.0,0.0302881,0.0,0.210822,4.8415358,0.0,0.25,55.2747402,55.2747402,13496066.6666667,1.0,22184500.0,0.5,8.3577183,5.0844655,5.0844655,0.1091237,1.0,0.0259979,1.0,0.0259979,0.1622386,USD,ILS,1.0,0.3098132,434.0,174.0,120.0,160.0,4022,3451,4450,3941.94,2.0309797,16.5459287,-9.6179775,1.1431431,2.231535,1844.6848468,2.0,1308.3070074,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,14.0864824,0.3333333,39.6037246,1.0,1308.3170074,0.01,0.01,39.6137246,673.965366,520651200.0,2.0,247777000.0,1.0,247777000.0,237037866.6666667,1.0,241825333.3333333,1.0,241825333.3333333,0.2612539,0.2652226,9873857.1428571,7352333.3333333,7352333.3333333,24951142.8571429,1.0,5951666.6666667,1.0,5951666.6666667,6.5946471,None
TLV:CMCT,CIM COMMERICAL TRU,Real Estate,United States,1.3203521311845618e+16,30020616.6666667,0.0,109636200.0,0,1.0,230145000.0,0.0,-25706000.0,0.0,0,1.0,-25706000.0,0,230145000.0,30020616.6666667,0.25,109636200.0,230145000.0,3.0,-25706000.0,0.5,-25706000.0,230145000.0,5.3411796,5.3411796,64685.9284427,64685.9284427,64685.9284427,0.0051802,64685.9284427,20.8169685,20.768561,19775030.6584117,19867000.0,37842466.6666667,19867000.0,-0.16754,0.3381726,0.0,-0.0057922,16.0,0.0559468,0.24876,0.41414,0,-2.269,2191,-0.0010356,6.4402345,14827400,-30955000,-2.087689,4,409741668,39739709,-7738750.0,87.1036459,0.373,87.1036459,-0.3589323,87.1036459,-0.3589323,87.1036459,93.579334,0.1900169,4.6090932,742.631698,742.631698,12891466.6666667,0.5,25426000.0,1.0,31.783945,16.115066,16.115066,14.4540451,1.0,18.4621015,1.0,18.4621015,4.2977548,USD,ILS,1.0,0.3098132,7.5,7.5,7.5,7.5,2191,94.5,9450,3836.7,-42.8936325,2218.5185185,-76.8148148,0.4481856,0.4491856,1.9063138,1.0,2.1479578,1.0,12.9937647,0.5,54.3751068,1.0,2.1370809,1.0,1.9758358,1.0,5.1198222,1.0,7.4982989,1.0,2.1579578,54.3851068,1.9858358,7.5082989,4.8331283,811766266.6666666,1.0,696098066.6666666,1.0,696098066.6666666,48252466.6666667,0.5,48953800.0,1.0,48953800.0,6.31e-05,1e-06,132389800.0,141217800.0,141217800.0,424273133.3333333,1.0,327530933.3333333,1.0,327530933.3333333,0.1851531,None
TLV:CPTP,CAPITAL POINT LTD,Financial Services,Israel,2.2593075,11589905.2698667,1.0,1432059.8814667,4515238.2310133,1.0,16999450.284,1.0,10099290.6936,1.0,36337370.6016,1.0,10099290.6936,36337370.6016,16999450.284,11589905.2698667,1.0,1432059.8814667,16999450.284,1.0,10099290.6936,1.0,10099290.6936,16999450.284,0.2181085,0.2181085,7.033058,7.033058,7.033058,0.0059125,7.033058,0.2847183,0.2838624,42261891.1860718,42516000.0,29734000.0,42516000.0,0.5941,0.0143892,0.1,1.5694447,2.75,0.726978,0.10928,0.73756,0,0.121,85.8,0.0014103,0.6617418,123048000,32598000,0.264921,37,11960385,32441732,881027.027027,11.648,0.14,0.6489507,0.7140446,0.6489507,0.7140446,8.8982377,30.079914,0.2835111,5.5745765,0.7903877,0.7903877,-3201403.0666667,0.5,-7570595.3552,0.5,26766.7210152,157984.7438206,157984.7438206,0.1575948,1.0,0.1610201,1.0,0.1610201,0.4022731,ILS,ILS,0.3098132,0.3098132,10.0,10.0,0,0,85.8,41.4,121.4,80.969,5.966481,107.2463768,-29.324547,1.11,1.8704146,7.3752733,1.0,7.2153195,1.0,1.7016308,1.0,0.4650659,1.0,7.6001255,1.0,4.3265831,1.0,3.2983629,1.0,3.1365396,1.0,7.2253195,0.4750659,4.3365831,3.1465396,5.1859296,54916888.8598133,1.0,62494837.11496,1.0,62494837.11496,47456587.0038133,1.0,53818394.52368,1.0,53818394.52368,0.261602,0.287655,47728133.3333333,50268600.0,50268600.0,7460301.856,1.0,8676442.59128,1.0,8676442.59128,2.5546668,None
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,Israel,12.9547949,3889963133.3333335,0.0,136319200.0,980383866.6666666,2.0,4491324000.0,0.0,425812000.0,0.0,2199609000.0,1.0,425812000.0,2199609000.0,4491324000.0,3889963133.3333335,1.0,136319200.0,4491324000.0,1.0,425812000.0,2.0,425812000.0,4491324000.0,0.2856478,0.2856478,12.378345,12.378345,12.378345,0.1283097,12.378345,1.4105795,1.3878376,939348967.9332309,969638000.0,706866600.0,969638000.0,0.0474,0.0346687,0.0,0.2212149,4.0,0.1020945,0.15476,0.67248,0,1.644,2037,0.0008071,1.1097176,91404896,212906000,2.3292625,906,1282301309,57628031443,234995.584989,6.066,0.947,-0.0567513,-0.0530469,-0.0567513,-0.0530469,4.5353122,21.5462724,0.6969883,8.5985823,2.7293259,2.7293259,-94581866.6666667,0.5,365727500.0,0.5,7375.9471327,3.506166,3.506166,4.7612201,2.0,4.7789231,2.0,4.7789231,2.1870748,USD,ILS,1.0,0.3098132,109.403,68.924,47.043,43.7787,2037,1228,2237,1720.01,18.429544,65.8794788,-8.9405454,1.6035679,17.0029433,2.8526142,2.0,2.845387,2.0,0.1161917,2.0,0.0387622,1.0,2.9261383,1.0,29.5816255,8.0,1.1176072,1.0,1.9986835,2.0,2.855387,0.0487622,29.5916255,2.0086835,2.4320352,10441066933.333334,2.0,3784460177.7777777,0.6666667,3784460177.7777777,3070499466.6666665,2.0,2516968300.0,1.5,2516968300.0,0.2125159,0.2691765,177794400.0,5062000.0,5062000.0,3685283733.3333335,1.0,2665807600.0,0.6666667,2665807600.0,3.9738748,None
TLV:DEDR.L,DELEK DRILLING,Energy,Israel,1324.3981072,580662400.0,1.0,345773866.6666667,1555296800.0,2.0,810924000.0,1.0,482493000.0,1.0,3935751000.0,1.0,482493000.0,3935751000.0,810924000.0,580662400.0,1.0,345773866.6666667,810924000.0,1.0,482493000.0,1.0,482493000.0,810924000.0,3.290526,3.290526,19.320474,19.320474,19.320474,0.0257343,19.320474,3.8633706,3.9728032,741663217.722534,699647000.0,497818933.3333333,699647000.0,0.52439,0.6353629,1.1875,1.7433087,2.75,0.9686872,0.00019,0.55197,0,0.337,645.9,0.0005218,6.8106696,1173810048,507353984,0.4322284,16,3027644093,2367802136,31709624.0,2.464,0.943,0.2119784,0.6213446,0.2119784,0.6213446,1.9009946,14.0376561,0.8625861,9.5375516,10.1633502,10.1633502,299402400.0,1.0,442919000.0,1.0,10.1122907,6.8356609,6.8356609,3.8443321,1.0,1.5406358,0.5,1.5406358,1.2422235,USD,ILS,1.0,0.3098132,0,0,0,0,645.9,2.52,656,3.363,19106.0660125,25530.952381,-1.5396341,1.9690886,58.2896584,2.5263087,2.0,2.6555487,2.0,0.2656462,1.0,1.0625846,0.125,5.6698747,2.0,22.5853687,4.0,0.9027501,1.0,1.2080225,1.0,2.6655487,1.0725846,22.5953687,1.2180225,1.9417856,8705072133.333334,2.0,4735453666.666667,1.0,4735453666.666667,904284933.3333334,1.0,1168032866.6666667,1.0,1168032866.6666667,0.2018895,0.5130817,-163043200.0,189472066.6666667,189472066.6666667,3448251133.3333335,1.0,3567420800.0,1.0,3567420800.0,1.1489571,None
TLV:DIFI,DIRECT FINANCE OF,Financial Services,Israel,1014960303925.5128,285545655.96928,4.0,25387580.71136,155198030.9501333,2.0,108322777.4348,1.0,54884647.6328,1.0,600810205.1112001,1.5,54884647.6328,600810205.1112001,108322777.4348,285545655.96928,4.0,25387580.71136,108322777.4348,1.0,54884647.6328,1.0,54884647.6328,108322777.4348,3.9934921,3.9934921,14.64024,14.64024,14.64024,1.9426532,14.64024,0,100000,0.0,15995000.0,11091266.6666667,15995000.0,0.50668,12.3748264,36.9075,1.4605682,2.75,4.7816915,0.15652,0.66656,0,59.234,86750,0.0006828,3.078944,2528110,177154000,70.0736914,444,1396258238,67922731999,398995.4954955,1.231,1.774,-0.0023394,0.1085075,-0.0023394,0.1085075,0.9226651,9.8555461,1.3576269,11.9017247,15.8673382,15.8673382,-329306481.3102933,0.25,-862645113.3328,0.5,23584.926649,161857.7809829,161857.7809829,4.4939782,1.0,7.6202238,2.0,7.6202238,2.7614753,ILS,ILS,0.3098132,0.3098132,580.261,805.806,906.467,527.835,86750,51700,88680,68021.75,27.5327377,67.794971,-2.1763645,1.8956193,46.3987913,1.2228267,1.0,1.2635109,1.0,0.0080334,0.0833333,0.0074566,0.125,8.0590143,3.0,0.976059,1.0,3.7987607,2.0,12.1537652,4.0,1.2735109,0.0174566,0.986059,12.1637652,6.7186381,1906041237.2674668,2.0,1075842881.0248802,1.0,1075842881.0248802,347823024.8720533,2.0,336046880.56056,1.5,336046880.56056,0.1510155,0.2633244,1374975266.6666667,2194829933.3333335,2194829933.3333335,1558218212.3954134,2.0,851811627.3178401,1.0,851811627.3178401,7.1536099,None
TLV:DIPL,DIPLOMAT HOLDINGS,Consumer Defensive,Israel,8.2525737,2722552200.0,0.0,63208600.0,729788285.7142857,2.0,2746221000.0,0.0,57563000.0,0.0,1024655000.0,1.0,57563000.0,1024655000.0,2746221000.0,2722552200.0,1.0,63208600.0,2746221000.0,1.0,57563000.0,1.0,57563000.0,2746221000.0,0.1657501,0.1657501,15.805714,15.805714,15.805714,0.0016621,15.805714,3.492834,3.3049633,142649490.7752351,157995000.0,157159333.3333333,157995000.0,0.02477,0.0233973,0.0,0.0195597,1.0,0.0235757,0.01,0.7720301,0,3.5,5583,0.0006269,2.0447992,26000000,66414000,2.5543846,2425,444651677,445610521,27387.2164948,0.098,-0.025,0.075548,-0.0115191,0.075548,-0.0115191,0.092387,3.2895231,-0.0216298,0.247837,171.0815731,171.0815731,345231866.6666667,2.0,125275000.0,0.5,1.2879798,3.5494047,3.5494047,2.1206531,1.0,0.7638957,0.5,0.7638957,0.8750113,USD,ILS,1.0,0.3098132,80.7692,384.615,0,0,5583,5002,7500,5978.0254,-6.6079579,11.6153539,-25.56,0.4651721,0.4661721,4.6382213,3.0,3.4335309,2.0,0.2857672,0.5,0.3196469,2.0,0.2617698,1.0,4.1103982,2.0,4.2712137,3.0,13.2152646,8.0,3.4435309,0.3296469,4.1203982,13.2252646,8.3343977,1128655000.0,1.0,1816755857.142857,1.5,1816755857.142857,698268857.1428572,2.0,704756500.0,1.5,704756500.0,0.1316845,0.1816779,254474857.1428571,350135000.0,350135000.0,732616285.7142857,1.0,1056669857.1428572,1.5,1056669857.1428572,1.7448841,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,0.9463048,495437466.6666667,0.0,69362333.3333333,40491200.0,1.0,537167000.0,0.0,76178000.0,0.0,208616000.0,1.0,76178000.0,208616000.0,537167000.0,495437466.6666667,1.0,69362333.3333333,537167000.0,1.0,76178000.0,1.0,76178000.0,537167000.0,0.3878861,0.3878861,7.0708685,7.0708685,7.0708685,0.0030027,7.0708685,1.9223909,1.8993252,111064784.6897663,113730000.0,103019600.0,113730000.0,0.14181,0.1388383,0.0,0.1413935,1.0,0.1416806,0.04992,0.69952,0,62.609,44280,0.0014139,7.7016754,1176000,76178000,64.7772109,199,208386346,161293461,382804.0201005,0.271,0.141,0.0502436,0.0667107,0.0502436,0.0667107,0.2158109,4.8955451,0.1224277,3.7489666,32.764187,32.764187,34750266.6666667,0.5,30611000.0,0.5,5.9966834,6.8075642,6.8075642,4.1109098,1.0,1.7370025,0.5,1.7370025,1.3189539,USD,ILS,1.0,0.3098132,0,0,0,0,44280,44000,44600,44280,0.0,0.6363636,-0.7174888,0.9333333,0.9343333,1.2449222,1.0,0.6492813,0.5,1.4256588,1.0,0.8981938,1.0,2.3017417,1.0,10.5718992,4.0,1.1413942,1.0,0.6010724,0.5,0.6592813,0.9081938,10.5818992,0.6110724,0.6351769,254928933.3333333,1.0,296593800.0,1.0,296593800.0,49821866.6666667,1.0,67779666.6666667,1.0,67779666.6666667,0.3568429,1.2239064,26207000.0,41033400.0,41033400.0,205107066.6666667,1.0,343221200.0,1.5,343221200.0,2.116499,None
