Symbol,Name,Sector,Value,Close,Grade
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,30.81488,443.8,109.3812
TLV:HRON,HIRON TRADE INVS,Real Estate,129.34659,191700.0,78.2973
TLV:CPTP,CAPITAL POINT,Financial Services,24.58707,84.9,75.6134
TLV:PLRM,PALRAM INDUSTRIES,Industrials,1.28128,4756.0,72.5861
TLV:CRSO,CARASSO,Consumer Cyclical,481.87288,2022.0,71.9848
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,0.07037,4206.0,61.0874
TLV:SPNTC,SPUNTECH,Consumer Cyclical,145.71119,707.8,51.1088
TLV:MLTM,MALAM TEAM LTD,Technology,1036.01921,10450.0,51.1016
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,0.18292,6012.0,44.4519
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,0.02074,3973.0,44.313
TLV:SNEL,SYNEL PAYWAY M.L.L,Real Estate,10206.32317,4702.0,41.799
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,0.21784,5598.0,40.3785
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,254.73418,23220.0,40.0551
TLV:MTDS,MEITAV DASH INV,Financial Services,431202.69692,1631.0,37.8657
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,20989.95344,80400.0,36.8627
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,2.52725,36170.0,36.8065
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,256.22476,18800.0,35.4989
TLV:VILR,VILLAR INTL LTD,Real Estate,63964.00115,17720.0,30.6151
TLV:ALMA,ALMOGIM,Real Estate,1104.12005,875.0,29.0705
TLV:DUNI,DUNIEC BROS,Real Estate,0.0065,23250.0,27.7559
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,30049.35447,2257.0,27.6222
TLV:IBI,IBI INV HOUSE,Financial Services,11.7023,8400.0,25.5785
TLV:ASPF,ALTSHU FUND PEN,Financial Services,0.94985,1697.0,25.1545
TLV:AFPR,AFI PROPERTIES,Real Estate,1529918.27574,18630.0,24.9988
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,42.17166,2010.0,24.1028
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,33.28596,1051.0,22.5121
TLV:SMT,SUMMIT R/EST HLDGS,Real Estate,1370.3501,6011.0,22.1799
TLV:KEN,KENON HLDGS LTD,Utilities,423684.62764,13980.0,22.0693
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,80.6201,1442.0,21.1895
TLV:ARAD,ARAD INVESTMENT,Industrials,739890.64171,44180.0,21.1775
TLV:GOLF,GOLF & CO,Consumer Cyclical,514.74001,991.1,21.0965
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,593.55145,2618.0,20.9498
TLV:DRAL,DOR ALON ENERGY IN,Energy,552933.64941,9938.0,20.1948
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,183.06215,4680.0,20.0637
TLV:HAMAT,HAMAT GROUP LTD,Industrials,523.21527,2388.0,19.7867
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,1.14637,31450.0,18.376
TLV:SPRG,SPRING,Financial Services,2029.18708,2725.0,17.7773
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,503.1097,8005.0,17.2118
TLV:FORTY,FORMULA SYST(1985),Technology,515.83616,36320.0,16.4618
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,7.79036,10230.0,16.389
TLV:AFHL,AFCON HOLD,Technology,405.79118,21240.0,15.9914
TLV:ARPT,AIRPORT CITY,Real Estate,531838.73981,6900.0,15.6376
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,1302364.70303,670.0,15.5553
TLV:ILX,ILEX MEDICAL,Healthcare,2.02753,15460.0,15.0504
TLV:BLSR,BLUE SQUARE REAL,Real Estate,1057552.89482,28610.0,14.2364
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,48.98788,6529.0,12.6532
TLV:TREN,TRENDLINE INFO & C,Communication Services,48.43212,1199.0,12.65
TLV:HMAM,HAMAMA,Consumer Defensive,292.37125,539.3,12.1384
TLV:NXTM,NEXTCOM,Communication Services,8.36899,1237.0,12.1023
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,58.75208,43670.0,11.9341
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,1601.00272,551.5,11.707
TLV:MGIC,MAGIC SOFTWARE ENT,Technology,657.87598,6481.0,11.2978
TLV:GOLD,GOLD BOND GROUP,Industrials,21408.82718,14490.0,11.1982
TLV:SHAN,SHANIV PAPER IND,Basic Materials,450.04747,575.0,10.9999
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,4682448860.31524,12650.0,10.9635
TLV:SRFT,SARFATI,Real Estate,9238.78602,2666.0,10.8434
TLV:KRDI,KARDAN ISRAEL LTD,Real Estate,220.35652,293.7,10.7464
TLV:HLAN,HILAN LTD,Technology,35.23911,19100.0,10.2136
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,2077977.03606,254.8,10.0653
TLV:ELSPC,ELSPEC ENGINEERING,Industrials,973.66952,368.9,9.5703
TLV:YHNF,YOCHANANOF,Consumer Defensive,9708.77856,24650.0,9.4738
TLV:DRSL,DORSEL (B.A.Z.),Real Estate,66639.07909,1509.0,9.158
TLV:PPIL,PLASTOPIL HAZOREA,Consumer Cyclical,29475.39086,594.6,9.0472
TLV:AZRM,AZORIM INV DEV,Real Estate,4600.38073,1805.0,8.9732
TLV:LHIS,LACHISH INDUSTRIES,Industrials,10438.70526,836.9,8.9195
TLV:EMCO,E & M COMPUTING,Technology,128459.15462,2349.0,8.7656
TLV:ASGR,ASPEN GROUP,Real Estate,97620734.23357,1005.0,8.1916
TLV:MISH,MIVTACH SHAMIR HDS,Financial Services,839058.18421,10560.0,8.1075
TLV:MMAN,MAMAN CARGO TERMIN,Industrials,58912.63475,887.3,8.045
TLV:SAE,SHUFERSAL LTD,Consumer Defensive,596587.99942,2551.0,7.6984
TLV:TSEM,TOWER SEMICONDUCTO,Technology,510986.50698,11440.0,7.3921
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,36.38407,9225.0,7.3408
TLV:VRDS,VERIDIS ENVIRONMEN,Industrials,955.89535,3784.0,7.2811
TLV:ASHG,ASHTROM GROUP,Real Estate,29370098.23765,7850.0,6.9978
TLV:TAYA,TAYA INVESTMENT CO,Communication Services,2515.34709,6353.0,6.8772
TLV:MTRX,MATRIX IT LTD,Technology,9699.70069,9038.0,6.7588
TLV:HNMR,HANAN MOR,Real Estate,12799116.55493,5231.0,6.5028
TLV:ESLT,ELBIT SYSTEMS LTD,Technology,52167.96238,55000.0,6.0374
TLV:BRAN,BARAN GROUP LTD,Industrials,5.98727,886.3,5.8461
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,293542.05762,369.8,5.7992
TLV:GVYM,GAV-YAM LANDS CORP,Real Estate,20924.46596,3915.0,5.7912
TLV:SEMG,SEACH MEDICAL,Industrials,1674.76437,36.6,5.7181
TLV:MTRN,MAYTRONICS LTD,Technology,62281.11289,8049.0,5.5435
TLV:LUZN,AMOS LUZON DEVELOP,Industrials,771.24842,147.6,5.5107
TLV:MGDL,MIGDAL INS & FINAN,Financial Services,12691029218.12023,512.4,5.4145
TLV:ZNKL,ZANLAKOL,Consumer Defensive,2852.41061,1983.0,5.2788
TLV:AVIV,MORDECHAI AVIV,Real Estate,11652188.89879,2766.0,5.2313
TLV:PEN,PENINSULA GROUP,Financial Services,2622394803.62198,281.3,5.2238
TLV:RMLI,RAMI LEVI CHAIN,Consumer Defensive,107.33087,23650.0,4.8968
TLV:CMDR,COMPUTER DIRECT,Technology,3141.69572,28810.0,4.8826
TLV:ORTC,O.R.T. TECHNOLOGIE,Technology,24763421329.25615,2953.0,4.8217
TLV:IDIN,I.D.I. INSURANCE,Financial Services,1035210.12814,11700.0,4.7832
TLV:ZUR,ZUR SHAMIR HOLD,Financial Services,20565678394.53783,1174.0,4.6669
TLV:AVER,AVERBUCH,Consumer Cyclical,6554.04621,2939.0,4.6659
TLV:MVNE,MIVNE REAL ESTATE,Real Estate,3276237.93786,1290.0,4.6465
TLV:FRDN,FRIDENSON LOGISTIC,Industrials,3.1133,8252.0,4.6055
TLV:PIU,POALIM I.B.I,Financial Services,55.74781,1409.0,4.55
TLV:SPGE,SUPERGAS ENERGY,Utilities,46353.74746,6949.0,4.4923
TLV:GNRS,GENERATION CAPITAL,Energy,1177413241601.1511,108.3,4.4654
TLV:AMOT,AMOT,Real Estate,29992914.33552,2460.0,4.4285
TLV:SRAC,S.R ACCORD,Financial Services,4654486376.27332,5198.0,4.3239
TLV:ONE,ONE SOFTWARE TECHN,Technology,91.81232,5511.0,4.3098
TLV:MMHD,MENORA MIVTACHIM,Financial Services,29625431417.95185,7633.0,4.1848
TLV:POLI,BANK HAPOALIM B.M.,Financial Services,5877220190742.103,3085.0,4.099
TLV:MRHL,MERCHAVIA HOLD,Healthcare,5024.32541,71.5,4.0489
TLV:EQTL,EQUITAL,Industrials,20434231.68332,11940.0,4.0474
TLV:SCOP,SCOPE METALS GROUP,Industrials,329.51211,13200.0,3.9318
TLV:FIBIH,F.I.B.I. HLDGS,Financial Services,409682693888988.4,13770.0,3.823
TLV:TDRN,TADIRAN GROUP LTD,Consumer Cyclical,43381.25107,44610.0,3.6674
TLV:DIPL,DIPLOMAT HOLDI.,Consumer Defensive,9354.34139,5406.0,3.6094
TLV:AMRK,AMIR MARK.,Basic Materials,1380.89235,4121.0,3.5809
TLV:KARE,KARDAN REAL ESTATE,Real Estate,1062.31644,509.0,3.575
TLV:VTNA,VITANIA LTD,Real Estate,800228.98236,3087.0,3.4606
TLV:JBNK,BANK OF JERUSALEM,Financial Services,7981459030345788.0,1326.0,3.3565
TLV:GILT,GILAT SATELLITE NE,Technology,893201.97368,2275.0,3.0891
TLV:RPAC,RAPAC COMM & INFRA,Energy,26908.61614,3173.0,3.0317
TLV:ALHE,ALONY HETZ,Real Estate,1327809357.94873,5400.0,3.0165
TLV:DIMRI,DIMRI,Real Estate,1383037.10348,27700.0,2.8614
TLV:KMDA,KAMADA LTD,Healthcare,626352.49519,2067.0,2.6638
TLV:AMAN,AMANET,Industrials,13.66677,1760.0,2.5738
TLV:OVRS,OVERSEAS,Industrials,25635.20096,365.9,2.5673
TLV:NTML,NETO MALINDA,Consumer Defensive,759.80383,11300.0,2.5474
TLV:NTGR,NETANEL GROUP,Real Estate,86946777.69782,1567.0,2.501
TLV:AUDC,AUDIOCODES,Technology,22276.77111,10780.0,2.4983
TLV:DIFI,DIRECT FINANCE OF,Financial Services,13850647681953.412,85780.0,2.4384
TLV:RVL,RAVAL ICS LTD,Consumer Cyclical,35.35394,659.9,2.3578
TLV:NAWI,NAWI BROTHERS GROU,Financial Services,55781161726.31794,2949.0,2.3224
TLV:CTPL1,CITRUS PLANT1,Real Estate,72039842415.39114,28760.0,2.3199
TLV:ROTS,ROTSHTEIN REALEST,Real Estate,205182700.28643,4366.0,2.3131
TLV:ARAN,ARAN,Industrials,4258.6715,2445.0,2.2867
TLV:LUMI,BK LEUMI LE ISRAEL,Financial Services,4212682072835525.5,3082.0,2.2432
TLV:SLARL,SELLA CAPITAL REAL,Real Estate,664006670463.27,1111.0,2.2038
TLV:STG,STG INTERNATIONAL,Technology,250928503.58627,1971.0,2.1695
TLV:EXPO,EXPORT INVESTMENT,Financial Services,2.394681072635761e+18,4007.0,2.121
TLV:BIRM,BIRMAN WOOD,Industrials,5620.63014,2319.0,2.1113
TLV:DLTI,DELTA BRANDS,Consumer Cyclical,4798.44994,7965.0,2.0904
TLV:HOD,HOD-ASSAF INDS,Basic Materials,29.90358,4189.0,2.0443
TLV:INCR,INTERCURE LTD,Healthcare,162355439.40451,2207.0,2.0137
TLV:MGOR,MEGA OR HOLDINGS L,Real Estate,13902867.30501,13480.0,2.0027
TLV:CLIS,CLAL INSURANCE,Financial Services,488629552.82294,7687.0,2.0003
TLV:MZTF,MIZRAHI TEFAHOT BK,Financial Services,947103771921.6799,11460.0,1.9768
TLV:VISN,VISION SIGMA,Industrials,321397853.71172,4800.0,1.8751
TLV:ATRY,ATREYU CAP,Financial Services,19698.73309,6740.0,1.8537
TLV:MNRT,MENIVIM REIT,Real Estate,3517761386.03939,228.7,1.7359
TLV:BCNV,BRACK CAPITAL PROP,Real Estate,22830909.52923,46750.0,1.7271
TLV:ANLT,ANALYST,Financial Services,8319.50363,3285.0,1.7158
TLV:PHOE,PHOENIX HLDGS LTD,Financial Services,2971386992.5906,3950.0,1.6824
TLV:RADA,RADA ELECTRONIC,Technology,50081.2066,2648.0,1.6808
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,2762.19369,1793.0,1.6562
TLV:TMRP,TAMAR PETROLEUM,Energy,18563223.45646,653.5,1.6304
TLV:SPNS,SAPIENS,Technology,97520.47032,10700.0,1.6272
TLV:OPAL,OPAL BALANCE INV,Financial Services,16311632.35615,278.9,1.6189
TLV:UNIT,UNITRONICS (1989),Technology,508.66986,2164.0,1.6095
TLV:AFRE,AFRICA RESIDENC,Real Estate,6403378.62803,20720.0,1.6038
TLV:SNFL,SUNFLOWER SUSTAINA,Technology,700755.14263,836.5,1.5733
TLV:ELMR,ELMORE ELEC INSTL,Industrials,346546.50211,1061.0,1.571
TLV:TOPS,TOP RAMDOR SYSTEMS,Technology,2513.21684,1187.0,1.5427
TLV:POLY,POLYGON REAL ESTAT,Real Estate,9680.0315,3193.0,1.4899
