Symbol,Name,Sector,Value,Close,Grade
TLV:ASPF,ALTSHU FUND PEN,Financial Services,0.16252/0.00036,1697.0,0.5742
TLV:HLAN,HILAN LTD,Technology,0.00195/0.1249,19100.0,0.531
TLV:MTDS,MEITAV DASH INV,Financial Services,0.21418/0.01744,1631.0,0.5081
TLV:SAE,SHUFERSAL LTD,Consumer Defensive,0.43884/0.0111,2551.0,0.5062
TLV:MTRX,MATRIX IT LTD,Technology,0.01007/0.17813,9038.0,0.4709
TLV:CRSO,CARASSO,Consumer Cyclical,0.13249/0.18203,2022.0,0.4254
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,0.0027/0.53793,18800.0,0.4074
TLV:ONE,ONE SOFTWARE TECHN,Technology,2.12028/0.01157,5511.0,0.4035
TLV:MLTM,MALAM TEAM LTD,Technology,0.51393/0.12352,10450.0,0.3985
TLV:FORTY,FORMULA SYST(1985),Technology,0.00073/0.67978,36320.0,0.3818
TLV:ECP,ELECTRA CONSUMER P,Consumer Cyclical,1.06479/0.11957,16100.0,0.3714
TLV:SCOP,SCOPE METALS GROUP,Industrials,0.00624/-0.0144,13200.0,0.2177
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,0.03639/0.011,2010.0,0.2086
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,0.01682/0.0172,9225.0,0.1917
TLV:PIU,POALIM I.B.I,Financial Services,0.01596/0.00806,1409.0,0.1852
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,0.00127/0.03586,443.8,0.1782
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,0.79315/0.73713,4680.0,0.1776
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,0.03597/0.01074,3973.0,0.1774
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,0.49751/0.00983,6529.0,0.1726
TLV:ELTR,ELECTRA LTD,Industrials,0.00736/0.15207,207380.0,0.1669
TLV:NXTM,NEXTCOM,Communication Services,0.07741/0.03439,1237.0,0.1593
TLV:PLRM,PALRAM INDUSTRIES,Industrials,0.28819/0.13325,4756.0,0.1592
TLV:SRAC,S.R ACCORD,Financial Services,0.30512/-0.04569,5198.0,0.1584
TLV:RADA,RADA ELECTRONIC,Technology,0.34569/-0.20462,2648.0,0.1584
