"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:DUNI,DUNIEC,Real Estate,Israel,0.0061421,71149804.6376933,1.0,14030031.6629467,186099113.3231333,2.0,409475940.5049,3.0,67213447.7978,2.0,602826317.8596001,1.5,67213447.7978,602826317.8596001,409475940.5049,71149804.6376933,1.0,14030031.6629467,409475940.5049,3.0,67213447.7978,2.0,67213447.7978,409475940.5049,0.4453325,0.4453325,10.707721,10.707721,10.707721,0.006158,10.707721,1.3439391,1.3443551,147949603.6363636,147858000.0,63957933.3333333,147858000.0,0.24622,0.9237679,4.75,21.5967464,89.285625,7.5899114,0.03857,0.42147,0,21.76,22900,0.0009502,2.7224716,3866740,110027000,28.454719,42,198958363,275184086,2619690.4761905,13.407,7.882,-0.1656159,-0.1337305,-0.1656159,-0.1337305,10.013846,31.8946615,5.8780674,24.494726,1.0692916,1.0692916,4084312.3149733,0.5,65936705.6718,0.75,48.7128184,3.0174144,3.0174144,3.3172354,2.0,2.5256033,2.0,2.5256033,1.5902147,ILS,ILS,0.3054407,0.3054407,0,0,0,0,22900,56.14,23940,95.6,23853.9748954,40690.879943,-4.3441938,1.9129119,48.9970364,1.6274212,1.0,1.8284566,1.0,0.6572112,1.0,0.2489389,0.5,8.1993441,1.0,14.3724265,2.0,1.2943549,1.0,2.8318898,2.0,1.8384566,0.2589389,14.3824265,2.8418898,2.3401732,218571919.1673533,1.0,214956519.41502,1.0,214956519.41502,167620765.4816667,2.0,143555937.78127,1.5,143555937.78127,0.4126839,0.5682039,123864066.6666667,143626866.6666667,143626866.6666667,134761536.42652,1.0,119252560.8941733,1.0,119252560.8941733,3.2076093,None
TLV:PLRM,PALRAM,Industrials,Israel,1.0660445,486683204.3795667,1.0,39191605.2848333,168555821.2779333,1.0,554115245.905,1.0,70166448.4854,1.0,1184443444.3926,1.5,70166448.4854,1184443444.3926,554115245.905,486683204.3795667,1.0,39191605.2848333,554115245.905,1.0,70166448.4854,1.0,70166448.4854,554115245.905,0.2168629,0.2168629,4.3637393,4.3637393,4.3637393,0.2003656,4.3637393,1.0708751,1.0544308,378921585.5675984,390559000.0,258678466.6666667,390559000.0,0.12663,0.4777509,4.75,0.2865104,2.75,0.2979638,0.12092,0.64848,0,10.601,4634,0.0022877,1.5123578,25725500,229722000,8.929739,1594,393315471,36349326965,144116.6875784,-0.582,-0.028,14.5787807,0.1288583,14.5787807,0.1288583,3.2081952,18.1614354,0.0112146,1.3089889,1.3601851,1.3601851,34706585.31553,0.5,110454076.8154,1.0,11.3325891,3.5608959,3.5608959,0.8144844,1.0,1.5115003,2.0,1.5115003,1.2304309,ILS,ILS,0.3054407,0.3054407,233.232,77.7439,38.8719,38.872,4634,2855,5480,4174.24,11.0142206,62.3117338,-15.4379562,1.3554286,6.2009727,2.4321198,1.0,2.5059298,1.0,0.502902,2.0,0.0700497,1.0,0.4992536,1.0,0.1674211,0.5,7.6303906,3.0,2.8724309,1.0,2.5159298,0.0800497,0.1774211,2.8824309,2.6991803,401506157.7706534,1.0,456878667.4024067,1.0,456878667.4024067,206574676.81376,1.0,362266751.01627,1.5,362266751.01627,0.2535779,0.2936872,550612133.3333334,683407133.3333334,683407133.3333334,165240690.0964133,1.0,182523929.9296333,1.0,182523929.9296333,11.3517908,None
TLV:SARN,SARINE TECH,Technology,Israel,1.1569711,11811466.6666667,0.25,2293333.3333333,34954000.0,1.0,54528000.0,1.0,13771000.0,1.0,157380000.0,1.0,13771000.0,157380000.0,54528000.0,11811466.6666667,0.25,2293333.3333333,54528000.0,1.0,13771000.0,1.0,13771000.0,54528000.0,2.4664337,2.4664337,10.4946294,10.4946294,10.4946294,2.6368042,1.4992328,7.4151839,7.2886356,18779030.2755695,19420000.0,8295466.6666667,19420000.0,0.25255,0.0009141,0.02,0.8048213,2.75,0.3537618,0.25804,0.2846,0,0.039,134.8,0.0002893,2.0063261,351289984,13771000,0.0392012,10000000,134497054,14377966732,1.3771,9.724,0.605,0.331268,-0.1507029,0.331268,-0.1507029,7.375817,27.4084554,0.4160743,6.700382,1.422843,1.422843,1861500.0,0.5,19625000.0,1.0,72.2519764,6.8533531,6.8533531,0.2779239,1.0,0.3169509,1.0,0.3169509,0.5639839,USD,ILS,1.0,0.3054407,2.0343,0,0,0,-0.3326732,126.5,221,164.24309,-17.9265319,6.5612648,-39.0045249,0.1756614,0.1766614,0.8208282,0.1666667,4.155071,1.0,0.3851975,1.0,0.2124861,1.0,13.472947,1.0,17.6069959,1.0,5.2235207,1.0,4.4759908,1.0,4.165071,0.2224861,17.6169959,4.4859908,4.3255309,78643533.3333333,1.0,91141200.0,1.0,91141200.0,61682533.3333333,1.0,69204600.0,1.0,69204600.0,0.2510952,0.2989897,44738866.6666667,52136800.0,52136800.0,33922000.0,2.0,21936600.0,1.0,21936600.0,19.9409585,None
TLV:RLCO,RALCO,Consumer Cyclical,Israel,2.2972407,68846557.7698467,1.0,6232843.2869133,29545238.1855733,2.0,85129988.3784,1.0,10893542.5655,1.0,67372276.9618,1.0,10893542.5655,67372276.9618,85129988.3784,68846557.7698467,1.0,6232843.2869133,85129988.3784,1.0,10893542.5655,1.0,10893542.5655,85129988.3784,0.2412982,0.2412982,6.4557404,6.4557404,6.4557404,0.2505951,6.4557404,1.1716705,1.1647954,58054692.3879041,58736000.0,36654266.6666667,58736000.0,0.12796,7.4517967,75.703125,0.3396331,2.75,2.6407966,0.12477,0.69876,0,8.676,5649,0.0015358,2.9544257,4082590,35665000,8.735876,47,67222703,6984385912,758829.787234,1.472,0.369,0.439933,0.0914062,0.439933,0.0914062,1.2139833,11.2680908,0.2996015,5.723587,5.3178167,5.3178167,12583505.2331733,1.0,15137641.092,1.0,5.3421287,4.4407648,4.4407648,1.6482472,2.0,0.8952896,1.0,0.8952896,0.9471974,ILS,ILS,0.3054407,0.3054407,538.8738,221.0992,293.9367,220.0939,0.8773678,2950,5746,4358.09,29.6210037,91.4915254,-1.6881309,1.9306152,51.7814585,2.3001258,1.0,2.1403436,1.0,16.0195001,0.5,0.047191,1.0,24.1662471,2.0,12.5436486,1.0,2.1663978,1.0,2.0470451,1.0,2.1503436,0.057191,12.5536486,2.0570451,2.1036944,40099558.3096533,1.0,45368023.4931,1.0,45368023.4931,44789050.4648933,2.0,23975689.92278,1.0,23975689.92278,0.340115,0.5543578,62437400.0,68608400.0,68608400.0,17705033.0772067,1.0,21392333.57032,1.0,21392333.57032,14.3487652,None
TLV:CPTP,CAPITAL POINT,Financial Services,Israel,3.31565,11426332.9598667,1.0,1411848.7289667,4451513.1245133,1.0,16759531.209,1.0,9956755.9386,1.0,35824528.8216,1.0,9956755.9386,35824528.8216,16759531.209,11426332.9598667,1.0,1411848.7289667,16759531.209,1.0,9956755.9386,1.0,9956755.9386,16759531.209,0.2727585,0.2727585,7.1900824,7.1900824,7.1900824,0.0059592,7.1900824,0.3561439,0.3550575,42258192.109777,42516000.0,29734000.0,42516000.0,0.5941,0.0143892,0.1,1.5694447,2.75,0.726978,0.10897,0.75088,0,0.121,85,0.0014235,0.6765163,123048000,32598000,0.264921,37,14958178,32697964,881027.027027,11.648,0.14,0.6489507,0.7140446,0.6489507,0.7140446,8.8982377,30.079914,0.2835111,5.5745765,0.8080344,0.8080344,-3156220.5666667,0.5,-7463748.9452,0.5,21100.2997713,200411.0656409,200411.0656409,0.1575948,1.0,0.1610201,1.0,0.1610201,0.4022731,ILS,ILS,0.3054407,0.3054407,10.0,10.0,0,0,85,41.5,121.4,82.0095,3.6465288,104.8192771,-29.9835255,1.0888611,1.6666133,7.3752733,1.0,7.2153195,1.0,1.7016308,1.0,0.4650659,1.0,7.6001255,1.0,4.3265831,1.0,3.2983629,1.0,3.1365396,1.0,7.2253195,0.4750659,4.3365831,3.1465396,5.1859296,54141827.9633133,1.0,61612826.03446,1.0,61612826.03446,46786815.9073133,1.0,53058837.05468,1.0,53058837.05468,0.261602,0.287655,47728133.3333333,50268600.0,50268600.0,7355012.056,1.0,8553988.97978,1.0,8553988.97978,2.5733202,None
TLV:ASPF,ALTSHU FUND PEN,Financial Services,Israel,10.1061223,3055178133.3333335,0.0,105057200.0,87898866.6666667,1.0,3884241000.0,0.0,463048000.0,0.0,989025000.0,1.5,463048000.0,989025000.0,3884241000.0,3055178133.3333335,4.0,105057200.0,3884241000.0,3.0,463048000.0,2.0,463048000.0,3884241000.0,0.8228572,0.8228572,19.340659,19.340659,19.340659,0.7165045,19.340659,2.9481136,2.930618,365746925.8184832,370088000.0,185233000.0,370088000.0,0.17882,0.1441119,0.0,2.942603,16.0,1.0895116,0.02917,0.69962,0,0.819,1605,0.0005103,10.212766,191744000,192798000,1.0054969,951,1065465519,92769211783,202731.8611987,0.977,0.696,0.7439338,0.3160708,0.7439338,0.3160708,0.9187335,9.8350585,0.6010177,8.0025332,21.0514365,21.0514365,191098400.0,2.0,177331000.0,1.0,5.5754811,6.0083433,6.0083433,1.574585,1.0,6.0382028,2.0,6.0382028,2.4582755,USD,ILS,1.0,0.3054407,20.8211,17.2129,0,0,1605,1564,2349,1882.135,-14.7245017,2.6214834,-31.6730524,0.1044586,0.1054586,1.6358858,1.0,1.4034558,1.0,0.0038442,0.1666667,8.4166901,2.0,96.3518231,6.0,0.5971034,0.25,1.7859364,2.0,13.3088809,1.0,1.4134558,8.4266901,0.6071034,13.3188809,7.3661683,1260298533.3333333,2.0,1576574866.6666667,1.0,1576574866.6666667,490330933.3333333,2.0,588887400.0,1.5,588887400.0,0.393705,0.8863099,-44909200.0,587480000.0,587480000.0,769967600.0,2.0,1183983266.6666667,1.0,1183983266.6666667,7.1810016,None
TLV:NISA,NISSAN,Healthcare,Israel,10.4376056,205558679.2319933,1.0,11820901.2561267,109137831.0255333,2.0,206294954.2207,1.0,3716602.4376,0.25,270216056.7132,1.0,3716602.4376,270216056.7132,206294954.2207,205558679.2319933,1.0,11820901.2561267,206294954.2207,1.0,3716602.4376,0.25,3716602.4376,206294954.2207,0.2290805,0.2290805,4.0337393,4.0337393,4.0337393,0.0884019,4.0337393,1.2321478,1.2321498,125600416.4600893,125600000.0,106068200.0,125600000.0,0.07206,0.3147287,4.75,0.0034891,0.1,0.1310926,0.03938,0.5986,0,5.335,2102,0.0025381,0.8031349,9083520,48672000,5.3582752,402,154758787,5970673561,121074.6268657,1.528787,-0.182,1.528787,0.1046195,1.528787,0.1046195,1.528787,12.6144126,-0.1103451,0.2389655,2.6385228,2.6385228,29009250.8452133,1.0,6158804.4612333,0.3333333,5.3348082,25.1280567,25.1280567,4.3946634,2.0,1.6774324,1.0,1.6774324,1.2961573,ILS,ILS,0.3054407,0.3054407,100.0,110.0,120.0,50.0,-0.2993333,2026,3232,2745.575,-23.4404451,3.751234,-34.9628713,0.1260365,0.1270365,10.4647513,6.0,1.9061109,1.0,0.0,1.0,0.0,1.0,0.0075099,1.0,0.0018775,1.0,0.830576,1.0,4.8574588,4.0,1.9161109,0.01,0.0118775,4.8674588,3.3917848,214527517.7705134,1.0,224885846.77876,1.0,224885846.77876,115787152.8882533,2.0,70381560.1890533,1.0,70381560.1890533,0.1165266,0.1528065,-43447666.6666667,41836066.6666667,41836066.6666667,61897975.2906233,0.5,117992475.46768,1.0,117992475.46768,5.9183728,None
TLV:FRDN,FRIDENSON,Industrials,Israel,11.3706901,330588533.3333333,0.0,5542800.0,56457133.3333333,1.0,450950000.0,0.0,11399000.0,0.0,237230000.0,1.0,11399000.0,237230000.0,450950000.0,330588533.3333333,1.0,5542800.0,450950000.0,1.0,11399000.0,1.0,11399000.0,450950000.0,0.1435571,0.1435571,14.502924,14.502924,14.502924,0.0723609,14.502924,1.4740568,1.4173237,49951923.9535847,53797000.0,41789800.0,53797000.0,0.02405,0.016561,0.0,0.0254998,1.0,0.0230369,0.01,0.70701,0,5.643,8170,0.0006907,1.2699398,1371760,11825000,8.6203126,416,67964113,3429025043,28425.4807692,4.701,1.002,0.2843789,0.1527864,0.2843789,0.1527864,3.5968447,19.2153493,0.7896966,9.1364875,4.032124,4.032124,25763800.0,1.0,36820000.0,1.0,2.6379693,1.8458477,1.8458477,1.8357103,0.5,4.6267332,1.0,4.6267332,2.1519842,USD,ILS,1.0,0.3054407,490.253,142.967,109.349,182.247,8170,5555,11400,9289.49,-12.051146,47.0747075,-28.3333333,0.8947819,0.8957819,1.2888047,1.0,1.221702,1.0,0.4861749,1.0,0.3949973,0.5,2.6154262,12.0,0.3957834,2.0,1.0058856,1.0,2.0934399,2.0,1.231702,0.4049973,0.4057834,2.1034399,1.6675709,812440266.6666666,2.0,513359066.6666667,1.0,513359066.6666667,86687933.3333333,1.0,90830666.6666667,1.0,90830666.6666667,0.1222047,0.2254973,-8466.6666667,18555933.3333333,18555933.3333333,636425066.6666666,2.0,420688066.6666667,1.0,420688066.6666667,2.6039321,None
TLV:CRSO,CARASSO,Consumer Cyclical,Israel,22.0228637,3889963133.3333335,0.0,136319200.0,980383866.6666666,2.0,4491324000.0,0.0,425812000.0,0.0,2199609000.0,1.0,425812000.0,2199609000.0,4491324000.0,3889963133.3333335,1.0,136319200.0,4491324000.0,1.0,425812000.0,2.0,425812000.0,4491324000.0,0.2816163,0.2816163,12.214111,12.214111,12.214111,0.1248204,12.214111,1.3906715,1.3682506,939348967.9332309,969638000.0,706866600.0,969638000.0,0.0474,0.0346687,0.0,0.2212149,4.0,0.1020945,0.15476,0.67248,0,1.644,2011,0.0008175,1.094994,91404896,212906000,2.3292625,906,1264203751,56060903462,234995.584989,6.066,0.947,-0.0567513,-0.0530469,-0.0567513,-0.0530469,4.5353122,21.5462724,0.6969883,8.5985823,2.6931136,2.6931136,-94581866.6666667,0.5,365727500.0,0.5,7481.5366263,3.4566822,3.4566822,4.7612201,2.0,4.7789231,2.0,4.7789231,2.1870748,USD,ILS,1.0,0.3054407,109.403,68.924,47.043,43.7787,2011,1321,2237,1747.575,15.073745,52.2331567,-10.1028163,1.5065502,11.6923465,2.8526142,2.0,2.845387,2.0,0.1161917,2.0,0.0387622,1.0,2.9261383,1.0,29.5816255,8.0,1.1176072,1.0,1.9986835,2.0,2.855387,0.0487622,29.5916255,2.0086835,2.4320352,10441066933.333334,2.0,3784460177.7777777,0.6666667,3784460177.7777777,3070499466.6666665,2.0,2516968300.0,1.5,2516968300.0,0.2125159,0.2691765,177794400.0,5062000.0,5062000.0,3685283733.3333335,1.0,2665807600.0,0.6666667,2665807600.0,3.9292447,None
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,Israel,23.9342824,1040747787.8537934,1.0,90712874.2184267,202281361.6091333,2.0,1339374574.1792,1.0,442774780.1782,2.0,839295606.11295,1.5,442774780.1782,839295606.11295,1339374574.1792,1040747787.8537934,1.0,90712874.2184267,1339374574.1792,1.0,442774780.1782,2.0,442774780.1782,1339374574.1792,0.4419727,0.4419727,7.760924,7.760924,7.760924,0.2791007,7.760924,2.590748,2.5603432,766204757.014855,784189000.0,493529600.0,784189000.0,0.16529,0.4378906,4.75,1.6986823,8.9375,0.7682877,0.30877,0.45237,0,5.538,4305,0.0012864,3.7514185,93227200,724812992,7.7746944,318,1938450813,122387190429,2279286.1383648,3.468,1.006,0.4938631,-0.0330568,0.4938631,-0.0330568,2.7244658,16.7559559,0.7462358,8.8884941,2.8486039,2.8486039,123022411.82714,1.0,399328131.40845,1.5,15.7568916,4.8542806,4.8542806,8.4972982,2.0,6.0706445,2.0,6.0706445,2.4648678,ILS,ILS,0.3054407,0.3054407,250.0,200.0,240.0,125.0,4305,2904,4745,4195.15,2.6184999,48.2438017,-9.2729189,1.5219989,12.4304272,2.652706,2.0,1.4881019,1.0,0.135466,1.0,0.0656773,1.0,2.3214636,1.0,1.8174228,1.0,0.2675135,0.3333333,0.9024154,1.0,1.4981019,0.0756773,1.8274228,0.9124154,1.2052587,3162170022.07212,2.0,1670526641.061087,1.0,1670526641.061087,565301787.5526534,2.0,577206013.0317401,1.5,577206013.0317401,0.365051,0.8671001,-481773200.0,-252343133.3333333,-252343133.3333333,1192789672.60824,1.0,1127955159.8837466,1.0,1127955159.8837466,8.2425492,None
