Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:ENRG,ENERGIX,Technology,Israel,0.7980094,-0.6294253666971255,286104919.0254933,4.0,19320081.3225267,54632508.2665067,2.0,77826290.36,1.0,22385138.0216,1.0,147583448.3074,1.0,22385138.0216,147583448.3074,77826290.36,286104919.0254933,4.0,19320081.3225267,77826290.36,1.0,22385138.0216,1.0,22385138.0216,77826290.36,9.9427057,9.9427057,9.154094000847618e-05,95.7971,95.7971,95.7971,7.718888400000001,7.718888400000001e-13,13.6853,0.0002122921720444967,14.239339999999999,14.0635825,0.000140635825,182416823.2694824,186920000.0,174350066.6666667,186920000.0,0.28763,3944.9480033,14000.0,3.2138932999999996,10.0,1316.1508422,0.6420025823346293,0.21829,0.5556399999999999,0.6196982032722527,0.0,0.138,1307.0,0.0001056,3.997581,0.0003997581,487075008,73288000,0.1504655,66,2533372902,196677284668,1110424.2424241998,0.4,0.071,0.5371832,0.2182625,0.5371832,0.2182625,0.43429579999999995,6.8401122,0.04657959505556039,0.1078156,3.5335289,0.07847604458989484,220.58030840000004,220.58030840000004,0.017284110048939122,44812121.4191,1.0,48939236.1575,1.0,56.5332062,51.7656813,51.7656813,5.1765681299999996e-12,1.4322183000000002,1.0,1.3974645,1.0,1.3974645,1.183144,0.00014274820342476954,ILS,ILS,0.3054407,0.3054407,5.0,5.0,4.0,4.0,1307.0,1094.0,1560.0,1298.16,0.6809638000000001,19.469835500000002,-16.2179487,0.9141630999999999,0.9151630999999999,0.012273382524678939,1.7054297999999999,1.0,1.7177999,1.0,1.5244193000000001,1.0,0.6369174,2.0,0.8748969999999999,1.0,0.3851772,1.0,2.6459613999999996,1.0,0.8120649999999999,0.25,1.7277999,0.6469174,0.3951772,0.8220649999999999,1.2749325,0.0017555202175977287,1860093544.8276,2.0,1164972231.0117135,1.0,1164972231.0117135,763325916.6851866,2.0,485337778.8214934,1.0,485337778.8214934,0.11921520000000001,0.13380470281521975,0.1461228,0.03239100774403348,464285666.6666667,584905066.6666666,584905066.6666666,1092284532.4495199,2.0,678211526.1452,1.0,678211526.1452,13.242348499999999,0.2483351634895676,None
TLV:NVMI,NOVA,Technology,Israel,0.30262990000000006,-0.5037137536921319,251937600.0,1.0,45276600.0,417202666.6666667,2.0,1112685000.0,3.0,169064000.0,2.0,241620000.0,1.0,169064000.0,241620000.0,1112685000.0,251937600.0,1.0,45276600.0,1112685000.0,3.0,169064000.0,2.0,169064000.0,1112685000.0,9.6485663,9.6485663,8.883284444757378e-05,45.7787893,36.8416402,44.66164570000001,10.078161300000001,1.00781613e-12,6.380235099999999,9.897291016883345e-05,33.118324199999996,33.191669,0.00033191669,107577488.1580404,107101000.0,59304666.6666667,107101000.0,0.22791,1.7598363000000001,10.0,6148.222096,25000.0,2050.0709474,1.0,0.84772,0.00512,0.00571027068021369,3.56,2.865,41890.0,6.840000000000001e-05,8.3126022,0.0008312602200000001,28499900,84532000,2.9660455000000003,713,3578566620,373793963780,118558.20476860002,1.183,0.622,0.130357,0.1019461,0.130357,0.1019461,0.9198392,9.840825,0.06701376090185115,0.4919865,7.264175,0.16132985956582932,48.5537511,48.5537511,0.0038045480278293,52056733.33333329,1.0,118078000.0,1.0,68.7435878,30.306802500000003,30.306802500000003,3.0306802500000003e-12,1.0450232,2.0,0.7353606,1.0,0.7353606,0.8585316999999999,0.00010358321367324113,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,0.8173536,22030.0,43790.0,33263.65,25.933263500000002,90.1497957,-4.3388902,1.8253675999999999,36.991512799999995,0.49609844055224395,7.3024852,2.0,2.3603504,1.0,1.007103,1.0,0.053074199999999995,0.25,0.39567179999999996,0.5,1.2061741000000001,2.0,46.289437799999995,6.0,0.8277737,0.25,2.3703504,0.0630742,1.2161741000000001,0.8377737,1.604062,0.002208715576142461,1039760666.6666666,2.0,1110960800.0,1.5,1110960800.0,669156800.0,2.0,640420800.0,1.5,640420800.0,0.2521782,0.2830396552409177,0.3639889,0.08068533643375454,377047466.6666667,329782066.6666667,329782066.6666667,185301933.3333333,1.0,470540000.0,1.5,470540000.0,21.8773388,0.41026805083816226,None
TLV:RMN,RAM ON,Basic Materials,Israel,2.0207938999999997,-0.1868472538727019,3705850.92496,4.0,18396632.27286,39260838.510166705,1.0,1123410.8946,1.0,23232430.5234,1.0,152557244.6662,1.0,23232430.5234,152557244.6662,1123410.8946,3705850.92496,4.0,18396632.27286,1123410.8946,1.0,23232430.5234,1.0,23232430.5234,1123410.8946,23.432494199999997,23.432494199999997,0.0002157393179012797,4.0776068,4.0776068,4.0776068,25.9818061,2.59818061e-12,4.0776068,6.325356435850216e-05,-5745.6624178,17.404434100000003,0.00017404434100000004,-14999.999176,-15000.0,413066.66666670004,-15000.0,20.6218,3659.9039543000004,140.0,4.937449900000001,0.5,1228.4887347000001,0.5992420585531586,0.21949000000000002,0.19257,0.21477086423608402,0.0,4.613,1875.0,0.0024603000000000003,1.9371782,0.00019371782,16632800,75847000,4.5600860999999995,308,86184926,9556108326,246256.4935065,-0.919,0.325,5.881393900000001,0.0063880000000000004,5.881393900000001,0.0063880000000000004,0.7810984999999999,9.0879776,0.06188704280055576,0.24534699999999998,5.2032515,0.11555886715018442,5.2203492,5.2203492,0.0004090532410675118,5998509.1818733,1.0,-1273076.8376,0.5,14.3677244,6769813.4357006,6769813.4357006,6.7698134357006e-07,0.3526728,1.0,0.1846181,1.0,0.1846181,0.430672,5.196126106826586e-05,ILS,ILS,0.3054407,0.3054407,39.7278,31.3007,361.1625,30.0968,0.2651821,1283.0,1952.0,1507.99,24.3376945,46.141855,-3.9446720999999996,1.7698057,30.729359499999997,0.41211581179559875,9.2270556,2.0,3.977618,0.5,0.0,1.0,0.0,1.0,3.0506921,0.1666667,5.005603,0.5,1.7002319,1.0,1.7088442,1.0,3.987618,0.01,5.015603,1.7188442,2.8532311000000004,0.00392876084147875,146975254.78556,2.0,40681429.63072439,0.6666667,40681429.63072439,55159902.54184,1.0,50884628.701226704,1.0,50884628.701226704,0.671082,0.7532087147833774,0.5565707,0.12337490011005904,21519533.333333302,18085600.0,18085600.0,17582958.6107733,1.0,9410770.505993301,1.0,9410770.505993301,24.800729999999998,0.4650907155336249,None
TLV:SRAC,S.R ACCORD,Financial Services,Israel,0.2826458,-0.1484202053234129,100239610.3768533,4.0,15222960.8608667,-80089809.5741333,0.5,33119851.4231,1.0,19630673.789,1.0,-338533367.2008,0.375,19630673.789,-338533367.2008,33119851.4231,100239610.3768533,4.0,15222960.8608667,33119851.4231,1.0,19630673.789,1.0,19630673.789,33119851.4231,4.0186833,4.0186833,3.699939010347708e-05,10.90756,10.90756,10.90756,1.9777175,1.9777175e-13,10.90756,0.00016920269223953224,0.0,100000.0,1.0,0.0,1598000.0,702866.6666667,1598000.0,0.59308,855.6622666000001,1400.0,63.8825399,100.0,306.71362880000004,0.14961122647437602,0.1,0.63807,0.7116313306492088,0.0,4.749,5035.0,0.0009432,2.6115454,0.00026115454,13545800,64270000,4.7446440999999995,37,435482434,21431931117,1737027.027027,0.027999999999999997,0.195,0.3394522,0.2531472,0.3394522,0.2531472,0.1058631,3.5036604,0.02385912363311858,0.2095368,4.827518799999999,0.10721423011634505,103.03461709999999,103.03461709999999,0.008073529653323778,-51727278.5043867,0.5,-117419957.4196,0.5,11878.154977799999,370875.9944645,370875.9944645,3.708759944645e-08,6.088482099999999,2.0,5.6774654,2.0,5.6774654,2.3837433,0.0002876024165281922,ILS,ILS,0.3054407,0.3054407,73.8238,73.8238,59.059,59.059,-0.17431939999999999,4950.0,7297.0,6067.735,-17.020107199999998,1.7171717,-30.999040700000002,0.0724329,0.0734329,0.000984819068422335,2.7238776000000002,2.0,0.6769965,0.5,0.0312818,0.1666667,0.0478214,1.0,6.5215385,1.0,70.6613546,1.0,3.1102636,2.0,1.607792,1.0,0.6869965,0.05782140000000001,70.6713546,1.617792,1.1523943,0.0015867910593654036,436462501.9465733,2.0,463971509.52424,1.5,463971509.52424,114192100.8274267,2.0,120699810.20027,1.5,120699810.20027,0.14231010000000002,0.15972594633993153,0.2626405,0.05821945972426497,239075866.6666667,365366600.0,365366600.0,161135200.55957332,1.0,343271699.32397014,1.5,343271699.32397014,6.1200849999999996,0.11477060198536918,None
TLV:SPNS,SAPIENS,Technology,Israel,0.3014978,-0.04581531359001599,1390540800.0,0.0,26874000.0,14040466.6666667,0.5,1330413000.0,0.0,83654000.0,0.0,44643000.0,1.0,83654000.0,44643000.0,1330413000.0,1390540800.0,4.0,26874000.0,1330413000.0,3.0,83654000.0,2.0,83654000.0,1330413000.0,4.0345662,4.0345662,3.7145621485550534e-05,43.721539299999996,43.721539299999996,43.721539299999996,4.0582412,4.0582412000000005e-13,6.245934200000001,9.688957770491009e-05,23.5775785,23.577609600000002,0.00023577609600000004,75884200.0207275,75884000.0,54619933.33333329,75884000.0,0.09431,0.08384019999999999,0.0,1017.4003984999999,10000.0,339.1938496,0.16545468830246202,0.2475,0.47271,0.5272074322741823,0.0,0.7509999999999999,10780.0,6.97e-05,4.6038805,0.00046038804999999996,54811000,41826000,0.763095,3438,1789170399,179971234962,12165.794066299999,0.42100000000000004,0.207,5.8738913,0.1467714,5.8738913,0.1467714,1.7842228,13.6074804,0.09266382015758089,0.1919429,4.631128299999999,0.1028525989902966,6.0594,6.0594,0.0004747991205118004,53021066.66666671,1.0,74186000.0,1.0,33.744519200000006,24.1173591,24.1173591,2.41173591e-12,0.9054973,1.0,0.8050258000000001,1.0,0.8050258000000001,0.8982323,0.00010837315414108394,USD,ILS,1.0,0.3054407,37.0,37.0,14.0,22.0,0.0715706,7901.0,11900.0,9832.14,9.6404242,36.4384255,-9.411764699999999,1.4398600000000001,8.9108994,0.11950533951284974,2.1177595,1.0,2.2442851000000004,1.0,1.0854514,1.0,0.2713629,1.0,0.7522339,2.0,1.5862194,4.0,0.8486471999999999,0.5,1.7860622,1.0,2.2542851,0.2813629,1.5962193999999998,1.7960622,2.0251737000000003,0.0027885659629017204,1153909466.6666667,2.0,698957000.0,1.0,698957000.0,606790266.6666666,2.0,387034400.0,1.0,387034400.0,0.21968400000000002,0.24656882958933707,0.316141,0.0700789033553045,87234666.6666667,118633200.0,118633200.0,542859466.6666666,2.0,311499066.6666667,1.0,311499066.6666667,18.6871586,0.3504422637787006,None
TLV:ASPF,ALTSHU FUND PEN,Financial Services,Israel,0.18567579999999997,-0.028234545964739417,3055178133.333333,0.0,105057200.0,87898866.6666667,1.0,3884241000.0,0.0,463048000.0,0.0,989025000.0,1.5,463048000.0,989025000.0,3884241000.0,3055178133.333333,4.0,105057200.0,3884241000.0,3.0,463048000.0,2.0,463048000.0,3884241000.0,0.8228572000000001,0.8228572000000001,7.575917849076303e-06,19.340659,19.340659,19.340659,0.7165045,7.165045e-14,19.340659,0.000300020497021033,2.9481136,2.930618,2.930618e-05,365746925.8184832,370088000.0,185233000.0,370088000.0,0.17882,0.1441119,0.0,183.9126897,1000.0,61.4128738,0.029956462666761267,0.029169999999999998,0.69962,0.7802772604084183,0.0,0.8190000000000001,1605.0,0.0005103,10.212766,0.0010212766,191744000,192798000,1.0054969,951,1065465519,92769211783,202731.86119870003,0.977,0.696,0.7439338000000001,0.3160708,0.7439338000000001,0.3160708,0.9187334999999999,9.8350585,0.06697449235960591,0.6010177,8.0025332,0.17772803619501001,21.051436499999998,21.051436499999998,0.0016495368412235555,191098400.0,2.0,177331000.0,1.0,5.575481099999999,6.0083433,6.0083433,6.0083433e-13,1.5745850000000001,1.0,6.0382028,2.0,6.0382028,2.4582755,0.00029659484487782304,USD,ILS,1.0,0.3054407,20.8211,17.2129,0.0,0.0,1605.0,1564.0,2349.0,1882.135,-14.7245017,2.6214834,-31.673052399999996,0.1044586,0.1054586,0.0014143202870800914,1.6358858,1.0,1.4034558000000001,1.0,0.0038442,0.1666667,8.4166901,2.0,96.35182309999999,6.0,0.5971034000000001,0.25,1.7859363999999998,2.0,13.3088809,1.0,1.4134558000000002,8.4266901,0.6071034000000001,13.318880900000002,7.366168300000001,0.010142856486031608,1260298533.3333333,2.0,1576574866.6666667,1.0,1576574866.6666667,490330933.3333333,2.0,588887400.0,1.5,588887400.0,0.393705,0.44188644167745467,0.8863099,0.19646811335748796,-44909200.0,587480000.0,587480000.0,769967600.0,2.0,1183983266.6666667,1.0,1183983266.6666667,7.1810016,0.13466608331255192,None
TLV:MLRN,MLRN,Financial Services,Israel,0.9507171,-0.015965989876297382,127326666.6666667,0.0,13894800.0,87929466.6666667,2.0,152298000.0,0.0,48114000.0,0.0,354439500.0,1.5,48114000.0,354439500.0,152298000.0,127326666.6666667,4.0,13894800.0,152298000.0,3.0,48114000.0,2.0,48114000.0,152298000.0,4.8613942,4.8613942,4.47580978706585e-05,14.050388,14.050388,14.050388,2.3314443,2.3314443e-13,14.050388,0.00021795557178782576,0.0,100000.0,1.0,0.0,1233000.0,1059466.6666667,1233000.0,0.47388,0.44709899999999997,0.0,501.5853931,1000.0,167.50312399999999,0.08170601325404646,0.056589999999999994,0.7885800000000001,0.8794932134771312,0.0,1.032,1457.0,0.0007082999999999999,2.7550827,0.00027550827,26724100,24057000,0.9001986999999999,26,246796085,11835810587,925269.2307691999,1.3659999999999999,1.3259999999999998,0.5775488,0.2930567,0.5775488,0.2930567,1.1688872,11.0615087,0.0753263368910174,1.0677642,10.5832675,0.2350434921408977,12.0203112,12.0203112,0.0009418809099973833,-200681600.0,0.5,-736600000.0,0.5,81314.74188989999,33504.763182200004,33504.763182200004,3.3504763182200003e-09,4.4690946,1.0,7.523189599999999,2.0,7.523189599999999,2.7438432999999995,0.0003310490536689455,USD,ILS,1.0,0.3054407,7.4838,25.8064,8.6021,6.9893,0.2736014,1063.0,1668.0,1323.035,10.1255825,37.064910600000005,-12.649880099999999,1.3024793,4.8823067,0.06547730970785744,3.8833111000000002,3.0,0.6381226,0.5,0.13880770000000003,0.5,0.442143,1.0,470.9526749,6.0,87.86,1.0,6.0661332,3.0,5.3169675000000005,2.0,0.6481226,0.452143,87.87,5.3269675,2.9875451,0.004113704705178531,354586400.0,1.0,856813100.0,1.5,856813100.0,159783333.3333333,2.0,179121200.0,1.5,179121200.0,0.1561546,0.17526473005312673,0.3686114,0.0817100049543194,164798800.0,352513400.0,352513400.0,274694733.3333333,1.0,677691900.0,1.5,677691900.0,3.42484,0.06422638713409566,None
TLV:OPAL,OPAL BALANCE,Financial Services,Israel,3.3716004999999996,-0.004476348849710962,48377000.0,0.0,22157133.333333302,115168400.0,2.0,165324000.0,0.0,24437000.0,0.0,425596500.0,1.5,24437000.0,425596500.0,165324000.0,48377000.0,1.0,22157133.333333302,165324000.0,3.0,24437000.0,1.0,24437000.0,165324000.0,2.7517153,2.7517153,2.5334613413902618e-05,11.777778,11.777778,11.777778,1.5978943,1.5978943e-13,11.777778,0.00018270188256581062,0.0,100000.0,1.0,0.0,2452000.0,1717733.3333333,2452000.0,0.44343999999999995,0.4440708,0.0,45.18817,100.0,15.3595603,0.007492209144995564,0.15127000000000002,0.55862,0.623021759254096,0.0,0.23399999999999999,275.6,0.0008491,1.6259587,0.00016259587,104606000,24437000,0.2336099,46,151648316,8805676202,531239.1304347999,0.365,0.193,-0.0206697,0.0357435,-0.0206697,0.0357435,0.26858259999999995,5.4324954000000005,0.03699404753524286,0.1536859,4.1702791,0.09261761198667615,43.851607200000004,43.851607200000004,0.0034361000316184666,7588733.3333332995,0.5,307000.0,0.5,19.9833503,493.96845819999993,493.96845819999993,4.939684581999999e-11,3.2540229,2.0,2.5033128,2.0,2.5033128,1.5831861,0.00019101391839207023,USD,ILS,1.0,0.3054407,3.3458,2.8679,2.3899,3.8238,-0.1161001,261.9,393.4,319.714,-13.797956900000003,5.2310042,-29.9440773,0.20836500000000002,0.209365,0.002807823799145099,1.73691,1.0,0.9027583,0.5,2.8630788,1.0,0.1965162,0.25,574.1986314,6.0,1131.438446,4.0,1.7230912,1.0,0.8005173000000001,0.5,0.9127583,0.20651620000000004,1131.448446,0.8105173000000001,0.8616378,0.0011864334607098244,338190866.6666667,1.0,590071700.0,1.5,590071700.0,278873866.6666667,2.0,261827900.0,1.5,261827900.0,0.1414136,0.15871973307120532,0.19333229999999998,0.042855926840108485,126862066.6666667,124921866.6666667,124921866.6666667,198753933.3333333,1.0,328243800.0,1.5,328243800.0,4.1999965999999995,0.07876298092567403,None
TLV:RADA,RADA,Technology,Israel,5.626696900000001,-0.0005081773932876467,231814933.3333333,0.0,2637666.6666667005,-302351466.6666667,0.25,326271000.0,0.0,22892000.0,0.0,-680437333.3333334,0.375,22892000.0,-680437333.3333334,326271000.0,231814933.3333333,4.0,2637666.6666667005,326271000.0,3.0,22892000.0,1.0,22892000.0,326271000.0,3.8806241000000004,3.8806241000000004,3.5728300590607534e-05,18.9694753,18.9694753,18.9694753,4.089891000000001,4.0898910000000004e-13,2.709925,4.203750479183377e-05,20.8475495,31.271324300000003,0.00031271324300000006,10122179.388753802,0.0,4222733.3333333,0.0,0.21049,0.0483771,0.0,22.6699421,100.0,7.6439364,0.0037286204215002477,0.63823,0.057679999999999995,0.06432976813178234,0.0,0.475,2852.0,0.0001665,2.9571712000000003,0.00029571712000000004,49365100,22892000,0.46372840000000004,244,422045272,44480424332,93819.67213110001,1.841,0.5720000000000001,0.1532572,0.5872326,0.1532572,0.5872326,1.4190643,12.1624485,0.08282348438876601,0.5758082,7.8382024,0.17407841805030116,13.367593900000001,13.367593900000001,0.001047450544126301,360066.66666670004,0.5,90016.6666667,1.0,1172.1309178,4688.5236713,4688.5236713,4.688523671300001e-10,0.23111489999999998,0.5,0.3086412,1.0,0.3086412,0.5565549,6.714923296086721e-05,USD,ILS,1.0,0.3054407,0.0,0.0,0.0,0.0,-0.2866433,2600.0,4760.0,3676.155,-22.418940399999997,9.692307699999999,-40.0840336,0.23333330000000002,0.23433330000000002,0.0031426772224211704,3.3354699999999995,1.0,4.2911815,1.0,0.0878698,0.08333330000000001,0.2546004,1.0,0.2386306,1.0,6.2986572999999995,1.0,1.7292185000000002,0.5,4.569195099999999,1.0,4.3011815,0.2646004,6.308657299999999,4.5791951,4.4401883,0.00611392393761308,167725600.0,2.0,275364400.0,1.5,275364400.0,56993066.6666667,1.0,211391300.0,1.5,211391300.0,0.1831335,0.20554529575935823,0.20829210000000004,0.04617206229363931,45516066.66666671,115450466.6666667,115450466.6666667,53745466.66666671,2.0,63973100.0,1.5,63973100.0,20.3845323,0.38227329248878117,None
TLV:PAYT,PAYTON,Technology,Israel,227.1523747,0.0003849127767568632,41932066.66666671,0.0,6178933.3333333,59620933.3333333,2.0,42253000.0,0.0,5268000.0,0.0,127168000.0,1.0,5268000.0,127168000.0,42253000.0,41932066.66666671,1.0,6178933.3333333,42253000.0,1.0,5268000.0,1.0,5268000.0,42253000.0,1.8964813000000003,1.8964813000000003,1.7460607419014418e-05,53.016690000000004,53.016690000000004,53.016690000000004,2.030151,2.030151e-13,7.5738129,0.00011748819471985477,7.303698,7.3028452999999995,7.3028453e-05,10973437.60455,10976000.0,11919333.3333333,10976000.0,0.12468,0.14738489999999999,0.0,0.1100546,1.0,0.1283732,6.261890602508618e-05,0.38345999999999997,0.5100100000000001,0.5688076464093329,0.0,0.779,4078.0,0.00019099999999999998,7.077978,0.0007077978,6800000,5268000,0.7747059000000001,202,80127959,8577996853,26079.2079208,-0.311,-0.11699999999999999,0.1655188,0.09034400000000001,0.1655188,0.09034400000000001,-0.1918703,0.23081300000000002,0.0015717835847135755,-0.065164,0.24348360000000002,0.005407520467855272,-276.31525510000006,361.9054618,0.028357988409917975,10211933.3333333,1.0,8433000.0,1.0,7.8465024,9.5017146,9.5017146,9.501714599999999e-13,0.4763156,2.0,0.2612353,1.0,0.2612353,0.5121117999999999,6.178710233295768e-05,USD,ILS,1.0,0.3054407,70.0,47.0,30.0,30.0,-0.3455304,4049.0,6649.0,5068.25,-19.5383022,0.7162261999999999,-38.667468799999995,0.0223077,0.0233077,0.0003125828804400651,14.766368300000002,2.0,7.5569223,1.0,0.0005642,0.08333330000000001,0.00014110000000000001,1.0,0.0023455999999999998,1.0,0.0005863999999999999,1.0,14.968091699999999,2.0,7.5136349000000004,1.0,7.5669223,0.0101411,0.0105864,7.5236349,7.5452786,0.010389482682187083,129171600.0,2.0,68745933.3333333,1.0,68745933.3333333,74012933.3333333,2.0,38926933.33333329,1.0,38926933.33333329,0.17663,0.19824590034032794,0.23533049999999997,0.05216565825392937,45607866.66666671,46485733.33333329,46485733.33333329,8861066.6666667,1.0,10099600.0,1.0,10099600.0,22.6748038,0.42522299641690214,None
