"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ABIL,ABILITY,Technology,Israel,1e+50,1693200.0,0.0,-7635000.0,-298891733.3333333,0.125,1109000.0,0.0,-28976000.0,0.0,-724000000.0,0.25,-28976000.0,-724000000.0,1109000.0,1693200.0,1.0,-7635000.0,1109000.0,1.0,-28976000.0,0.25,-28976000.0,1109000.0,2.0849382,2.0849382,12242.122958,12242.122958,12242.122958,2.1342738,1748.8747083,-0.3582819,279134.451706,-6454859.7612958,-6456000.0,-6831133.3333333,-6456000.0,0,-4.6380327,0.0,-14.792537,1.0,-6.4758566,0.03946,0.35554,0,-1.009,102.6,-0.0098343,10000.0,7972390,-7244000,-0.9086359,10,2312251,236690973,-724400.0,0.1672451,-0.687,0.1672451,0.5483419,0.1672451,0.5483419,0.1672451,4.3395615,-0.3781645,0.2121835,73198.6813032,73198.6813032,-7925466.6666667,0.5,-196000.0,0.5,342759.7663729,1179719.9785046,1179719.9785046,-0.1693273,1.0,-2.0561431,1.0,-2.0561431,206.6143142,USD,ILS,1.0,0.3054407,0,0,0,0,-0.6982353,96,380,147.9535,-30.6538879,6.875,-73.0,0.0464789,0.0474789,0.7713891,1.0,0.5088612,1.0,1.6886459,2.0,0.8032523,1.0,22.567841,3.0,1.6041667,1.0,0.7135936,1.0,0.4850303,1.0,0.5188612,0.8132523,1.6141667,0.4950303,0.5069458,16669933.3333333,1.0,13427600.0,1.0,13427600.0,-5193533.3333333,1.0,-13113600.0,1.0,-13113600.0,1e-06,1e-06,-6303200.0,-13673200.0,-13673200.0,21863466.6666667,1.0,26541200.0,1.0,26541200.0,1e-05,effective_profit_margin          <= 0   |
TLV:ABRA,ABRA,Technology,Israel,1e+50,18581400.0,0.0,-12050466.6666667,-314319466.6666667,0.125,470649000.0,0.0,1428000.0,0.0,-430794666.6666667,0.375,1428000.0,-430794666.6666667,470649000.0,18581400.0,1.0,-12050466.6666667,470649000.0,3.0,1428000.0,0.25,1428000.0,470649000.0,0.486567,0.486567,48.75294,48.75294,48.75294,0.6073932,6.9647057,14.8987865,11.2266191,10105505.8222969,15087000.0,-4912466.6666667,15087000.0,0.03641,-0.6507963,0.0,0.139837,4.0,-0.1571831,0.55786,0.10384,0,0.085,392.9,0.0002163,1.5445396,75283400,5712000,0.0758733,700,76341555,9528967911,8160.0,-0.71,6.071,-0.5048293,7.2139752,-0.5048293,7.2139752,-0.6587073,0.1841293,6.3567438,25.4625837,-74.0130522,1351.1130411,5831066.6666667,1.0,-6842000.0,0.5,13.092211,1115778.3591776,1115778.3591776,0.2857437,1.0,1.57455,2.0,1.57455,1.2558107,USD,ILS,1.0,0.3054407,28.765402,241.88435,159.01178,105.64151,-0.0032136,281.8292,457,384.06934,2.2992359,39.4106785,-14.0262582,1.2681429,4.1591932,19.1070825,1.0,2.3827591,1.0,0.0257269,0.0833333,0.0095012,1.0,0.114232,1.0,0.092496,1.0,10.604971,1.0,1.7989852,1.0,2.3927591,0.0195012,0.102496,1.8089852,2.1008721,153838800.0,1.0,314627400.0,1.0,314627400.0,119105200.0,1.0,257060500.0,1.5,257060500.0,0.1045387,0.1055551,65249333.3333333,49598666.6666667,49598666.6666667,34964600.0,1.0,138073933.3333333,1.0,138073933.3333333,6.425127,effective_profit_margin          <= 0   |
TLV:ACCL,ACCEL,Technology,Israel,1e+50,54300466.6666667,0.0,-2694666.6666667,-557029066.6666666,0.25,91189000.0,0.0,2921000.0,0.0,-22024000.0,0.375,2921000.0,-22024000.0,91189000.0,54300466.6666667,1.0,-2694666.6666667,91189000.0,1.0,2921000.0,1.0,2921000.0,91189000.0,0.525358,0.525358,45.666665,45.666665,45.666665,0.5541998,6.5238093,6.7368001,7.1144361,6958080.1595938,6178000.0,3633800.0,6178000.0,0.04054,-0.4524074,0.0,0.0366253,1.0,-0.1240807,0.39981,0.13227,0,0.033,147.9,0.0002231,2.4867986,119462000,4023000,0.033676,25,52130439,5498825561,160920.0,1.851,0.461,-0.5409642,27.754089,-0.5409642,27.754089,1.2530089,11.4437882,7.2842723,27.239391,36.4456017,36.4456017,-1260000.0,0.5,-4740000.0,0.5,2417.0139806,1099798.2922187,1099798.2922187,1.3590111,1.0,1.3992811,2.0,1.3992811,1.1839121,USD,ILS,1.0,0.3054407,64.3205,173.616,4.602,47.5795,-0.4691314,138,299,189.2155,-21.8351562,7.173913,-50.5351171,0.1229814,0.1239814,3.9683596,1.0,10.493768,4.0,0.6177155,1.0,0.2225005,1.0,0.0037273,1.0,0.0295409,1.0,4.909371,2.0,2.1611431,1.0,10.503768,0.2325005,0.0395409,2.1711431,6.3374555,48098400.0,1.0,178617200.0,1.5,178617200.0,25943866.6666667,1.0,98504300.0,1.5,98504300.0,0.1163534,0.1296535,14586866.6666667,40598533.3333333,40598533.3333333,19959600.0,1.0,45027466.6666667,1.0,45027466.6666667,8.603032,effective_profit_margin          <= 0   |
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,Israel,1278297867.4115775,169475750.0,0.0,66501428.5714286,1199185333.3333333,2.0,646230000.0,0.0,44150000.0,0.0,1625349000.0,1.0,44150000.0,1625349000.0,646230000.0,169475750.0,0.25,66501428.5714286,646230000.0,1.0,44150000.0,1.0,44150000.0,646230000.0,0.643869,0.643869,18.445454,18.445454,18.445454,0.56422,18.445454,4.550761,4.4451842,93694606.5507752,98042000.0,100188857.1428571,98042000.0,0.10015,0.0943793,0.0,0.0609655,1.0,0.0861649,0.13701,0.73914,0,0.22,406.6,0.0005411,1.4482512,287510016,63254000,0.2200062,561,406597811,35636243484,112752.228164,-0.277,-0.089,-0.1476352,-0.041651,-0.1476352,-0.041651,-0.2446588,0.2255341,-0.0771627,0.2422837,-75.3925594,1326.3908373,91234428.5714286,1.0,19570000.0,0.5,4.4566269,20.7765872,20.7765872,0.4317661,0.5,1.5946811,2.0,1.5946811,1.2638068,USD,ILS,1.0,0.3054407,0,0,0,0,-0.0430689,336,499,401.18082,1.3508073,21.0119048,-18.5170341,0.8662577,0.8672577,6.5021399,3.0,2.2555484,1.0,0.0412356,0.0833333,0.0025433,1.0,0.7444487,0.3333333,8.7932602,4.0,0.4981812,0.3333333,3.2008897,2.0,2.2655484,0.0125433,8.8032602,3.2108897,2.738219,2618470666.6666665,2.0,1440646000.0,1.0,1440646000.0,1413838000.0,2.0,1202371500.0,1.5,1202371500.0,0.130646,0.1367191,151716333.3333333,195240714.2857143,195240714.2857143,1204632666.6666667,2.0,639065000.0,1.0,639065000.0,5.9885865,None
TLV:ADGR,ADGAR INV.,Real Estate,Israel,1107122893.7910547,73339142.4871533,1.0,13745890.3610933,257225399.0269267,1.0,79096312.7906,1.0,2662755.662425,0.25,1543675153.34925,1.5,2662755.662425,1543675153.34925,79096312.7906,73339142.4871533,1.0,13745890.3610933,79096312.7906,1.0,2662755.662425,0.25,2662755.662425,79096312.7906,4.9768508,4.9768508,37.569443,37.569443,37.569443,1.5656896,37.569443,6.2706976,6.2706756,205523562.2503653,205525000.0,184934000.0,205525000.0,0.13466,0.0048846,0.1,0.0194974,0.1,0.054014,0.26956,0.51389,0,0.216,803.8,0.0002687,1.0422553,163576000,34871000,0.2131792,116,1288767086,40544785824,300612.0689655,3.953,0.09,-0.2025248,0.0078743,-0.2025248,0.0078743,2.9141188,17.3207903,0.0694686,2.8856893,12.8922139,12.8922139,49680866.5398133,2.0,26815555.3751,1.0,25.940914,48.0604287,48.0604287,2.8738649,1.0,2.8655396,1.0,2.8655396,1.6937905,ILS,ILS,0.3054407,0.3054407,8.5593,7.7043,7.3374,7.2151,0.3069918,527,817.9,672.0845,19.5980565,52.5237192,-1.7239271,1.9030595,47.5022478,2.7102003,2.0,1.3492009,1.0,0.7054921,1.0,0.4243996,1.0,38.5392873,2.0,18.9204533,1.0,0.9694012,1.0,0.9647607,1.0,1.3592009,0.4343996,18.9304533,0.9747607,1.1669808,2866737799.302587,2.0,1493134909.0372734,1.0,1493134909.0372734,370338316.7731133,1.0,386224430.1191067,1.0,386224430.1191067,0.1017833,0.1068943,-16947200.0,-13772466.6666667,-13772466.6666667,1057982034.9987334,1.0,1106910478.9181666,1.0,1106910478.9181666,4.8908889,None
TLV:ADKA,ADKA,Consumer Cyclical,Israel,1e+50,704054666.6666666,0.0,4285066.6666667,1339666.6666667,0.25,167244000.0,0.0,-67740000.0,0.0,-179904000.0,0.1666667,-67740000.0,-179904000.0,167244000.0,704054666.6666666,4.0,4285066.6666667,167244000.0,1.0,-67740000.0,0.25,-67740000.0,167244000.0,0.2171683,0.2171683,2174.2097432,2174.2097432,2174.2097432,0.1399427,2174.2097432,-7.7771311,9711.8941937,-3771985.8612835,-1328000.0,19746800.0,-1328000.0,-0.1199,0.0219298,0.0,-0.5590621,0.25,-0.2180108,0.12754,0.55175,0,-1.228,350,-0.0035086,1.4249335,27208300,-25252000,-0.9280991,451,48342427,3115614775,-55991.1308204,2.6341604,-0.161,2.6341604,0.4470953,2.6341604,0.4470953,2.6341604,16.4800968,-0.0089762,0.2491024,825.3900256,825.3900256,16190466.6666667,1.0,-51790000.0,0.5,2.9858575,93343.1686067,93343.1686067,5.9390693,2.0,3.2068699,1.0,3.2068699,1.7917736,USD,ILS,1.0,0.3054407,0,0,0,0,-0.7265625,325,1780,722.1485,-51.5335142,7.6923077,-80.3370787,0.0343643,0.0353643,2.9367586,2.0,1.3569624,1.0,0.5282903,0.5,0.4384994,1.0,3.6743319,2.0,6.0726184,2.0,0.6848756,0.5,1.3147747,1.0,1.3669624,0.4484994,6.0826184,1.3247747,1.3458685,317923066.6666667,2.0,185803733.3333333,1.0,185803733.3333333,91056533.3333333,2.0,48079133.3333333,1.0,48079133.3333333,1e-06,1e-06,18893533.3333333,16499800.0,16499800.0,113433266.6666667,1.0,137724600.0,1.0,137724600.0,3.6273093,effective_profit_margin          <= 0   |
TLV:AFHL,AFCON HOLD,Technology,Israel,3364.9632947,2056242023.7095733,4.0,2999896.0164067,102341144.20642,1.0,605604911.9075,1.0,38178254.8558,1.0,697901608.15035,1.5,38178254.8558,697901608.15035,605604911.9075,2056242023.7095733,4.0,2999896.0164067,605604911.9075,1.0,38178254.8558,1.0,38178254.8558,605604911.9075,0.1847916,0.1847916,8.598123,8.598123,8.598123,0.1628696,1.2283033,1.8995357,1.8372773,206424610.7091172,219956000.0,59031933.3333333,219956000.0,0.06304,0.0037684,0.777,0.1173649,2.75,0.0623911,0.2315,0.63076,0,24.296,20890,0.001163,1.9119356,5061010,124994000,24.6974418,1209,366407562,32292565902,103386.2696443,0.2770422,0.221,0.2770422,0.0441587,0.2770422,0.0441587,0.2770422,5.5134794,0.1767897,4.4546363,31.0354322,31.0354322,19281575.4316133,1.0,72120963.5247,1.0,19.0029889,5.0804585,5.0804585,2.6974903,1.0,5.1154859,2.0,5.1154859,2.262744,ILS,ILS,0.3054407,0.3054407,949.1046,215.99013,323.9852,323.9852,0.6448818,12470,21920,19527.15,6.9792571,67.5220529,-4.6989051,1.7820106,32.0229747,1.3749333,1.0,2.7923631,2.0,0.1446732,0.5,0.0218086,0.125,3.3487037,1.0,0.5121614,0.25,1.5770729,1.0,0.8064587,0.5,2.8023631,0.0318086,0.5221614,0.8164587,1.8094109,1069418712.2169734,2.0,891559961.36286,1.5,891559961.36286,288284666.0369733,2.0,249834212.61069,1.5,249834212.61069,0.1428219,0.2528144,451985733.3333333,518939600.0,518939600.0,778334458.1746534,2.0,425704799.04172,1.0,425704799.04172,6.982243,None
TLV:AFID,None,None,Unknown,1e+50,0,0.0,0,0,1.0,0,0.0,0,0.0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0.0,100000.0,100000.0,100000.0,10000000000000.0,100000.0,0.0,100000,0.0,0,0,0,0.0,0.0,0.0,0,1.0,0.001,0.01,1.23e-05,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-111111.1111111,0.9,0,1.0,0,1.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,1.0,10000000000000.0,1.0,0.0,0.0,USD,USD,1.0,1.0,1992.12,2458.83,1844.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01,0.01,0.01,0.01,0.01,0,1.0,0,1.0,0,0,1.0,0,1.0,0,1e-06,1e-06,0.0,0.0,0.0,0,1.0,0,1.0,0.0,1e-05,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,10020295.9464257,280093479.5206534,1.0,53663548.55254,1493870308.4293067,2.0,325598258.9965,1.0,117411099.6393,1.0,4753051157.78265,1.5,117411099.6393,4753051157.78265,325598258.9965,280093479.5206534,1.0,53663548.55254,325598258.9965,1.0,117411099.6393,1.0,117411099.6393,325598258.9965,3.752339,3.752339,21.70351,21.70351,21.70351,1.9967505,21.70351,8.5578375,8.2961819,497829736.3123706,528272000.0,384084733.3333333,528272000.0,0.3606,0.5637888,4.75,0.8780077,2.75,0.6017988,0.03151,0.72614,0,8.911,19220,0.0004636,1.6258932,36032600,384399008,10.6680897,296,3999826055,212852614062,1298645.2972973,2.111,0.185,-0.4547347,0.0704583,-0.4547347,0.0704583,1.4695663,12.3725671,0.1563646,4.2042962,14.7686495,14.7686495,95864416.7019133,1.0,145965834.3602,1.0,41.7237823,27.4024814,27.4024814,1.9195086,1.0,2.0759504,1.0,2.0759504,1.4418159,ILS,ILS,0.3054407,0.3054407,138.464,699.048,263.473,366.995,19220,9881,20310,15531.55,23.7481127,94.5147252,-5.3668144,1.7909675,33.0009332,1.5316894,1.0,1.4845932,1.0,0.1947461,0.5,0.6720041,1.0,29.9410131,2.0,31.9695841,2.0,0.6443368,1.0,0.6819763,1.0,1.4945932,0.6820041,31.9795841,0.6919763,1.0932847,7179640142.237147,2.0,4067361740.7878404,1.0,4067361740.7878404,2443886793.809107,2.0,1320395262.8643067,1.0,1320395262.8643067,0.1288666,0.1889212,-740301533.3333334,-606289133.3333334,-606289133.3333334,4697904684.4502535,2.0,2740878291.3521404,1.0,2740878291.3521404,6.9667946,None
TLV:AFRE,AFRICA RESIDENC,Real Estate,Israel,109499045368.80109,5048115200.0,0.0,103345466.6666667,1675347333.3333333,2.0,4029870000.0,0.0,102568000.0,0.0,4888900500.0,1.5,102568000.0,4888900500.0,4029870000.0,5048115200.0,4.0,103345466.6666667,4029870000.0,3.0,102568000.0,1.0,102568000.0,4029870000.0,0.9410628,0.9410628,24.70414,24.70414,24.70414,0.0057613,24.70414,8.9249773,8.9249446,141640964.4079398,141642000.0,140603400.0,141642000.0,0.07636,0.0783453,0.0,0.4008671,4.0,0.1861908,0.32599,0.40238,0,8.112,20090,0.0004038,2.2687135,12643500,102568000,8.1123107,54,1264133142,773912646,1899407.4074074,0.135,0.049,-0.0037277,0.1047708,-0.0037277,0.1047708,0.1003181,3.417303,0.0629427,2.7588384,246.2580883,246.2580883,-117897200.0,0.5,-442678000.0,0.5,9326.3277415,285564.9349956,285564.9349956,4.9596856,2.0,4.9644969,2.0,4.9644969,2.2291151,USD,ILS,1.0,0.3054407,118.638,118.638,474.551,395.459,20090,12940,22920,17419.05,15.3334998,55.2550232,-12.3472949,1.4328657,8.6543205,1.4038138,1.0,1.4031283,1.0,0.3425064,1.0,0.7890325,2.0,26.8335049,1.0,14.5722035,0.5,1.1846965,1.0,1.1243771,1.0,1.4131283,0.7990325,14.5822035,1.1343771,1.2737527,3752019266.6666665,1.0,3770819000.0,1.0,3770819000.0,2158551333.3333335,2.0,1625030300.0,1.5,1625030300.0,0.1272005,0.1631176,275594800.0,186568266.6666667,186568266.6666667,2672743600.0,1.0,2687465466.6666665,1.0,2687465466.6666665,1.7999784,None
TLV:AICS,AI SYSTEMS,Technology,Israel,1e+50,196800.0,0.0,-9587600.0,-1874164266.6666667,0.125,369000.0,0.0,-21200000.0,0.0,-3840024000.0,0.25,-21200000.0,-3840024000.0,369000.0,196800.0,1.0,-9587600.0,369000.0,1.0,-21200000.0,0.25,-21200000.0,369000.0,18.1767761,18.1767761,3722.0112184,3722.0112184,3722.0112184,15.4358948,531.7158883,-1.2742986,77871.7017696,-5183251.9175455,-5103000.0,-4668866.6666667,-5103000.0,0,-14.3631436,0.0,-13.1780423,1.0,-9.1793953,0.01,0.72035,0,-0.597,202.4,-0.0029496,7.924529,8879980,-5300000,-0.5968482,6,6707275,569584527,-883333.3333333,1.1366249,0.0,1.1366249,0.0,1.1366249,0.0,1.1366249,10.9112614,0.0,0.25,3274.6168748,3274.6168748,-10961600.0,0.5,-8400000.0,0.5,163428.5021568,79848.5186935,79848.5186935,0.2892291,1.0,0.3279671,1.0,0.3279671,0.5736841,USD,ILS,1.0,0.3054407,0,0,0,0,202.4,2.24,380,244.55244,-17.2365649,8935.7142857,-46.7368421,1.0597205,1.416276,1.3792222,0.1666667,4.468442,1.0,0.5446538,1.0,0.3730351,1.0,0.0,1.0,0.0,1.0,0.9933637,0.1666667,2.27,1.0,4.478442,0.3830351,0.01,2.28,3.379221,4424233.3333333,0.5,3667000.0,1.0,3667000.0,3796466.6666667,0.5,2824000.0,1.0,2824000.0,1e-06,1e-06,4387800.0,919800.0,919800.0,1255533.3333333,1.0,843000.0,1.0,843000.0,1e-05,effective_profit_margin          <= 0   |
TLV:AILN,AXILION,Technology,Israel,1e+50,0.0,0.0,-572200.0,-1613726857.142857,0.125,0.0,0.0,-3016000.0,0.0,-3236032000.0,0.25,-3016000.0,-3236032000.0,0.0,0.0,1.0,-572200.0,0.0,1.0,-3016000.0,0.25,-3016000.0,0.0,0,0.0,66.7372961,66.7372961,66.7372961,28536554.4540921,9.5338994,0,100000,0.0,0,-778714.2857143,0,0,0.0,0.0,0,1.0,0.001,0.04964,0.53107,0,-0.08,521.6,-0.0001534,10000.0,28646100,-754000,-0.0263212,10000000,15980470,4519212161,-0.0754,0.1683034,0.0,0.1683034,0.0,0.1683034,0.0,0.1683034,4.3524795,0.0,0.25,396.5297493,396.5297493,-265866.6666667,0.5,-56000.0,0.5,1663.6973659,28536554.4540921,28536554.4540921,-4.0551701,0.25,-1.011821,1.0,-1.011821,102.1821043,USD,ILS,1.0,0.3054407,0,0,0,0,521.6,455,4696,953.208,-45.2795193,14.6373626,-88.8926746,0.0314077,0.0324077,0.0135786,1.0,0.0116795,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0052195,0.3333333,0.0116789,1.0,0.0216795,0.01,0.01,0.0216789,0.0216792,124000.0,2.0,59400.0,1.0,59400.0,-8572000.0,0.5,-5055000.0,1.0,-5055000.0,1e-06,1e-06,-4511666.6666667,-5055200.0,-5055200.0,8908285.7142857,2.0,5114400.0,1.0,5114400.0,1e-05,evr_effective                    is None|
TLV:AIRO,AIROBOTICS,Technology,Israel,1e+50,0,0.0,0,0,1.0,0,0.0,0,0.0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0.0,100000.0,100000.0,100000.0,10000000000000.0,14285.7142857,0,100000,0.0,0,0,0,0,0.0,0.0,0,1.0,0.001,0.2505,0.35264,0,0,543.4,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-111111.1111111,0.9,0,1.0,0,1.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,1.0,10000000000000.0,1.0,0.0,0.0,USD,ILS,1.0,0.3054407,0,0,0,0,543.4,480,770,636.42255,-14.6164761,13.2083333,-29.4285714,0.4372414,0.4382414,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01,0.01,0.01,0.01,0.01,0,1.0,0,1.0,0,0,1.0,0,1.0,0,1e-06,1e-06,0.0,0.0,0.0,0,1.0,0,1.0,0.0,1e-05,debt_to_equity_effective_used    <= 0   |evr_effective                    is None|
TLV:ALBA,ALBAAD,Consumer Defensive,Israel,263119.5604484,451618469.4805734,1.0,10219190.58804,74061407.9290867,1.0,472437653.7587,1.0,29727627.0089,1.0,346672140.093,1.0,29727627.0089,346672140.093,472437653.7587,451618469.4805734,1.0,10219190.58804,472437653.7587,1.0,29727627.0089,1.0,29727627.0089,472437653.7587,0.252294,0.252294,2.8150034,2.8150034,2.8150034,0.0621158,2.8150034,1.5604965,1.5314434,259639148.8549618,269307000.0,211488466.6666667,269307000.0,0.06292,0.0037645,0.1,0.1360068,2.75,0.0685638,0.11122,0.6094,0,10.611,2970,0.0035727,0.6174166,10530700,101626000,9.6504506,1822,390079344,9607698697,55777.1679473,-0.572,0.004,0.2789938,0.0893829,0.2789938,0.0893829,-0.3592515,0.2140748,0.0253457,1.8420344,-7.8357448,12762.0286943,85800491.80304,2.0,10625212.91055,0.5,4.5463532,36.7126144,36.7126144,1.9712125,1.0,1.0931996,0.5,1.0931996,1.0465619,ILS,ILS,0.3054407,0.3054407,237.4,189.92,189.92,170.928,2970,2812,9691,5320.02,-44.1731422,5.6187767,-69.3530079,0.0459369,0.0469369,1.5166854,1.0,1.4742701,1.0,0.7842052,1.0,0.0825038,1.0,0.0731222,0.1666667,0.3825314,1.0,1.317802,1.0,1.4068145,1.0,1.4842701,0.0925038,0.3925314,1.4168145,1.4505423,417521594.7090266,1.0,747380680.20103,1.5,747380680.20103,140453383.1455933,1.0,155410590.2347467,1.0,155410590.2347467,0.1397757,0.2912844,143587733.3333333,218945066.6666667,218945066.6666667,275250350.6933134,1.0,511036775.3550301,1.5,511036775.3550301,3.7496284,None
