pb,pi,ev,pe,evr / pm,0.69418,5.36174,10.48249,19.89533,37.03248,86.62297,251.28553
10000.000000,0.000012,8.000000,64464.458902,109226.767179,277.000000,237.000000,197.000000,158.000000,118.000000,79.000000,39.000000
10000.000000,0.000012,8.000000,64464.458902,6.311932,233.000000,196.000000,158.000000,125.000000,87.000000,55.000000,26.000000
10000.000000,0.000012,8.000000,64464.458902,2.622514,187.000000,150.000000,115.000000,84.000000,52.000000,28.000000,14.000000
10000.000000,0.000012,8.000000,64464.458902,0.952975,141.000000,107.000000,80.000000,57.000000,35.000000,19.000000,9.000000
10000.000000,0.000012,8.000000,64464.458902,0.537038,94.000000,65.000000,46.000000,36.000000,19.000000,10.000000,0.000000
10000.000000,0.000012,8.000000,64464.458902,0.292918,48.000000,29.000000,20.000000,15.000000,8.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,29.559327,109226.767179,222.000000,195.000000,166.000000,135.000000,101.000000,68.000000,34.000000
10000.000000,0.000012,8.000000,29.559327,6.311932,190.000000,165.000000,137.000000,109.000000,77.000000,49.000000,23.000000
10000.000000,0.000012,8.000000,29.559327,2.622514,154.000000,129.000000,101.000000,74.000000,45.000000,25.000000,13.000000
10000.000000,0.000012,8.000000,29.559327,0.952975,117.000000,93.000000,70.000000,50.000000,30.000000,17.000000,8.000000
10000.000000,0.000012,8.000000,29.559327,0.537038,82.000000,60.000000,42.000000,33.000000,18.000000,10.000000,0.000000
10000.000000,0.000012,8.000000,29.559327,0.292918,45.000000,28.000000,20.000000,15.000000,8.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,16.719731,109226.767179,166.000000,147.000000,132.000000,109.000000,82.000000,54.000000,29.000000
10000.000000,0.000012,8.000000,16.719731,6.311932,138.000000,121.000000,107.000000,87.000000,62.000000,39.000000,20.000000
10000.000000,0.000012,8.000000,16.719731,2.622514,112.000000,95.000000,81.000000,62.000000,38.000000,18.000000,10.000000
