Symbol,Name,Sector,Value,Close,Grade
TLV:FORTY,FORMULA,Technology,0.00031,37650.0,0.3216
TLV:HLAN,HILAN,Technology,0.00093,20700.0,0.3107
TLV:NTO,NETO,Consumer Defensive,0.0038,18130.0,0.2967
TLV:MTRX,MATRIX,Technology,0.0041,9337.0,0.2859
TLV:CRSO,CARASSO,Consumer Cyclical,0.02325,2011.0,0.2653
TLV:NTML,NETO MALINDA,Consumer Defensive,0.02827,10900.0,0.2544
TLV:SCOP,SCOPE,Industrials,0.03611,12540.0,0.2404
TLV:ASHG,ASHTROM GROUP,Real Estate,0.04306,7912.0,0.2293
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,0.14291,4305.0,0.2067
TLV:DRAL,DOR ALON,Energy,0.14293,9562.0,0.1958
TLV:MMAN,MAMAN,Industrials,0.1552,972.5,0.1849
TLV:MLTM,MALAM TEAM,Technology,0.27427,10730.0,0.1662
TLV:ZUR,ZUR,Financial Services,0.29499,1200.0,0.1503
TLV:ECP,ELECTRA CO PR,Consumer Cyclical,1.27074,17450.0,0.1084
TLV:DUNI,DUNIEC,Real Estate,0.00015,22900.0,0.1037
TLV:ELTR,ELECTRA,Industrials,0.00751,211000.0,0.098
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,0.00111,399.4,0.0978
TLV:EMDV,EMILIA DEVEL,Financial Services,0.03537,2043.0,0.0966
TLV:CPTP,CAPITAL POINT,Financial Services,0.00556,85.0,0.0916
TLV:RLCO,RALCO,Consumer Cyclical,0.01173,5649.0,0.0888
TLV:PIU,POALIM IBI,Financial Services,0.01493,1390.0,0.0864
TLV:CMDR,COMPUTER DIRECT,Technology,0.13184,30140.0,0.0857
TLV:ESLT,ELBIT SYSTEMS,Technology,0.00344,53000.0,0.0824
TLV:SANO1,SANO,Consumer Defensive,0.1211,34920.0,0.0821
TLV:KAFR,KAFRIT,Basic Materials,0.11006,2670.0,0.0746
TLV:BVC,BATM,Technology,0.08559,327.9,0.0724
TLV:ASPF,ALTSHU FUND PEN,Financial Services,0.18568,1605.0,0.0717
TLV:PRSK,PRASHKOVSKY,Real Estate,3.77699,12330.0,0.0717
TLV:BRMG,BRIMAG,Consumer Cyclical,0.14079,4080.0,0.0714
TLV:DANE,DANEL,Healthcare,0.24007,66260.0,0.0694
TLV:SRAC,S.R ACCORD,Financial Services,0.28265,5035.0,0.0639
TLV:EMCO,E&M,Technology,0.18411,2396.0,0.0634
TLV:SPNS,SAPIENS,Technology,0.3015,10780.0,0.0614
TLV:TDRN,TADIRAN GROUP,Consumer Cyclical,0.35016,44260.0,0.0608
TLV:NVMI,NOVA,Technology,0.30263,41890.0,0.0602
TLV:MTRN,MAYTRONICS,Technology,0.32447,7914.0,0.0591
TLV:RMLI,RAMI LEVI,Consumer Defensive,0.42372,24080.0,0.0581
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,0.28128,6085.0,0.0573
TLV:MGIC,MAGIC,Technology,0.62623,6600.0,0.0566
TLV:VCTR,VICTORY,Consumer Defensive,0.50543,6716.0,0.0554
TLV:JBNK,JERUSALEM,Financial Services,0.29288,1267.0,0.0551
TLV:ENRG,ENERGIX,Technology,0.79801,1307.0,0.0546
TLV:SAE,SHUFERSAL,Consumer Defensive,0.518,2546.0,0.0532
TLV:SLARL,SELLA REAL EST,Real Estate,1.3757,1085.0,0.0495
TLV:FIBIH,FIBI HOLDINGS,Financial Services,1.5708,13910.0,0.0478
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,1.23363,22180.0,0.0467
TLV:HAMAT,HAMAT,Industrials,0.65936,2544.0,0.0464
TLV:CAMT,CAMTEK,Technology,1.92441,13450.0,0.0461
TLV:NFTA,NAPHTHA,Energy,2.23425,2275.0,0.0445
TLV:SPRG,SPRING,Financial Services,0.70378,2539.0,0.0443
TLV:BCOM,B COMMUNICATION,Communication Services,2.69185,1132.0,0.0442
TLV:NICE,NICE,Technology,2.35435,94710.0,0.043
TLV:HAP,HADERA PAPER,Basic Materials,1.42988,22110.0,0.0412
TLV:GNRS,GENERATION CAP,Energy,0.95914,109.3,0.0407
TLV:STRS,STRAUSS GROUP,Consumer Defensive,1.54265,9458.0,0.039
TLV:TSEM,TOWER,Technology,4.27413,11950.0,0.0383
TLV:ANLT,ANALYST,Financial Services,1.1994,3379.0,0.0367
TLV:RADA,RADA,Technology,5.6267,2852.0,0.0357
TLV:ILX,ILEX MEDICAL,Healthcare,4.88055,15930.0,0.035
TLV:MVNE,MIVNE,Real Estate,5.87593,1289.0,0.0346
TLV:DNYA,DANYA CEBUS,Real Estate,0.01404,8960.0,0.0337
TLV:DIFI,DIRECT FINANCE,Financial Services,6.04466,86020.0,0.0334
TLV:NVLG,NOVOLOG,Healthcare,3.13224,296.2,0.0333
TLV:AUDC,AUDIOCODES,Technology,6.16834,10890.0,0.0319
TLV:IBI,IBI INV HOUSE,Financial Services,1.36562,8840.0,0.0316
TLV:TFRLF,TEFRON,Consumer Cyclical,0.02032,2233.0,0.0316
TLV:MAXO,MAX STOCK,Consumer Cyclical,3.24638,1100.0,0.0311
TLV:DIPL,DIPLOMAT HOLDI.,Consumer Defensive,0.04759,5366.0,0.0306
TLV:NAWI,NAWI,Financial Services,6.34056,3035.0,0.0304
TLV:ARAD,ARAD INVESTMENT,Industrials,6.07569,45220.0,0.0303
TLV:BOTI,BONEI TICHON,Real Estate,0.00762,4879.0,0.0299
TLV:GLRS,GLOBRANDS,Consumer Defensive,0.01388,43510.0,0.0292
TLV:WLFD,WILLY FOOD,Consumer Defensive,0.04722,3991.0,0.029
TLV:ZNKL,ZANLAKOL,Consumer Defensive,0.11891,2067.0,0.0278
TLV:ONE,ONE TECHNOLOGI,Technology,6.28971,5790.0,0.0269
TLV:AFRE,AFRICA RESIDENC,Real Estate,0.03947,20090.0,0.0268
TLV:ISRS,ISRAS,Real Estate,17.00111,80840.0,0.0267
TLV:FOX,FOX,Consumer Cyclical,4.4238,51410.0,0.0252
TLV:KEN,KENON,Utilities,20.74478,14500.0,0.0252
TLV:DIMRI,DIMRI,Real Estate,0.1557,28590.0,0.0247
TLV:ELDAV,ELDAV,Financial Services,0.22383,249.6,0.0239
TLV:SHVA,AUTO BANK SERV,Technology,0.22332,2623.0,0.0239
TLV:FRSM,FRESHMARKET,Consumer Defensive,0.42557,1294.0,0.0238
TLV:ALBA,ALBAAD,Consumer Defensive,0.23573,2970.0,0.0236
