"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:FORTY,FORMULA,Technology,Israel,0.000311,7097845066.666667,4.0,40304666.6666667,599962400.0,2.0,2290015000.0,1.0,50940000.0,1.0,324358000.0,1.0,50940000.0,324358000.0,2290015000.0,7097845066.666667,4.0,40304666.6666667,2290015000.0,1.0,50940000.0,1.0,50940000.0,2290015000.0,0.8854726,0.8854726,35.2575454,35.2575454,35.2575454,0.0076905,5.0367922,7.7676624,11.6514937,130541266.3284967,0,231024666.6666667,0,0.02224,330.63966,14000.0,0.2249303,10.0,110.2966101,0.31238,0.37592,0,3.266,38060,8.58e-05,3.387695,15294300,50940000,3.3306526,15101,2028000983,1761144686,3373.2865373,0.052,0.203,0.4778743,0.1325631,0.4778743,0.1325631,0.1584686,4.2308113,0.1853908,4.555703,222.4891829,222.4891829,443487066.6666667,2.0,110871766.6666667,1.0,4.5728526,18.2914104,18.2914104,2.7088821,1.0,2.8182415,1.0,2.8182415,1.6797619,USD,ILS,1.0,0.3054407,0,0,0,0,0.0939295,141,37710,266.7,14170.7161605,26892.9078014,0.9281358,2.0186324,67.6617795,1.8093747,1.0,1.7771302,1.0,0.0064887,3.0,0.0016222,1.0,0.8950657,2.0,0.4046752,1.0,1.4825003,1.0,0.7087788,0.5,1.7871302,0.0116222,0.4146752,0.7187788,1.2529545,4454720933.333333,2.0,2580911733.3333335,1.0,2580911733.3333335,907550666.6666666,2.0,515368733.3333333,1.0,515368733.3333333,0.1197372,0.1988419,333144666.6666667,344684466.6666667,344684466.6666667,2476401466.6666665,2.0,1452822600.0,1.0,1452822600.0,1.0588715,None
TLV:EXPO,EXPORT INV,Financial Services,Israel,0.0022335,153927573.82268,1.0,12248945.8531067,277220545.02188,2.0,166373549.29,1.0,34506246.7604,2.0,918092892.45825,1.5,34506246.7604,918092892.45825,166373549.29,153927573.82268,1.0,12248945.8531067,166373549.29,1.0,34506246.7604,2.0,34506246.7604,166373549.29,0.0800255,0.0800255,5.16945,5.16945,5.16945,0.2376925,5.16945,0,100000,0.0,7037000.0,17372733.3333333,7037000.0,0.15043,0.6983819,10.0,131.2234832,1000.0,44.0250984,0.01,0.81116,0,8.144,4224,0.001928,0.6390698,11290300,91881000,8.1380477,572,48890084,14518257161,160631.1188811,14.913,0.507,0.0919677,-0.0210499,0.0919677,-0.0210499,11.2077419,33.7279658,0.3749875,6.3736225,0.4612392,0.4612392,76959714.3686733,1.0,20458876.24705,0.5,0.6352685,2.389676,2.389676,42.658983,2.0,20.9448458,1.0,20.9448458,4.5775539,ILS,ILS,0.3054407,0.3054407,17.7139,35.4278,35.4278,17.7139,1.1039481,1966,4379,3159.185,33.7053702,114.8524924,-3.5396209,1.8715292,42.9714163,1.0568963,1.0,1.0577802,1.0,1156.0581006,2.0,73.1575535,1.0,158.4154756,2.0,47.3028507,1.0,0.2648106,1.0,0.1193923,0.5,1.0677802,73.1675535,47.3128507,0.1293923,0.5985863,4426351408.352453,1.0,7242218181.24632,1.5,7242218181.24632,393413730.414,2.0,327222287.1984,1.5,327222287.1984,0.1047646,0.205452,-8475894666.666667,-9532867333.333334,-9532867333.333334,4187941970.9540606,1.0,6846474762.981211,1.5,6846474762.981211,1e-05,None
TLV:NTO,NETO,Consumer Defensive,Israel,0.0039035,3658952175.2174935,4.0,32566046.7085733,118123652.0669733,1.0,1020906522.8835,1.0,26124343.071,1.0,184386303.6911,1.0,26124343.071,184386303.6911,1020906522.8835,3658952175.2174935,4.0,32566046.7085733,1020906522.8835,1.0,26124343.071,1.0,26124343.071,1020906522.8835,0.1481387,0.1481387,7.359186,7.359186,7.359186,0.0622686,7.359186,1.7975185,1.7857015,278894061.2574341,282561000.0,211589733.3333333,282561000.0,0.02559,51.8860315,1400.0,0.2574438,10.0,17.3906885,0.0139,0.57932,0,24.962,18760,0.0013306,3.4781787,3709300,85530000,23.058259,1355,494725849,20812680271,63121.7712177,0.191,0.071,0.3037676,0.1143589,0.3037676,0.1143589,0.2191919,4.9317933,0.0818397,3.1107645,33.5741712,33.5741712,38396991.1224267,1.0,37777822.0981,0.5,12.8844953,13.0956689,13.0956689,1.7163713,1.0,2.3244026,0.5,2.3244026,1.5255992,ILS,ILS,0.3054407,0.3054407,2695.929,4852.673,2695.9292,4865.8433,0.3497429,11600,19420,15134.15,23.9580683,61.7241379,-3.3985582,1.831202,37.7066187,4.4058065,2.0,0.9173957,0.5,0.0136829,0.0833333,0.0858515,1.0,0.6093177,1.0,0.4645017,1.0,3.7515036,2.0,0.8296984,0.5,0.9273957,0.0958515,0.4745017,0.8396984,0.8835471,975380606.9112133,2.0,522922338.4073467,1.0,522922338.4073467,145815109.5561067,1.0,65350035.5379533,1.0,65350035.5379533,0.1499584,0.4997602,600717133.3333334,585184866.6666666,585184866.6666666,223952888.3419667,1.0,429721374.79079,1.5,429721374.79079,5.8829102,None
TLV:MTRX,MATRIX,Technology,Israel,0.0042603,4431794361.626453,4.0,49209836.2549867,251812154.95168,2.0,1297572876.2993,1.0,59294286.7689,1.0,845000627.50755,1.5,59294286.7689,845000627.50755,1297572876.2993,4431794361.626453,4.0,49209836.2549867,1297572876.2993,1.0,59294286.7689,1.0,59294286.7689,1297572876.2993,0.4722113,0.4722113,30.75,30.75,30.75,0.4278537,4.3928571,5.4313465,5.18304,406530083.3989427,443701000.0,370096933.3333333,443701000.0,0.0457,624.4762229,14000.0,0.4408919,10.0,208.3219383,0.14538,0.48739,0,3.08,9690,0.0003179,7.340154,62831500,194127008,3.0896447,10000,2006117627,181760787099,19412.7008,0.05,0.053,0.1092206,0.0951251,0.1092206,0.0951251,0.0648052,2.7956856,0.0635313,2.7705413,474.499315,474.499315,117392365.9430333,1.0,39341831.20245,0.5,17.0889956,50.9919739,50.9919739,5.7888873,2.0,5.8756703,2.0,5.8756703,2.4249782,ILS,ILS,0.3054407,0.3054407,52.0,60.0,58.0,64.0,0.3176126,6999,9699,8678.345,11.6572342,38.4483498,-0.0927931,1.9933333,62.7306194,1.3641619,1.0,1.362247,1.0,0.0321162,3.0,0.0135437,1.0,1.2405848,2.0,0.5890753,1.0,1.2359566,1.0,0.5842027,0.5,1.372247,0.0235437,0.5990753,0.5942027,0.9832249,1801921793.3566267,2.0,983132182.80938,1.0,983132182.80938,456396132.1845466,2.0,368543282.50464,1.5,368543282.50464,0.1603116,0.2608883,331717933.3333333,280068400.0,280068400.0,1327724007.0201068,2.0,721777653.1354333,1.0,721777653.1354333,12.4628979,None
TLV:RLCO,RALCO,Consumer Cyclical,Israel,0.0132083,68846557.7698467,1.0,6232843.2869133,29545238.1855733,2.0,85129988.3784,1.0,10893542.5655,1.0,67372276.9618,1.0,10893542.5655,67372276.9618,85129988.3784,68846557.7698467,1.0,6232843.2869133,85129988.3784,1.0,10893542.5655,1.0,10893542.5655,85129988.3784,0.2513777,0.2513777,6.710466,6.710466,6.710466,0.2604829,6.710466,1.2208465,1.2136786,58054296.7225419,58736000.0,36654266.6666667,58736000.0,0.12796,98.4344661,1000.0,1.2350294,10.0,33.2668185,0.12477,0.69876,0,8.676,5844,0.0014846,3.070999,4082590,35665000,8.735876,47,70043128,7259970560,758829.787234,1.472,0.369,0.439933,0.0914062,0.439933,0.0914062,1.2139833,11.2680908,0.2996015,5.723587,5.5276429,5.5276429,12583505.2331733,1.0,15137641.092,1.0,5.5662653,4.6270835,4.6270835,1.6482472,2.0,0.8952896,1.0,0.8952896,0.9471974,ILS,ILS,0.3054407,0.3054407,538.8738,221.0992,293.9367,220.0939,0.8933333,2961,5994,4480.175,30.4413332,97.3657548,-2.5025025,1.901088,47.207757,2.3001258,1.0,2.1403436,1.0,16.0195001,0.5,0.047191,1.0,24.1662471,2.0,12.5436486,1.0,2.1663978,1.0,2.0470451,1.0,2.1503436,0.057191,12.5536486,2.0570451,2.1036944,40099558.3096533,1.0,45368023.4931,1.0,45368023.4931,44789050.4648933,2.0,23975689.92278,1.0,23975689.92278,0.340115,0.5543578,62437400.0,68608400.0,68608400.0,17705033.0772067,1.0,21392333.57032,1.0,21392333.57032,14.6156243,None
TLV:GLRS,GLOBRANDS,Consumer Defensive,Israel,0.015335,495437466.6666667,0.0,69362333.3333333,40491200.0,1.0,554020000.0,0.0,75569000.0,0.0,178670000.0,1.0,75569000.0,178670000.0,554020000.0,495437466.6666667,1.0,69362333.3333333,554020000.0,1.0,75569000.0,1.0,75569000.0,554020000.0,0.3872988,0.3872988,7.287245,7.287245,7.287245,0.0029053,7.287245,1.9719252,1.9507206,111248435.5638166,113641000.0,103019600.0,113641000.0,0.1364,0.1388383,0.0,1.3258566,10.0,0.5346983,0.05762,0.69952,0,61.491,45070,0.0013643,7.669662,1176000,75569000,64.2593537,199,214655631,160956741,379743.718593,-0.143,-0.006,0.0502436,0.0667107,0.0502436,0.0667107,-0.0946891,0.2405311,0.0121777,1.3535248,-76.959698,1299.3813979,34750266.6666667,0.5,28575000.0,0.5,6.1770931,7.5120081,7.5120081,4.1109098,1.0,3.7554097,1.0,3.7554097,1.938888,USD,ILS,1.0,0.3054407,0,0,0,0,45070,44780,45520,45070,0.0,0.6476105,-0.9885764,0.7837838,0.7847838,1.2449222,1.0,1.2700351,1.0,1.4256588,1.0,0.8981938,1.0,2.3017417,1.0,2.7292465,1.0,1.1413942,1.0,1.1792682,1.0,1.2800351,0.9081938,2.7392465,1.1892682,1.2346517,254928933.3333333,1.0,308477600.0,1.0,308477600.0,49821866.6666667,1.0,65672133.3333333,1.0,65672133.3333333,0.344974,1.2507012,26207000.0,39703600.0,39703600.0,205107066.6666667,1.0,242805466.6666667,1.0,242805466.6666667,2.0854627,None
TLV:DUNI,DUNIEC,Real Estate,Unknown,0.0211732,71149804.6376933,1.0,14030031.6629467,186099113.3231333,2.0,409475940.5049,3.0,67213447.7978,2.0,602826317.8596001,1.5,67213447.7978,602826317.8596001,409475940.5049,71149804.6376933,1.0,14030031.6629467,409475940.5049,3.0,67213447.7978,2.0,67213447.7978,409475940.5049,0,0.6584835,10.491727,10.491727,10.491727,0.6584835,10.491727,1.8235953,0.9117977,0.0,147858000.0,63957933.3333333,147858000.0,37.9158924,1.9447745,10.0,604.7095037,2500.0,214.8577235,0.01,1.23e-05,0,0,23730,0.0,10000.0,100000000,0,0.0,10000000,269633158,269633158,0.0,-0.1656159,-0.1337305,-0.1656159,-0.1337305,-0.1656159,-0.1337305,-0.1656159,0.2334384,-0.1337305,0.236627,-63.3497599,1578.5379477,4084312.3149733,0.5,65936705.6718,0.75,66.0167826,4.0892725,4.0892725,3.3172354,2.0,2.5256033,2.0,2.5256033,1.5902147,ILS,ILS,0.3054407,0.3054407,0,0,0,0,0.0,56.14,23550,95.6,24722.1757322,42169.3266833,0.7643312,2.0153232,66.998976,1.6274212,1.0,1.8284566,1.0,0.6572112,1.0,0.2489389,0.5,8.1993441,1.0,14.3724265,2.0,1.2943549,1.0,2.8318898,2.0,1.8384566,0.2589389,14.3824265,2.8418898,2.3401732,218571919.1673533,1.0,214956519.41502,1.0,214956519.41502,167620765.4816667,2.0,143555937.78127,1.5,143555937.78127,0.4126839,0.5682039,123864066.6666667,143626866.6666667,143626866.6666667,134761536.42652,1.0,119252560.8941733,1.0,119252560.8941733,2.8265731,None
TLV:FRDN,FRIDENSON,Industrials,Israel,0.0237676,330588533.3333333,0.0,5542800.0,56457133.3333333,1.0,489902000.0,0.0,62803000.0,0.0,293811000.0,1.0,62803000.0,293811000.0,489902000.0,330588533.3333333,1.0,5542800.0,489902000.0,1.0,62803000.0,1.0,62803000.0,489902000.0,0.1148457,0.1148457,2.27064,2.27064,2.27064,0.0711506,2.27064,1.3552404,1.3081779,47783324.5436105,51102000.0,41789800.0,51102000.0,0.11983,0.016561,0.0,2.2025556,10.0,0.7806489,0.01,0.70701,0,39.196,8918,0.0043952,0.8469898,1371760,11090000,8.0845046,450,60260288,3729022741,24644.4444444,23.494,0.577,0.2843789,0.1527864,0.2843789,0.1527864,17.6915947,42.3113774,0.4709466,7.1125549,0.1283457,0.1283457,25763800.0,1.0,42574000.0,1.0,2.3389519,1.4154246,1.4154246,1.8357103,0.5,5.7167853,2.0,5.7167853,2.39198,USD,ILS,1.0,0.3054407,490.2529,142.9666,109.3485,182.2475,0.4880454,5555,11400,9346.645,-4.5860841,60.540054,-21.7719298,1.1507271,2.3218496,1.2888047,1.0,1.5283056,1.0,0.4861749,1.0,0.3949973,0.5,2.6154262,12.0,0.2425684,1.0,1.0058856,1.0,1.0872283,1.0,1.5383056,0.4049973,0.2525684,1.0972283,1.3177669,812440266.6666666,2.0,421317533.3333333,1.0,421317533.3333333,86687933.3333333,1.0,181462400.0,1.5,181462400.0,0.2490633,0.4460937,-8466.6666667,18590533.3333333,18590533.3333333,636425066.6666666,2.0,298342466.6666667,1.0,298342466.6666667,3.1726629,None
TLV:NTML,NETO MALINDA,Consumer Defensive,Israel,0.0332265,11095067733.333334,0.0,114305866.6666667,679340600.0,1.0,3123980000.0,0.0,336176000.0,0.0,4897507500.0,1.5,336176000.0,4897507500.0,3123980000.0,11095067733.333334,4.0,114305866.6666667,3123980000.0,1.0,336176000.0,2.0,336176000.0,3123980000.0,0.2138085,0.2138085,13.528788,13.528788,13.528788,0.2223253,13.528788,2.7419412,2.7308866,245571885.4851286,247552000.0,178425466.6666667,247552000.0,0.0538,0.0433945,0.0,57.9641621,1000.0,19.3547855,0.28788,0.46324,0,8.493,11600,0.0007322,2.0601736,19790200,168088000,8.4934968,1080,667914304,69453974713,155637.037037,0.141,0.076,0.3531783,0.1227267,0.3531783,0.1227267,0.1940446,4.6550492,0.0876817,3.2111093,69.7199993,69.7199993,97535200.0,1.0,107831000.0,0.5,6.8479308,6.1940843,6.1940843,0.4045926,1.0,0.4152196,1.0,0.4152196,0.6453754,USD,ILS,1.0,0.3054407,479.0246,479.0246,608.69,0,0.7797397,6210,12070,8696.055,33.3938205,86.7954911,-3.8939519,1.8395904,38.7549222,7.0139291,2.0,3.4403167,1.0,0.0366611,0.1666667,0.0999571,1.0,0.3167679,1.0,0.2201124,0.5,6.4741826,2.0,3.2457306,1.0,3.4503167,0.1099571,0.2301124,3.2557306,3.3530237,2546445733.3333335,2.0,2287186400.0,1.5,2287186400.0,898962466.6666666,1.0,1601312400.0,1.5,1601312400.0,0.2469823,0.3099378,765202266.6666666,927360066.6666666,927360066.6666666,363301933.3333333,1.0,665196100.0,1.5,665196100.0,8.2371893,None
TLV:SCOP,SCOPE,Industrials,Israel,0.0470588,86317781.0818817,0.25,23014040.4229,32731086.50014,1.0,394855410.518,1.0,91722009.5658,2.0,240126329.75445,1.5,91722009.5658,240126329.75445,394855410.518,86317781.0818817,0.25,23014040.4229,394855410.518,1.0,91722009.5658,2.0,91722009.5658,394855410.518,0.5311614,0.5311614,10.393914,10.393914,10.393914,0.3761698,10.393914,2.7798158,2.7671317,249289018.569388,251564000.0,151424733.3333333,251564000.0,0.11615,0.0310356,0.5,132.2444323,1000.0,44.1315393,0.26208,0.42458,0,13.277,13930,0.0009531,3.491461,11536900,150147008,13.014502,524,686653525,48628977509,286540.0916031,1.885,0.254,-0.1580669,-0.0315547,-0.1580669,-0.0315547,1.3742333,11.9727696,0.1826113,4.5233047,7.5634277,7.5634277,15453405.68766,0.5,51880324.6578,1.0,44.4337992,13.2353359,13.2353359,2.8027761,1.0,2.6073219,1.0,2.6073219,1.6157204,ILS,ILS,0.3054407,0.3054407,200.0,400.0,400.0,600.0,1.028815,6660,15000,11982.68,16.2511225,109.1591592,-7.1333333,1.7434053,28.0795495,0.2272902,0.1666667,1.3845744,1.0,1.9834018,1.0,0.0605871,0.25,0.0412224,0.5,0.0155517,0.5,1.3259982,0.5,2.6008177,1.0,1.3945744,0.0705871,0.0255517,2.6108177,2.0026961,472126185.6955534,1.0,499152963.49606,1.0,499152963.49606,124909261.5700333,1.0,138599622.8118667,1.0,138599622.8118667,0.2837553,0.7617768,678939666.6666666,714253600.0,714253600.0,694433848.25104,2.0,360553340.6841934,1.0,360553340.6841934,9.260328,None
