Symbol,Name,Sector,Value,Close,Grade
TLV:NTO,NETO,Consumer Defensive,0.0039/0.47212,18760.0,0.558
TLV:SCOP,SCOPE,Industrials,0.04706/0.3372,13930.0,0.5559
TLV:CRSO,CARASSO,Consumer Cyclical,0.12738/0.285,2090.0,0.5531
TLV:MMAN,MAMAN,Industrials,0.15851/0.24549,1027.0,0.5446
TLV:HLAN,HILAN,Technology,0.09108/0.47116,21000.0,0.5012
TLV:NTML,NETO MALINDA,Consumer Defensive,0.03323/0.4853,11600.0,0.5004
TLV:MLTM,MALAM TEAM,Technology,0.31184/0.3332,11400.0,0.4718
TLV:MTRX,MATRIX,Technology,0.00426/0.69742,9690.0,0.4559
TLV:FORTY,FORMULA,Technology,0.00031/0.80766,38060.0,0.4048
TLV:ZUR,ZUR,Financial Services,0.39477/0.77411,1390.0,0.2287
TLV:ASPF,ALTSHU FUND PEN,Financial Services,0.15948/-0.0228,1708.0,0.1995
TLV:PRSK,PRASHKOVSKY,Real Estate,4.28244/0.71268,12950.0,0.1836
TLV:CPTP,CAPITAL POINT,Financial Services,0.25255/0.01633,87.5,0.1774
TLV:BRMG,BRIMAG,Consumer Cyclical,0.13081/0.20067,3961.0,0.1731
TLV:HAP,HADERA PAPER,Basic Materials,0.36306/0.05352,22960.0,0.1702
TLV:EMCO,E&M,Technology,0.2291/0.1567,2517.0,0.1694
TLV:EXPO,EXPORT INV,Financial Services,0.00223/0.52605,4224.0,0.1644
TLV:ONE,ONE TECHNOLOGI,Technology,6.91435/0.00211,6048.0,0.1639
TLV:SAE,SHUFERSAL,Consumer Defensive,0.53736/0.01665,2659.0,0.1617
TLV:AMRK,AMIR MARK.,Basic Materials,0.12502/0.36186,4096.0,0.1598
TLV:RMLI,RAMI LEVI,Consumer Defensive,0.4507/0.14629,25000.0,0.1557
TLV:RLCO,RALCO,Consumer Cyclical,0.01321/0.58538,5844.0,0.1493
TLV:SPNS,SAPIENS,Technology,0.2822/-0.06327,10710.0,0.1493
TLV:NVMI,NOVA,Technology,0.31479/-0.51225,44480.0,0.1485
TLV:MAXO,MAX STOCK,Consumer Cyclical,2.99365/0.0071,1094.0,0.1483
TLV:DANE,DANEL,Healthcare,0.29104/0.40032,71550.0,0.1462
TLV:SRAC,S.R ACCORD,Financial Services,0.37155/-0.13614,5880.0,0.1448
TLV:ENRG,ENERGIX,Technology,0.71692/-0.61826,1334.0,0.1428
TLV:MGIC,MAGIC,Technology,0.60973/0.00463,6681.0,0.1377
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,1.14915/0.22914,24230.0,0.1362
TLV:NICE,NICE,Technology,1.93458/-0.15152,90840.0,0.1331
TLV:MTRN,MAYTRONICS,Technology,0.30503/0.226,7865.0,0.1328
TLV:ELCRE,ELECTRA REAL E.,Real Estate,0.162/0.30244,6351.0,0.1319
TLV:DRAL,DOR ALON,Energy,0.22007/0.52219,10950.0,0.1316
