Symbol,Name,Sector,Value,Close,Grade
TLV:MTRX,MATRIX,Technology,-0.01119,8815.0,0.3758
TLV:HLAN,HILAN,Technology,0.12179,19550.0,0.3128
TLV:MMAN,MAMAN,Industrials,0.14252,977.6,0.2941
TLV:MLTM,MALAM TEAM,Technology,0.15756,10970.0,0.2753
TLV:DRAL,DOR ALON,Energy,0.22992,10300.0,0.2487
TLV:SCOP,SCOPE,Industrials,0.24694,13390.0,0.2255
TLV:ONE,ONE TECHNOLOGI,Technology,0.00122,5700.0,0.1232
TLV:ASPF,ALTSHU FUND PEN,Financial Services,-0.02216,1750.0,0.1161
TLV:MAXO,MAX STOCK,Consumer Cyclical,0.0016,1030.0,0.1096
TLV:NTO,NETO,Consumer Defensive,0.759,19580.0,0.1073
TLV:CMDR,COMPUTER DIRECT,Technology,0.12134,30500.0,0.1044
TLV:CPTP,CAPITAL POINT,Financial Services,0.01289,84.9,0.1037
TLV:ARAN,ARAN,Industrials,0.01955,2033.0,0.0995
TLV:EMCO,E&M,Technology,0.0285,2317.0,0.0959
TLV:SAE,SHUFERSAL,Consumer Defensive,0.08538,2716.0,0.0956
TLV:HAP,HADERA PAPER,Basic Materials,0.09645,23450.0,0.0929
TLV:NVMI,NOVA,Technology,-0.79666,40960.0,0.0862
TLV:ENRG,ENERGIX,Technology,-0.63343,1217.0,0.0851
TLV:NICE,NICE,Technology,-0.25789,80800.0,0.0837
TLV:SPNS,SAPIENS,Technology,-0.14978,9892.0,0.0825
TLV:SRAC,S.R ACCORD,Financial Services,-0.13833,5784.0,0.0814
TLV:CAMT,CAMTEK,Technology,-0.01252,12730.0,0.08
TLV:ZUR,ZUR,Financial Services,0.79832,1408.0,0.0799
TLV:MGIC,MAGIC,Technology,-0.00691,6025.0,0.0777
TLV:BRMG,BRIMAG,Consumer Cyclical,0.21689,3920.0,0.0773
TLV:AUDC,AUDIOCODES,Technology,0.00283,9820.0,0.0752
TLV:RADA,RADA,Technology,0.00502,3199.0,0.0734
TLV:AMRK,AMIR MARK.,Basic Materials,0.23534,3912.0,0.071
TLV:GNRS,GENERATION CAP,Energy,0.01304,107.3,0.0707
TLV:RMLI,RAMI LEVI,Consumer Defensive,0.27851,25350.0,0.0684
TLV:MTRN,MAYTRONICS,Technology,0.07013,7425.0,0.0673
TLV:KAFR,KAFRIT,Basic Materials,0.25823,2771.0,0.0642
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,0.30389,24360.0,0.0636
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,0.25939,6168.0,0.0612
TLV:PRTC,PRIORTECH,Technology,0.21106,10880.0,0.0607
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,0.48197,4937.0,0.0598
TLV:MGOR,MEGA OR,Real Estate,0.23645,13790.0,0.0573
TLV:RLCO,RALCO,Consumer Cyclical,0.29632,5630.0,0.0566
TLV:VTNA,VITANIA,Real Estate,0.25861,3112.0,0.0542
TLV:TDRN,TADIRAN GROUP,Consumer Cyclical,0.46955,47000.0,0.0535
TLV:KEN,KENON,Utilities,0.29319,15550.0,0.0517
TLV:SPRG,SPRING,Financial Services,0.32768,2616.0,0.051
TLV:STRS,STRAUSS GROUP,Consumer Defensive,0.50019,10150.0,0.049
TLV:TSEM,TOWER,Technology,0.32596,12000.0,0.049
TLV:PRSK,PRASHKOVSKY,Real Estate,0.59469,14190.0,0.0476
TLV:FIBI,FIBI BANK,Financial Services,0.38011,13440.0,0.0463
TLV:EXPO,EXPORT INV,Financial Services,0.43656,4404.0,0.0448
TLV:ECP,ELECTRA CO PR,Consumer Cyclical,0.52175,20470.0,0.0441
TLV:RANI,RANI ZIM,Real Estate,0.42214,749.0,0.0437
TLV:DSCT,DISCOUNT,Financial Services,0.43639,2192.0,0.0426
TLV:GNGR,GINEGAR,Consumer Cyclical,0.44029,2283.0,0.042
TLV:MGRT,MGURIT,Real Estate,0.44781,870.5,0.0408
TLV:ESLT,ELBIT SYSTEMS,Technology,0.48522,55930.0,0.0384
TLV:FORTY,FORMULA,Technology,0.94454,35060.0,0.0384
TLV:ALMA,ALMOGIM,Real Estate,0.48193,964.3,0.0373
TLV:RVL,RAVAL,Consumer Cyclical,0.0035,652.9,0.0364
TLV:POLI,POALIM,Financial Services,0.51481,3475.0,0.0361
TLV:NVLG,NOVOLOG,Healthcare,0.61939,324.8,0.036
TLV:WLFD,WILLY FOOD,Consumer Defensive,0.00392,3988.0,0.0358
TLV:SLARL,SELLA REAL EST,Real Estate,0.52079,1144.0,0.0349
TLV:ARKO,ARKO CORP,Consumer Defensive,0.00678,2630.0,0.0341
TLV:INRM,INROM CONST,Basic Materials,0.01142,1594.0,0.0331
TLV:EQTL,EQUITAL,Industrials,0.5281,13310.0,0.0331
TLV:GLRS,GLOBRANDS,Consumer Defensive,-0.00017,45470.0,0.033
TLV:VCTR,VICTORY,Consumer Defensive,0.01234,6954.0,0.0326
TLV:EMDV,EMILIA DEVEL,Financial Services,0.01261,2090.0,0.0321
TLV:NFTA,NAPHTHA,Energy,0.53016,2347.0,0.032
TLV:SHAN,SHANIV,Basic Materials,0.00372,536.0,0.0318
TLV:DIPL,DIPLOMAT HOLDI.,Consumer Defensive,0.01282,6015.0,0.0316
TLV:JBNK,JERUSALEM,Financial Services,0.52332,1504.0,0.0316
TLV:SANO1,SANO,Consumer Defensive,0.67416,36840.0,0.0316
TLV:GOSS,G 1 SECU,Industrials,0.00476,477.6,0.0313
TLV:MRIN,MORE INVEST,Financial Services,0.03869,1381.0,0.0312
TLV:SPGE,SUPERGAS ENERGY,Utilities,0.01409,7160.0,0.0309
TLV:MZTF,MIZRAHI TEFAHOT,Financial Services,0.53809,12530.0,0.0308
TLV:PIU,POALIM IBI,Financial Services,0.00524,1391.0,0.0307
TLV:RMN,RAM ON,Basic Materials,-0.31173,1971.0,0.0305
TLV:ETGA,ETGA GROUP,Industrials,0.0737,2023.0,0.0304
TLV:TLRD,TELRAD NETWORKS,Technology,0.00618,325.1,0.0303
TLV:SPNTC,SPUNTECH,Consumer Cyclical,0.00734,732.5,0.0299
TLV:LUMI,LEUMI,Financial Services,0.5441,3469.0,0.0296
TLV:ORON,ORON GROUP,Industrials,0.06078,1390.0,0.0295
TLV:ORA,ORMAT TECHNO,Technology,0.00409,23800.0,0.0293
TLV:SKBN,SHIKUN & BINUI,Real Estate,0.06122,2114.0,0.029
TLV:DIFI,DIRECT FINANCE,Financial Services,0.54848,89190.0,0.0285
TLV:OPAL,OPAL BALANCE,Financial Services,2e-05,292.8,0.0284
TLV:MSBI,HAMASHBIR 365,Consumer Cyclical,0.01319,128.9,0.0282
TLV:PERI,PERION NETWORK,Technology,0.00996,6256.0,0.028
TLV:KLIL,KLIL,Basic Materials,0.01358,31150.0,0.0279
TLV:MRHL,MERCHAVIA HOLD,Healthcare,0.00221,64.0,0.0279
TLV:KRUR,KERUR,Consumer Defensive,0.01432,9500.0,0.0274
TLV:LPHL.L,LAPIDOT HEL L,Energy,0.56259,147.0,0.0274
TLV:FOX,FOX,Consumer Cyclical,0.75052,59980.0,0.027
TLV:ARAD,ARAD INVESTMENT,Industrials,0.84026,46150.0,0.0265
TLV:FRDN,FRIDENSON,Industrials,0.02647,8753.0,0.0264
TLV:TFRLF,TEFRON,Consumer Cyclical,0.1672,2114.0,0.0264
TLV:MISH,MIVTACH SHAMIR,Financial Services,0.03067,11550.0,0.0262
TLV:HNMR,HANAN MOR,Real Estate,0.57454,6200.0,0.0257
TLV:BRAN,BARAN,Industrials,0.03303,957.3,0.0255
TLV:SMNIN,SHEMEN INDUSTRY,Consumer Defensive,0.19377,1294.0,0.0255
TLV:IDIN,IDI INSUR,Financial Services,0.04072,11750.0,0.0251
TLV:CLBV,CLAL BEVERAGES,Consumer Defensive,0.02128,3981.0,0.0247
TLV:ARPT,AIRPORT CITY,Real Estate,0.57728,7803.0,0.0246
TLV:DLTI,DELTA BRANDS,Consumer Cyclical,0.21126,7537.0,0.0244
TLV:RPAC,RAPAC,Energy,0.2239,3285.0,0.0239
TLV:ISRS,ISRAS,Real Estate,0.57936,81770.0,0.0234
TLV:ORTC,O.R.T.,Technology,0.10057,2780.0,0.023
TLV:ASGR,ASPEN GROUP,Real Estate,0.19264,968.9,0.0228
TLV:PPIL,PLASTOFIL,Consumer Cyclical,0.25005,582.9,0.0223
TLV:LHIS,LACHISH,Industrials,0.1659,812.9,0.0223
TLV:BEZQ,BEZEQ,Communication Services,0.86166,568.1,0.022
TLV:ISRO,ISROTEL,Consumer Cyclical,0.22727,9974.0,0.0219
TLV:POLP,POLYRAM PLS,Basic Materials,0.25555,1636.0,0.0219
TLV:NXTM,NEXTCOM,Communication Services,0.17058,1333.0,0.0218
TLV:VILR,VILLAR,Real Estate,0.60196,19270.0,0.0215
TLV:ELDAV,ELDAV,Financial Services,0.17166,250.0,0.0215
TLV:SHNP,SCHNAPP,Consumer Cyclical,0.17837,2324.0,0.0211
TLV:CLIS,CLAL INSURANCE,Financial Services,0.25797,7764.0,0.021
TLV:DANE,DANEL,Healthcare,0.77991,74910.0,0.0209
TLV:DUNI,DUNIEC,Real Estate,0.74873,23590.0,0.0208
TLV:AURA,AURA,Real Estate,0.2829,731.0,0.0205
TLV:GLPL,GOLAN PLASTIC,Industrials,0.2334,1140.0,0.0197
TLV:LUDN,LUDAN,Industrials,0.23396,1534.0,0.0193
TLV:MMHD,MENORA MIV HLD,Financial Services,0.30483,7439.0,0.0192
TLV:TTAM,TIV TAAM,Consumer Defensive,0.3142,1077.0,0.0191
TLV:CHAM,CHAM,Consumer Defensive,0.30011,239.9,0.019
TLV:CRSO,CARASSO,Consumer Cyclical,0.99906,2260.0,0.019
TLV:PFLT,PENNANTPARK $,Financial Services,0.65868,4217.0,0.0187
TLV:ISHI,ISRAEL SHIPYARD,Industrials,0.34237,8526.0,0.0183
TLV:PLRM,PALRAM,Industrials,0.25155,4941.0,0.0181
TLV:SHVA,AUTO BANK SERV,Technology,0.28066,2811.0,0.0181
