"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:EXPO,EXPORT INV,Financial Services,Israel,0.0024252,156131105.69168,1.0,12424294.1801067,281189062.75088,2.0,168755250.04,1.0,35000216.8304,2.0,931235742.027,1.5,35000216.8304,931235742.027,168755250.04,156131105.69168,1.0,12424294.1801067,168755250.04,1.0,35000216.8304,2.0,35000216.8304,168755250.04,0.0811711,0.0811711,5.310658,5.310658,5.310658,0.2476809,5.310658,0,100000,0.0,7037000.0,17372733.3333333,7037000.0,0.15043,0.6983819,10.0,131.2234832,1000.0,44.0250984,0.01,0.81116,0,8.144,4404,0.0018492,0.6565266,11290300,91881000,8.1380477,572,49589964,15128347689,160631.1188811,14.913,0.507,0.0919677,-0.0210499,0.0919677,-0.0210499,11.2077419,33.7279658,0.3749875,6.3736225,0.4738384,0.4738384,78061422.0031733,1.0,20751752.8558,0.5,0.6352685,2.389676,2.389676,42.658983,2.0,20.9448458,1.0,20.9448458,4.5775539,ILS,ILS,0.3098132,0.3098132,17.7139,35.4278,35.4278,17.7139,4404,1994,4739,3257.345,35.2021355,120.8625878,-7.0690019,1.7559199,29.3108314,1.0568963,1.0,1.0577802,1.0,1156.0581006,2.0,73.1575535,1.0,158.4154756,2.0,47.3028507,1.0,0.2648106,1.0,0.1193923,0.5,1.0677802,73.1675535,47.3128507,0.1293923,0.5985863,4489716315.298453,1.0,7345893293.952321,1.5,7345893293.952321,399045597.864,2.0,331906598.9184,1.5,331906598.9184,0.1047646,0.205452,-8475894666.666667,-9532867333.333334,-9532867333.333334,4247893955.96456,1.0,6944484657.86796,1.5,6944484657.86796,1e-05,None
TLV:MTRX,MATRIX,Technology,Israel,0.0037822,4495237186.522453,4.0,49914293.8109867,255416941.89568,2.0,1316148126.4268,1.0,60143107.0764,1.0,857097133.4538,1.5,60143107.0764,857097133.4538,1316148126.4268,4495237186.522453,4.0,49914293.8109867,1316148126.4268,1.0,60143107.0764,1.0,60143107.0764,1316148126.4268,0.4851675,0.4851675,28.435066,28.435066,28.435066,0.399794,4.0621523,5.5797357,5.3246167,406526270.3498057,443701000.0,370096933.3333333,443701000.0,0.0457,624.4762229,14000.0,0.4408919,10.0,208.3219383,0.14546,0.48739,0,3.08,8815,0.0003494,6.787569,62594500,194127008,3.1013429,10000,2060883989,169840415217,19412.7008,0.05,0.053,0.1092206,0.0951251,0.1092206,0.0951251,0.0648052,2.7956856,0.0635313,2.7705413,438.7778647,438.7778647,119072882.3905333,1.0,39905024.5062,0.5,17.3077526,51.6447243,51.6447243,5.7888873,2.0,5.8756703,2.0,5.8756703,2.4249782,ILS,ILS,0.3098132,0.3098132,52.0,60.0,64.0,50.0,8815,7021,9699,8717.615,1.117106,25.5519157,-9.1143417,1.3398058,5.7843048,1.3641619,1.0,1.362247,1.0,0.0321162,3.0,0.0135437,1.0,1.2405848,2.0,0.5890753,1.0,1.2359566,1.0,0.5842027,0.5,1.372247,0.0235437,0.5990753,0.5942027,0.9832249,1827716990.3996267,2.0,997206094.60088,1.0,997206094.60088,462929616.7135467,2.0,373819120.01664,1.5,373819120.01664,0.1603116,0.2608883,331717933.3333333,280068400.0,280068400.0,1346730882.0721066,2.0,732110175.2529334,1.0,732110175.2529334,11.9748886,None
TLV:NTO,NETO,Consumer Defensive,Israel,0.0046186,3711331469.7454934,4.0,33032242.0755733,119814637.1539733,1.0,1035521188.746,1.0,26498322.996,1.0,187025863.8836,1.0,26498322.996,187025863.8836,1035521188.746,3711331469.7454934,4.0,33032242.0755733,1035521188.746,1.0,26498322.996,1.0,26498322.996,1035521188.746,0.1502594,0.1502594,7.891996,7.891996,7.891996,0.0677328,7.891996,1.8232507,1.8112645,278894061.2574341,282561000.0,211589733.3333333,282561000.0,0.02559,51.8860315,1400.0,0.2574438,10.0,17.3906885,0.0139,0.57932,0,24.962,19580,0.0012749,3.730001,3709300,85530000,23.058259,1355,501808038,22639046090,63121.7712177,0.191,0.071,0.3037676,0.1143589,0.3037676,0.1143589,0.2191919,4.9317933,0.0818397,3.1107645,36.0049637,36.0049637,38946658.6804267,1.0,38318626.0156,0.5,12.8844953,13.0956689,13.0956689,1.7163713,1.0,2.3244026,0.5,2.3244026,1.5255992,ILS,ILS,0.3098132,0.3098132,2695.93,4852.67,2695.93,4865.84,19580,11600,19940,15371.05,27.3823194,68.7931034,-1.8054162,1.9136691,49.1135151,4.4058065,2.0,0.9173957,0.5,0.0136829,0.0833333,0.0858515,1.0,0.6093177,1.0,0.4645017,1.0,3.7515036,2.0,0.8296984,0.5,0.9273957,0.0958515,0.4745017,0.8396984,0.8835471,989343551.9402134,2.0,530408170.9263467,1.0,530408170.9263467,147902508.4081067,1.0,66285546.1964533,1.0,66285546.1964533,0.1499584,0.4997602,600717133.3333334,585184866.6666666,585184866.6666666,227158859.2694667,1.0,435873000.00404,1.5,435873000.00404,6.055476,None
TLV:RLCO,RALCO,Consumer Cyclical,Israel,0.0130363,69832122.4763467,1.0,6322068.8134133,29968189.5275733,2.0,86348656.5984,1.0,11049487.778,1.0,68336736.7768,1.0,11049487.778,68336736.7768,86348656.5984,69832122.4763467,1.0,6322068.8134133,86348656.5984,1.0,11049487.778,1.0,11049487.778,86348656.5984,0.2580744,0.2580744,6.5329645,6.5329645,6.5329645,0.2572231,6.5329645,1.2535042,1.2461553,58055280.2768166,58736000.0,36654266.6666667,58736000.0,0.12796,98.4344661,1000.0,1.2350294,10.0,33.2668185,0.12477,0.69876,0,8.676,5630,0.001541,2.9897668,4082590,35665000,8.735876,47,71919253,7169114804,758829.787234,1.472,0.369,0.439933,0.0914062,0.439933,0.0914062,1.2139833,11.2680908,0.2996015,5.723587,5.3814288,5.3814288,12763642.9051733,1.0,15354342.192,1.0,5.6346964,4.6839684,4.6839684,1.6482472,2.0,0.8952896,1.0,0.8952896,0.9471974,ILS,ILS,0.3098132,0.3098132,538.874,221.099,293.937,220.094,5630,2961,6201,4579.03,22.9518042,90.1384667,-9.2081922,1.6475309,19.9986811,2.3001258,1.0,2.1403436,1.0,16.0195001,0.5,0.047191,1.0,24.1662471,2.0,12.5436486,1.0,2.1663978,1.0,2.0470451,1.0,2.1503436,0.057191,12.5536486,2.0570451,2.1036944,40673598.7656533,1.0,46017484.0356,1.0,46017484.0356,45430222.7878933,2.0,24318911.05928,1.0,24318911.05928,0.340115,0.5543578,62437400.0,68608400.0,68608400.0,17958487.3717067,1.0,21698572.97632,1.0,21698572.97632,14.4272389,None
TLV:FRDN,FRIDENSON,Industrials,Israel,0.0243487,330588533.3333333,0.0,5542800.0,56457133.3333333,1.0,489902000.0,0.0,62803000.0,0.0,293811000.0,1.0,62803000.0,293811000.0,489902000.0,330588533.3333333,1.0,5542800.0,489902000.0,1.0,62803000.0,1.0,62803000.0,489902000.0,0.1164898,0.1164898,2.2657925,2.2657925,2.2657925,0.0720151,2.2657925,1.3746412,1.326905,47783324.5436105,51102000.0,41789800.0,51102000.0,0.11983,0.016561,0.0,2.2025556,10.0,0.7806489,0.01,0.70701,0,39.196,8753,0.004478,0.8451817,1371760,11090000,8.0845046,450,61122937,3774330508,24644.4444444,23.494,0.577,0.2843789,0.1527864,0.2843789,0.1527864,17.6915947,42.3113774,0.4709466,7.1125549,0.1280717,0.1280717,25763800.0,1.0,42574000.0,1.0,2.3724349,1.435687,1.435687,1.8357103,0.5,5.7167853,2.0,5.7167853,2.39198,USD,ILS,1.0,0.3098132,490.253,142.967,109.349,182.247,8753,5555,11400,9396.2,-6.8453204,57.569757,-23.2192982,1.0942686,1.7168946,1.2888047,1.0,1.5283056,1.0,0.4861749,1.0,0.3949973,0.5,2.6154262,12.0,0.2425684,1.0,1.0058856,1.0,1.0872283,1.0,1.5383056,0.4049973,0.2525684,1.0972283,1.3177669,812440266.6666666,2.0,421317533.3333333,1.0,421317533.3333333,86687933.3333333,1.0,181462400.0,1.5,181462400.0,0.2490633,0.4460937,-8466.6666667,18590533.3333333,18590533.3333333,636425066.6666666,2.0,298342466.6666667,1.0,298342466.6666667,3.1869906,None
TLV:NTML,NETO MALINDA,Consumer Defensive,Israel,0.0430893,11095067733.333334,0.0,114305866.6666667,679340600.0,1.0,3123980000.0,0.0,336176000.0,0.0,4897507500.0,1.5,336176000.0,4897507500.0,3123980000.0,11095067733.333334,4.0,114305866.6666667,3123980000.0,1.0,336176000.0,2.0,336176000.0,3123980000.0,0.2168692,0.2168692,15.18898,15.18898,15.18898,0.2531813,15.18898,2.7811931,2.7699803,245571885.4851286,247552000.0,178425466.6666667,247552000.0,0.0538,0.0433945,0.0,57.9641621,1000.0,19.3547855,0.28788,0.46324,0,8.493,12750,0.0006661,2.3129886,19790200,168088000,8.4934968,1080,677475751,79093323269,155637.037037,0.141,0.076,0.3531783,0.1227267,0.3531783,0.1227267,0.1940446,4.6550492,0.0876817,3.2111093,78.275724,78.275724,97535200.0,1.0,107831000.0,0.5,6.9459616,6.282755,6.282755,0.4045926,1.0,0.4152196,1.0,0.4152196,0.6453754,USD,ILS,1.0,0.3098132,479.025,479.025,608.69,0,12750,6210,12970,8904.505,43.1859491,105.3140097,-1.6962221,1.9349112,52.4766724,7.0139291,2.0,3.4403167,1.0,0.0366611,0.1666667,0.0999571,1.0,0.3167679,1.0,0.2201124,0.5,6.4741826,2.0,3.2457306,1.0,3.4503167,0.1099571,0.2301124,3.2557306,3.3530237,2546445733.3333335,2.0,2287186400.0,1.5,2287186400.0,898962466.6666666,1.0,1601312400.0,1.5,1601312400.0,0.2469823,0.3099378,765202266.6666666,927360066.6666666,927360066.6666666,363301933.3333333,1.0,665196100.0,1.5,665196100.0,8.7490503,None
TLV:SCOP,SCOPE,Industrials,Israel,0.0463324,87553453.0070067,0.25,23343495.1804,33199644.47464,1.0,400507916.168,1.0,93035045.0808,2.0,243563829.6582,1.5,93035045.0808,243563829.6582,400507916.168,87553453.0070067,0.25,23343495.1804,400507916.168,1.0,93035045.0808,2.0,93035045.0808,400507916.168,0.5316395,0.5316395,10.235746,10.235746,10.235746,0.3757486,10.235746,2.7821225,2.7694526,249293404.8997773,251564000.0,151424733.3333333,251564000.0,0.11615,0.0310356,0.5,132.2444323,1000.0,44.1315393,0.26204,0.42458,0,13.277,13390,0.0009916,3.43833,11536900,150147008,13.014502,524,687247726,48574519538,286540.0916031,1.885,0.254,-0.1580669,-0.0315547,-0.1580669,-0.0315547,1.3742333,11.9727696,0.1826113,4.5233047,7.4483322,7.4483322,15674627.07816,0.5,52623011.2728,1.0,43.8445982,13.0598328,13.0598328,2.8027761,1.0,2.6073219,1.0,2.6073219,1.6157204,ILS,ILS,0.3098132,0.3098132,500.0,200.0,400.0,400.0,13390,6822,15000,12190.68,9.8380074,96.2767517,-10.7333333,1.6062607,17.1749785,0.2272902,0.1666667,1.3845744,1.0,1.9834018,1.0,0.0605871,0.25,0.0412224,0.5,0.0155517,0.5,1.3259982,0.5,2.6008177,1.0,1.3945744,0.0705871,0.0255517,2.6108177,2.0026961,478884851.9340534,1.0,506298528.35656,1.0,506298528.35656,126697385.2425333,1.0,140583729.2218667,1.0,140583729.2218667,0.2837553,0.7617768,678939666.6666666,714253600.0,714253600.0,704374933.38304,2.0,365714799.1346933,1.0,365714799.1346933,9.191015,None
TLV:WLFD,WILLY FOOD,Consumer Defensive,Israel,0.0506159,512555288.5474134,4.0,8524159.0763733,98873247.6384533,2.0,138247944.236,1.0,9943144.8408,1.0,363290521.1718,1.5,9943144.8408,363290521.1718,138247944.236,512555288.5474134,4.0,8524159.0763733,138247944.236,1.0,9943144.8408,1.0,9943144.8408,138247944.236,0.2689179,0.2689179,16.46502,16.46502,16.46502,0.3664075,16.46502,2.5122752,2.4876186,48741259.9580713,49698000.0,53583866.6666667,49698000.0,0.07192,95.552367,1400.0,0.5295638,10.0,32.0522836,0.15461,0.62624,0,2.43,3988,0.0006093,1.4285715,13190300,32094000,2.4331516,181,120047866,16350203204,177314.9171271,-0.81,-0.051,0.3119792,0.1448205,0.3119792,0.1448205,-0.5295052,0.1970495,-0.0020449,0.2497955,-31.0951054,3215.9402139,5777159.0301467,0.5,17397870.0592,1.0,20.7797406,6.9001473,6.9001473,0.2563259,2.0,0.2891774,2.0,0.2891774,0.5387522,ILS,ILS,0.3098132,0.3098132,30.0551,60.1101,37.5688,105.219,3988,3195,4725,3845.94,3.6937654,24.8200313,-15.5978836,1.0366013,1.2407107,28.5224311,2.0,12.6004321,1.0,1.7172807,2.0,1.3369176,1.0,1.3621106,1.0,0.3405277,1.0,28.2278355,2.0,13.4896355,1.0,12.6104321,1.3469176,0.3505277,13.4996355,13.0550338,353422258.1814401,2.0,203930036.2814933,1.0,203930036.2814933,197990256.3026667,2.0,169900319.6272,1.5,169900319.6272,0.1487576,0.1585234,483274066.6666667,546159133.3333334,546159133.3333334,12780228.23848,1.0,16388787.8125867,1.0,16388787.8125867,24.6122303,None
TLV:HLAN,HILAN,Technology,Israel,0.0813693,1948377045.81376,4.0,37623529.12008,198577166.4287467,2.0,524583145.7568,1.0,44418538.1104,1.0,786025675.5606,1.5,44418538.1104,786025675.5606,524583145.7568,1948377045.81376,4.0,37623529.12008,524583145.7568,1.0,44418538.1104,1.0,44418538.1104,524583145.7568,0.8659279,0.8659279,30.60703,30.60703,30.60703,0.790992,4.3724329,6.6331006,6.2115203,253198853.993461,285384000.0,233810066.6666667,285384000.0,0.08467,110.2905642,1400.0,0.0391572,0.5,36.8057972,0.36452,0.33332,0,6.26,19550,0.0003202,7.9873267,22562700,143372000,6.3543813,4100,1466006161,133932662352,34968.7804878,0.141,0.043,0.1125083,0.0557713,0.1125083,0.0557713,0.1338771,3.9089215,0.0461928,2.3992515,228.620414,228.620414,65734450.4762933,1.0,78784257.5072,1.0,22.301946,18.6078565,18.6078565,0.9343009,0.5,0.7632719,0.5,0.7632719,0.8746543,ILS,ILS,0.3098132,0.3098132,100.0,100.0,100.0,100.0,19550,14270,21600,17911.35,9.1486683,37.0007008,-9.4907407,1.4406548,8.9404558,1.5504882,1.0,3.3329038,2.0,0.27501,1.0,0.4497162,1.0,0.505821,1.0,0.3520404,1.0,1.2035803,1.0,2.4750739,2.0,3.3429038,0.4597162,0.3620404,2.4850739,2.9139888,790122882.8408533,2.0,419103234.8994133,1.0,419103234.8994133,274740610.80608,2.0,165093010.16544,1.0,165093010.16544,0.2059847,0.3690516,128063066.6666667,151730000.0,151730000.0,508652385.7790934,2.0,251657338.0594667,1.0,251657338.0594667,18.0451374,None
TLV:AMRK,AMIR MARK.,Basic Materials,Israel,0.120568,989802000.0,0.0,22388400.0,228939266.6666667,1.0,1136580000.0,0.0,47773000.0,0.0,1527753000.0,1.5,47773000.0,1527753000.0,1136580000.0,989802000.0,1.0,22388400.0,1136580000.0,1.0,47773000.0,1.0,47773000.0,1136580000.0,0.1496398,0.1496398,10.337874,10.337874,10.337874,0.134769,10.337874,2.1451466,2.1216583,81014853.5528596,82789000.0,63668066.6666667,82789000.0,0.04203,0.0219247,0.0,5.1205352,100.0,1.7291633,0.07732,0.7197,0,3.818,3912,0.000976,1.3651299,12526300,47773000,3.8138157,213,169982933,15317568782,224286.3849765,2.356,0.171,1.1211044,0.0280401,1.1211044,0.0280401,2.0472761,14.5583056,0.13526,3.9277713,5.0495749,5.0495749,71176066.6666667,1.0,12390500.0,0.5,2.3882035,13.7188114,13.7188114,1.332432,1.0,2.6777449,2.0,2.6777449,1.6373816,USD,ILS,1.0,0.3098132,80.0,6.0,23.0,80.0,0.6625584,2254,4363,3392.2,15.323389,73.5581189,-10.3369241,1.5723092,15.1087193,1.7523928,1.0,1.7502672,1.0,0.3234939,1.0,0.2568337,1.0,1.6695001,1.0,1.1073827,1.0,1.3891374,1.0,1.3919871,1.0,1.7602672,0.2668337,1.1173827,1.4019871,1.5811272,731243600.0,1.0,818547533.3333334,1.0,818547533.3333334,313776266.6666667,1.0,525319500.0,1.5,525319500.0,0.1583631,0.1909408,149902466.6666667,171480400.0,171480400.0,417467333.3333333,1.0,468334533.3333333,1.0,468334533.3333333,4.9196958,None
