Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,2559.0,2633.0,2575.0,,,
2021-01-25,2575.0,2640.0,2640.0,,,
2021-01-26,2636.0,2700.0,2700.0,,,
2021-01-27,2633.0,2740.0,2740.0,,,
2021-01-28,2801.0,2907.0,2867.0,,,
2021-01-31,2979.0,3001.0,2990.0,,,
2021-02-01,2999.0,3055.0,3044.0,,,
2021-02-02,3040.0,3121.0,3111.0,,,
2021-02-03,3190.0,3233.0,3222.0,,,
2021-02-04,3104.0,3190.0,3190.0,,,
2021-02-07,3210.0,3265.0,3259.0,,,
2021-02-08,3190.0,3260.0,3255.0,,,
2021-02-09,3138.0,3255.0,3200.0,,,
2021-02-10,3200.0,3248.0,3200.0,,,
2021-02-11,3202.0,3251.0,3251.0,,,
2021-02-14,3207.0,3279.0,3219.0,,,
2021-02-15,3193.0,3270.0,3208.0,,,
2021-02-16,3186.0,3214.0,3201.0,,,
2021-02-17,3102.0,3180.0,3159.0,,,
2021-02-18,3100.0,3162.0,3138.0,3058.45,,
2021-02-21,3141.0,3185.0,3184.0,3088.9,,
2021-02-22,3133.0,3320.0,3146.0,3114.2,,
2021-02-23,3005.0,3146.0,3047.0,3131.55,,
2021-02-24,3092.0,3188.0,3127.0,3150.9,,
2021-02-25,3065.0,3162.0,3142.0,3164.65,,
2021-02-28,3000.0,3142.0,3041.0,3167.2,,
2021-03-01,3050.0,3157.0,3157.0,3172.85,,
2021-03-02,3086.0,3157.0,3142.0,3174.4,,
2021-03-03,3142.0,3142.0,3142.0,3170.4,,
2021-03-04,3099.0,3193.0,3130.0,3167.4,,
2021-03-07,3130.0,3130.0,3130.0,3160.95,,
2021-03-08,2983.0,3180.0,3168.0,3156.6,,
2021-03-09,3099.0,3199.0,3198.0,3156.5,,
2021-03-10,3174.0,3250.0,3249.0,3158.95,,
2021-03-11,3190.0,3248.0,3220.0,3157.4,,
2021-03-14,2980.0,3220.0,3199.0,3156.4,,
2021-03-15,3130.0,3240.0,3230.0,3157.5,,
2021-03-16,3160.0,3265.0,3259.0,3160.4,,
2021-03-17,3191.0,3250.0,3191.0,3162.0,,
2021-03-18,3191.0,3240.0,3239.0,3167.05,,
2021-03-21,3316.0,3342.0,3333.0,3174.5,,
2021-03-22,3254.0,3334.0,3280.0,3181.2,,
2021-03-23,3254.0,3334.0,3280.0,3192.85,,
2021-03-24,3193.0,3251.0,3193.0,3196.15,,
2021-03-25,3150.0,3279.0,3210.0,3199.55,,
2021-03-29,3226.0,3270.0,3263.0,3210.65,,
2021-03-30,3234.0,3263.0,3260.0,3215.8,,
2021-03-31,3270.0,3330.0,3330.0,3225.2,,
2021-04-01,3289.0,3353.0,3353.0,3235.75,,
2021-04-04,3353.0,3353.0,3353.0,3246.9,3147.3,
2021-04-05,3250.0,3300.0,3297.0,3255.25,3161.74,
2021-04-06,3250.0,3308.0,3308.0,3262.25,3175.1,
2021-04-07,3260.0,3307.0,3298.0,3267.25,3187.06,
2021-04-08,3269.0,3298.0,3293.0,3269.45,3198.12,
2021-04-11,3300.0,3350.0,3342.0,3275.55,3207.62,
2021-04-12,3315.0,3364.0,3352.0,3283.2,3214.86,
2021-04-13,3311.0,3352.0,3344.0,3288.9,3220.86,
2021-04-14,3311.0,3352.0,3344.0,3293.15,3225.52,
2021-04-15,3311.0,3352.0,3344.0,3300.8,3227.96,
2021-04-18,3180.0,3300.0,3300.0,3303.85,3230.16,
2021-04-19,3204.0,3299.0,3226.0,3298.5,3229.5,
2021-04-20,3212.0,3244.0,3244.0,3296.7,3229.28,
2021-04-21,3206.0,3240.0,3238.0,3294.6,3230.04,
2021-04-22,3280.0,3319.0,3304.0,3300.15,3232.12,
2021-04-25,3243.0,3335.0,3304.0,3304.85,3233.18,
2021-04-26,3260.0,3303.0,3290.0,3306.2,3234.6,
2021-04-27,3244.0,3298.0,3298.0,3308.1,3236.4,
2021-04-28,3253.0,3298.0,3289.0,3306.05,3238.16,
2021-04-29,3050.0,3352.0,3345.0,3305.65,3241.88,
2021-05-02,3375.0,3415.0,3406.0,3308.3,3247.24,
2021-05-03,3394.0,3419.0,3419.0,3314.4,3251.94,
2021-05-04,3364.0,3426.0,3391.0,3318.55,3256.84,
2021-05-05,3441.0,3482.0,3470.0,3327.15,3265.3,
2021-05-06,3322.0,3445.0,3322.0,3328.6,3269.2,
2021-05-09,3354.0,3448.0,3377.0,3330.35,3273.9,
2021-05-10,3344.0,3423.0,3360.0,3330.75,3280.28,
2021-05-11,3350.0,3424.0,3379.0,3332.5,3284.72,
2021-05-12,3312.0,3383.0,3324.0,3331.5,3288.36,
2021-05-13,3203.0,3305.0,3275.0,3328.05,3291.02,
2021-05-17,3203.0,3305.0,3275.0,3326.8,3293.92,
2021-05-18,3411.0,3470.0,3470.0,3339.0,3300.72,
2021-05-19,3362.0,3470.0,3459.0,3349.75,3306.54,
2021-05-20,3446.0,3500.0,3490.0,3362.35,3312.38,
2021-05-23,3443.0,3490.0,3450.0,3369.65,3316.4,
2021-05-24,3450.0,3500.0,3477.0,3378.3,3321.54,
2021-05-25,3465.0,3509.0,3495.0,3388.55,3327.46,
2021-05-26,3410.0,3495.0,3424.0,3394.85,3331.34,
2021-05-27,3353.0,3424.0,3359.0,3398.35,3333.34,
2021-05-30,3359.0,3452.0,3438.0,3403.0,3338.28,
