Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,,,,,,
2021-01-25,,,,,,
2021-01-26,,,,,,
2021-01-27,,,,,,
2021-01-28,,,,,,
2021-01-31,,,,,,
2021-02-01,,,,,,
2021-02-02,,,,,,
2021-02-03,,,,,,
2021-02-04,,,,,,
2021-02-07,,,,,,
2021-02-08,,,,,,
2021-02-09,,,,,,
2021-02-10,,,,,,
2021-02-11,,,,,,
2021-02-14,,,,,,
2021-02-15,,,,,,
2021-02-16,,,,,,
2021-02-17,,,,,,
2021-02-18,,,,,,
2021-02-21,,,,,,
2021-02-22,,,,,,
2021-02-23,,,,,,
2021-02-24,,,,,,
2021-02-25,,,,,,
2021-02-28,,,,,,
2021-03-01,,,,,,
2021-03-02,,,,,,
2021-03-03,,,,,,
2021-03-04,,,,,,
2021-03-07,,,,,,
2021-03-08,,,,,,
2021-03-09,,,,,,
2021-03-10,,,,,,
2021-03-11,,,,,,
2021-03-14,,,,,,
2021-03-15,,,,,,
2021-03-16,,,,,,
2021-03-17,,,,,,
2021-03-18,,,,,,
2021-03-21,,,,,,
2021-03-22,,,,,,
2021-03-23,,,,,,
2021-03-24,,,,,,
2021-03-25,,,,,,
2021-03-29,,,,,,
2021-03-30,,,,,,
2021-03-31,,,,,,
2021-04-01,,,,,,
2021-04-04,,,,,,
2021-04-05,,,,,,
2021-04-06,,,,,,
2021-04-07,,,,,,
2021-04-08,,,,,,
2021-04-11,,,,,,
2021-04-12,,,,,,
2021-04-13,,,,,,
2021-04-14,,,,,,
2021-04-15,,,,,,
2021-04-18,,,,,,
2021-04-19,,,,,,
2021-04-20,,,,,,
2021-04-21,,,,,,
2021-04-22,,,,,,
2021-04-25,,,,,,
2021-04-26,,,,,,
2021-04-27,,,,,,
2021-04-28,,,,,,
2021-04-29,,,,,,
2021-05-02,,,,,,
2021-05-03,,,,,,
2021-05-04,,,,,,
2021-05-05,,,,,,
2021-05-06,,,,,,
2021-05-09,,,,,,
2021-05-10,,,,,,
2021-05-11,,,,,,
2021-05-12,,,,,,
2021-05-13,,,,,,
2021-05-17,,,,,,
2021-05-18,,,,,,
2021-05-19,,,,,,
2021-05-20,,,,,,
2021-05-23,,,,,,
2021-05-24,,,,,,
2021-05-25,,,,,,
2021-05-26,,,,,,
2021-05-27,,,,,,
2021-05-30,,,,,,
2021-05-31,,,,,,
2021-06-01,,,,,,
2021-06-02,,,,,,
2021-06-03,178.0,182.0,181.1999969482422,,,
2021-06-06,180.0,180.0,180.0,,,
2021-06-07,179.89999389648438,187.6999969482422,182.89999389648438,,,
2021-06-08,182.89999389648438,191.8000030517578,185.60000610351562,,,
2021-06-09,191.0,191.0,191.0,,,
2021-06-10,192.0,192.0,191.89999389648438,,,
2021-06-13,201.6999969482422,201.8000030517578,201.6999969482422,,,
2021-06-14,201.6999969482422,201.6999969482422,201.6999969482422,,,
2021-06-15,201.6999969482422,201.6999969482422,201.6999969482422,,,
2021-06-16,201.6999969482422,201.6999969482422,201.6999969482422,,,
2021-06-17,198.0,201.0,199.89999389648438,,,
2021-06-20,199.89999389648438,199.89999389648438,199.89999389648438,,,
2021-06-21,199.89999389648438,203.6999969482422,201.1999969482422,,,
2021-06-22,201.1999969482422,201.1999969482422,201.1999969482422,,,
2021-06-23,195.0,201.10000610351562,196.0,,,
2021-06-24,201.10000610351562,201.10000610351562,201.10000610351562,,,
2021-06-27,203.89999389648438,203.89999389648438,203.89999389648438,,,
2021-06-28,193.10000610351562,195.0,194.10000610351562,,,
2021-06-29,194.10000610351562,194.10000610351562,194.10000610351562,,,
2021-06-30,190.0,195.10000610351562,191.39999389648438,195.1099983215332,,
2021-07-01,191.0,203.89999389648438,195.6999969482422,195.8349983215332,,
2021-07-04,195.6999969482422,195.6999969482422,195.6999969482422,196.6199981689453,,
2021-07-05,190.0,208.0,198.8000030517578,197.41499862670898,,
2021-07-06,198.8000030517578,198.8000030517578,198.8000030517578,198.0749984741211,,
2021-07-07,275.1000061035156,339.0,287.70001220703125,202.90999908447264,,
2021-07-08,250.0,310.0,257.70001220703125,206.2,,
2021-07-11,230.0,250.0,237.1999969482422,207.975,,
2021-07-12,201.5,222.0,209.0,208.3400001525879,,
2021-07-13,216.0,240.0,227.10000610351562,209.61000061035156,,
2021-07-14,226.89999389648438,230.0,227.6999969482422,210.91000061035157,,
2021-07-15,214.1999969482422,227.6999969482422,217.39999389648438,211.78500061035157,,
2021-07-19,190.39999389648438,215.5,198.3000030517578,211.70500106811522,,
2021-07-20,207.0,222.0,218.39999389648438,212.56500091552735,,
2021-07-21,218.0,225.0,223.89999389648438,213.70000076293945,,
2021-07-22,233.0,235.0,234.0,215.60000076293946,,
2021-07-25,215.0,233.8000030517578,221.89999389648438,216.6400001525879,,
2021-07-26,221.89999389648438,221.89999389648438,221.89999389648438,217.54000015258788,,
2021-07-27,205.0,245.0,225.8000030517578,219.125,,
2021-07-28,230.0,286.0,237.10000610351562,221.275,,
2021-07-29,237.10000610351562,260.79998779296875,250.89999389648438,224.25,,
2021-08-01,250.89999389648438,278.0,260.6000061035156,227.49500045776367,,
2021-08-02,235.10000610351562,257.8999938964844,239.6999969482422,229.69500045776368,,
2021-08-03,239.89999389648438,260.0,243.0,231.90500030517578,,
2021-08-04,244.0,254.89999389648438,248.0,234.3650001525879,,
2021-08-05,240.0,254.5,254.39999389648438,232.69999923706055,,
2021-08-08,240.10000610351562,274.70001220703125,259.8999938964844,232.80999832153321,,
2021-08-09,229.39999389648438,259.79998779296875,240.8000030517578,232.989998626709,,
2021-08-10,240.8000030517578,259.70001220703125,241.1999969482422,234.5999984741211,,
2021-08-11,230.0,241.1999969482422,233.8000030517578,234.93499832153321,,
2021-08-12,215.0,233.6999969482422,215.89999389648438,234.34499816894532,216.48999908447266,
2021-08-15,201.0,222.0,210.5,233.9999984741211,217.0759991455078,
2021-08-16,190.10000610351562,205.0,192.1999969482422,233.69499816894532,217.31999908447267,
2021-08-17,192.0,211.5,193.8000030517578,232.464998626709,217.53799926757813,
2021-08-18,193.8000030517578,201.0,200.3000030517578,231.28499908447264,217.83199920654297,
2021-08-19,188.0,200.3000030517578,190.8000030517578,229.12499923706054,217.82799926757812,
2021-08-22,207.8000030517578,207.8000030517578,197.8000030517578,227.9199996948242,217.9459994506836,
2021-08-23,191.89999389648438,197.89999389648438,194.89999389648438,226.56999969482422,217.80999938964842,
2021-08-24,194.89999389648438,210.0,202.5,225.40499954223634,217.82599945068358,
2021-08-25,202.39999389648438,209.89999389648438,202.8000030517578,223.68999938964845,217.8479995727539,
2021-08-26,202.8000030517578,202.8000030517578,202.8000030517578,221.2849998474121,217.86999969482423,
2021-08-29,202.8000030517578,202.8000030517578,202.8000030517578,218.3949996948242,217.9279998779297,
2021-08-30,201.60000610351562,202.8000030517578,201.60000610351562,216.4900001525879,217.96200012207032,
2021-08-31,201.60000610351562,202.0,201.89999389648438,214.43499984741212,217.97600006103517,
2021-09-01,202.3000030517578,202.3000030517578,202.0,212.1349998474121,217.99200012207032,
2021-09-02,184.89999389648438,202.39999389648438,184.89999389648438,208.6599998474121,217.77,
2021-09-05,171.0,195.60000610351562,190.0,205.16500015258788,217.5479998779297,
2021-09-07,171.0,195.60000610351562,190.0,202.625,217.27,
2021-09-08,171.0,195.60000610351562,190.0,200.06500015258788,217.18799987792968,
2021-09-09,190.0,190.0,190.0,197.875,217.1059997558594,
2021-09-12,190.0,190.0,190.0,196.5800003051758,217.0779998779297,
2021-09-13,189.6999969482422,190.0,189.6999969482422,195.54000015258788,216.9579998779297,
2021-09-14,190.0,190.0,189.89999389648438,195.425,216.84199981689454,
2021-09-15,190.0,190.0,189.89999389648438,195.22999954223633,216.66399963378908,
2021-09-16,190.0,190.0,189.89999389648438,194.70999908447266,216.4859994506836,
2021-09-19,182.3000030517578,189.89999389648438,186.89999389648438,194.51499862670897,214.46999908447265,
2021-09-20,182.3000030517578,189.89999389648438,186.89999389648438,193.96999816894532,213.0539987182617,
2021-09-21,182.3000030517578,189.89999389648438,186.89999389648438,193.56999816894532,212.04799865722657,
2021-09-22,180.0,186.89999389648438,183.8000030517578,192.6349983215332,211.54399871826172,
2021-09-23,175.0,200.0,181.60000610351562,191.5749984741211,210.63399871826172,
2021-09-26,181.60000610351562,190.0,181.6999969482422,190.5199981689453,209.7139987182617,
2021-09-27,181.60000610351562,190.0,181.6999969482422,189.46499786376953,208.99999877929687,
2021-09-28,181.60000610351562,190.0,181.6999969482422,188.46999740600586,208.66799865722658,
2021-09-29,181.89999389648438,197.89999389648438,188.10000610351562,187.7799980163574,208.0619989013672,
2021-09-30,188.10000610351562,188.10000610351562,188.10000610351562,187.0849983215332,207.34599914550782,
2021-10-03,180.0,188.10000610351562,180.0,186.839998626709,206.2659991455078,
2021-10-04,172.8000030517578,172.8000030517578,178.89999389648438,186.2849983215332,205.40599914550782,
2021-10-05,184.89999389648438,184.89999389648438,183.89999389648438,185.97999801635743,204.6459991455078,
2021-10-06,177.60000610351562,200.0,182.10000610351562,185.5849983215332,203.77199920654297,
2021-10-07,175.0,190.0,179.1999969482422,185.0449981689453,202.6139990234375,
2021-10-10,175.0,180.0,179.60000610351562,184.5249984741211,201.18799926757814,
2021-10-11,175.89999389648438,179.60000610351562,178.60000610351562,183.96999893188476,199.54799926757812,
2021-10-12,170.0,178.60000610351562,175.6999969482422,183.25999908447267,198.26799926757812,
2021-10-13,175.0,175.0,175.10000610351562,182.5199996948242,196.90999938964845,
