Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,,,,,,
2021-01-25,,,,,,
2021-01-26,,,,,,
2021-01-27,,,,,,
2021-01-28,,,,,,
2021-01-31,,,,,,
2021-02-01,,,,,,
2021-02-02,,,,,,
2021-02-03,,,,,,
2021-02-04,,,,,,
2021-02-07,,,,,,
2021-02-08,,,,,,
2021-02-09,,,,,,
2021-02-10,,,,,,
2021-02-11,,,,,,
2021-02-14,,,,,,
2021-02-15,,,,,,
2021-02-16,,,,,,
2021-02-17,,,,,,
2021-02-18,,,,,,
2021-02-21,,,,,,
2021-02-22,,,,,,
2021-02-23,,,,,,
2021-02-24,,,,,,
2021-02-25,,,,,,
2021-02-28,,,,,,
2021-03-01,,,,,,
2021-03-02,,,,,,
2021-03-03,,,,,,
2021-03-04,,,,,,
2021-03-07,,,,,,
2021-03-08,4850.0,5231.0,4850.0,,,
2021-03-09,4850.0,4850.0,4850.0,,,
2021-03-10,4588.0,4771.0,4716.0,,,
2021-03-11,4466.0,4716.0,4550.0,,,
2021-03-14,4340.0,4425.0,4346.0,,,
2021-03-15,4178.0,4346.0,4178.0,,,
2021-03-16,4020.0,4178.0,4020.0,,,
2021-03-17,4020.0,4020.0,4020.0,,,
2021-03-18,3662.0,4020.0,3807.0,,,
2021-03-21,3909.0,3909.0,3909.0,,,
2021-03-22,3984.0,3985.0,3985.0,,,
2021-03-23,3984.0,3985.0,3985.0,,,
2021-03-24,3985.0,4124.0,4124.0,,,
2021-03-25,3907.0,4063.0,4060.0,,,
2021-03-29,4060.0,4060.0,4060.0,,,
2021-03-30,4060.0,4303.0,4300.0,,,
2021-03-31,4180.0,4261.0,4261.0,,,
2021-04-01,4261.0,4429.0,4348.0,,,
2021-04-04,4348.0,4348.0,4348.0,,,
2021-04-05,4348.0,4500.0,4439.0,4257.8,,
2021-04-06,4338.0,4338.0,4338.0,4232.2,,
2021-04-07,4254.0,4400.0,4329.0,4206.15,,
2021-04-08,4125.0,4299.0,4239.0,4182.3,,
2021-04-11,4112.0,4157.0,4119.0,4160.75,,
2021-04-12,4108.0,4199.0,4124.0,4149.65,,
2021-04-13,4122.0,4269.0,4187.0,4150.1,,
2021-04-14,4122.0,4269.0,4187.0,4158.45,,
2021-04-15,4122.0,4269.0,4187.0,4166.8,,
2021-04-18,4124.0,4269.0,4130.0,4182.95,,
2021-04-19,4126.0,4210.0,4164.0,4195.7,,
2021-04-20,4095.0,4200.0,4113.0,4202.1,,
2021-04-21,4027.0,4190.0,4071.0,4206.4,,
2021-04-22,4029.0,4151.0,4047.0,4202.55,,
2021-04-25,4040.0,4040.0,4040.0,4201.55,,
2021-04-26,4014.0,4109.0,4028.0,4199.95,,
2021-04-27,4022.0,4104.0,4033.0,4186.6,,
2021-04-28,4010.0,4089.0,4028.0,4174.95,,
2021-04-29,4005.0,4107.0,4045.0,4159.8,,
2021-05-02,4000.0,4119.0,4096.0,4147.2,,
2021-05-03,4170.0,4170.0,4170.0,4133.75,,
2021-05-04,4090.0,4199.0,4135.0,4123.6,,
2021-05-05,4135.0,4296.0,4183.0,4116.3,,
2021-05-06,4100.0,4200.0,4100.0,4109.35,,
2021-05-09,3613.0,4021.0,3692.0,4088.0,,
2021-05-10,3250.0,3692.0,3326.0,4048.1,,
2021-05-11,3114.0,3235.0,3190.0,3998.25,,
2021-05-12,2911.0,3074.0,2968.0,3937.3,,
2021-05-13,2910.0,2910.0,2910.0,3873.45,,
2021-05-17,2910.0,2910.0,2910.0,3812.45,,
2021-05-18,2732.0,2910.0,2876.0,3748.05,4042.42,
2021-05-19,2876.0,2876.0,2876.0,3686.2,4002.94,
2021-05-20,2819.0,2858.0,2852.0,3625.25,3962.98,
2021-05-23,2725.0,2821.0,2780.0,3561.9,3924.26,
2021-05-24,2780.0,3600.0,2949.0,3507.35,3892.24,
2021-05-25,2811.0,3028.0,2950.0,3453.45,3864.32,
2021-05-26,2950.0,3000.0,2996.0,3401.6,3840.68,
2021-05-27,2895.0,3000.0,2997.0,3350.05,3820.22,
2021-05-30,3049.0,3050.0,3050.0,3300.3,3800.82,
2021-05-31,2991.0,3050.0,3030.0,3247.0,3785.28,
2021-06-01,3000.0,3030.0,3024.0,3189.7,3767.58,
2021-06-02,3024.0,3024.0,3024.0,3134.15,3748.36,
2021-06-03,2820.0,2966.0,2844.0,3067.2,3725.54,
2021-06-06,2784.0,2844.0,2834.0,3003.9,3699.74,
2021-06-07,2834.0,3600.0,3109.0,2974.75,3680.72,
2021-06-08,2874.0,3170.0,2952.0,2956.05,3658.56,
2021-06-09,2900.0,2952.0,2926.0,2942.85,3631.08,
2021-06-10,2925.0,3099.0,2976.0,2943.25,3605.38,
2021-06-13,2977.0,3498.0,3080.0,2951.75,3580.02,
2021-06-14,3124.0,3249.0,3170.0,2964.75,3556.46,
2021-06-15,3160.0,3284.0,3176.0,2979.75,3531.2,
2021-06-16,3280.0,3300.0,3291.0,3000.5,3510.26,
2021-06-17,3229.0,3291.0,3262.0,3021.0,3488.92,
2021-06-20,3239.0,3344.0,3264.0,3045.2,3469.42,
2021-06-21,3263.0,3296.0,3279.0,3061.7,3452.62,
2021-06-22,3279.0,3279.0,3279.0,3078.15,3435.72,
2021-06-23,3239.0,3320.0,3251.0,3090.9,3417.0,
2021-06-24,3251.0,3251.0,3251.0,3103.6,3398.28,
2021-06-27,3315.0,3315.0,3302.0,3116.2,3380.58,
2021-06-28,3170.0,3170.0,3276.0,3128.5,3363.5,
2021-06-29,3276.0,3276.0,3276.0,3141.1,3345.74,
2021-06-30,3010.0,3164.0,3104.0,3145.1,3325.56,
2021-07-01,3102.0,3163.0,3109.0,3158.35,3306.32,
2021-07-04,3006.0,3170.0,3092.0,3171.25,3287.22,
2021-07-05,3092.0,3092.0,3092.0,3170.4,3268.26,
2021-07-06,3092.0,3092.0,3092.0,3177.4,3249.54,
2021-07-07,2996.0,3067.0,3032.0,3182.7,3229.52,
2021-07-08,3032.0,3032.0,3032.0,3185.5,3209.6,
2021-07-11,3031.0,3031.0,3031.0,3183.05,3189.32,
2021-07-12,3031.0,3031.0,3031.0,3176.1,3168.02,
2021-07-13,3031.0,3031.0,3031.0,3168.85,3145.24,
2021-07-14,2800.0,3031.0,2904.0,3149.5,3120.62,
2021-07-15,2810.0,2903.0,2811.0,3126.95,3093.18,
2021-07-19,2700.0,2849.0,2774.0,3102.45,3066.66,
2021-07-20,2720.0,2800.0,2777.0,3077.35,3048.36,
2021-07-21,2777.0,2999.0,2846.0,3055.7,3038.76,
2021-07-22,2720.0,2846.0,2737.0,3030.0,3029.7,
2021-07-25,2613.0,2739.0,2699.0,3002.4,3024.32,
2021-07-26,2640.0,2797.0,2746.0,2974.6,3021.04,
2021-07-27,2696.0,2820.0,2761.0,2948.85,3018.06,
2021-07-28,2690.0,2755.0,2739.0,2922.0,3015.32,
2021-07-29,2660.0,2740.0,2688.0,2901.2,3011.56,
2021-08-01,2739.0,2834.0,2780.0,2884.75,3010.12,
2021-08-02,2783.0,2985.0,2817.0,2871.0,3010.86,
2021-08-03,2755.0,2763.0,2759.0,2854.35,3007.06,
2021-08-04,2671.0,2814.0,2761.0,2837.8,3003.28,
2021-08-05,2564.0,2711.0,2574.0,2814.9,2994.84,
2021-08-08,2600.0,2624.0,2619.0,2794.25,2987.28,
2021-08-09,2669.0,2669.0,2669.0,2776.15,2979.66,
2021-08-10,2669.0,2724.0,2709.0,2760.05,2973.24,
2021-08-11,2615.0,2712.0,2707.0,2743.85,2966.9,
2021-08-12,2710.0,2762.0,2728.0,2735.05,2960.98,
2021-08-15,2729.0,2810.0,2778.0,2733.4,2959.66,
2021-08-16,2614.0,2899.0,2754.0,2732.4,2958.06,
2021-08-17,2698.0,2770.0,2723.0,2729.7,2950.34,
2021-08-18,2723.0,2785.0,2764.0,2725.6,2946.58,
2021-08-19,2650.0,2650.0,2738.0,2725.65,2942.82,
2021-08-22,2668.0,2789.0,2755.0,2728.45,2938.4,
2021-08-23,2720.0,2779.0,2741.0,2728.2,2931.62,
2021-08-24,2685.0,2685.0,2705.0,2725.4,2922.32,
2021-08-25,2654.0,2704.0,2654.0,2721.15,2911.88,
2021-08-26,2599.0,2620.0,2602.0,2716.85,2898.1,
2021-08-29,2573.0,2602.0,2591.0,2707.4,2884.68,
2021-08-30,2555.0,2701.0,2623.0,2697.7,2871.86,
2021-08-31,2513.0,2603.0,2555.0,2687.5,2857.38,
2021-09-01,2397.0,2541.0,2472.0,2673.05,2841.24,
2021-09-02,2260.0,2426.0,2304.0,2659.55,2822.3,
2021-09-05,2300.0,2377.0,2328.0,2645.0,2803.84,
2021-09-07,2300.0,2377.0,2328.0,2627.95,2784.36,
2021-09-08,2300.0,2377.0,2328.0,2608.9,2765.4,
2021-09-09,2328.0,2328.0,2328.0,2589.95,2746.44,
2021-09-12,2283.0,2328.0,2320.0,2569.55,2730.76,
2021-09-13,2310.0,2410.0,2339.0,2547.6,2715.36,
2021-09-14,2313.0,2384.0,2348.0,2527.3,2700.48,
2021-09-15,2313.0,2384.0,2348.0,2508.55,2685.6,
2021-09-16,2313.0,2384.0,2348.0,2487.75,2670.72,
2021-09-19,2218.0,2390.0,2287.0,2465.2,2655.82,
2021-09-20,2218.0,2390.0,2287.0,2441.8,2640.92,
2021-09-21,2218.0,2390.0,2287.0,2419.1,2626.04,
2021-09-22,2233.0,2243.0,2240.0,2395.85,2610.22,
2021-09-23,2213.0,2213.0,2213.0,2373.8,2593.86,
