Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,120.0,131.0,124.0,,,
2021-01-25,116.0,126.0,118.0,,,
2021-01-26,108.0,123.0,110.0,,,
2021-01-27,100.0,113.0,103.0,,,
2021-01-28,90.0,103.0,96.0,,,
2021-01-31,90.0,122.0,119.0,,,
2021-02-01,110.0,124.0,112.0,,,
2021-02-02,105.0,116.0,107.0,,,
2021-02-03,100.0,111.0,102.0,,,
2021-02-04,100.0,108.0,101.0,,,
2021-02-07,100.0,108.0,106.0,,,
2021-02-08,101.0,119.0,113.0,,,
2021-02-09,106.0,117.0,108.0,,,
2021-02-10,96.0,113.0,99.0,,,
2021-02-11,95.0,104.0,96.0,,,
2021-02-14,94.0,101.0,96.0,,,
2021-02-15,94.0,101.0,96.0,,,
2021-02-16,92.0,101.0,94.0,,,
2021-02-17,91.0,97.0,92.0,,,
2021-02-18,92.0,97.0,96.0,104.4,,
2021-02-21,92.0,97.0,94.0,102.9,,
2021-02-22,90.0,94.0,90.0,101.5,,
2021-02-23,78.0,94.0,83.0,100.15,,
2021-02-24,79.0,88.0,82.0,99.1,,
2021-02-25,83.0,87.0,84.0,98.5,,
2021-02-28,80.0,87.0,83.0,96.7,,
2021-03-01,83.0,88.0,85.0,95.35,,
2021-03-02,82.0,88.0,87.0,94.35,,
2021-03-03,84.0,94.0,87.0,93.6,,
2021-03-04,90.0,90.0,90.0,93.05,,
2021-03-07,85.0,90.0,85.0,92.0,,
2021-03-08,80.0,88.0,84.0,90.55,,
2021-03-09,80.0,86.0,86.0,89.45,,
2021-03-10,85.0,87.0,85.0,88.75,,
2021-03-11,83.0,86.0,84.0,88.15,,
2021-03-14,83.0,86.0,85.0,87.6,,
2021-03-15,80.0,87.0,82.0,86.9,,
2021-03-16,80.0,85.0,84.0,86.4,,
2021-03-17,77.0,85.0,78.0,85.7,,
2021-03-18,76.0,81.0,79.0,84.85,,
2021-03-21,77.0,80.0,78.0,84.05,,
2021-03-22,78.0,80.0,80.0,83.55,,
2021-03-23,78.0,80.0,80.0,83.4,,
2021-03-24,75.0,80.0,78.0,83.2,,
2021-03-25,79.0,79.0,79.0,82.95,,
2021-03-29,78.0,82.0,82.0,82.9,,
2021-03-30,77.0,83.0,82.0,82.75,,
2021-03-31,78.0,82.0,78.0,82.3,,
2021-04-01,81.0,83.0,82.0,82.05,,
2021-04-04,82.0,82.0,82.0,81.65,91.72,
2021-04-05,79.0,94.0,89.0,81.85,91.02,
2021-04-06,85.0,89.0,87.0,82.0,90.4,
2021-04-07,85.0,85.0,86.0,82.0,89.92,
2021-04-08,80.0,86.0,84.0,81.95,89.54,
2021-04-11,80.0,85.0,81.0,81.8,89.24,
2021-04-12,81.0,91.0,86.0,81.85,88.58,
2021-04-13,81.0,88.0,82.0,81.85,87.98,
2021-04-14,81.0,88.0,82.0,81.75,87.48,
2021-04-15,81.0,88.0,82.0,81.95,87.08,
2021-04-18,79.0,82.0,80.0,82.0,86.66,
2021-04-19,78.0,86.0,79.0,82.05,86.12,
2021-04-20,73.0,80.0,74.0,81.75,85.34,
2021-04-21,74.0,75.0,75.0,81.5,84.68,
2021-04-22,70.0,80.0,72.0,81.2,84.14,
2021-04-25,73.0,76.0,75.0,81.0,83.72,
2021-04-26,69.0,74.0,71.0,80.45,83.22,
2021-04-27,71.0,74.0,72.0,79.95,82.74,
2021-04-28,67.0,73.0,71.0,79.6,82.28,
2021-04-29,72.0,89.0,76.0,79.3,81.96,
2021-05-02,72.0,82.0,72.0,78.8,81.48,
2021-05-03,70.0,72.0,71.0,77.9,81.02,
2021-05-04,70.0,80.0,71.0,77.1,80.64,
2021-05-05,67.0,76.0,68.0,76.2,80.34,
2021-05-06,68.0,74.0,72.0,75.6,80.14,
2021-05-09,70.0,74.0,72.0,75.15,79.9,
