Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,3463.0,3532.0,3463.0,,,
2021-01-25,3372.0,3521.0,3429.0,,,
2021-01-26,3325.0,3466.0,3375.0,,,
2021-01-27,3318.0,3433.0,3337.0,,,
2021-01-28,3241.0,3321.0,3285.0,,,
2021-01-31,3200.0,3278.0,3230.0,,,
2021-02-01,3231.0,3400.0,3320.0,,,
2021-02-02,3292.0,3398.0,3333.0,,,
2021-02-03,3188.0,3355.0,3300.0,,,
2021-02-04,3319.0,3390.0,3363.0,,,
2021-02-07,3333.0,3395.0,3336.0,,,
2021-02-08,3294.0,3380.0,3301.0,,,
2021-02-09,3259.0,3395.0,3390.0,,,
2021-02-10,3304.0,3440.0,3398.0,,,
2021-02-11,3372.0,3477.0,3432.0,,,
2021-02-14,3442.0,3490.0,3460.0,,,
2021-02-15,3450.0,3543.0,3542.0,,,
2021-02-16,3422.0,3496.0,3423.0,,,
2021-02-17,3278.0,3375.0,3327.0,,,
2021-02-18,3309.0,3546.0,3499.0,3377.15,,
2021-02-21,3506.0,3575.0,3512.0,3379.6,,
2021-02-22,3450.0,3523.0,3470.0,3381.65,,
2021-02-23,3383.0,3480.0,3401.0,3382.95,,
2021-02-24,3380.0,3496.0,3454.0,3388.8,,
2021-02-25,3453.0,3549.0,3500.0,3399.55,,
2021-02-28,3420.0,3560.0,3492.0,3412.65,,
2021-03-01,3522.0,3587.0,3587.0,3426.0,,
2021-03-02,3530.0,3645.0,3635.0,3441.1,,
2021-03-03,3623.0,3690.0,3690.0,3460.6,,
2021-03-04,3690.0,3883.0,3859.0,3485.4,,
2021-03-07,3867.0,3949.0,3900.0,3513.6,,
2021-03-08,3782.0,3948.0,3900.0,3543.55,,
2021-03-09,3804.0,3977.0,3864.0,3567.25,,
2021-03-10,3807.0,3908.0,3861.0,3590.4,,
2021-03-11,3870.0,3928.0,3900.0,3613.8,,
2021-03-14,3827.0,3959.0,3913.0,3636.45,,
2021-03-15,3877.0,3938.0,3912.0,3654.95,,
2021-03-16,3887.0,3970.0,3906.0,3679.1,,
2021-03-17,3865.0,3947.0,3874.0,3706.45,,
2021-03-18,3900.0,3980.0,3929.0,3727.95,,
2021-03-21,3965.0,4040.0,3965.0,3750.6,,
2021-03-22,3965.0,4090.0,4028.0,3778.5,,
2021-03-23,3965.0,4090.0,4028.0,3809.85,,
2021-03-24,3979.0,4060.0,4032.0,3838.75,,
2021-03-25,3941.0,4097.0,4001.0,3863.8,,
2021-03-29,4000.0,4097.0,4072.0,3892.8,,
2021-03-30,4065.0,4200.0,4200.0,3923.45,,
2021-03-31,4067.0,4187.0,4080.0,3945.7,,
2021-04-01,4070.0,4189.0,4160.0,3969.2,,
2021-04-04,4160.0,4160.0,4160.0,3984.25,3656.56,
2021-04-05,4151.0,4260.0,4151.0,3996.8,3670.32,
2021-04-06,4026.0,4160.0,4101.0,4006.85,3683.76,
2021-04-07,4002.0,4230.0,4084.0,4017.85,3697.94,
2021-04-08,3928.0,4139.0,4000.0,4024.8,3711.2,
2021-04-11,4001.0,4120.0,4120.0,4035.8,3727.9,
2021-04-12,4099.0,4400.0,4400.0,4060.15,3751.3,
2021-04-13,4272.0,4444.0,4444.0,4086.75,3773.78,
2021-04-14,4272.0,4444.0,4444.0,4113.65,3796.0,
2021-04-15,4272.0,4444.0,4444.0,4142.15,3818.88,
2021-04-18,4357.0,4443.0,4390.0,4165.2,3839.42,
2021-04-19,4378.0,4448.0,4390.0,4186.45,3860.5,
2021-04-20,4258.0,4435.0,4293.0,4199.7,3880.34,
