Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,10520.0,10860.0,10800.0,,,
2021-01-25,10550.0,11020.0,10650.0,,,
2021-01-26,10400.0,10720.0,10620.0,,,
2021-01-27,10480.0,11230.0,10610.0,,,
2021-01-28,10070.0,10500.0,10380.0,,,
2021-01-31,9981.0,11200.0,11200.0,,,
2021-02-01,10850.0,11500.0,10870.0,,,
2021-02-02,10900.0,11180.0,11040.0,,,
2021-02-03,10800.0,11150.0,10850.0,,,
2021-02-04,10890.0,11130.0,10980.0,,,
2021-02-07,11020.0,11310.0,11050.0,,,
2021-02-08,10980.0,11230.0,11140.0,,,
2021-02-09,11200.0,11470.0,11470.0,,,
2021-02-10,11560.0,13430.0,12870.0,,,
2021-02-11,12430.0,13470.0,12450.0,,,
2021-02-14,13030.0,13380.0,13340.0,,,
2021-02-15,13720.0,15320.0,15100.0,,,
2021-02-16,14550.0,15600.0,15060.0,,,
2021-02-17,14900.0,15690.0,15140.0,,,
2021-02-18,15020.0,15640.0,15300.0,12046.0,,
2021-02-21,15040.0,15500.0,15200.0,12266.0,,
2021-02-22,14680.0,15470.0,15470.0,12507.0,,
2021-02-23,14850.0,15910.0,15060.0,12729.0,,
2021-02-24,14990.0,15390.0,15320.0,12964.5,,
2021-02-25,15280.0,15790.0,15400.0,13215.5,,
2021-02-28,14760.0,15380.0,15380.0,13424.5,,
2021-03-01,15540.0,15960.0,15710.0,13666.5,,
2021-03-02,15330.0,15550.0,15510.0,13890.0,,
2021-03-03,15070.0,15620.0,15200.0,14107.5,,
2021-03-04,14820.0,15360.0,15000.0,14308.5,,
2021-03-07,15550.0,16320.0,16050.0,14558.5,,
2021-03-08,15720.0,16240.0,15850.0,14794.0,,
2021-03-09,15830.0,16070.0,15900.0,15015.5,,
2021-03-10,15780.0,16180.0,16000.0,15172.0,,
2021-03-11,16020.0,16240.0,16170.0,15358.0,,
2021-03-14,16220.0,16490.0,16450.0,15513.5,,
2021-03-15,16500.0,17960.0,17800.0,15648.5,,
2021-03-16,17950.0,19480.0,19020.0,15846.5,,
2021-03-17,18720.0,19960.0,19030.0,16041.0,,
2021-03-18,18660.0,19390.0,18920.0,16222.0,,
2021-03-21,18010.0,18550.0,18150.0,16369.5,,
2021-03-22,18050.0,18900.0,18180.0,16505.0,,
2021-03-23,18050.0,18900.0,18180.0,16661.0,,
2021-03-24,16200.0,17690.0,17480.0,16769.0,,
2021-03-25,16240.0,17690.0,16400.0,16819.0,,
2021-03-29,16330.0,17500.0,17500.0,16925.0,,
2021-03-30,17400.0,18340.0,18130.0,17046.0,,
2021-03-31,15830.0,18860.0,16800.0,17110.5,,
2021-04-01,16080.0,17100.0,16560.0,17178.5,,
2021-04-04,16560.0,16560.0,16560.0,17256.5,14786.0,
2021-04-05,16650.0,17400.0,16650.0,17286.5,14903.0,
2021-04-06,15900.0,16630.0,16120.0,17300.0,15012.4,
2021-04-07,15130.0,16500.0,15900.0,17300.0,15118.0,
2021-04-08,15740.0,16240.0,15820.0,17291.0,15222.2,
2021-04-11,15850.0,16170.0,15850.0,17275.0,15331.6,
2021-04-12,15230.0,16000.0,15600.0,17232.5,15419.6,
2021-04-13,14500.0,15660.0,14660.0,17075.5,15495.4,
2021-04-14,14500.0,15660.0,14660.0,16857.5,15567.8,
2021-04-15,14500.0,15660.0,14660.0,16639.0,15644.0,
2021-04-18,13460.0,14650.0,13500.0,16368.0,15694.4,
2021-04-19,13550.0,14720.0,14540.0,16187.5,15764.2,
2021-04-20,14100.0,15040.0,14250.0,15991.0,15826.4,
2021-04-21,13660.0,14200.0,13700.0,15767.0,15871.0,
2021-04-22,12860.0,13680.0,13190.0,15552.5,15877.4,
2021-04-25,13160.0,14000.0,13750.0,15420.0,15903.4,
2021-04-26,14580.0,16200.0,15110.0,15300.5,15938.8,
2021-04-27,14600.0,15360.0,14600.0,15124.0,15928.8,
2021-04-28,13900.0,14930.0,13920.0,14980.0,15906.0,
2021-04-29,13920.0,14590.0,14370.0,14870.5,15890.6,
2021-05-02,14180.0,14950.0,14880.0,14786.5,15882.2,
2021-05-03,14720.0,15300.0,15170.0,14712.5,15881.6,
2021-05-04,15010.0,15790.0,15300.0,14671.5,15878.2,
2021-05-05,15460.0,15810.0,15780.0,14665.5,15892.6,
2021-05-06,15540.0,15850.0,15840.0,14666.5,15903.0,
2021-05-09,15800.0,16380.0,16170.0,14682.5,15918.4,
2021-05-10,15400.0,16260.0,15480.0,14676.5,15920.4,
2021-05-11,14500.0,15100.0,14880.0,14687.5,15903.8,
2021-05-12,14450.0,15340.0,15330.0,14721.0,15900.2,
2021-05-13,14850.0,15340.0,15100.0,14743.0,15898.2,
2021-05-17,14850.0,15340.0,15100.0,14823.0,15900.2,
2021-05-18,15250.0,16170.0,16140.0,14903.0,15902.0,
2021-05-19,15850.0,16570.0,15900.0,14985.5,15903.0,
2021-05-20,15790.0,16460.0,16220.0,15111.5,15909.4,
2021-05-23,16800.0,17490.0,17310.0,15317.5,15935.6,
2021-05-24,17150.0,17590.0,17450.0,15502.5,15961.2,
2021-05-25,17190.0,17590.0,17190.0,15606.5,15976.0,
2021-05-26,16700.0,17410.0,16710.0,15712.0,15954.2,
2021-05-27,16690.0,17480.0,17150.0,15873.5,15916.8,
2021-05-30,17260.0,17770.0,17630.0,16036.5,15888.8,
2021-05-31,16700.0,18330.0,17300.0,16157.5,15856.4,
2021-06-01,17110.0,17750.0,17300.0,16264.0,15839.4,
2021-06-02,17100.0,17470.0,17240.0,16361.0,15820.6,
2021-06-03,17170.0,17690.0,17450.0,16444.5,15806.0,
2021-06-06,17350.0,17690.0,17490.0,16527.0,15806.2,
2021-06-07,17210.0,17500.0,17320.0,16584.5,15824.6,
2021-06-08,17160.0,17640.0,17380.0,16679.5,15822.2,
2021-06-09,17380.0,17670.0,17550.0,16813.0,15810.6,
2021-06-10,17440.0,17680.0,17680.0,16930.5,15828.2,
2021-06-13,17410.0,17830.0,17560.0,17053.5,15848.2,
2021-06-14,17450.0,18190.0,17920.0,17194.5,15875.4,
2021-06-15,18000.0,18640.0,18540.0,17314.5,15913.2,
2021-06-16,18100.0,18880.0,18230.0,17431.0,15955.4,
2021-06-17,17710.0,18350.0,18310.0,17535.5,16003.6,
2021-06-20,17800.0,18200.0,17860.0,17563.0,16044.4,
2021-06-21,17490.0,18090.0,18090.0,17595.0,16089.2,
2021-06-22,18200.0,18750.0,18660.0,17668.5,16150.4,
2021-06-23,18860.0,19440.0,19420.0,17804.0,16245.6,
2021-06-24,18690.0,19600.0,18710.0,17882.0,16326.6,
2021-06-27,18620.0,19000.0,18890.0,17945.0,16411.2,
2021-06-28,18870.0,19990.0,19750.0,18067.5,16536.2,
2021-06-29,19300.0,20980.0,20920.0,18248.5,16663.8,
2021-06-30,20740.0,21970.0,21850.0,18479.0,16815.8,
2021-07-01,21140.0,22340.0,21790.0,18696.0,16977.6,
2021-07-04,21170.0,22000.0,21210.0,18882.0,17138.0,
2021-07-05,20680.0,21880.0,21770.0,19104.5,17298.4,
2021-07-06,21770.0,21770.0,21770.0,19324.0,17431.6,
2021-07-07,19810.0,21650.0,20530.0,19473.0,17550.2,
2021-07-08,18590.0,20850.0,18590.0,19518.5,17643.6,
2021-07-11,19660.0,20200.0,20200.0,19650.5,17760.2,
2021-07-12,19140.0,20340.0,19550.0,19732.0,17853.6,
2021-07-13,19310.0,19930.0,19600.0,19785.0,17942.2,
2021-07-14,19350.0,19930.0,19450.0,19846.0,18025.2,
2021-07-15,18510.0,19060.0,18630.0,19862.0,18082.2,
2021-07-19,16680.0,17990.0,16710.0,19804.5,18099.6,
2021-07-20,16780.0,18600.0,16880.0,19744.0,18113.8,
2021-07-21,17170.0,18060.0,18000.0,19711.0,18164.2,
2021-07-22,18000.0,18680.0,18250.0,19652.5,18231.6,
2021-07-25,18900.0,19490.0,19490.0,19691.5,18314.8,
2021-07-26,18130.0,19400.0,18800.0,19687.0,18388.8,
2021-07-27,18260.0,19140.0,18800.0,19639.5,18462.8,
2021-07-28,18700.0,19150.0,18970.0,19542.0,18519.4,
2021-07-29,18900.0,19600.0,19600.0,19429.5,18593.4,
2021-08-01,19330.0,19940.0,19730.0,19326.5,18663.6,
2021-08-02,20000.0,20810.0,20410.0,19286.5,18725.6,
2021-08-03,18880.0,20130.0,19140.0,19155.0,18759.4,
2021-08-04,18550.0,19720.0,18710.0,19002.0,18789.8,
2021-08-05,18040.0,18570.0,18540.0,18902.5,18826.4,
2021-08-08,17990.0,18710.0,17990.0,18872.5,18843.2,
2021-08-09,16960.0,17830.0,17200.0,18722.5,18834.6,
2021-08-10,17370.0,17980.0,17980.0,18644.0,18848.2,
2021-08-11,17520.0,18270.0,17750.0,18551.5,18857.2,
2021-08-12,17530.0,18120.0,18050.0,18481.5,18873.4,
2021-08-15,17920.0,18450.0,18180.0,18459.0,18888.0,
2021-08-16,17310.0,18180.0,17420.0,18494.5,18886.6,
2021-08-17,17140.0,17650.0,17600.0,18530.5,18892.2,
2021-08-18,17610.0,18220.0,18180.0,18539.5,18908.2,
