Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,10100.0,10440.0,10190.0,,,
2021-01-25,9851.0,10220.0,10050.0,,,
2021-01-26,9705.0,10010.0,9997.0,,,
2021-01-27,9835.0,10100.0,10080.0,,,
2021-01-28,9653.0,9917.0,9840.0,,,
2021-01-31,9677.0,9840.0,9773.0,,,
2021-02-01,9776.0,9980.0,9969.0,,,
2021-02-02,9811.0,10000.0,9929.0,,,
2021-02-03,9794.0,10030.0,9908.0,,,
2021-02-04,9690.0,9908.0,9690.0,,,
2021-02-07,9719.0,9878.0,9770.0,,,
2021-02-08,9599.0,9822.0,9640.0,,,
2021-02-09,9560.0,9677.0,9640.0,,,
2021-02-10,9530.0,9695.0,9585.0,,,
2021-02-11,9441.0,9585.0,9478.0,,,
2021-02-14,9432.0,9601.0,9482.0,,,
2021-02-15,9476.0,9800.0,9742.0,,,
2021-02-16,9667.0,9827.0,9754.0,,,
2021-02-17,9674.0,9819.0,9700.0,,,
2021-02-18,9521.0,9749.0,9650.0,9793.35,,
2021-02-21,9653.0,9800.0,9800.0,9773.85,,
2021-02-22,9682.0,9800.0,9790.0,9760.85,,
2021-02-23,9677.0,9860.0,9763.0,9749.15,,
2021-02-24,9600.0,9849.0,9810.0,9735.65,,
2021-02-25,9679.0,9900.0,9742.0,9730.75,,
2021-02-28,9567.0,9742.0,9720.0,9728.1,,
2021-03-01,9692.0,9813.0,9752.0,9717.25,,
2021-03-02,9678.0,9997.0,9997.0,9720.65,,
2021-03-03,9889.0,10000.0,9962.0,9723.35,,
2021-03-04,9850.0,9965.0,9900.0,9733.85,,
2021-03-07,9950.0,10070.0,10000.0,9745.35,,
2021-03-08,9914.0,10080.0,10010.0,9763.85,,
2021-03-09,10040.0,10220.0,10100.0,9786.85,,
2021-03-10,10070.0,10270.0,10230.0,9819.1,,
2021-03-11,10230.0,10390.0,10390.0,9864.7,,
2021-03-14,10210.0,10470.0,10420.0,9911.6,,
2021-03-15,10230.0,10420.0,10320.0,9940.5,,
2021-03-16,10300.0,10430.0,10350.0,9970.3,,
2021-03-17,10160.0,10460.0,10260.0,9998.3,,
2021-03-18,10180.0,10450.0,10190.0,10025.3,,
2021-03-21,10150.0,10230.0,10210.0,10045.8,,
2021-03-22,10170.0,10480.0,10410.0,10076.8,,
2021-03-23,10170.0,10480.0,10410.0,10109.15,,
2021-03-24,10200.0,10550.0,10410.0,10139.15,,
2021-03-25,10280.0,10500.0,10300.0,10167.05,,
2021-03-29,10320.0,10480.0,10450.0,10203.55,,
2021-03-30,10370.0,10470.0,10410.0,10236.45,,
2021-03-31,10210.0,10500.0,10490.0,10261.1,,
2021-04-01,10360.0,10500.0,10400.0,10283.0,,
2021-04-04,10400.0,10400.0,10400.0,10308.0,10005.26,
2021-04-05,10650.0,11040.0,10770.0,10346.5,10016.86,
2021-04-06,10730.0,10890.0,10800.0,10386.0,10031.86,
2021-04-07,10710.0,10890.0,10780.0,10420.0,10047.52,
2021-04-08,10770.0,10900.0,10900.0,10453.5,10063.92,
2021-04-11,10890.0,11070.0,11060.0,10487.0,10088.32,
2021-04-12,10900.0,11250.0,11180.0,10525.0,10116.46,
2021-04-13,10930.0,11180.0,11040.0,10561.0,10137.88,
2021-04-14,10930.0,11180.0,11040.0,10595.5,10160.1,
2021-04-15,10930.0,11180.0,11040.0,10634.5,10182.74,
2021-04-18,11090.0,11350.0,11350.0,10692.5,10215.94,
2021-04-19,11190.0,11350.0,11260.0,10745.0,10245.74,
