Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,66870.0,68880.0,67900.0,,,
2021-01-25,66800.0,69960.0,68880.0,,,
2021-01-26,67980.0,73480.0,69180.0,,,
2021-01-27,67720.0,70130.0,68800.0,,,
2021-01-28,66000.0,68120.0,68120.0,,,
2021-01-31,64810.0,66600.0,66500.0,,,
2021-02-01,65840.0,67280.0,67280.0,,,
2021-02-02,66220.0,68360.0,67690.0,,,
2021-02-03,66100.0,67990.0,66100.0,,,
2021-02-04,64800.0,66920.0,66350.0,,,
2021-02-07,66550.0,67550.0,66910.0,,,
2021-02-08,66000.0,67230.0,67130.0,,,
2021-02-09,67130.0,70590.0,70590.0,,,
2021-02-10,70590.0,73180.0,72070.0,,,
2021-02-11,70550.0,74160.0,72000.0,,,
2021-02-14,73420.0,75000.0,75000.0,,,
2021-02-15,74100.0,76020.0,76020.0,,,
2021-02-16,75110.0,76990.0,76460.0,,,
2021-02-17,74300.0,77770.0,77770.0,,,
2021-02-18,74750.0,78530.0,75300.0,70302.5,,
2021-02-21,75530.0,77560.0,76630.0,70739.0,,
2021-02-22,73000.0,76400.0,74450.0,71017.5,,
2021-02-23,73230.0,76300.0,73970.0,71257.0,,
2021-02-24,73330.0,75600.0,74180.0,71526.0,,
2021-02-25,74340.0,75790.0,75350.0,71887.5,,
2021-02-28,72690.0,74590.0,74270.0,72276.0,,
2021-03-01,75170.0,77640.0,76950.0,72759.5,,
2021-03-02,75470.0,78000.0,78000.0,73275.0,,
2021-03-03,76180.0,78870.0,76960.0,73818.0,,
2021-03-04,75050.0,77730.0,76730.0,74337.0,,
2021-03-07,77310.0,79500.0,79500.0,74966.5,,
2021-03-08,76510.0,79670.0,79610.0,75590.5,,
2021-03-09,79100.0,81430.0,80900.0,76106.0,,
2021-03-10,78700.0,80590.0,79800.0,76492.5,,
2021-03-11,76950.0,80840.0,80000.0,76892.5,,
2021-03-14,78420.0,80930.0,79050.0,77095.0,,
2021-03-15,77960.0,79800.0,78970.0,77242.5,,
2021-03-16,78600.0,80000.0,79520.0,77395.5,,
2021-03-17,76690.0,79990.0,76690.0,77341.5,,
2021-03-18,76730.0,78310.0,77810.0,77467.0,,
2021-03-21,77590.0,79900.0,79900.0,77630.5,,
