Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,2083.0,2101.0,2087.0,,,
2021-01-25,2050.0,2097.0,2060.0,,,
2021-01-26,2038.0,2070.0,2052.0,,,
2021-01-27,2039.0,2098.0,2060.0,,,
2021-01-28,2011.0,2050.0,2050.0,,,
2021-01-31,2009.0,2027.0,2020.0,,,
2021-02-01,2036.0,2058.0,2056.0,,,
2021-02-02,2028.0,2073.0,2057.0,,,
2021-02-03,2040.0,2067.0,2057.0,,,
2021-02-04,2035.0,2060.0,2035.0,,,
2021-02-07,2034.0,2068.0,2045.0,,,
2021-02-08,1995.0,2042.0,1995.0,,,
2021-02-09,1984.0,2009.0,1997.0,,,
2021-02-10,1991.0,2020.0,2013.0,,,
2021-02-11,1983.0,2017.0,1983.0,,,
2021-02-14,1983.0,1997.0,1985.0,,,
2021-02-15,1980.0,2060.0,2033.0,,,
2021-02-16,2026.0,2050.0,2032.0,,,
2021-02-17,2028.0,2052.0,2043.0,,,
2021-02-18,2030.0,2055.0,2032.0,2034.6,,
2021-02-21,2030.0,2073.0,2073.0,2033.9,,
2021-02-22,2041.0,2066.0,2049.0,2033.35,,
2021-02-23,2005.0,2069.0,2011.0,2031.3,,
2021-02-24,1994.0,2037.0,2017.0,2029.15,,
2021-02-25,2010.0,2040.0,2025.0,2027.9,,
2021-02-28,1987.0,2035.0,2026.0,2028.2,,
2021-03-01,2031.0,2049.0,2042.0,2027.5,,
2021-03-02,2035.0,2104.0,2103.0,2029.8,,
2021-03-03,2100.0,2130.0,2118.0,2032.85,,
2021-03-04,2106.0,2167.0,2167.0,2039.45,,
2021-03-07,2169.0,2216.0,2215.0,2047.95,,
2021-03-08,2146.0,2198.0,2190.0,2057.7,,
2021-03-09,2182.0,2213.0,2200.0,2067.85,,
2021-03-10,2168.0,2228.0,2168.0,2075.6,,
2021-03-11,2172.0,2200.0,2188.0,2085.85,,
2021-03-14,2173.0,2202.0,2174.0,2095.3,,
2021-03-15,2150.0,2175.0,2150.0,2101.15,,
2021-03-16,2150.0,2164.0,2154.0,2107.25,,
2021-03-17,2136.0,2164.0,2149.0,2112.55,,
2021-03-18,2132.0,2159.0,2141.0,2118.0,,
2021-03-21,2129.0,2155.0,2155.0,2122.1,,
2021-03-22,2138.0,2168.0,2161.0,2127.7,,
2021-03-23,2138.0,2168.0,2161.0,2135.2,,
2021-03-24,2149.0,2183.0,2175.0,2143.1,,
2021-03-25,2164.0,2195.0,2169.0,2150.3,,
2021-03-29,2188.0,2213.0,2210.0,2159.5,,
2021-03-30,2192.0,2220.0,2192.0,2167.0,,
2021-03-31,2184.0,2208.0,2200.0,2171.85,,
2021-04-01,2200.0,2220.0,2217.0,2176.8,,
2021-04-04,2217.0,2217.0,2217.0,2179.3,2098.18,
2021-04-05,2231.0,2270.0,2232.0,2180.15,2101.08,
2021-04-06,2234.0,2254.0,2252.0,2183.25,2104.92,
2021-04-07,2243.0,2279.0,2267.0,2186.6,2109.22,
2021-04-08,2270.0,2294.0,2290.0,2192.7,2113.82,
2021-04-11,2291.0,2312.0,2312.0,2198.9,2119.06,
2021-04-12,2280.0,2313.0,2290.0,2204.7,2124.46,
2021-04-13,2264.0,2304.0,2286.0,2211.5,2129.06,
2021-04-14,2264.0,2304.0,2286.0,2218.1,2133.64,
2021-04-15,2264.0,2304.0,2286.0,2224.95,2138.22,
2021-04-18,2295.0,2327.0,2315.0,2233.65,2143.82,
2021-04-19,2291.0,2314.0,2296.0,2240.7,2148.84,
2021-04-20,2266.0,2312.0,2282.0,2246.75,2154.58,
2021-04-21,2239.0,2277.0,2273.0,2252.35,2160.1,
2021-04-22,2255.0,2281.0,2272.0,2257.2,2165.28,
2021-04-25,2255.0,2274.0,2261.0,2261.8,2170.84,
2021-04-26,2230.0,2277.0,2265.0,2264.55,2176.44,
2021-04-27,2267.0,2305.0,2288.0,2269.35,2181.54,
2021-04-28,2272.0,2296.0,2275.0,2273.1,2186.4,
2021-04-29,2271.0,2305.0,2288.0,2276.65,2191.3,
2021-05-02,2275.0,2303.0,2301.0,2280.85,2196.68,
