Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,8010.0,8298.0,8010.0,,,
2021-01-25,7853.0,8080.0,7918.0,,,
2021-01-26,7770.0,7884.0,7830.0,,,
2021-01-27,7796.0,7981.0,7850.0,,,
2021-01-28,7664.0,7854.0,7729.0,,,
2021-01-31,7601.0,7691.0,7645.0,,,
2021-02-01,7732.0,7930.0,7775.0,,,
2021-02-02,7775.0,7898.0,7809.0,,,
2021-02-03,7781.0,7952.0,7781.0,,,
2021-02-04,7751.0,7884.0,7795.0,,,
2021-02-07,7860.0,7980.0,7940.0,,,
2021-02-08,7811.0,7977.0,7830.0,,,
2021-02-09,7770.0,7898.0,7790.0,,,
2021-02-10,7751.0,7855.0,7780.0,,,
2021-02-11,7702.0,7789.0,7736.0,,,
2021-02-14,7672.0,7765.0,7689.0,,,
2021-02-15,7686.0,8009.0,7987.0,,,
2021-02-16,7981.0,8057.0,8049.0,,,
2021-02-17,7961.0,8085.0,8012.0,,,
2021-02-18,7915.0,8111.0,7915.0,7843.5,,
2021-02-21,7917.0,8090.0,8088.0,7847.4,,
2021-02-22,8003.0,8065.0,8005.0,7851.75,,
2021-02-23,7946.0,8128.0,7954.0,7857.95,,
2021-02-24,7875.0,8040.0,7986.0,7864.75,,
2021-02-25,7910.0,8062.0,7936.0,7875.1,,
2021-02-28,7810.0,7985.0,7888.0,7887.25,,
2021-03-01,7889.0,7998.0,7912.0,7894.1,,
2021-03-02,7910.0,8061.0,8040.0,7905.65,,
2021-03-03,8016.0,8115.0,8090.0,7921.1,,
2021-03-04,8000.0,8161.0,8161.0,7939.4,,
2021-03-07,8229.0,8395.0,8395.0,7962.15,,
2021-03-08,8235.0,8395.0,8395.0,7990.4,,
2021-03-09,8422.0,8624.0,8624.0,8032.1,,
2021-03-10,8568.0,8783.0,8640.0,8075.1,,
2021-03-11,8733.0,8882.0,8882.0,8132.4,,
2021-03-14,8768.0,8903.0,8784.0,8187.15,,
2021-03-15,8680.0,8772.0,8750.0,8225.3,,
2021-03-16,8701.0,8780.0,8769.0,8261.3,,
2021-03-17,8527.0,8750.0,8597.0,8290.55,,
2021-03-18,8490.0,8609.0,8496.0,8319.6,,
2021-03-21,8460.0,8533.0,8492.0,8339.8,,
2021-03-22,8416.0,8580.0,8572.0,8368.15,,
2021-03-23,8416.0,8580.0,8572.0,8399.05,,
2021-03-24,8539.0,8750.0,8731.0,8436.3,,
2021-03-25,8689.0,8854.0,8757.0,8477.35,,
2021-03-29,8631.0,8831.0,8804.0,8523.15,,
2021-03-30,8620.0,8860.0,8620.0,8558.55,,
2021-03-31,8702.0,8775.0,8714.0,8592.25,,
2021-04-01,8643.0,8749.0,8643.0,8619.9,,
