Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,3517.0,3680.0,3655.0,,,
2021-01-25,3600.0,3680.0,3657.0,,,
2021-01-26,3566.0,3697.0,3623.0,,,
2021-01-27,3625.0,3800.0,3694.0,,,
2021-01-28,3687.0,3720.0,3704.0,,,
2021-01-31,3564.0,3698.0,3675.0,,,
2021-02-01,3470.0,3689.0,3648.0,,,
2021-02-02,3516.0,3659.0,3564.0,,,
2021-02-03,3483.0,3660.0,3530.0,,,
2021-02-04,3473.0,3630.0,3620.0,,,
2021-02-07,3480.0,3615.0,3559.0,,,
2021-02-08,3321.0,3559.0,3417.0,,,
2021-02-09,3406.0,3495.0,3486.0,,,
2021-02-10,3495.0,3540.0,3503.0,,,
2021-02-11,3503.0,3588.0,3547.0,,,
2021-02-14,3329.0,3584.0,3525.0,,,
2021-02-15,3498.0,3589.0,3567.0,,,
2021-02-16,3452.0,3599.0,3470.0,,,
2021-02-17,3406.0,3469.0,3433.0,,,
2021-02-18,3440.0,3600.0,3455.0,3566.6,,
2021-02-21,3366.0,3482.0,3458.0,3556.75,,
2021-02-22,3340.0,3462.0,3458.0,3546.8,,
2021-02-23,3387.0,3549.0,3495.0,3540.4,,
2021-02-24,3491.0,3495.0,3495.0,3530.45,,
2021-02-25,3425.0,3549.0,3465.0,3518.5,,
2021-02-28,3397.0,3549.0,3487.0,3509.1,,
2021-03-01,3479.0,3522.0,3512.0,3502.3,,
2021-03-02,3529.0,3529.0,3529.0,3500.55,,
2021-03-03,3422.0,3543.0,3524.0,3500.25,,
2021-03-04,3419.0,3521.0,3521.0,3495.3,,
2021-03-07,3420.0,3520.0,3505.0,3492.6,,
2021-03-08,3410.0,3505.0,3465.0,3495.0,,
2021-03-09,3410.0,3502.0,3483.0,3494.85,,
2021-03-10,3471.0,3555.0,3533.0,3496.35,,
2021-03-11,3532.0,3586.0,3580.0,3498.0,,
2021-03-14,3462.0,3644.0,3464.0,3494.95,,
2021-03-15,3349.0,3643.0,3420.0,3487.6,,
2021-03-16,3420.0,3500.0,3420.0,3485.1,,
2021-03-17,3361.0,3540.0,3370.0,3481.95,,
2021-03-18,3360.0,3420.0,3420.0,3480.2,,
2021-03-21,3420.0,3494.0,3485.0,3481.55,,
2021-03-22,3427.0,3539.0,3427.0,3480.0,,
2021-03-23,3427.0,3539.0,3427.0,3476.6,,
2021-03-24,3410.0,3487.0,3487.0,3476.2,,
2021-03-25,3416.0,3458.0,3416.0,3473.75,,
2021-03-29,3434.0,3453.0,3442.0,3471.5,,
2021-03-30,3467.0,3499.0,3467.0,3469.25,,
2021-03-31,3295.0,3539.0,3390.0,3462.3,,
2021-04-01,3416.0,3600.0,3478.0,3460.0,,
2021-04-04,3478.0,3478.0,3478.0,3457.85,3508.66,
2021-04-05,3356.0,3550.0,3356.0,3450.4,3502.68,
2021-04-06,3356.0,3387.0,3378.0,3446.05,3497.1,
2021-04-07,3449.0,3594.0,3465.0,3445.15,3493.94,
2021-04-08,3445.0,3500.0,3456.0,3441.3,3489.18,
2021-04-11,3402.0,3429.0,3424.0,3433.5,3483.58,
2021-04-12,3411.0,3450.0,3444.0,3432.5,3478.96,
2021-04-13,3444.0,3498.0,3448.0,3433.9,3474.96,
2021-04-14,3444.0,3498.0,3448.0,3435.3,3472.64,
2021-04-15,3444.0,3498.0,3448.0,3439.2,3471.0,
2021-04-18,3499.0,3500.0,3499.0,3443.15,3468.58,
2021-04-19,3411.0,3498.0,3476.0,3442.7,3466.92,
2021-04-20,3403.0,3499.0,3403.0,3441.5,3466.64,
2021-04-21,3411.0,3411.0,3411.0,3440.7,3465.14,
2021-04-22,3415.0,3499.0,3416.0,3437.15,3463.4,
2021-04-25,3416.0,3500.0,3494.0,3441.05,3462.34,
2021-04-26,3477.0,3500.0,3498.0,3443.85,3461.8,
2021-04-27,3490.0,3588.0,3532.0,3447.1,3461.1,
2021-04-28,3591.0,3666.0,3599.0,3457.55,3463.68,
2021-04-29,3666.0,3695.0,3680.0,3467.65,3468.62,
2021-05-02,3646.0,3790.0,3745.0,3481.0,3474.42,
2021-05-03,3637.0,3860.0,3855.0,3505.95,3482.36,
2021-05-04,3865.0,4200.0,4171.0,3545.6,3496.62,
2021-05-05,4145.0,4255.0,4247.0,3584.7,3511.66,
2021-05-06,4190.0,4544.0,4190.0,3621.4,3525.56,
2021-05-09,4260.0,4539.0,4268.0,3663.6,3541.62,
2021-05-10,4249.0,4498.0,4251.0,3703.95,3556.9,
2021-05-11,4004.0,4221.0,4048.0,3733.95,3567.62,
2021-05-12,3820.0,4070.0,4006.0,3761.85,3577.16,
2021-05-13,4006.0,4090.0,4076.0,3793.25,3588.2,
2021-05-17,4006.0,4090.0,4076.0,3822.1,3599.3,
2021-05-18,4143.0,4143.0,4143.0,3855.45,3612.06,
2021-05-19,3917.0,4143.0,4008.0,3885.7,3622.92,
2021-05-20,4115.0,4140.0,4131.0,3921.7,3635.88,
2021-05-23,4070.0,4140.0,4106.0,3956.2,3647.34,
2021-05-24,4064.0,4244.0,4104.0,3986.7,3657.82,
2021-05-25,4060.0,4204.0,4169.0,4020.25,3671.92,
2021-05-26,4110.0,4250.0,4118.0,4049.55,3685.88,
2021-05-27,4087.0,4249.0,4107.0,4074.95,3699.62,
2021-05-30,4107.0,4233.0,4147.0,4098.3,3715.16,
2021-05-31,4139.0,4249.0,4203.0,4121.2,3730.82,
2021-06-01,4130.0,4235.0,4200.0,4138.45,3745.12,
2021-06-02,4250.0,4346.0,4311.0,4145.45,3762.8,
2021-06-03,3930.0,4311.0,4000.0,4133.1,3774.26,
2021-06-06,3964.0,4198.0,3995.0,4123.35,3784.42,
2021-06-07,4007.0,4199.0,4012.0,4110.55,3796.34,
