Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,2377.0,2405.0,2390.0,,,
2021-01-25,2340.0,2407.0,2357.0,,,
2021-01-26,2315.0,2352.0,2339.0,,,
2021-01-27,2328.0,2396.0,2362.0,,,
2021-01-28,2303.0,2350.0,2340.0,,,
2021-01-31,2305.0,2335.0,2335.0,,,
2021-02-01,2338.0,2366.0,2359.0,,,
2021-02-02,2322.0,2376.0,2345.0,,,
2021-02-03,2350.0,2376.0,2376.0,,,
2021-02-04,2361.0,2380.0,2376.0,,,
2021-02-07,2376.0,2399.0,2385.0,,,
2021-02-08,2333.0,2385.0,2333.0,,,
2021-02-09,2322.0,2351.0,2351.0,,,
2021-02-10,2330.0,2365.0,2360.0,,,
2021-02-11,2325.0,2351.0,2328.0,,,
2021-02-14,2305.0,2343.0,2305.0,,,
2021-02-15,2307.0,2395.0,2346.0,,,
2021-02-16,2331.0,2378.0,2370.0,,,
2021-02-17,2362.0,2391.0,2375.0,,,
2021-02-18,2357.0,2378.0,2370.0,2355.1,,
2021-02-21,2373.0,2403.0,2403.0,2355.75,,
2021-02-22,2365.0,2390.0,2375.0,2356.65,,
2021-02-23,2322.0,2394.0,2334.0,2356.4,,
2021-02-24,2312.0,2360.0,2347.0,2355.65,,
2021-02-25,2336.0,2362.0,2350.0,2356.15,,
2021-02-28,2311.0,2362.0,2340.0,2356.4,,
2021-03-01,2328.0,2364.0,2335.0,2355.2,,
2021-03-02,2329.0,2395.0,2395.0,2357.7,,
2021-03-03,2375.0,2410.0,2394.0,2358.6,,
2021-03-04,2379.0,2414.0,2405.0,2360.05,,
2021-03-07,2427.0,2466.0,2465.0,2364.05,,
2021-03-08,2420.0,2475.0,2470.0,2370.9,,
2021-03-09,2486.0,2525.0,2521.0,2379.4,,
2021-03-10,2488.0,2568.0,2512.0,2387.0,,
2021-03-11,2530.0,2593.0,2538.0,2397.5,,
2021-03-14,2514.0,2572.0,2529.0,2408.7,,
2021-03-15,2513.0,2549.0,2538.0,2418.3,,
2021-03-16,2536.0,2562.0,2562.0,2427.9,,
2021-03-17,2538.0,2572.0,2550.0,2436.65,,
2021-03-18,2523.0,2574.0,2536.0,2444.95,,
2021-03-21,2529.0,2561.0,2545.0,2452.05,,
2021-03-22,2521.0,2559.0,2556.0,2461.1,,
2021-03-23,2521.0,2559.0,2556.0,2472.2,,
2021-03-24,2558.0,2599.0,2585.0,2484.1,,
2021-03-25,2539.0,2586.0,2552.0,2494.2,,
2021-03-29,2557.0,2589.0,2575.0,2505.95,,
2021-03-30,2570.0,2603.0,2603.0,2519.35,,
2021-03-31,2590.0,2614.0,2598.0,2529.5,,
2021-04-01,2585.0,2601.0,2596.0,2539.6,,
2021-04-04,2596.0,2596.0,2596.0,2549.15,2435.26,
2021-04-05,2604.0,2648.0,2604.0,2556.1,2439.54,
2021-04-06,2607.0,2644.0,2644.0,2564.8,2445.28,
2021-04-07,2638.0,2682.0,2681.0,2572.8,2452.12,
2021-04-08,2681.0,2698.0,2696.0,2582.0,2458.8,
2021-04-11,2699.0,2716.0,2707.0,2590.45,2466.14,
2021-04-12,2667.0,2720.0,2698.0,2598.9,2473.4,
2021-04-13,2632.0,2702.0,2640.0,2604.0,2479.02,
2021-04-14,2632.0,2702.0,2640.0,2607.9,2484.92,
2021-04-15,2632.0,2702.0,2640.0,2612.4,2490.2,
2021-04-18,2656.0,2682.0,2682.0,2619.7,2496.32,
2021-04-19,2650.0,2680.0,2659.0,2625.4,2501.8,
2021-04-20,2646.0,2688.0,2663.0,2630.75,2508.4,
2021-04-21,2563.0,2588.0,2572.0,2631.55,2512.82,
2021-04-22,2564.0,2584.0,2581.0,2631.35,2517.24,
2021-04-25,2575.0,2591.0,2581.0,2632.8,2522.3,
2021-04-26,2553.0,2580.0,2560.0,2632.05,2527.4,
2021-04-27,2567.0,2600.0,2584.0,2631.1,2532.16,
2021-04-28,2565.0,2593.0,2583.0,2630.35,2536.42,
2021-04-29,2569.0,2594.0,2590.0,2630.05,2540.72,
2021-05-02,2575.0,2601.0,2592.0,2629.85,2545.16,
2021-05-03,2590.0,2634.0,2630.0,2631.15,2549.7,
2021-05-04,2622.0,2657.0,2642.0,2631.05,2555.04,
2021-05-05,2636.0,2666.0,2653.0,2629.65,2561.42,
