Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,,,,,,
2021-01-25,,,,,,
2021-01-26,,,,,,
2021-01-27,,,,,,
2021-01-28,,,,,,
2021-01-31,,,,,,
2021-02-01,,,,,,
2021-02-02,,,,,,
2021-02-03,,,,,,
2021-02-04,,,,,,
2021-02-07,,,,,,
2021-02-08,,,,,,
2021-02-09,,,,,,
2021-02-10,,,,,,
2021-02-11,,,,,,
2021-02-14,,,,,,
2021-02-15,,,,,,
2021-02-16,,,,,,
2021-02-17,,,,,,
2021-02-18,,,,,,
2021-02-21,,,,,,
2021-02-22,,,,,,
2021-02-23,,,,,,
2021-02-24,,,,,,
2021-02-25,,,,,,
2021-02-28,,,,,,
2021-03-01,,,,,,
2021-03-02,,,,,,
2021-03-03,,,,,,
2021-03-04,,,,,,
2021-03-07,,,,,,
2021-03-08,,,,,,
2021-03-09,,,,,,
2021-03-10,,,,,,
2021-03-11,,,,,,
2021-03-14,,,,,,
2021-03-15,,,,,,
2021-03-16,,,,,,
2021-03-17,,,,,,
2021-03-18,,,,,,
2021-03-21,,,,,,
2021-03-22,,,,,,
2021-03-23,,,,,,
2021-03-24,,,,,,
2021-03-25,,,,,,
2021-03-29,,,,,,
2021-03-30,,,,,,
2021-03-31,,,,,,
2021-04-01,,,,,,
2021-04-04,,,,,,
2021-04-05,,,,,,
2021-04-06,,,,,,
2021-04-07,,,,,,
2021-04-08,,,,,,
2021-04-11,,,,,,
2021-04-12,,,,,,
2021-04-13,,,,,,
2021-04-14,,,,,,
2021-04-15,,,,,,
2021-04-18,,,,,,
2021-04-19,,,,,,
2021-04-20,,,,,,
2021-04-21,,,,,,
2021-04-22,,,,,,
2021-04-25,,,,,,
2021-04-26,,,,,,
2021-04-27,,,,,,
2021-04-28,,,,,,
2021-04-29,,,,,,
2021-05-02,,,,,,
2021-05-03,,,,,,
2021-05-04,,,,,,
2021-05-05,,,,,,
2021-05-06,,,,,,
2021-05-09,,,,,,
2021-05-10,,,,,,
2021-05-11,,,,,,
2021-05-12,,,,,,
2021-05-13,,,,,,
2021-05-17,,,,,,
2021-05-18,,,,,,
2021-05-19,,,,,,
2021-05-20,,,,,,
2021-05-23,,,,,,
2021-05-24,,,,,,
2021-05-25,,,,,,
2021-05-26,,,,,,
2021-05-27,,,,,,
2021-05-30,,,,,,
2021-05-31,,,,,,
2021-06-01,,,,,,
2021-06-02,,,,,,
2021-06-03,,,,,,
2021-06-06,,,,,,
2021-06-07,,,,,,
2021-06-08,,,,,,
2021-06-09,,,,,,
2021-06-10,,,,,,
2021-06-13,9601.0,10060.0,9668.0,,,
2021-06-14,9333.0,9822.0,9650.0,,,
2021-06-15,9494.0,9739.0,9523.0,,,
2021-06-16,9200.0,9523.0,9244.0,,,
2021-06-17,9059.0,9348.0,9175.0,,,
2021-06-20,9165.0,9250.0,9216.0,,,
2021-06-21,9250.0,9499.0,9413.0,,,
2021-06-22,9650.0,9695.0,9682.0,,,
2021-06-23,9700.0,9975.0,9973.0,,,
2021-06-24,9600.0,9964.0,9804.0,,,
2021-06-27,9810.0,9900.0,9844.0,,,
2021-06-28,9800.0,9967.0,9895.0,,,
2021-06-29,9895.0,9895.0,9895.0,,,
2021-06-30,9400.0,9800.0,9495.0,,,
2021-07-01,9200.0,9535.0,9200.0,,,
2021-07-04,9202.0,9384.0,9272.0,,,
2021-07-05,9320.0,9480.0,9399.0,,,
2021-07-06,9399.0,9399.0,9399.0,,,
2021-07-07,9600.0,9799.0,9711.0,,,
2021-07-08,9288.0,9799.0,9354.0,9540.6,,
2021-07-11,9389.0,9634.0,9389.0,9526.65,,
2021-07-12,9400.0,9765.0,9500.0,9519.15,,
2021-07-13,9400.0,9481.0,9474.0,9516.7,,
2021-07-14,9200.0,9419.0,9277.0,9518.35,,
2021-07-15,9050.0,9251.0,9115.0,9515.35,,
2021-07-19,8801.0,8994.0,8869.0,9498.0,,
2021-07-20,8798.0,8826.0,8801.0,9467.4,,
2021-07-21,8801.0,9150.0,8934.0,9430.0,,
2021-07-22,8926.0,9200.0,8955.0,9379.1,,
2021-07-25,8900.0,8901.0,8900.0,9333.9,,
2021-07-26,8900.0,9122.0,8919.0,9287.65,,
2021-07-27,8919.0,8919.0,8919.0,9238.85,,
2021-07-28,8850.0,9184.0,8922.0,9190.2,,
2021-07-29,8914.0,9099.0,8971.0,9164.0,,
2021-08-01,8691.0,9105.0,8786.0,9143.3,,
2021-08-02,8799.0,8812.0,8799.0,9119.65,,
2021-08-03,8789.0,8820.0,8801.0,9089.75,,
2021-08-04,8800.0,9157.0,9000.0,9069.8,,
2021-08-05,8711.0,9382.0,8711.0,9019.8,,
2021-08-08,8191.0,8691.0,8279.0,8966.05,,
2021-08-09,8046.0,8185.0,8130.0,8903.1,,
2021-08-10,8130.0,8359.0,8155.0,8835.85,,
2021-08-11,8006.0,8170.0,8149.0,8769.6,,
2021-08-12,8149.0,8149.0,8149.0,8713.2,,
2021-08-15,8100.0,8200.0,8103.0,8662.6,,
2021-08-16,7700.0,8103.0,7845.0,8611.4,,
2021-08-17,7689.0,8001.0,7943.0,8568.5,,
2021-08-18,7870.0,8000.0,7870.0,8515.3,,
2021-08-19,7556.0,7791.0,7789.0,8457.0,,
2021-08-22,7759.0,7800.0,7786.0,8401.3,9001.04,
2021-08-23,7800.0,7920.0,7837.0,8347.2,8964.42,
2021-08-24,7855.0,7999.0,7886.0,8295.55,8929.14,
2021-08-25,7793.0,8031.0,7793.0,8239.1,8894.54,
2021-08-26,7652.0,7793.0,7702.0,8175.65,8863.7,
2021-08-29,7630.0,7860.0,7720.0,8122.35,8834.6,
2021-08-30,7685.0,8878.0,8481.0,8106.45,8819.9,
2021-08-31,8860.0,9168.0,8862.0,8109.5,8808.88,
2021-09-01,8827.0,9139.0,9056.0,8112.3,8796.36,
2021-09-02,9200.0,9400.0,9200.0,8136.75,8780.9,
2021-09-05,9079.0,9200.0,9159.0,8180.75,8768.0,
2021-09-07,9079.0,9200.0,9159.0,8232.2,8754.3,
2021-09-08,9079.0,9200.0,9159.0,8282.4,8739.58,
2021-09-09,9100.0,9130.0,9100.0,8329.95,8723.68,
2021-09-12,8858.0,9000.0,8869.0,8365.95,8711.16,
2021-09-13,8762.0,8762.0,8762.0,8398.9,8702.4,
2021-09-14,8496.0,8674.0,8674.0,8440.35,8690.44,
2021-09-15,8496.0,8674.0,8674.0,8476.9,8675.94,
2021-09-16,8496.0,8674.0,8674.0,8517.1,8661.44,
2021-09-19,8500.0,8674.0,8590.0,8557.15,8639.02,
2021-09-20,8500.0,8674.0,8590.0,8597.35,8623.74,
2021-09-21,8500.0,8674.0,8590.0,8635.0,8607.76,
2021-09-22,8358.0,8581.0,8500.0,8665.7,8587.76,
2021-09-23,8178.0,8660.0,8581.0,8705.1,8569.9,
2021-09-26,8660.0,9000.0,8833.0,8761.65,8561.02,
2021-09-27,8660.0,9000.0,8833.0,8817.3,8555.38,
2021-09-28,8660.0,9000.0,8833.0,8834.9,8554.66,
2021-09-29,8973.0,9100.0,9044.0,8844.0,8559.52,
2021-09-30,9039.0,9198.0,9140.0,8848.2,8563.64,
2021-10-03,9140.0,9250.0,9250.0,8850.7,8569.54,
2021-10-04,9200.0,9449.0,9300.0,8857.75,8577.54,
2021-10-05,9349.0,9450.0,9369.0,8868.25,8586.54,
2021-10-06,8694.0,9369.0,9227.0,8871.65,8592.7,
2021-10-07,9300.0,9541.0,9541.0,8893.7,8605.08,
2021-10-10,9387.0,9541.0,9390.0,8919.75,8613.46,
2021-10-11,9390.0,9609.0,9431.0,8953.2,8626.36,
2021-10-12,9431.0,9618.0,9603.0,8999.65,8642.44,
2021-10-13,9728.0,9929.0,9899.0,9060.9,8664.4,
2021-10-14,9899.0,9999.0,9972.0,9125.8,8683.84,
2021-10-17,9620.0,9973.0,9737.0,9183.15,8704.36,
2021-10-18,9250.0,9799.0,9519.0,9229.6,8729.16,
2021-10-19,9399.0,9750.0,9472.0,9273.7,8756.0,
2021-10-20,9210.0,9481.0,9266.0,9312.0,8778.22,
2021-10-21,8917.0,9226.0,9225.0,9344.2,8799.74,
2021-10-24,8900.0,9085.0,9000.0,9352.55,8816.76,
2021-10-25,9113.0,9320.0,9275.0,9374.65,8840.2,
2021-10-26,9275.0,9342.0,9287.0,9397.35,8869.04,
2021-10-27,9479.0,10120.0,10090.0,9449.65,8911.98,
2021-10-28,10090.0,10220.0,10110.0,9498.15,8956.78,
2021-10-31,10250.0,10590.0,10260.0,9548.65,9006.2,
2021-11-01,9826.0,10410.0,9915.0,9579.4,9048.78,
2021-11-02,9681.0,10130.0,9741.0,9598.0,9086.86,
2021-11-03,9850.0,9927.0,9888.0,9631.05,9126.9,
2021-11-04,9617.0,9900.0,9700.0,9639.0,9165.04,
2021-11-07,9617.0,9712.0,9702.0,9654.6,9205.04,
2021-11-08,9702.0,9750.0,9750.0,9670.55,9245.64,
2021-11-09,9750.0,9890.0,9791.0,9679.95,9271.84,
2021-11-10,9776.0,9900.0,9809.0,9675.45,9290.78,
2021-11-11,9801.0,9867.0,9836.0,9668.65,9306.38,
2021-11-14,9616.0,9850.0,9635.0,9663.55,9315.08,
2021-11-15,9616.0,9800.0,9687.0,9671.95,9325.64,
2021-11-16,9684.0,9695.0,9691.0,9682.9,9336.28,
2021-11-17,9522.0,9693.0,9522.0,9695.7,9343.54,
2021-11-18,9521.0,9850.0,9764.0,9722.65,9356.82,
