Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,1618.0,1685.0,1644.0,,,
2021-01-25,1669.0,1770.0,1770.0,,,
2021-01-26,1731.0,1809.0,1777.0,,,
2021-01-27,1671.0,1823.0,1720.0,,,
2021-01-28,1630.0,1783.0,1765.0,,,
2021-01-31,1699.0,1734.0,1721.0,,,
2021-02-01,1727.0,1796.0,1779.0,,,
2021-02-02,1720.0,1809.0,1795.0,,,
2021-02-03,1753.0,1820.0,1783.0,,,
2021-02-04,1717.0,1939.0,1939.0,,,
2021-02-07,1881.0,1940.0,1937.0,,,
2021-02-08,1905.0,1990.0,1932.0,,,
2021-02-09,1892.0,1950.0,1950.0,,,
2021-02-10,1940.0,2030.0,1972.0,,,
2021-02-11,1952.0,1999.0,1968.0,,,
2021-02-14,1860.0,1975.0,1892.0,,,
2021-02-15,1809.0,1885.0,1845.0,,,
2021-02-16,1770.0,1845.0,1814.0,,,
2021-02-17,1741.0,1812.0,1744.0,,,
2021-02-18,1710.0,1774.0,1719.0,1823.3,,
2021-02-21,1715.0,1760.0,1740.0,1828.1,,
2021-02-22,1642.0,1734.0,1662.0,1822.7,,
2021-02-23,1573.0,1750.0,1574.0,1812.55,,
2021-02-24,1560.0,1600.0,1564.0,1804.75,,
2021-02-25,1504.0,1580.0,1524.0,1792.7,,
2021-02-28,1469.0,1519.0,1482.0,1780.75,,
2021-03-01,1467.0,1530.0,1474.0,1765.5,,
2021-03-02,1426.0,1510.0,1480.0,1749.75,,
2021-03-03,1480.0,1480.0,1480.0,1734.6,,
2021-03-04,1300.0,1390.0,1300.0,1702.65,,
2021-03-07,1300.0,1300.0,1300.0,1670.8,,
2021-03-08,1159.0,1243.0,1159.0,1632.15,,
2021-03-09,1160.0,1295.0,1277.0,1598.5,,
2021-03-10,1260.0,1331.0,1292.0,1564.5,,
2021-03-11,1288.0,1340.0,1332.0,1532.7,,
2021-03-14,1335.0,1384.0,1375.0,1506.85,,
2021-03-15,1329.0,1405.0,1341.0,1481.65,,
2021-03-16,1300.0,1365.0,1339.0,1457.9,,
2021-03-17,1265.0,1333.0,1275.0,1434.45,,
2021-03-18,1242.0,1283.0,1259.0,1411.45,,
2021-03-21,1255.0,1350.0,1350.0,1391.95,,
2021-03-22,1325.0,1377.0,1359.0,1376.8,,
2021-03-23,1325.0,1377.0,1359.0,1366.05,,
2021-03-24,1310.0,1396.0,1325.0,1354.1,,
2021-03-25,1275.0,1330.0,1305.0,1343.15,,
2021-03-29,1313.0,1356.0,1333.0,1335.7,,
2021-03-30,1314.0,1412.0,1412.0,1332.6,,
2021-03-31,1386.0,1490.0,1460.0,1331.6,,
2021-04-01,1439.0,1500.0,1500.0,1332.6,,
2021-04-04,1500.0,1500.0,1500.0,1342.6,1571.96,
2021-04-05,1450.0,1527.0,1450.0,1350.1,1568.08,
2021-04-06,1402.0,1494.0,1415.0,1362.9,1560.98,
2021-04-07,1398.0,1460.0,1415.0,1369.8,1553.74,
