Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,1410.0,1439.0,1412.0,,,
2021-01-25,1438.0,1499.0,1460.0,,,
2021-01-26,1430.0,1500.0,1433.0,,,
2021-01-27,1392.0,1609.0,1509.0,,,
2021-01-28,1456.0,1521.0,1464.0,,,
2021-01-31,1435.0,1490.0,1454.0,,,
2021-02-01,1412.0,1470.0,1460.0,,,
2021-02-02,1432.0,1480.0,1450.0,,,
2021-02-03,1451.0,1515.0,1509.0,,,
2021-02-04,1570.0,1700.0,1630.0,,,
2021-02-07,1651.0,1980.0,1980.0,,,
2021-02-08,1750.0,1980.0,1839.0,,,
2021-02-09,1855.0,1990.0,1910.0,,,
2021-02-10,1780.0,1910.0,1842.0,,,
2021-02-11,1790.0,1880.0,1830.0,,,
2021-02-14,1800.0,2200.0,1830.0,,,
2021-02-15,1730.0,1880.0,1797.0,,,
2021-02-16,1680.0,1797.0,1698.0,,,
2021-02-17,1595.0,1723.0,1617.0,,,
2021-02-18,1600.0,1720.0,1611.0,1636.75,,
2021-02-21,1660.0,1760.0,1695.0,1650.9,,
2021-02-22,1637.0,1739.0,1698.0,1662.8,,
2021-02-23,1560.0,1739.0,1603.0,1671.3,,
2021-02-24,1620.0,1780.0,1712.0,1681.45,,
2021-02-25,1600.0,1740.0,1622.0,1689.35,,
2021-02-28,1620.0,1700.0,1668.0,1700.05,,
2021-03-01,1610.0,1710.0,1650.0,1709.55,,
2021-03-02,1581.0,1650.0,1603.0,1717.2,,
2021-03-03,1551.0,1603.0,1574.0,1720.45,,
2021-03-04,1450.0,1541.0,1501.0,1714.0,,
2021-03-07,1440.0,1510.0,1455.0,1687.75,,
2021-03-08,1280.0,1420.0,1357.0,1663.65,,
2021-03-09,1262.0,1357.0,1280.0,1632.15,,
2021-03-10,1270.0,1348.0,1277.0,1603.9,,
2021-03-11,1260.0,1343.0,1288.0,1576.8,,
2021-03-14,1319.0,1340.0,1327.0,1551.65,,
2021-03-15,1280.0,1337.0,1280.0,1525.8,,
2021-03-16,1280.0,1292.0,1280.0,1504.9,,
2021-03-17,1265.0,1281.0,1265.0,1487.3,,
2021-03-18,1241.0,1261.0,1259.0,1469.7,,
2021-03-21,1264.0,1265.0,1265.0,1448.2,,
2021-03-22,1230.0,1265.0,1230.0,1424.8,,
2021-03-23,1230.0,1265.0,1230.0,1406.15,,
2021-03-24,1128.0,1227.0,1160.0,1378.55,,
2021-03-25,1104.0,1144.0,1104.0,1352.65,,
2021-03-29,1107.0,1179.0,1150.0,1326.75,,
2021-03-30,1151.0,1175.0,1154.0,1301.95,,
2021-03-31,1170.0,1210.0,1188.0,1281.2,,
2021-04-01,1130.0,1200.0,1150.0,1260.0,,
2021-04-04,1150.0,1150.0,1150.0,1242.45,1478.2,
2021-04-05,1122.0,1314.0,1266.0,1233.0,1475.28,
2021-04-06,1190.0,1289.0,1257.0,1228.0,1471.22,
2021-04-07,1256.0,1360.0,1308.0,1229.4,1468.72,
2021-04-08,1263.0,1368.0,1303.0,1230.7,1464.6,
2021-04-11,1234.0,1329.0,1238.0,1228.2,1460.08,
2021-04-12,1190.0,1230.0,1221.0,1222.9,1455.42,
2021-04-13,1200.0,1300.0,1276.0,1222.7,1451.74,
2021-04-14,1200.0,1300.0,1276.0,1222.5,1448.26,
2021-04-15,1200.0,1300.0,1276.0,1223.05,1443.6,
2021-04-18,1040.0,1272.0,1122.0,1216.2,1433.44,
2021-04-19,1080.0,1120.0,1101.0,1208.0,1415.86,
2021-04-20,1061.0,1120.0,1064.0,1199.7,1400.36,
2021-04-21,1020.0,1220.0,1082.0,1192.3,1383.8,
2021-04-22,1061.0,1147.0,1101.0,1189.35,1368.98,
2021-04-25,1121.0,1280.0,1226.0,1195.45,1356.9,
2021-04-26,1226.0,1270.0,1256.0,1200.75,1345.42,
2021-04-27,1236.0,1280.0,1263.0,1206.2,1334.74,
2021-04-28,1260.0,1280.0,1268.0,1210.2,1326.14,
2021-04-29,1230.0,1300.0,1268.0,1216.1,1319.16,
