Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,,,,,,
2021-01-25,,,,,,
2021-01-26,,,,,,
2021-01-27,,,,,,
2021-01-28,,,,,,
2021-01-31,,,,,,
2021-02-01,,,,,,
2021-02-02,,,,,,
2021-02-03,,,,,,
2021-02-04,,,,,,
2021-02-07,,,,,,
2021-02-08,,,,,,
2021-02-09,,,,,,
2021-02-10,1366.0,1570.0,1382.0,,,
2021-02-11,1448.0,1650.0,1555.0,,,
2021-02-14,1602.0,1738.0,1660.0,,,
2021-02-15,1620.0,1759.0,1633.0,,,
2021-02-16,1595.0,1688.0,1603.0,,,
2021-02-17,1450.0,1649.0,1507.0,,,
2021-02-18,1460.0,1540.0,1471.0,,,
2021-02-21,1471.0,1519.0,1499.0,,,
2021-02-22,1376.0,1570.0,1549.0,,,
2021-02-23,1500.0,1650.0,1550.0,,,
2021-02-24,1561.0,1639.0,1597.0,,,
2021-02-25,1555.0,1620.0,1609.0,,,
2021-02-28,1545.0,1640.0,1572.0,,,
2021-03-01,1520.0,1600.0,1528.0,,,
2021-03-02,1441.0,1570.0,1515.0,,,
2021-03-03,1515.0,1515.0,1515.0,,,
2021-03-04,1320.0,1443.0,1386.0,,,
2021-03-07,1386.0,1386.0,1386.0,,,
2021-03-08,1363.0,1485.0,1387.0,,,
2021-03-09,1401.0,1450.0,1450.0,1517.7,,
2021-03-10,1420.0,1470.0,1455.0,1521.35,,
2021-03-11,1384.0,1440.0,1392.0,1513.2,,
2021-03-14,1356.0,1424.0,1386.0,1499.5,,
2021-03-15,1306.0,1360.0,1332.0,1484.45,,
2021-03-16,1337.0,1360.0,1355.0,1472.05,,
2021-03-17,1338.0,1370.0,1338.0,1463.6,,
2021-03-18,1256.0,1371.0,1299.0,1455.0,,
2021-03-21,1260.0,1310.0,1302.0,1445.15,,
2021-03-22,1302.0,1333.0,1333.0,1434.35,,
2021-03-23,1302.0,1333.0,1333.0,1423.5,,
2021-03-24,1316.0,1363.0,1363.0,1411.8,,
2021-03-25,1363.0,1428.0,1420.0,1402.35,,
2021-03-29,1419.0,1433.0,1419.0,1394.7,,
2021-03-30,1350.0,1419.0,1350.0,1385.8,,
2021-03-31,1350.0,1384.0,1358.0,1377.95,,
2021-04-01,1333.0,1358.0,1341.0,1369.25,,
2021-04-04,1341.0,1341.0,1341.0,1367.0,,
2021-04-05,1300.0,1333.0,1303.0,1362.85,,
2021-04-06,1285.0,1339.0,1299.0,1358.45,,
2021-04-07,1285.0,1299.0,1297.0,1350.8,,
2021-04-08,1270.0,1297.0,1282.0,1342.15,,
2021-04-11,1282.0,1384.0,1329.0,1339.0,,
2021-04-12,1310.0,1379.0,1320.0,1335.7,,
2021-04-13,1341.0,1390.0,1369.0,1337.55,,
2021-04-14,1341.0,1390.0,1369.0,1338.25,,
2021-04-15,1341.0,1390.0,1369.0,1339.8,,
2021-04-18,1360.0,1369.0,1368.0,1343.25,,
2021-04-19,1273.0,1368.0,1277.0,1342.0,,
2021-04-20,1222.0,1277.0,1235.0,1337.1,,
2021-04-21,1140.0,1257.0,1179.0,1329.4,1409.34,
2021-04-22,1155.0,1215.0,1170.0,1319.75,1405.1,
2021-04-25,1198.0,1200.0,1200.0,1308.75,1398.0,
2021-04-26,1200.0,1280.0,1252.0,1300.4,1389.84,
2021-04-27,1252.0,1292.0,1273.0,1296.55,1382.64,
2021-04-28,1242.0,1285.0,1269.0,1292.1,1375.96,
2021-04-29,1289.0,1371.0,1353.0,1292.7,1372.88,
2021-05-02,1319.0,1400.0,1388.0,1295.05,1371.22,
2021-05-03,1387.0,1419.0,1418.0,1300.8,1369.6,
2021-05-04,1414.0,1452.0,1434.0,1307.55,1367.3,
2021-05-05,1451.0,1469.0,1465.0,1315.95,1365.6,
2021-05-06,1395.0,1501.0,1395.0,1321.6,1361.56,
2021-05-09,1381.0,1401.0,1387.0,1324.5,1357.12,
2021-05-10,1381.0,1436.0,1394.0,1328.2,1353.56,
2021-05-11,1301.0,1381.0,1316.0,1325.55,1349.32,
2021-05-12,1173.0,1279.0,1189.0,1316.55,1342.8,
2021-05-13,1189.0,1211.0,1199.0,1308.05,1336.48,
2021-05-17,1189.0,1211.0,1199.0,1299.6,1332.74,
2021-05-18,980.0,1109.0,1049.0,1288.2,1326.0,
2021-05-19,999.4000244140625,1050.0,1025.0,1277.7,1318.76,
2021-05-20,1026.0,1070.0,1062.0,1271.85,1311.0,
2021-05-23,1057.0,1100.0,1073.0,1267.0,1303.36,
2021-05-24,1001.0,1099.0,1077.0,1260.85,1297.06,
2021-05-25,1025.0,1078.0,1029.0,1249.7,1289.92,
2021-05-26,1010.0,1035.0,1019.0,1237.0,1283.66,
2021-05-27,985.0,1019.0,997.2000122070312,1223.4100006103515,1276.5040002441406,
2021-05-30,990.0,990.0,990.0,1205.2600006103517,1269.5440002441405,
2021-05-31,991.0,1018.0,995.7999877929688,1185.65,1263.48,
2021-06-01,990.0,1010.0,993.9000244140625,1164.445001220703,1257.3180004882813,
2021-06-02,970.0,1003.0,974.5,1141.4700012207031,1250.1480004882812,
2021-06-03,969.0,988.0,974.7000122070312,1116.9550018310547,1242.982000732422,
2021-06-06,954.9000244140625,965.0999755859375,963.7000122070312,1095.3900024414063,1234.9960009765625,
2021-06-07,932.0,954.4000244140625,933.5999755859375,1072.7200012207031,1225.2680004882814,
2021-06-08,933.5999755859375,947.0,945.0,1050.270001220703,1215.7880004882813,
2021-06-09,925.0,1090.0,1002.0,1034.570001220703,1208.8280004882813,
2021-06-10,990.0,1073.0,1025.0,1026.3700012207032,1202.1680004882812,
2021-06-13,1000.0,1045.0,1016.0,1017.2200012207031,1195.6680004882812,
2021-06-14,1031.0,1032.0,1031.0,1008.8200012207031,1189.4680004882812,
2021-06-15,1021.0,1100.0,1076.0,1010.1700012207032,1184.9280004882812,
2021-06-16,1080.0,1120.0,1115.0,1014.6700012207032,1181.2480004882811,
2021-06-17,1019.0,1119.0,1047.0,1013.9200012207032,1176.2480004882811,
2021-06-20,995.0,1070.0,1013.0,1010.9200012207032,1170.8680004882813,
2021-06-21,1000.0,1100.0,1063.0,1010.2200012207031,1165.5480004882813,
2021-06-22,1079.0,1096.0,1087.0,1013.1200012207031,1160.8880004882812,
2021-06-23,1040.0,1090.0,1069.0,1015.6200012207031,1154.8880004882812,
2021-06-24,1074.0,1095.0,1081.0,1019.8100006103516,1149.1280004882813,
2021-06-27,1076.0,1080.0,1077.0,1024.1600006103515,1143.2880004882813,
2021-06-28,1073.0,1088.0,1078.0,1028.270001220703,1137.4880004882812,
2021-06-29,1049.0,1081.0,1075.0,1032.325,1133.4480004882812,
2021-06-30,1060.0,1070.0,1067.0,1036.95,1130.0880004882813,
2021-07-01,1050.0,1070.0,1055.0,1040.9649993896485,1127.6080004882813,
2021-07-04,1040.0,1075.0,1065.0,1046.0299987792969,1125.5080004882811,
2021-07-05,1065.0,1075.0,1070.0,1052.85,1122.9080004882812,
2021-07-06,1070.0,1070.0,1070.0,1059.1,1119.2680004882814,
2021-07-07,1045.0,1067.0,1057.0,1061.85,1114.9480004882812,
2021-07-08,960.0,1033.0,990.9000244140625,1060.145001220703,1109.3860009765624,
2021-07-11,982.0,998.5,993.5999755859375,1059.025,1102.1980004882812,
2021-07-12,984.9000244140625,993.0999755859375,988.0999755859375,1056.8799987792968,1094.2,
2021-07-13,970.2999877929688,991.9000244140625,984.5,1052.304998779297,1085.53,
2021-07-14,975.0,999.9000244140625,981.2000122070312,1045.6149993896483,1076.4740002441406,
2021-07-15,911.0,981.2000122070312,928.4000244140625,1039.6850006103516,1065.742000732422,
2021-07-19,864.0999755859375,905.9000244140625,882.0,1033.1350006103517,1055.482000732422,
2021-07-20,868.7999877929688,882.2999877929688,877.9000244140625,1023.8800018310546,1045.300001220703,
2021-07-21,878.0,963.2999877929688,908.5,1014.9550018310547,1035.590001220703,
2021-07-22,902.0,955.0,938.0,1008.4050018310547,1028.030001220703,
2021-07-25,939.0,949.5999755859375,942.0,1001.4550018310547,1023.0900012207031,
2021-07-26,949.2999877929688,973.0,956.0999755859375,995.4100006103515,1018.2320007324219,
2021-07-27,930.0999755859375,966.7999877929688,961.0,989.5600006103516,1013.4720007324219,
2021-07-28,918.5,932.4000244140625,924.2999877929688,982.025,1010.9780004882813,
2021-07-29,924.2999877929688,924.2999877929688,924.2999877929688,974.8899993896484,1008.9640002441406,
2021-08-01,826.7999877929688,924.2999877929688,844.2999877929688,964.3549987792969,1004.61,
2021-08-02,825.0,865.0,854.5,953.8299987792968,1000.24,
2021-08-03,836.0999755859375,861.0,841.7000122070312,942.4149993896484,995.5340002441407,
2021-08-04,837.0999755859375,920.9000244140625,846.0,931.2149993896485,991.8740002441406,
2021-08-05,806.0,849.5999755859375,806.0,918.6649993896484,987.6140002441406,
2021-08-08,797.5,814.9000244140625,803.0,909.2699981689453,983.73,
2021-08-09,761.4000244140625,803.2000122070312,770.2000122070312,898.1,979.3340002441406,
2021-08-10,770.0,809.5999755859375,770.7999877929688,887.2350006103516,974.8340002441406,
2021-08-11,749.0,770.7999877929688,755.0999755859375,875.7649993896484,970.0579992675781,
2021-08-12,745.0,790.0,764.0999755859375,864.9099975585938,965.8499987792969,
2021-08-15,730.7000122070312,777.7000122070312,764.0999755859375,856.6949951171875,961.637998046875,
2021-08-16,667.0,764.2999877929688,696.5,847.4199951171875,956.2939978027343,
2021-08-17,667.0,705.0,674.7000122070312,837.2599945068359,951.1159985351562,
