Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,1333.0,1350.0,1337.0,,,
2021-01-25,1326.0,1362.0,1341.0,,,
2021-01-26,1321.0,1342.0,1324.0,,,
2021-01-27,1324.0,1349.0,1339.0,,,
2021-01-28,1323.0,1380.0,1374.0,,,
2021-01-31,1365.0,1440.0,1424.0,,,
2021-02-01,1424.0,1490.0,1485.0,,,
2021-02-02,1477.0,1510.0,1508.0,,,
2021-02-03,1456.0,1529.0,1513.0,,,
2021-02-04,1491.0,1530.0,1491.0,,,
2021-02-07,1456.0,1495.0,1466.0,,,
2021-02-08,1443.0,1475.0,1449.0,,,
2021-02-09,1440.0,1461.0,1443.0,,,
2021-02-10,1400.0,1480.0,1403.0,,,
2021-02-11,1373.0,1423.0,1379.0,,,
2021-02-14,1371.0,1391.0,1386.0,,,
2021-02-15,1372.0,1431.0,1388.0,,,
2021-02-16,1358.0,1426.0,1367.0,,,
2021-02-17,1351.0,1405.0,1390.0,,,
2021-02-18,1360.0,1400.0,1365.0,1408.6,,
2021-02-21,1350.0,1369.0,1358.0,1409.65,,
2021-02-22,1360.0,1420.0,1373.0,1411.25,,
2021-02-23,1351.0,1385.0,1356.0,1412.85,,
2021-02-24,1356.0,1413.0,1407.0,1416.25,,
2021-02-25,1368.0,1434.0,1370.0,1416.05,,
2021-02-28,1357.0,1401.0,1390.0,1414.35,,
2021-03-01,1390.0,1444.0,1442.0,1412.2,,
2021-03-02,1418.0,1467.0,1459.0,1409.75,,
2021-03-03,1421.0,1487.0,1454.0,1406.8,,
2021-03-04,1463.0,1491.0,1490.0,1406.75,,
2021-03-07,1477.0,1530.0,1509.0,1408.9,,
2021-03-08,1476.0,1509.0,1480.0,1410.45,,
2021-03-09,1446.0,1516.0,1469.0,1411.75,,
2021-03-10,1445.0,1490.0,1472.0,1415.2,,
2021-03-11,1459.0,1475.0,1472.0,1419.85,,
2021-03-14,1470.0,1487.0,1485.0,1424.8,,
2021-03-15,1455.0,1492.0,1470.0,1428.9,,
2021-03-16,1441.0,1482.0,1447.0,1432.9,,
2021-03-17,1437.0,1467.0,1463.0,1436.55,,
2021-03-18,1456.0,1490.0,1467.0,1441.65,,
2021-03-21,1486.0,1528.0,1525.0,1450.0,,
2021-03-22,1493.0,1535.0,1493.0,1456.0,,
2021-03-23,1493.0,1535.0,1493.0,1462.85,,
2021-03-24,1461.0,1514.0,1463.0,1465.65,,
2021-03-25,1459.0,1545.0,1495.0,1471.9,,
2021-03-29,1523.0,1580.0,1567.0,1480.75,,
2021-03-30,1567.0,1633.0,1616.0,1489.45,,
2021-03-31,1582.0,1640.0,1603.0,1496.65,,
2021-04-01,1595.0,1720.0,1614.0,1504.65,,
2021-04-04,1614.0,1614.0,1614.0,1510.85,1449.76,
2021-04-05,1569.0,1680.0,1569.0,1513.85,1454.4,
2021-04-06,1500.0,1523.0,1519.0,1515.8,1457.96,
2021-04-07,1519.0,1554.0,1551.0,1519.9,1462.5,
2021-04-08,1558.0,1583.0,1579.0,1525.25,1467.3,
2021-04-11,1576.0,1590.0,1586.0,1530.95,1471.54,
2021-04-12,1565.0,1590.0,1588.0,1536.1,1474.82,
2021-04-13,1578.0,1628.0,1615.0,1543.35,1477.42,
2021-04-14,1578.0,1628.0,1615.0,1551.75,1479.56,
2021-04-15,1578.0,1628.0,1615.0,1559.35,1481.6,
2021-04-18,1570.0,1647.0,1624.0,1567.2,1484.26,
2021-04-19,1624.0,1650.0,1649.0,1573.4,1487.92,
2021-04-20,1610.0,1650.0,1615.0,1579.5,1491.24,
2021-04-21,1599.0,1628.0,1617.0,1585.7,1494.72,
2021-04-22,1617.0,1650.0,1646.0,1594.85,1499.58,
2021-04-25,1645.0,1675.0,1667.0,1603.45,1505.34,
2021-04-26,1611.0,1673.0,1641.0,1607.15,1510.44,
2021-04-27,1649.0,1698.0,1661.0,1609.4,1515.9,
2021-04-28,1654.0,1698.0,1670.0,1612.75,1521.96,
2021-04-29,1675.0,1696.0,1692.0,1616.65,1528.0,
2021-05-02,1675.0,1704.0,1694.0,1620.65,1534.58,
2021-05-03,1681.0,1712.0,1697.0,1627.05,1541.36,
2021-05-04,1657.0,1702.0,1681.0,1635.15,1547.52,
2021-05-05,1669.0,1692.0,1678.0,1641.5,1553.96,
2021-05-06,1660.0,1718.0,1660.0,1645.55,1559.02,
2021-05-09,1660.0,1717.0,1711.0,1651.8,1565.84,
2021-05-10,1695.0,1798.0,1734.0,1659.1,1572.72,
2021-05-11,1661.0,1800.0,1668.0,1661.75,1577.24,
2021-05-12,1611.0,1668.0,1653.0,1663.65,1581.12,
2021-05-13,1631.0,1700.0,1679.0,1666.85,1585.62,
2021-05-17,1631.0,1700.0,1679.0,1669.6,1589.4,
2021-05-18,1679.0,1725.0,1712.0,1672.75,1593.46,
2021-05-19,1683.0,1743.0,1708.0,1677.4,1598.02,
2021-05-20,1707.0,1790.0,1723.0,1682.7,1603.1,
2021-05-23,1718.0,1800.0,1735.0,1687.15,1608.36,
2021-05-24,1691.0,1737.0,1722.0,1689.9,1613.36,
2021-05-25,1687.0,1731.0,1717.0,1693.7,1618.0,
2021-05-26,1702.0,1720.0,1720.0,1696.65,1623.0,
2021-05-27,1688.0,1735.0,1723.0,1699.3,1628.52,
2021-05-30,1735.0,1788.0,1767.0,1703.05,1634.6,
2021-05-31,1677.0,1722.0,1688.0,1702.75,1639.02,
2021-06-01,1649.0,1688.0,1654.0,1700.6,1641.6,
2021-06-02,1623.0,1660.0,1641.0,1698.6,1644.56,
2021-06-03,1623.0,1685.0,1644.0,1696.9,1647.58,
2021-06-06,1622.0,1689.0,1683.0,1698.05,1651.98,
2021-06-07,1686.0,1702.0,1698.0,1697.4,1656.04,
2021-06-08,1672.0,1712.0,1688.0,1695.1,1658.46,
2021-06-09,1661.0,1689.0,1686.0,1696.0,1659.86,
2021-06-10,1662.0,1686.0,1674.0,1697.05,1661.28,
2021-06-13,1659.0,1680.0,1673.0,1696.75,1662.46,
2021-06-14,1661.0,1710.0,1702.0,1697.9,1664.22,
2021-06-15,1705.0,1750.0,1748.0,1699.7,1667.8,
2021-06-16,1703.0,1746.0,1738.0,1701.2,1672.18,
2021-06-17,1688.0,1738.0,1730.0,1701.55,1675.76,
2021-06-20,1710.0,1730.0,1714.0,1700.5,1678.46,
2021-06-21,1698.0,1735.0,1708.0,1699.8,1680.9,
2021-06-22,1702.0,1732.0,1718.0,1699.85,1683.5,
2021-06-23,1702.0,1718.0,1711.0,1699.4,1685.42,
2021-06-24,1694.0,1711.0,1700.0,1698.25,1687.12,
2021-06-27,1658.0,1700.0,1662.0,1693.0,1688.06,
2021-06-28,1640.0,1669.0,1648.0,1691.0,1688.54,
2021-06-29,1640.0,1699.0,1689.0,1692.75,1689.34,
2021-06-30,1665.0,1689.0,1667.0,1694.05,1690.38,
2021-07-01,1637.0,1671.0,1637.0,1693.7,1690.78,
2021-07-04,1600.0,1669.0,1622.0,1690.65,1690.3,
2021-07-05,1622.0,1658.0,1642.0,1687.85,1689.8,
2021-07-06,1642.0,1642.0,1642.0,1685.55,1689.82,
2021-07-07,1674.0,1700.0,1679.0,1685.2,1690.18,
2021-07-08,1618.0,1650.0,1636.0,1683.3,1689.5,
2021-07-11,1636.0,1662.0,1656.0,1682.45,1688.78,
2021-07-12,1615.0,1708.0,1652.0,1679.95,1687.94,
2021-07-13,1628.0,1665.0,1629.0,1674.0,1686.58,
2021-07-14,1620.0,1638.0,1627.0,1668.45,1685.5,
2021-07-15,1600.0,1628.0,1616.0,1662.75,1684.26,
2021-07-19,1549.0,1616.0,1555.0,1654.8,1682.16,
2021-07-20,1554.0,1572.0,1559.0,1647.35,1679.12,
2021-07-21,1568.0,1625.0,1608.0,1641.85,1676.6,
2021-07-22,1608.0,1640.0,1628.0,1637.7,1675.8,
2021-07-25,1598.0,1628.0,1621.0,1633.75,1675.16,
2021-07-26,1602.0,1621.0,1613.0,1631.3,1673.84,
2021-07-27,1599.0,1640.0,1606.0,1629.2,1672.38,
2021-07-28,1597.0,1636.0,1618.0,1625.65,1670.5,
2021-07-29,1622.0,1677.0,1655.0,1625.05,1669.44,
2021-08-01,1649.0,1710.0,1710.0,1628.7,1669.18,
2021-08-02,1693.0,1739.0,1704.0,1632.8,1668.56,
2021-08-03,1630.0,1719.0,1694.0,1635.4,1668.0,
2021-08-04,1628.0,1724.0,1695.0,1638.05,1667.56,
2021-08-05,1680.0,1720.0,1703.0,1639.25,1667.22,
2021-08-08,1676.0,1720.0,1676.0,1641.25,1666.28,
2021-08-09,1637.0,1689.0,1640.0,1640.45,1663.74,
2021-08-10,1634.0,1654.0,1641.0,1639.9,1662.8,
2021-08-11,1641.0,1695.0,1681.0,1642.5,1663.34,
2021-08-12,1629.0,1703.0,1675.0,1644.9,1664.02,
2021-08-15,1651.0,1699.0,1670.0,1647.6,1664.54,
2021-08-16,1655.0,1677.0,1661.0,1652.9,1664.1,
2021-08-17,1654.0,1680.0,1679.0,1658.9,1663.72,
2021-08-18,1649.0,1706.0,1696.0,1663.3,1663.88,
2021-08-19,1677.0,1696.0,1684.0,1666.1,1663.84,
2021-08-22,1737.0,1796.0,1747.0,1672.4,1665.3,
2021-08-23,1735.0,1763.0,1754.0,1679.45,1666.92,
2021-08-24,1754.0,1789.0,1774.0,1687.85,1668.36,1594.1133333333332
2021-08-25,1730.0,1775.0,1750.0,1694.45,1668.4,1596.8666666666666
2021-08-26,1730.0,1750.0,1734.0,1698.4,1668.32,1599.4866666666667
2021-08-29,1730.0,1755.0,1731.0,1699.45,1668.34,1602.2
2021-08-30,1560.0,1616.0,1605.0,1694.5,1666.16,1603.9733333333334
2021-08-31,1597.0,1615.0,1605.0,1690.05,1664.1,1605.5133333333333
2021-09-01,1589.0,1635.0,1633.0,1686.95,1662.4,1606.9066666666668
2021-09-02,1610.0,1649.0,1640.0,1683.8,1660.98,1607.94
2021-09-05,1638.0,1660.0,1654.0,1682.7,1660.06,1608.9133333333334
2021-09-07,1638.0,1660.0,1654.0,1683.4,1659.9,1609.8533333333332
2021-09-08,1638.0,1660.0,1654.0,1684.05,1660.02,1610.94
2021-09-09,1631.0,1699.0,1669.0,1683.45,1659.62,1612.2933333333333
2021-09-12,1669.0,1703.0,1695.0,1684.45,1660.18,1613.9333333333334
2021-09-13,1650.0,1700.0,1663.0,1684.1,1660.7,1615.4
2021-09-14,1630.0,1662.0,1642.0,1683.15,1661.1,1616.9933333333333
2021-09-15,1630.0,1662.0,1642.0,1681.3,1661.1,1618.7466666666667
2021-09-16,1630.0,1662.0,1642.0,1678.6,1661.1,1620.4533333333334
2021-09-19,1634.0,1667.0,1660.0,1677.4,1660.72,1622.2666666666667
2021-09-20,1634.0,1667.0,1660.0,1673.05,1661.2,1624.22
2021-09-21,1634.0,1667.0,1660.0,1668.35,1661.28,1626.02
2021-09-22,1651.0,1714.0,1709.0,1665.1,1662.42,1628.3133333333333
2021-09-23,1722.0,1777.0,1768.0,1666.0,1665.2,1631.0466666666666
2021-09-26,1745.0,1787.0,1753.0,1666.95,1667.72,1633.58
2021-09-27,1745.0,1787.0,1753.0,1668.05,1670.46,1636.2266666666667
2021-09-28,1745.0,1787.0,1753.0,1675.45,1674.42,1638.5333333333333
2021-09-29,1718.0,1755.0,1721.0,1681.25,1677.66,1640.8733333333332
2021-09-30,1686.0,1766.0,1723.0,1685.75,1679.96,1643.0933333333332
2021-10-03,1723.0,1768.0,1753.0,1691.4,1682.46,1645.1666666666667
2021-10-04,1733.0,1790.0,1743.0,1695.85,1684.9,1647.06
2021-10-05,1720.0,1770.0,1722.0,1699.25,1687.08,1648.8466666666666
2021-10-06,1692.0,1717.0,1700.0,1701.55,1688.96,1650.2466666666667
2021-10-07,1696.0,1748.0,1740.0,1705.1,1691.4,1651.7866666666666
2021-10-10,1730.0,1748.0,1738.0,1707.25,1693.06,1653.5066666666667
2021-10-11,1703.0,1769.0,1749.0,1711.55,1693.84,1655.3733333333332
2021-10-12,1738.0,1754.0,1743.0,1716.6,1694.62,1657.18
2021-10-13,1735.0,1774.0,1741.0,1721.55,1695.56,1658.9733333333334
2021-10-14,1743.0,1770.0,1770.0,1727.95,1697.06,1660.8733333333332
2021-10-17,1770.0,1811.0,1782.0,1734.05,1698.64,1662.9533333333334
2021-10-18,1776.0,1800.0,1781.0,1740.1,1700.74,1665.18
2021-10-19,1782.0,1810.0,1800.0,1747.1,1703.94,1667.4266666666667
2021-10-20,1806.0,1845.0,1841.0,1753.7,1707.94,1669.92
2021-10-21,1825.0,1859.0,1839.0,1757.25,1711.1,1672.0133333333333
2021-10-24,1814.0,1899.0,1857.0,1762.45,1714.74,1674.44
2021-10-25,1820.0,1888.0,1857.0,1767.65,1718.48,1676.8666666666666
2021-10-26,1850.0,1860.0,1855.0,1772.75,1722.36,1679.48
2021-10-27,1849.0,1888.0,1855.0,1779.45,1725.88,1681.88
2021-10-28,1817.0,1855.0,1855.0,1786.05,1729.06,1683.8
2021-10-31,1864.0,1892.0,1890.0,1792.9,1733.18,1685.6266666666668
2021-11-01,1862.0,1900.0,1890.0,1800.25,1736.04,1687.54
2021-11-02,1899.0,1970.0,1950.0,1811.65,1739.96,1689.78
2021-11-03,1911.0,1980.0,1963.0,1824.8,1743.74,1692.1066666666666
2021-11-04,1952.0,1972.0,1970.0,1836.3,1748.14,1694.78
2021-11-07,1961.0,2100.0,2022.0,1850.5,1753.9,1698.1333333333334
2021-11-08,2031.0,2075.0,2063.0,1866.2,1760.54,1701.5466666666666
2021-11-09,2055.0,2101.0,2101.0,1884.1,1770.46,1705.0266666666666
2021-11-10,2078.0,2144.0,2108.0,1902.45,1780.52,1708.5066666666667
2021-11-11,2074.0,2113.0,2099.0,1918.9,1789.84,1711.9133333333334
2021-11-14,2021.0,2131.0,2112.0,1935.4,1799.28,1715.2266666666667
2021-11-15,2061.0,2157.0,2111.0,1951.9,1808.42,1718.5333333333333
2021-11-16,2052.0,2133.0,2106.0,1967.2,1817.46,1721.8066666666666
2021-11-17,2095.0,2120.0,2106.0,1980.45,1826.5,1725.02
2021-11-18,2085.0,2117.0,2109.0,1993.95,1835.3,1728.0866666666666
2021-11-21,2099.0,2169.0,2116.0,2006.9,1843.72,1731.4266666666667
2021-11-22,2116.0,2170.0,2170.0,2022.55,1853.86,1735.1133333333332
2021-11-23,2105.0,2200.0,2200.0,2039.8,1865.02,1738.8066666666666
2021-11-24,2150.0,2237.0,2188.0,2056.45,1875.94,1742.28
2021-11-25,2161.0,2217.0,2199.0,2073.65,1887.08,1746.0
2021-11-28,2199.0,2199.0,2199.0,2089.1,1897.86,1749.5866666666666
2021-11-29,2030.0,2106.0,2030.0,2096.1,1905.26,1751.9866666666667
2021-11-30,1989.0,2051.0,2043.0,2100.75,1912.92,1754.3266666666666
2021-12-01,2039.0,2060.0,2053.0,2105.25,1919.8,1756.72
2021-12-02,1996.0,2060.0,1999.0,2106.7,1924.42,1758.7333333333333
2021-12-05,1950.0,2058.0,1996.0,2105.4,1929.28,1760.8333333333333
2021-12-06,1985.0,2020.0,2020.0,2103.25,1934.62,1763.1133333333332
2021-12-07,2029.0,2042.0,2040.0,2100.2,1940.36,1765.6466666666668
2021-12-08,2029.0,2060.0,2037.0,2096.65,1946.68,1767.82
2021-12-09,2026.0,2049.0,2035.0,2093.45,1952.92,1769.8266666666666
2021-12-12,1977.0,2039.0,1997.0,2087.7,1957.8,1772.02
2021-12-13,1997.0,2041.0,2032.0,2083.75,1963.58,1774.5466666666666
2021-12-14,1997.0,2027.0,2023.0,2079.6,1969.6,1776.84
2021-12-15,2003.0,2025.0,2022.0,2075.4,1976.04,1779.1266666666668
2021-12-16,2022.0,2087.0,2087.0,2074.3,1982.98,1781.6266666666668
2021-12-19,2059.0,2087.0,2068.0,2071.9,1989.58,1784.0266666666666
2021-12-20,1935.0,2068.0,1975.0,2062.15,1994.1,1785.7066666666667
2021-12-21,1961.0,2032.0,2011.0,2052.7,1999.46,1787.5466666666666
2021-12-22,1996.0,2020.0,2011.0,2043.85,2004.86,1789.4733333333334
2021-12-23,1960.0,2013.0,2008.0,2034.3,2009.62,1791.4133333333334
2021-12-26,1980.0,2007.0,1992.0,2023.95,2013.82,1793.2266666666667
2021-12-27,1946.0,2016.0,2004.0,2022.65,2018.28,1795.1
