Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,7671.0,8099.0,7769.0,,,
2021-01-25,7530.0,7820.0,7603.0,,,
2021-01-26,7360.0,7618.0,7546.0,,,
2021-01-27,7460.0,7552.0,7526.0,,,
2021-01-28,7319.0,7437.0,7341.0,,,
2021-01-31,7011.0,7295.0,7254.0,,,
2021-02-01,7072.0,7254.0,7106.0,,,
2021-02-02,6903.0,7181.0,6940.0,,,
2021-02-03,6826.0,6945.0,6855.0,,,
2021-02-04,6708.0,6855.0,6708.0,,,
2021-02-07,6817.0,6957.0,6934.0,,,
2021-02-08,6934.0,7130.0,7038.0,,,
2021-02-09,7146.0,7500.0,7174.0,,,
2021-02-10,7080.0,7428.0,7126.0,,,
2021-02-11,6812.0,7107.0,6861.0,,,
2021-02-14,6861.0,7032.0,6866.0,,,
2021-02-15,6777.0,6911.0,6901.0,,,
2021-02-16,6897.0,6999.0,6950.0,,,
2021-02-17,6859.0,7021.0,6971.0,,,
2021-02-18,6787.0,6982.0,6842.0,7115.55,,
2021-02-21,6844.0,7000.0,6959.0,7075.05,,
2021-02-22,6831.0,6959.0,6844.0,7037.1,,
2021-02-23,6844.0,6925.0,6877.0,7003.65,,
2021-02-24,6914.0,6980.0,6946.0,6974.65,,
2021-02-25,6951.0,7119.0,6983.0,6956.75,,
2021-02-28,6799.0,7160.0,7034.0,6945.75,,
2021-03-01,7059.0,7279.0,7210.0,6950.95,,
2021-03-02,7000.0,7212.0,7160.0,6961.95,,
2021-03-03,6800.0,7276.0,7238.0,6981.1,,
2021-03-04,7090.0,7320.0,7143.0,7002.85,,
2021-03-07,7090.0,7471.0,7375.0,7024.9,,
2021-03-08,7152.0,7375.0,7283.0,7037.15,,
2021-03-09,7207.0,7429.0,7242.0,7040.55,,
2021-03-10,7050.0,7245.0,7121.0,7040.3,,
2021-03-11,7100.0,7165.0,7130.0,7053.75,,
2021-03-14,7132.0,7235.0,7184.0,7069.65,,
2021-03-15,7168.0,7315.0,7278.0,7088.5,,
2021-03-16,7315.0,7366.0,7344.0,7108.2,,
2021-03-17,7243.0,7370.0,7286.0,7123.95,,
2021-03-18,7254.0,7336.0,7329.0,7148.3,,
2021-03-21,7315.0,7359.0,7332.0,7166.95,,
2021-03-22,7259.0,7332.0,7315.0,7190.5,,
2021-03-23,7259.0,7332.0,7315.0,7212.4,,
2021-03-24,7216.0,7350.0,7218.0,7226.0,,
2021-03-25,7187.0,7299.0,7205.0,7237.1,,
2021-03-29,7274.0,7345.0,7319.0,7251.35,,
2021-03-30,7228.0,7339.0,7296.0,7255.65,,
2021-03-31,7296.0,7401.0,7370.0,7266.15,,
2021-04-01,7101.0,7471.0,7441.0,7276.3,,
2021-04-04,7441.0,7441.0,7441.0,7291.2,7170.58,
2021-04-05,7373.0,7759.0,7373.0,7291.1,7162.66,
2021-04-06,7370.0,7472.0,7433.0,7298.6,7159.26,
2021-04-07,7409.0,7496.0,7440.0,7308.5,7157.14,
2021-04-08,7320.0,7695.0,7619.0,7333.4,7159.0,
2021-04-11,7621.0,7752.0,7736.0,7363.7,7166.9,
2021-04-12,7775.0,7917.0,7807.0,7394.85,7177.96,
2021-04-13,7502.0,7821.0,7725.0,7417.2,7190.34,
2021-04-14,7502.0,7821.0,7725.0,7436.25,7206.04,
2021-04-15,7502.0,7821.0,7725.0,7458.2,7223.44,
2021-04-18,7730.0,7850.0,7811.0,7482.3,7245.5,
2021-04-19,7772.0,7915.0,7841.0,7507.75,7263.64,
2021-04-20,7847.0,7973.0,7875.0,7535.75,7280.38,
2021-04-21,7830.0,7988.0,7919.0,7565.95,7295.28,
2021-04-22,7919.0,8214.0,8038.0,7606.95,7313.52,
2021-04-25,8036.0,8300.0,8266.0,7660.0,7341.62,
2021-04-26,8168.0,8430.0,8295.0,7708.8,7370.2,
2021-04-27,8361.0,8515.0,8498.0,7768.9,7402.14,
2021-04-28,8435.0,8701.0,8607.0,7830.75,7435.28,
2021-04-29,8679.0,8793.0,8789.0,7898.15,7471.64,
2021-05-02,8701.0,8834.0,8793.0,7965.75,7510.66,
2021-05-03,8763.0,8875.0,8800.0,8037.1,7547.48,
2021-05-04,8451.0,8875.0,8674.0,8099.15,7584.08,
2021-05-05,8500.0,8874.0,8770.0,8165.65,7621.94,
2021-05-06,8520.0,8800.0,8520.0,8210.7,7653.42,
2021-05-09,8529.0,8620.0,8571.0,8252.45,7685.18,
2021-05-10,8505.0,8571.0,8526.0,8288.4,7715.02,
2021-05-11,8137.0,8485.0,8195.0,8311.9,7734.72,
2021-05-12,7889.0,8195.0,8166.0,8333.95,7754.84,
2021-05-13,8073.0,8330.0,8167.0,8356.05,7773.42,
2021-05-17,8073.0,8330.0,8167.0,8373.85,7793.9,
2021-05-18,8373.0,8575.0,8408.0,8402.2,7814.56,
2021-05-19,8411.0,8613.0,8511.0,8434.0,7839.12,
2021-05-20,8558.0,8769.0,8666.0,8471.35,7867.6,
2021-05-23,8666.0,8870.0,8850.0,8511.95,7902.18,
2021-05-24,8823.0,8957.0,8867.0,8542.0,7936.92,
2021-05-25,8864.0,9039.0,9001.0,8577.3,7973.26,
2021-05-26,8846.0,9587.0,9221.0,8613.45,8012.12,
2021-05-27,9158.0,9407.0,9369.0,8651.55,8052.62,
2021-05-30,9392.0,9797.0,9511.0,8687.65,8097.12,
2021-05-31,9134.0,9526.0,9417.0,8718.85,8138.88,
2021-06-01,9252.0,9594.0,9303.0,8744.0,8178.3,
2021-06-02,8846.0,9297.0,8906.0,8755.6,8210.12,
2021-06-03,8521.0,8906.0,8521.0,8743.15,8234.24,
2021-06-06,8521.0,9000.0,8667.0,8750.5,8263.22,
2021-06-07,8510.0,8720.0,8583.0,8751.1,8290.78,
2021-06-08,8334.0,8755.0,8392.0,8744.4,8312.24,
2021-06-09,8128.0,8328.0,8246.0,8746.95,8331.24,
2021-06-10,8122.0,8287.0,8230.0,8750.15,8348.44,
2021-06-13,8232.0,8440.0,8413.0,8762.45,8367.88,
2021-06-14,8371.0,8649.0,8485.0,8778.35,8388.76,
2021-06-15,8417.0,8562.0,8470.0,8781.45,8410.7,
2021-06-16,8300.0,8798.0,8408.0,8776.3,8430.2,
2021-06-17,8240.0,8499.0,8373.0,8761.65,8448.86,
2021-06-20,8340.0,8387.0,8353.0,8736.8,8463.54,
2021-06-21,8350.0,8999.0,8589.0,8722.9,8480.6,
2021-06-22,8451.0,8637.0,8577.0,8701.7,8496.0,
2021-06-23,8548.0,8683.0,8605.0,8670.9,8513.6,
2021-06-24,8564.0,8702.0,8661.0,8635.5,8532.32,
