Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,1186.0,1202.0,1197.0,,,
2021-01-25,1180.0,1216.0,1194.0,,,
2021-01-26,1182.0,1216.0,1202.0,,,
2021-01-27,1161.0,1207.0,1167.0,,,
2021-01-28,1165.0,1188.0,1182.0,,,
2021-01-31,1170.0,1217.0,1200.0,,,
2021-02-01,1165.0,1202.0,1197.0,,,
2021-02-02,1175.0,1200.0,1199.0,,,
2021-02-03,1192.0,1220.0,1203.0,,,
2021-02-04,1180.0,1209.0,1182.0,,,
2021-02-07,1175.0,1220.0,1180.0,,,
2021-02-08,1165.0,1205.0,1202.0,,,
2021-02-09,1198.0,1202.0,1200.0,,,
2021-02-10,1200.0,1208.0,1206.0,,,
2021-02-11,1180.0,1218.0,1199.0,,,
2021-02-14,1175.0,1214.0,1184.0,,,
2021-02-15,1184.0,1235.0,1234.0,,,
2021-02-16,1234.0,1241.0,1238.0,,,
2021-02-17,1217.0,1243.0,1225.0,,,
2021-02-18,1200.0,1236.0,1207.0,1199.9,,
2021-02-21,1200.0,1239.0,1216.0,1200.85,,
2021-02-22,1200.0,1221.0,1200.0,1201.15,,
2021-02-23,1121.0,1207.0,1126.0,1197.35,,
2021-02-24,1100.0,1140.0,1103.0,1194.15,,
2021-02-25,1078.0,1110.0,1100.0,1190.05,,
2021-02-28,1065.0,1112.0,1082.0,1184.15,,
2021-03-01,1063.0,1090.0,1079.0,1178.25,,
2021-03-02,1071.0,1118.0,1110.0,1173.8,,
2021-03-03,1110.0,1110.0,1110.0,1169.15,,
2021-03-04,1115.0,1178.0,1139.0,1167.0,,
2021-03-07,1139.0,1139.0,1139.0,1164.95,,
2021-03-08,1110.0,1153.0,1120.0,1160.85,,
2021-03-09,1107.0,1120.0,1110.0,1156.35,,
2021-03-10,1106.0,1115.0,1110.0,1151.55,,
2021-03-11,1110.0,1135.0,1122.0,1147.7,,
2021-03-14,1122.0,1124.0,1123.0,1144.65,,
2021-03-15,1099.0,1123.0,1100.0,1137.95,,
2021-03-16,1093.0,1109.0,1093.0,1130.7,,
2021-03-17,1085.0,1109.0,1104.0,1124.65,,
2021-03-18,1083.0,1105.0,1083.0,1118.45,,
2021-03-21,1088.0,1094.0,1090.0,1112.15,,
2021-03-22,1090.0,1110.0,1100.0,1107.15,,
2021-03-23,1090.0,1110.0,1100.0,1105.85,,
2021-03-24,1070.0,1100.0,1090.0,1105.2,,
2021-03-25,1072.0,1100.0,1085.0,1104.45,,
2021-03-29,1073.0,1098.0,1093.0,1105.0,,
2021-03-30,1093.0,1097.0,1097.0,1105.9,,
2021-03-31,1088.0,1095.0,1095.0,1105.15,,
2021-04-01,1095.0,1119.0,1113.0,1105.3,,
2021-04-04,1113.0,1113.0,1113.0,1104.0,1146.86,
2021-04-05,1140.0,1150.0,1147.0,1104.4,1145.86,
2021-04-06,1138.0,1145.0,1140.0,1105.4,1144.78,
2021-04-07,1122.0,1147.0,1125.0,1106.15,1143.24,
2021-04-08,1119.0,1149.0,1121.0,1106.7,1142.32,
2021-04-11,1114.0,1131.0,1122.0,1106.7,1141.12,
2021-04-12,1104.0,1126.0,1114.0,1106.25,1139.4,
2021-04-13,1100.0,1114.0,1100.0,1106.25,1137.46,
2021-04-14,1100.0,1114.0,1100.0,1106.6,1135.48,
2021-04-15,1100.0,1114.0,1100.0,1106.4,1133.42,
2021-04-18,1100.0,1125.0,1118.0,1108.15,1132.14,
2021-04-19,1106.0,1132.0,1128.0,1110.05,1131.1,
2021-04-20,1128.0,1142.0,1139.0,1112.0,1129.84,
2021-04-21,1140.0,1170.0,1166.0,1115.3,1129.16,
2021-04-22,1174.0,1189.0,1176.0,1119.6,1128.56,
2021-04-25,1183.0,1184.0,1183.0,1124.5,1128.24,
2021-04-26,1171.0,1193.0,1183.0,1129.0,1128.22,
2021-04-27,1190.0,1215.0,1215.0,1134.9,1127.84,
2021-04-28,1214.0,1223.0,1216.0,1140.95,1127.4,
2021-04-29,1220.0,1249.0,1241.0,1147.35,1127.72,
2021-05-02,1241.0,1252.0,1250.0,1154.2,1128.58,
2021-05-03,1232.0,1278.0,1274.0,1160.55,1129.74,
2021-05-04,1278.0,1296.0,1283.0,1167.7,1131.4,
2021-05-05,1285.0,1298.0,1292.0,1176.05,1134.72,
2021-05-06,1266.0,1340.0,1340.0,1187.0,1139.46,
2021-05-09,1319.0,1370.0,1335.0,1197.65,1144.16,
2021-05-10,1320.0,1350.0,1323.0,1208.1,1148.98,
2021-05-11,1210.0,1297.0,1277.0,1216.95,1152.94,
2021-05-12,1246.0,1277.0,1263.0,1225.1,1156.0,
2021-05-13,1232.0,1254.0,1244.0,1232.3,1158.68,
2021-05-17,1232.0,1254.0,1244.0,1238.6,1160.78,
2021-05-18,1209.0,1246.0,1212.0,1242.8,1162.24,
2021-05-19,1185.0,1213.0,1199.0,1245.8,1163.82,
2021-05-20,1194.0,1223.0,1214.0,1248.2,1165.9,
2021-05-23,1214.0,1230.0,1224.0,1250.6,1168.18,
2021-05-24,1212.0,1224.0,1213.0,1252.1,1170.0,
2021-05-25,1206.0,1219.0,1214.0,1253.65,1171.82,
2021-05-26,1206.0,1209.0,1208.0,1253.3,1173.98,
2021-05-27,1201.0,1208.0,1203.0,1252.65,1176.18,
2021-05-30,1180.0,1200.0,1192.0,1250.2,1177.94,
2021-05-31,1190.0,1190.0,1190.0,1247.2,1180.08,
2021-06-01,1180.0,1198.0,1189.0,1242.95,1182.06,
2021-06-02,1188.0,1200.0,1197.0,1238.65,1184.0,
2021-06-03,1210.0,1255.0,1236.0,1235.85,1186.72,
2021-06-06,1235.0,1246.0,1241.0,1230.9,1189.74,
2021-06-07,1229.0,1250.0,1237.0,1226.0,1192.78,
2021-06-08,1240.0,1240.0,1240.0,1221.85,1195.72,
2021-06-09,1232.0,1245.0,1235.0,1219.75,1198.48,
2021-06-10,1194.0,1247.0,1204.0,1216.8,1200.66,
2021-06-13,1211.0,1229.0,1220.0,1215.6,1202.8,
2021-06-14,1211.0,1238.0,1223.0,1214.55,1205.0,
2021-06-15,1215.0,1225.0,1224.0,1215.15,1206.54,
2021-06-16,1224.0,1226.0,1225.0,1216.45,1208.24,
2021-06-17,1187.0,1214.0,1202.0,1215.85,1209.78,
2021-06-20,1207.0,1211.0,1209.0,1215.1,1211.54,
2021-06-21,1224.0,1225.0,1225.0,1215.7,1213.6,
2021-06-22,1222.0,1225.0,1223.0,1216.15,1215.78,
2021-06-23,1194.0,1280.0,1211.0,1216.3,1218.0,
2021-06-24,1187.0,1211.0,1192.0,1215.75,1219.84,
2021-06-27,1192.0,1204.0,1194.0,1215.85,1221.72,
2021-06-28,1180.0,1204.0,1199.0,1216.3,1223.34,
2021-06-29,1170.0,1215.0,1173.0,1215.5,1224.24,
2021-06-30,1173.0,1199.0,1179.0,1214.6,1225.04,
2021-07-01,1178.0,1179.0,1179.0,1211.75,1225.3,
2021-07-04,1175.0,1190.0,1182.0,1208.8,1225.42,
2021-07-05,1204.0,1204.0,1204.0,1207.15,1225.84,
2021-07-06,1204.0,1204.0,1204.0,1205.35,1226.26,
2021-07-07,1186.0,1212.0,1196.0,1203.4,1225.88,
2021-07-08,1169.0,1184.0,1172.0,1201.8,1225.0,
2021-07-11,1184.0,1198.0,1194.0,1200.5,1224.06,
2021-07-12,1194.0,1194.0,1194.0,1199.05,1222.94,
2021-07-13,1102.0,1194.0,1160.0,1195.85,1220.66,
2021-07-14,1158.0,1166.0,1163.0,1192.75,1218.26,
2021-07-15,1140.0,1163.0,1144.0,1189.85,1215.3,
2021-07-19,1102.0,1149.0,1111.0,1184.95,1210.72,
2021-07-20,1093.0,1131.0,1111.0,1179.25,1206.24,
2021-07-21,1111.0,1133.0,1121.0,1174.15,1202.2,
2021-07-22,1121.0,1144.0,1141.0,1170.65,1199.48,
2021-07-25,1141.0,1159.0,1150.0,1168.55,1197.22,
2021-07-26,1150.0,1176.0,1156.0,1166.65,1195.46,
2021-07-27,1156.0,1175.0,1159.0,1164.65,1193.76,
2021-07-28,1177.0,1177.0,1177.0,1164.85,1193.06,
2021-07-29,1177.0,1192.0,1190.0,1165.4,1192.88,
2021-08-01,1207.0,1225.0,1218.0,1167.35,1192.96,
2021-08-02,1217.0,1229.0,1218.0,1169.15,1192.84,
2021-08-03,1217.0,1223.0,1219.0,1169.9,1192.96,
2021-08-04,1200.0,1228.0,1207.0,1170.05,1192.82,
2021-08-05,1205.0,1230.0,1230.0,1171.75,1193.26,
2021-08-08,1214.0,1247.0,1234.0,1174.85,1193.88,
2021-08-09,1213.0,1250.0,1232.0,1176.75,1194.68,
2021-08-10,1211.0,1232.0,1220.0,1178.05,1195.28,
2021-08-11,1202.0,1223.0,1207.0,1180.4,1195.64,
2021-08-12,1181.0,1200.0,1195.0,1182.0,1195.6,
2021-08-15,1199.0,1232.0,1208.0,1185.2,1195.04,
2021-08-16,1268.0,1399.0,1341.0,1196.7,1197.04,
2021-08-17,1256.0,1341.0,1285.0,1205.4,1198.0,
2021-08-18,1295.0,1335.0,1314.0,1215.05,1199.48,
2021-08-19,1314.0,1343.0,1341.0,1225.05,1201.6,
2021-08-22,1347.0,1400.0,1390.0,1237.05,1205.32,
2021-08-23,1415.0,1453.0,1444.0,1251.45,1209.8,
2021-08-24,1417.0,1418.0,1417.0,1264.35,1213.68,1188.5133333333333
2021-08-25,1400.0,1431.0,1414.0,1276.2,1217.48,1189.96
2021-08-26,1414.0,1446.0,1436.0,1288.5,1221.7,1191.5733333333333
2021-08-29,1435.0,1500.0,1488.0,1302.0,1227.42,1193.48
2021-08-30,1480.0,1510.0,1496.0,1315.9,1233.16,1195.6733333333334
2021-08-31,1496.0,1496.0,1496.0,1329.75,1238.58,1197.7666666666667
2021-09-01,1496.0,1535.0,1522.0,1345.5,1244.56,1199.9133333333334
2021-09-02,1475.0,1523.0,1479.0,1357.95,1249.92,1201.7933333333333
2021-09-05,1450.0,1470.0,1470.0,1369.75,1255.48,1203.6
2021-09-07,1450.0,1470.0,1470.0,1381.65,1261.0,1205.38
2021-09-08,1450.0,1470.0,1470.0,1394.15,1266.42,1207.3
2021-09-09,1440.0,1468.0,1444.0,1406.0,1271.84,1209.06
2021-09-12,1416.0,1444.0,1425.0,1417.5,1276.76,1210.5466666666666
2021-09-13,1395.0,1413.0,1399.0,1427.05,1281.16,1211.8733333333332
2021-09-14,1369.0,1400.0,1377.0,1428.85,1285.06,1213.0133333333333
2021-09-15,1369.0,1400.0,1377.0,1433.45,1288.52,1214.2
2021-09-16,1369.0,1400.0,1377.0,1436.6,1291.98,1215.4866666666667
2021-09-19,1351.0,1419.0,1405.0,1439.8,1296.16,1216.6266666666668
2021-09-20,1351.0,1419.0,1405.0,1440.55,1300.82,1217.74
2021-09-21,1351.0,1419.0,1405.0,1438.6,1305.04,1218.94
2021-09-22,1389.0,1400.0,1393.0,1437.4,1309.02,1220.18
2021-09-23,1370.0,1398.0,1381.0,1435.75,1313.44,1221.28
2021-09-26,1408.0,1450.0,1440.0,1435.95,1318.98,1222.88
2021-09-27,1408.0,1450.0,1440.0,1433.55,1324.9,1224.9733333333334
2021-09-28,1408.0,1450.0,1440.0,1430.75,1331.48,1227.22
2021-09-29,1421.0,1473.0,1440.0,1427.95,1338.06,1229.4866666666667
2021-09-30,1430.0,1449.0,1434.0,1423.55,1344.32,1231.8333333333333
2021-10-03,1447.0,1470.0,1455.0,1422.35,1350.6,1234.34
2021-10-04,1426.0,1455.0,1438.0,1420.75,1356.36,1236.5266666666666
2021-10-05,1373.0,1480.0,1451.0,1419.8,1362.26,1238.8
2021-10-06,1390.0,1423.0,1408.0,1416.7,1367.24,1240.5933333333332
2021-10-07,1401.0,1410.0,1403.0,1414.65,1371.76,1242.3533333333332
2021-10-10,1403.0,1405.0,1404.0,1413.6,1376.04,1244.2466666666667
2021-10-11,1395.0,1405.0,1395.0,1413.4,1379.58,1246.1466666666668
2021-10-12,1375.0,1404.0,1384.0,1413.75,1382.9,1247.9733333333334
2021-10-13,1384.0,1425.0,1401.0,1414.95,1386.54,1249.8333333333333
2021-10-14,1400.0,1424.0,1402.0,1416.2,1390.44,1251.6933333333334
2021-10-17,1425.0,1465.0,1459.0,1418.9,1395.02,1254.0866666666666
2021-10-18,1434.0,1510.0,1475.0,1422.4,1399.84,1256.6333333333334
2021-10-19,1486.0,1535.0,1517.0,1428.0,1405.54,1259.3866666666668
2021-10-20,1488.0,1530.0,1530.0,1434.85,1411.74,1262.3666666666666
2021-10-21,1503.0,1533.0,1509.0,1441.25,1417.78,1265.16
2021-10-24,1494.0,1510.0,1497.0,1444.1,1423.82,1267.8066666666666
2021-10-25,1467.0,1497.0,1481.0,1446.15,1429.28,1270.3466666666666
2021-10-26,1463.0,1495.0,1471.0,1447.7,1431.88,1272.8866666666668
2021-10-27,1467.0,1480.0,1480.0,1449.7,1435.78,1275.52
2021-10-28,1465.0,1480.0,1474.0,1451.7,1438.98,1278.06
2021-10-31,1474.0,1483.0,1475.0,1452.7,1441.66,1280.58
2021-11-01,1473.0,1480.0,1475.0,1454.55,1443.36,1283.1133333333332
2021-11-02,1495.0,1502.0,1496.0,1456.8,1444.4,1285.6666666666667
