Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,1729.0,1750.0,1740.0,,,
2021-01-25,1733.0,1763.0,1747.0,,,
2021-01-26,1721.0,1744.0,1737.0,,,
2021-01-27,1708.0,1746.0,1710.0,,,
2021-01-28,1657.0,1710.0,1706.0,,,
2021-01-31,1655.0,1700.0,1679.0,,,
2021-02-01,1679.0,1729.0,1710.0,,,
2021-02-02,1720.0,1777.0,1753.0,,,
2021-02-03,1741.0,1777.0,1753.0,,,
2021-02-04,1760.0,1890.0,1890.0,,,
2021-02-07,1915.0,2001.0,1985.0,,,
2021-02-08,1961.0,2011.0,1980.0,,,
2021-02-09,1962.0,2010.0,1987.0,,,
2021-02-10,1956.0,2010.0,1958.0,,,
2021-02-11,1920.0,1956.0,1936.0,,,
2021-02-14,1950.0,1968.0,1961.0,,,
2021-02-15,1961.0,2010.0,1998.0,,,
2021-02-16,1985.0,2010.0,1999.0,,,
2021-02-17,1959.0,2010.0,1964.0,,,
2021-02-18,1917.0,1965.0,1923.0,1855.8,,
2021-02-21,1913.0,1970.0,1944.0,1866.0,,
2021-02-22,1915.0,1968.0,1923.0,1874.8,,
2021-02-23,1867.0,1919.0,1879.0,1881.9,,
2021-02-24,1850.0,1882.0,1869.0,1889.85,,
2021-02-25,1848.0,1885.0,1864.0,1897.75,,
2021-02-28,1840.0,1875.0,1868.0,1907.2,,
2021-03-01,1851.0,1961.0,1913.0,1917.35,,
2021-03-02,1935.0,1999.0,1992.0,1929.3,,
2021-03-03,1921.0,1997.0,1933.0,1938.3,,
2021-03-04,1880.0,1950.0,1950.0,1941.3,,
2021-03-07,1950.0,1990.0,1957.0,1939.9,,
2021-03-08,1919.0,1997.0,1922.0,1937.0,,
2021-03-09,1919.0,1950.0,1940.0,1934.65,,
2021-03-10,1834.0,1998.0,1888.0,1931.15,,
2021-03-11,1935.0,1990.0,1974.0,1933.05,,
2021-03-14,1974.0,2165.0,2114.0,1940.7,,
2021-03-15,2079.0,2237.0,2160.0,1948.8,,
2021-03-16,2155.0,2183.0,2162.0,1956.95,,
2021-03-17,2100.0,2169.0,2110.0,1964.25,,
2021-03-18,2100.0,2118.0,2115.0,1973.85,,
2021-03-21,2039.0,2096.0,2080.0,1980.65,,
2021-03-22,2036.0,2124.0,2107.0,1989.85,,
2021-03-23,2036.0,2124.0,2107.0,2001.25,,
2021-03-24,2073.0,2199.0,2184.0,2017.0,,
2021-03-25,2147.0,2222.0,2164.0,2032.0,,
2021-03-29,2156.0,2222.0,2198.0,2048.5,,
2021-03-30,2198.0,2229.0,2219.0,2063.8,,
2021-03-31,2180.0,2211.0,2199.0,2074.15,,
2021-04-01,2199.0,2298.0,2265.0,2090.75,,
2021-04-04,2265.0,2265.0,2265.0,2106.5,1967.62,
2021-04-05,2240.0,2319.0,2264.0,2121.85,1978.1,
2021-04-06,2125.0,2272.0,2170.0,2134.25,1986.56,
2021-04-07,2115.0,2209.0,2209.0,2147.7,1996.0,
2021-04-08,2214.0,2273.0,2252.0,2165.9,2006.84,
2021-04-11,2252.0,2291.0,2285.0,2181.45,2018.42,
2021-04-12,2267.0,2302.0,2301.0,2190.8,2030.86,
2021-04-13,2273.0,2306.0,2306.0,2198.1,2042.78,
2021-04-14,2273.0,2306.0,2306.0,2205.3,2053.84,
2021-04-15,2273.0,2306.0,2306.0,2215.1,2064.9,
2021-04-18,2260.0,2306.0,2306.0,2224.65,2073.22,
2021-04-19,2267.0,2300.0,2270.0,2234.15,2078.92,
2021-04-20,2200.0,2292.0,2223.0,2239.95,2083.78,
2021-04-21,2161.0,2237.0,2193.0,2244.25,2087.9,
2021-04-22,2177.0,2218.0,2186.0,2244.35,2092.46,
2021-04-25,2186.0,2210.0,2196.0,2245.95,2097.66,
2021-04-26,2123.0,2201.0,2179.0,2245.0,2102.02,
2021-04-27,2140.0,2190.0,2190.0,2243.55,2105.86,
2021-04-28,2190.0,2235.0,2230.0,2245.1,2110.48,
2021-04-29,2217.0,2247.0,2240.0,2243.85,2116.0,
2021-05-02,2200.0,2242.0,2239.0,2242.55,2122.32,
2021-05-03,2240.0,2270.0,2264.0,2242.55,2128.72,
2021-05-04,2221.0,2264.0,2226.0,2245.35,2134.78,
2021-05-05,2211.0,2250.0,2213.0,2245.55,2141.46,
2021-05-06,2180.0,2234.0,2180.0,2241.95,2147.68,
2021-05-09,2172.0,2222.0,2197.0,2237.55,2154.34,
2021-05-10,2180.0,2229.0,2180.0,2231.5,2160.58,
2021-05-11,2132.0,2177.0,2161.0,2224.25,2165.54,
2021-05-12,2128.0,2229.0,2153.0,2216.6,2168.76,
2021-05-13,2107.0,2161.0,2154.0,2209.0,2173.18,
2021-05-17,2107.0,2161.0,2154.0,2201.4,2177.26,
2021-05-18,2160.0,2210.0,2178.0,2196.8,2181.68,
2021-05-19,2162.0,2207.0,2191.0,2195.2,2187.06,
2021-05-20,2188.0,2235.0,2223.0,2196.7,2192.72,
2021-05-23,2230.0,2266.0,2257.0,2200.25,2200.1,
2021-05-24,2240.0,2273.0,2260.0,2203.45,2205.82,
2021-05-25,2251.0,2307.0,2280.0,2208.5,2209.14,
2021-05-26,2257.0,2290.0,2272.0,2212.6,2211.38,
2021-05-27,2305.0,2449.0,2368.0,2219.5,2215.5,
2021-05-30,2370.0,2509.0,2439.0,2229.45,2222.08,
2021-05-31,2395.0,2498.0,2421.0,2238.55,2228.2,
2021-06-01,2406.0,2489.0,2433.0,2247.0,2235.26,
2021-06-02,2431.0,2488.0,2444.0,2257.9,2242.0,
2021-06-03,2444.0,2553.0,2454.0,2269.95,2248.94,
2021-06-06,2450.0,2527.0,2511.0,2286.5,2255.48,
2021-06-07,2491.0,2582.0,2582.0,2305.75,2263.84,
2021-06-08,2509.0,2570.0,2570.0,2325.25,2271.28,
2021-06-09,2502.0,2570.0,2550.0,2344.7,2277.9,
2021-06-10,2490.0,2555.0,2521.0,2363.1,2284.34,
2021-06-13,2493.0,2521.0,2500.0,2380.4,2289.04,
2021-06-14,2477.0,2505.0,2479.0,2396.65,2293.32,
2021-06-15,2400.0,2507.0,2473.0,2411.4,2297.5,
2021-06-16,2465.0,2490.0,2490.0,2426.35,2303.9,
2021-06-17,2428.0,2484.0,2453.0,2437.85,2308.78,
2021-06-20,2425.0,2453.0,2437.0,2446.85,2312.48,
2021-06-21,2404.0,2437.0,2429.0,2455.3,2315.36,
2021-06-22,2400.0,2411.0,2402.0,2461.4,2317.38,
2021-06-23,2364.0,2470.0,2467.0,2471.15,2320.6,
2021-06-24,2450.0,2494.0,2492.0,2477.35,2324.32,
2021-06-27,2474.0,2492.0,2482.0,2479.5,2327.84,
2021-06-28,2466.0,2495.0,2488.0,2482.85,2331.48,
2021-06-29,2468.0,2488.0,2480.0,2485.2,2335.68,
2021-06-30,2471.0,2500.0,2486.0,2487.3,2340.94,
2021-07-01,2485.0,2511.0,2511.0,2490.15,2347.3,
2021-07-04,2511.0,2546.0,2541.0,2491.65,2354.4,
2021-07-05,2521.0,2580.0,2522.0,2488.65,2360.92,
2021-07-06,2522.0,2522.0,2522.0,2486.25,2367.78,
2021-07-07,2437.0,2505.0,2484.0,2482.95,2373.66,
2021-07-08,2420.0,2483.0,2434.0,2478.6,2377.74,
2021-07-11,2434.0,2483.0,2473.0,2477.25,2382.4,
2021-07-12,2406.0,2473.0,2450.0,2475.8,2386.62,
2021-07-13,2403.0,2480.0,2405.0,2472.4,2389.44,
2021-07-14,2359.0,2454.0,2371.0,2466.45,2392.34,
2021-07-15,2319.0,2366.0,2332.0,2460.4,2394.72,
2021-07-19,2210.0,2327.0,2279.0,2452.5,2396.7,
2021-07-20,2285.0,2402.0,2326.0,2447.35,2399.28,
2021-07-21,2326.0,2399.0,2359.0,2445.2,2402.86,
2021-07-22,2346.0,2401.0,2351.0,2439.4,2406.66,
2021-07-25,2341.0,2407.0,2370.0,2433.3,2411.0,
2021-07-26,2342.0,2360.0,2349.0,2426.65,2414.9,
2021-07-27,2349.0,2428.0,2419.0,2423.2,2420.2,
2021-07-28,2390.0,2490.0,2457.0,2422.05,2425.78,
2021-07-29,2440.0,2474.0,2454.0,2420.45,2431.04,
2021-08-01,2441.0,2487.0,2472.0,2418.5,2436.02,
2021-08-02,2460.0,2480.0,2470.0,2414.95,2440.28,
2021-08-03,2423.0,2460.0,2427.0,2410.2,2443.62,
2021-08-04,2432.0,2479.0,2459.0,2407.05,2447.2,
2021-08-05,2449.0,2499.0,2499.0,2407.8,2451.74,
2021-08-08,2435.0,2484.0,2435.0,2407.85,2453.08,
2021-08-09,2378.0,2436.0,2393.0,2403.85,2452.16,
2021-08-10,2355.0,2392.0,2392.0,2400.95,2451.58,
2021-08-11,2392.0,2438.0,2414.0,2401.4,2451.2,
2021-08-12,2450.0,2560.0,2480.0,2406.85,2451.92,
2021-08-15,2485.0,2545.0,2498.0,2415.15,2452.8,
2021-08-16,2469.0,2558.0,2472.0,2424.8,2452.02,
2021-08-17,2400.0,2481.0,2432.0,2430.1,2449.02,
2021-08-18,2379.0,2462.0,2380.0,2431.15,2445.22,
2021-08-19,2361.0,2420.0,2391.0,2433.15,2442.04,
2021-08-22,2391.0,2425.0,2406.0,2434.95,2439.74,
2021-08-23,2392.0,2420.0,2403.0,2437.65,2437.8,
2021-08-24,2377.0,2500.0,2402.0,2436.8,2436.26,2232.4
2021-08-25,2400.0,2454.0,2448.0,2436.35,2435.76,2237.12
2021-08-26,2401.0,2456.0,2410.0,2434.15,2434.16,2241.54
2021-08-29,2406.0,2450.0,2447.0,2432.9,2434.04,2246.2733333333335
2021-08-30,2404.0,2436.0,2419.0,2430.35,2433.68,2251.0
2021-08-31,2385.0,2471.0,2419.0,2429.95,2433.48,2255.7533333333336
2021-09-01,2415.0,2472.0,2447.0,2429.35,2434.38,2260.8733333333334
2021-09-02,2423.0,2501.0,2489.0,2428.85,2434.82,2266.0666666666666
2021-09-05,2500.0,2609.0,2594.0,2436.8,2436.86,2271.673333333333
2021-09-07,2500.0,2609.0,2594.0,2446.85,2439.1,2277.28
2021-09-08,2500.0,2609.0,2594.0,2456.95,2441.22,2281.9733333333334
2021-09-09,2594.0,2641.0,2640.0,2468.25,2444.42,2286.34
2021-09-12,2635.0,2669.0,2669.0,2477.7,2448.08,2290.9333333333334
