Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,2872.0,3068.0,2963.0,,,
2021-01-25,2900.0,3026.0,2911.0,,,
2021-01-26,2910.0,2970.0,2968.0,,,
2021-01-27,2836.0,2968.0,2860.0,,,
2021-01-28,2811.0,2860.0,2820.0,,,
2021-01-31,2743.0,2813.0,2763.0,,,
2021-02-01,2756.0,2830.0,2763.0,,,
2021-02-02,2790.0,2845.0,2821.0,,,
2021-02-03,2794.0,2845.0,2806.0,,,
2021-02-04,2678.0,2790.0,2678.0,,,
2021-02-07,2678.0,2730.0,2727.0,,,
2021-02-08,2686.0,2727.0,2717.0,,,
2021-02-09,2722.0,2770.0,2731.0,,,
2021-02-10,2690.0,2789.0,2722.0,,,
2021-02-11,2650.0,2724.0,2689.0,,,
2021-02-14,2689.0,2700.0,2691.0,,,
2021-02-15,2675.0,2750.0,2738.0,,,
2021-02-16,2735.0,2800.0,2761.0,,,
2021-02-17,2639.0,2767.0,2666.0,,,
2021-02-18,2608.0,2677.0,2628.0,2771.15,,
2021-02-21,2619.0,2662.0,2633.0,2754.65,,
2021-02-22,2605.0,2699.0,2637.0,2740.95,,
2021-02-23,2625.0,2682.0,2632.0,2724.15,,
2021-02-24,2647.0,2665.0,2659.0,2714.1,,
2021-02-25,2622.0,2672.0,2641.0,2705.15,,
2021-02-28,2609.0,2636.0,2621.0,2698.05,,
2021-03-01,2505.0,2640.0,2536.0,2686.7,,
2021-03-02,2536.0,2610.0,2589.0,2675.1,,
2021-03-03,2557.0,2639.0,2582.0,2663.9,,
2021-03-04,2500.0,2690.0,2530.0,2656.5,,
2021-03-07,2530.0,2676.0,2651.0,2652.7,,
2021-03-08,2613.0,2741.0,2700.0,2651.85,,
2021-03-09,2687.0,2752.0,2739.0,2652.25,,
2021-03-10,2739.0,2858.0,2791.0,2655.7,,
2021-03-11,2795.0,2892.0,2818.0,2662.15,,
2021-03-14,2818.0,2834.0,2834.0,2669.3,,
2021-03-15,2768.0,2834.0,2809.0,2672.85,,
2021-03-16,2740.0,2810.0,2740.0,2671.8,,
2021-03-17,2697.0,2744.0,2738.0,2675.4,,
2021-03-18,2680.0,2830.0,2680.0,2678.0,,
2021-03-21,2702.0,2820.0,2778.0,2685.25,,
2021-03-22,2778.0,2902.0,2810.0,2693.9,,
2021-03-23,2778.0,2902.0,2810.0,2702.8,,
2021-03-24,2772.0,2901.0,2901.0,2714.9,,
2021-03-25,2843.0,2844.0,2843.0,2725.0,,
2021-03-29,2830.0,2886.0,2861.0,2737.0,,
2021-03-30,2861.0,2900.0,2900.0,2755.2,,
2021-03-31,2880.0,2881.0,2880.0,2769.75,,
2021-04-01,2880.0,2970.0,2970.0,2789.15,,
2021-04-04,2970.0,2970.0,2970.0,2811.15,2754.12,
2021-04-05,2860.0,3060.0,3060.0,2831.6,2756.06,
2021-04-06,3020.0,3059.0,3036.0,2848.4,2758.56,
2021-04-07,3059.0,3080.0,3070.0,2864.95,2760.6,
2021-04-08,2999.0,3098.0,3071.0,2878.95,2764.82,
2021-04-11,3071.0,3097.0,3088.0,2892.45,2770.18,
2021-04-12,3112.0,3127.0,3120.0,2906.75,2777.32,
2021-04-13,3012.0,3125.0,3101.0,2921.35,2784.08,
2021-04-14,3012.0,3125.0,3101.0,2939.4,2789.68,
2021-04-15,3012.0,3125.0,3101.0,2957.55,2795.58,
2021-04-18,3101.0,3170.0,3157.0,2981.4,2805.16,
2021-04-19,3179.0,3345.0,3332.0,3009.1,2817.26,
2021-04-20,3201.0,3472.0,3300.0,3033.6,2828.92,
2021-04-21,3171.0,3316.0,3294.0,3057.8,2840.18,
2021-04-22,3211.0,3274.0,3224.0,3073.95,2850.22,
2021-04-25,3100.0,3225.0,3142.0,3088.9,2859.28,
2021-04-26,3026.0,3141.0,3071.0,3099.4,2866.88,
2021-04-27,3090.0,3181.0,3154.0,3112.1,2875.2,
2021-04-28,3168.0,3250.0,3211.0,3128.65,2884.2,
2021-04-29,3139.0,3225.0,3194.0,3139.85,2894.76,
2021-05-02,3163.0,3222.0,3205.0,3151.6,2906.3,
2021-05-03,3155.0,3284.0,3203.0,3158.75,2917.7,
2021-05-04,3173.0,3262.0,3210.0,3167.45,2929.16,
2021-05-05,3142.0,3236.0,3194.0,3173.65,2940.4,
2021-05-06,3050.0,3247.0,3050.0,3172.6,2948.22,
2021-05-09,3053.0,3188.0,3126.0,3174.5,2957.92,
2021-05-10,3126.0,3222.0,3215.0,3179.25,2969.8,
2021-05-11,3102.0,3230.0,3122.0,3180.3,2981.52,
2021-05-12,3050.0,3187.0,3153.0,3182.9,2992.8,
2021-05-13,3102.0,3215.0,3170.0,3186.35,3004.56,
2021-05-17,3102.0,3215.0,3170.0,3187.0,3017.36,
2021-05-18,3197.0,3266.0,3251.0,3182.95,3029.36,
2021-05-19,3251.0,3306.0,3251.0,3180.5,3040.38,
2021-05-20,3296.0,3401.0,3355.0,3183.55,3052.7,
2021-05-23,3355.0,3530.0,3519.0,3198.3,3067.26,
2021-05-24,3520.0,3700.0,3700.0,3226.2,3084.9,
2021-05-25,3707.0,3898.0,3898.0,3267.55,3106.18,
2021-05-26,3711.0,3950.0,3914.0,3305.55,3128.28,
2021-05-27,3874.0,3953.0,3924.0,3341.2,3151.96,
2021-05-30,3894.0,3900.0,3896.0,3376.3,3175.12,
2021-05-31,3816.0,3990.0,3952.0,3413.65,3200.56,
2021-06-01,3788.0,3946.0,3793.0,3443.15,3220.86,
2021-06-02,3650.0,3806.0,3714.0,3468.35,3238.94,
2021-06-03,3600.0,3778.0,3720.0,3494.65,3257.14,
2021-06-06,3704.0,3766.0,3745.0,3529.4,3274.02,
2021-06-07,3500.0,3761.0,3761.0,3561.15,3292.38,
2021-06-08,3761.0,3789.0,3788.0,3589.8,3310.92,
2021-06-09,3720.0,3789.0,3740.0,3620.7,3327.72,
2021-06-10,3570.0,3740.0,3715.0,3648.8,3344.42,
2021-06-13,3615.0,3745.0,3671.0,3673.85,3358.44,
2021-06-14,3550.0,3726.0,3710.0,3700.85,3373.24,
2021-06-15,3604.0,3748.0,3662.0,3721.4,3385.28,
2021-06-16,3615.0,3770.0,3728.0,3745.25,3399.12,
2021-06-17,3630.0,3799.0,3637.0,3759.35,3410.46,
2021-06-20,3550.0,3637.0,3585.0,3762.65,3420.74,
2021-06-21,3469.0,3670.0,3496.0,3752.45,3428.9,
2021-06-22,3462.0,3504.0,3472.0,3731.15,3435.94,
2021-06-23,3400.0,3484.0,3427.0,3706.8,3442.46,
2021-06-24,3375.0,3400.0,3376.0,3679.4,3447.96,
2021-06-27,3189.0,3356.0,3225.0,3645.85,3450.44,
2021-06-28,3143.0,3339.0,3295.0,3613.0,3453.2,
2021-06-29,3262.0,3400.0,3357.0,3591.2,3453.7,
2021-06-30,3312.0,3361.0,3325.0,3571.75,3454.2,
2021-07-01,3245.0,3341.0,3245.0,3548.0,3453.22,
2021-07-04,3176.0,3482.0,3388.0,3530.15,3456.5,
2021-07-05,3388.0,3469.0,3441.0,3514.15,3462.48,
2021-07-06,3441.0,3441.0,3441.0,3496.8,3469.88,
2021-07-07,3427.0,3499.0,3452.0,3482.4,3475.84,
2021-07-08,3326.0,3464.0,3341.0,3463.7,3478.44,
2021-07-11,3307.0,3390.0,3361.0,3448.2,3481.78,
2021-07-12,3286.0,3360.0,3317.0,3428.55,3484.02,
2021-07-13,3325.0,3397.0,3342.0,3412.55,3486.8,
2021-07-14,3267.0,3342.0,3311.0,3391.7,3488.82,
2021-07-15,3210.0,3341.0,3249.0,3372.3,3489.92,
2021-07-19,3112.0,3202.0,3124.0,3349.25,3491.4,
2021-07-20,3109.0,3170.0,3139.0,3331.4,3491.66,
2021-07-21,3174.0,3246.0,3206.0,3318.1,3491.48,
2021-07-22,3180.0,3284.0,3221.0,3307.8,3493.46,
2021-07-25,3221.0,3222.0,3221.0,3300.05,3494.82,
