Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,9461.0,9670.0,9461.0,,,
2021-01-25,9365.0,9510.0,9365.0,,,
2021-01-26,9300.0,9450.0,9398.0,,,
2021-01-27,9352.0,9480.0,9450.0,,,
2021-01-28,9352.0,9499.0,9355.0,,,
2021-01-31,9318.0,9353.0,9326.0,,,
2021-02-01,9350.0,9467.0,9415.0,,,
2021-02-02,9332.0,9509.0,9446.0,,,
2021-02-03,9314.0,9535.0,9314.0,,,
2021-02-04,9214.0,9370.0,9214.0,,,
2021-02-07,9226.0,9320.0,9260.0,,,
2021-02-08,9269.0,9367.0,9300.0,,,
2021-02-09,9221.0,9300.0,9227.0,,,
2021-02-10,9184.0,9290.0,9199.0,,,
2021-02-11,9088.0,9248.0,9110.0,,,
2021-02-14,9125.0,9198.0,9138.0,,,
2021-02-15,9138.0,9195.0,9160.0,,,
2021-02-16,9052.0,9188.0,9052.0,,,
2021-02-17,8771.0,9090.0,8771.0,,,
2021-02-18,8670.0,8974.0,8946.0,9245.35,,
2021-02-21,9041.0,9180.0,9171.0,9230.85,,
2021-02-22,9005.0,9148.0,9022.0,9213.7,,
2021-02-23,9050.0,9162.0,9067.0,9197.15,,
2021-02-24,9040.0,9174.0,9040.0,9176.65,,
2021-02-25,8861.0,9040.0,8888.0,9153.3,,
2021-02-28,8782.0,8942.0,8881.0,9131.05,,
2021-03-01,8881.0,9000.0,9000.0,9110.3,,
2021-03-02,8945.0,9055.0,8987.0,9087.35,,
2021-03-03,8912.0,9045.0,8920.0,9067.65,,
2021-03-04,8864.0,8999.0,8942.0,9054.05,,
2021-03-07,8951.0,9043.0,9018.0,9041.95,,
2021-03-08,8927.0,9018.0,8931.0,9023.5,,
2021-03-09,8974.0,9094.0,9071.0,9015.7,,
2021-03-10,9056.0,9191.0,9119.0,9011.7,,
2021-03-11,9131.0,9333.0,9333.0,9022.85,,
2021-03-14,9319.0,9389.0,9358.0,9033.85,,
2021-03-15,9175.0,9392.0,9203.0,9036.0,,
2021-03-16,9165.0,9286.0,9175.0,9042.15,,
2021-03-17,9172.0,9287.0,9172.0,9062.2,,
2021-03-18,9102.0,9330.0,9255.0,9077.65,,
2021-03-21,9262.0,9425.0,9380.0,9088.1,,
