Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,5196.0,5197.0,5197.0,,,
2021-01-25,5050.0,5197.0,5131.0,,,
2021-01-26,5108.0,5131.0,5125.0,,,
2021-01-27,5029.0,5105.0,5079.0,,,
2021-01-28,4966.0,5069.0,4996.0,,,
2021-01-31,4888.0,4952.0,4920.0,,,
2021-02-01,4858.0,5249.0,4890.0,,,
2021-02-02,4890.0,5250.0,5250.0,,,
2021-02-03,5250.0,5255.0,5253.0,,,
2021-02-04,5140.0,5255.0,5168.0,,,
2021-02-07,5255.0,5355.0,5298.0,,,
2021-02-08,5476.0,5557.0,5527.0,,,
2021-02-09,5527.0,5527.0,5527.0,,,
2021-02-10,5527.0,5527.0,5527.0,,,
2021-02-11,5527.0,5527.0,5527.0,,,
2021-02-14,5527.0,5527.0,5527.0,,,
2021-02-15,5655.0,5655.0,5655.0,,,
2021-02-16,5655.0,5655.0,5655.0,,,
2021-02-17,5655.0,5655.0,5655.0,,,
2021-02-18,5009.0,5655.0,5113.0,5301.0,,
2021-02-21,5113.0,5113.0,5113.0,5296.8,,
2021-02-22,5420.0,5739.0,5437.0,5312.1,,
2021-02-23,5437.0,5437.0,5437.0,5327.7,,
2021-02-24,5437.0,5437.0,5437.0,5345.6,,
2021-02-25,5168.0,5237.0,5194.0,5355.5,,
2021-02-28,4997.0,5195.0,5179.0,5368.45,,
2021-03-01,5179.0,5180.0,5180.0,5382.95,,
2021-03-02,4989.0,5112.0,5082.0,5374.55,,
2021-03-03,4980.0,5085.0,5051.0,5364.45,,
2021-03-04,4711.0,5015.0,4983.0,5355.2,,
2021-03-07,4983.0,5489.0,5489.0,5364.75,,
2021-03-08,4941.0,5489.0,4941.0,5335.45,,
2021-03-09,5370.0,5370.0,5370.0,5327.6,,
2021-03-10,5200.0,5200.0,5200.0,5311.25,,
2021-03-11,5148.0,5148.0,5161.0,5292.95,,
2021-03-14,5141.0,5161.0,5141.0,5273.65,,
2021-03-15,5136.0,5141.0,5136.0,5247.7,,
2021-03-16,5016.0,5141.0,5016.0,5215.75,,
2021-03-17,5065.0,5150.0,5150.0,5190.5,,
2021-03-18,5001.0,5120.0,5001.0,5184.9,,
2021-03-21,4931.0,5062.0,5040.0,5181.25,,
2021-03-22,4940.0,5040.0,4941.0,5156.45,,
2021-03-23,4940.0,5040.0,4941.0,5131.65,,
2021-03-24,4911.0,4970.0,4921.0,5105.85,,
2021-03-25,4927.0,4927.0,4927.0,5092.5,,
2021-03-29,4940.0,5055.0,4987.0,5082.9,,
2021-03-30,4987.0,5179.0,5179.0,5082.85,,
2021-03-31,5159.0,5159.0,5159.0,5086.7,,
2021-04-01,5159.0,5350.0,5350.0,5101.65,,
