Date,Low,High,Close,MA20,MA50,MA150
2021-01-24,14900.0,15470.0,14960.0,,,
2021-01-25,14190.0,14900.0,14270.0,,,
2021-01-26,14140.0,14180.0,14160.0,,,
2021-01-27,14130.0,14180.0,14140.0,,,
2021-01-28,13430.0,14140.0,13570.0,,,
2021-01-31,13480.0,13600.0,13500.0,,,
2021-02-01,13460.0,14500.0,13520.0,,,
2021-02-02,13100.0,13770.0,13140.0,,,
2021-02-03,12910.0,13020.0,13000.0,,,
2021-02-04,13000.0,13710.0,13500.0,,,
2021-02-07,13500.0,13690.0,13600.0,,,
2021-02-08,13470.0,13640.0,13560.0,,,
2021-02-09,13100.0,13310.0,13140.0,,,
2021-02-10,13000.0,13590.0,13150.0,,,
2021-02-11,12460.0,13160.0,12490.0,,,
2021-02-14,12060.0,12670.0,12630.0,,,
2021-02-15,12610.0,12700.0,12660.0,,,
2021-02-16,12650.0,12700.0,12660.0,,,
2021-02-17,12650.0,12660.0,12650.0,,,
2021-02-18,12370.0,12650.0,12490.0,13339.5,,
2021-02-21,12480.0,12900.0,12660.0,13224.5,,
2021-02-22,12640.0,12850.0,12820.0,13152.0,,
2021-02-23,12810.0,12810.0,12810.0,13084.5,,
2021-02-24,12810.0,12820.0,12810.0,13018.0,,
2021-02-25,12670.0,12950.0,12750.0,12977.0,,
2021-02-28,12780.0,12970.0,12920.0,12948.0,,
2021-03-01,12850.0,12980.0,12960.0,12920.0,,
2021-03-02,13210.0,13500.0,13330.0,12929.5,,
2021-03-03,13320.0,13680.0,13600.0,12959.5,,
2021-03-04,13700.0,14200.0,13700.0,12969.5,,
2021-03-07,13690.0,13700.0,13700.0,12974.5,,
2021-03-08,13160.0,13700.0,13210.0,12957.0,,
2021-03-09,13670.0,13800.0,13680.0,12984.0,,
2021-03-10,13680.0,13700.0,13690.0,13011.0,,
2021-03-11,12780.0,13300.0,13200.0,13046.5,,
2021-03-14,12700.0,13590.0,12700.0,13050.0,,
2021-03-15,12000.0,12600.0,12590.0,13046.5,,
2021-03-16,12600.0,13300.0,12600.0,13043.5,,
2021-03-17,12650.0,12900.0,12900.0,13056.0,,
2021-03-18,12880.0,13490.0,13460.0,13104.5,,
2021-03-21,13420.0,13780.0,13450.0,13144.0,,
2021-03-22,13450.0,13900.0,13820.0,13194.0,,
2021-03-23,13450.0,13900.0,13820.0,13244.5,,
2021-03-24,13570.0,13810.0,13650.0,13286.5,,
2021-03-25,13460.0,13690.0,13460.0,13322.0,,
2021-03-29,13520.0,13790.0,13790.0,13365.5,,
2021-03-30,13360.0,13790.0,13450.0,13390.0,,
2021-03-31,13380.0,13560.0,13520.0,13399.5,,
2021-04-01,13520.0,13580.0,13570.0,13398.0,,
2021-04-04,13570.0,13570.0,13570.0,13391.5,13299.6,
2021-04-05,13500.0,13900.0,13500.0,13381.5,13270.4,
2021-04-06,13430.0,13610.0,13560.0,13399.0,13256.2,
2021-04-07,13530.0,13620.0,13550.0,13392.5,13244.0,
2021-04-08,13280.0,13880.0,13620.0,13389.0,13233.6,
2021-04-11,13620.0,13740.0,13690.0,13413.5,13236.0,
2021-04-12,13650.0,13970.0,13800.0,13468.5,13242.0,
2021-04-13,14000.0,14140.0,14090.0,13543.5,13253.4,
2021-04-14,14000.0,14140.0,14090.0,13618.0,13272.4,
2021-04-15,14000.0,14140.0,14090.0,13677.5,13294.2,
2021-04-18,14090.0,14310.0,14260.0,13717.5,13309.4,
2021-04-19,14550.0,15180.0,15130.0,13801.5,13340.0,
2021-04-20,15180.0,15430.0,15330.0,13877.0,13375.4,
2021-04-21,15300.0,15500.0,15470.0,13959.5,13422.0,
2021-04-22,15500.0,15670.0,15620.0,14058.0,13471.4,
2021-04-25,15660.0,15860.0,15730.0,14171.5,13536.2,
2021-04-26,15900.0,16200.0,16010.0,14282.5,13603.8,
2021-04-27,16160.0,16380.0,16340.0,14427.0,13677.4,
2021-04-28,16800.0,16980.0,16830.0,14592.5,13760.8,
2021-04-29,17000.0,17500.0,17410.0,14784.5,13856.0,
2021-05-02,16390.0,17650.0,17230.0,14967.5,13950.8,
2021-05-03,17280.0,17600.0,17470.0,15166.0,14047.0,
2021-05-04,17420.0,17750.0,17610.0,15368.5,14142.8,
2021-05-05,17610.0,18490.0,18020.0,15592.0,14247.0,
2021-05-06,18000.0,18780.0,18000.0,15811.0,14350.8,
2021-05-09,18020.0,18250.0,18210.0,16037.0,14460.0,
2021-05-10,17880.0,18510.0,18040.0,16249.0,14562.4,
2021-05-11,16810.0,18000.0,16970.0,16393.0,14642.6,
2021-05-12,16480.0,16810.0,16800.0,16528.5,14712.0,
2021-05-13,16800.0,16970.0,16860.0,16667.0,14777.2,
2021-05-17,16800.0,16970.0,16860.0,16797.0,14840.4,
2021-05-18,16800.0,17190.0,16820.0,16881.5,14902.8,
2021-05-19,17000.0,17060.0,17040.0,16967.0,14979.4,
2021-05-20,17120.0,17490.0,17400.0,17063.5,15053.8,
2021-05-23,17400.0,17640.0,17620.0,17163.5,15132.4,
2021-05-24,17600.0,18670.0,17870.0,17270.5,15225.8,
2021-05-25,17880.0,18050.0,17990.0,17369.5,15331.6,
2021-05-26,17100.0,17990.0,17270.0,17416.0,15425.2,
2021-05-27,16440.0,17260.0,16490.0,17399.0,15503.0,
2021-05-30,16550.0,16630.0,16600.0,17358.5,15577.0,
2021-05-31,16010.0,16710.0,16540.0,17324.0,15638.6,
2021-06-01,15520.0,17110.0,16540.0,17277.5,15700.4,
2021-06-02,16510.0,16530.0,16530.0,17223.5,15754.6,
2021-06-03,15700.0,16530.0,16000.0,17122.5,15798.2,
2021-06-06,16000.0,16800.0,16630.0,17054.0,15857.8,
2021-06-07,16630.0,16810.0,16670.0,16977.0,15922.0,
2021-06-08,16660.0,17000.0,16840.0,16917.0,15983.0,
2021-06-09,16830.0,17210.0,16940.0,16915.5,16052.8,
2021-06-10,16940.0,16980.0,16980.0,16924.5,16122.0,
2021-06-13,17000.0,17300.0,17210.0,16942.0,16194.8,
2021-06-14,17080.0,17290.0,17100.0,16954.0,16265.4,
2021-06-15,17200.0,17290.0,17270.0,16976.5,16340.8,
2021-06-16,17640.0,17980.0,17920.0,17020.5,16428.0,
2021-06-17,17300.0,17920.0,17890.0,17045.0,16514.8,
2021-06-20,17870.0,17870.0,17870.0,17057.5,16599.8,
2021-06-21,17780.0,17990.0,17900.0,17059.0,16684.0,
2021-06-22,17890.0,17900.0,17890.0,17054.0,16765.8,
2021-06-23,17840.0,17900.0,17850.0,17083.0,16841.0,
2021-06-24,17380.0,17850.0,17640.0,17140.5,16912.0,
2021-06-27,17550.0,17640.0,17590.0,17190.0,16982.0,
2021-06-28,16640.0,17190.0,16650.0,17195.5,17029.8,
2021-06-29,15820.0,16570.0,16500.0,17193.5,17057.2,
2021-06-30,16310.0,16500.0,16330.0,17183.5,17077.2,
2021-07-01,16310.0,16700.0,16700.0,17218.5,17101.8,
2021-07-04,16650.0,17370.0,17180.0,17246.0,17133.0,
2021-07-05,17180.0,17180.0,17180.0,17271.5,17162.0,
