Symbol,Name
TLV:ABIL,ABILITY
TLV:ACCL,ACCEL
TLV:AICS,AI SYSTEMS
TLV:AILN,AXILION
TLV:ALLT,ALLOT
TLV:ALMD,ALLMED SOLUTION
TLV:APLP,APOLLO POWER
TLV:AQUA,AQUARIUS EN
TLV:ARDM,AERODROME GROUP
TLV:ARKO,ARKO CORP
TLV:ARTS,AIRTOUCH
TLV:ASPF,ALTSHU FUND PEN
TLV:AUGN,AUGWIND
TLV:AUSA,AURA SMART
TLV:AVIV,AVIV
TLV:BLND,BLENDER
TLV:BLRN,BLADE RANGER
TLV:BLRX,BIOLINE RX
TLV:BONS,BONUS BIOGROUP
TLV:BWAY,BRAINSWAY
TLV:BYON,BEYON 3D
TLV:CGEN,COMPUGEN
TLV:CKRT,CHAKRATEC
TLV:CMCTP,CIM COMME.P L
TLV:CNMD,CANNOMED
TLV:CTPL1,CITRUS PLANT1
TLV:DM3,DM3
TLV:EFNC,ERECH FINANCE
TLV:ELSPC,ELSPEC
TLV:ENLV,ENLIVEX
TLV:ENRG,ENERGIX
TLV:ENVM,ENVIZION
TLV:EVGN,EVOGENE
TLV:FEAT-L,FEAT INV L
TLV:FRSX,FORESIGHT
TLV:GLBX,GLASSBOX
TLV:GLTL,GILAT TELECOM
TLV:GMLA,GAMLA HAREL
TLV:GNCL,GENCELL
TLV:HDST,HADASIT BIO
TLV:HICN,HIGHCON SYSTM
TLV:HUMX,HUMAN XT
TLV:IARG-L,I ARGENTO L
TLV:ICB,ICB
TLV:ICCM,ICECURE MEDICAL
TLV:IDMO,IDOMOO
TLV:ISOP-L,ISRAEL OP     L
TLV:KDST,KADIMASTEM
TLV:KSTN,KEYSTONE REIT
TLV:KVSR,KVASIR
TLV:LPSN,LIVEPERSON
TLV:LSCO,LESICO
TLV:MAXO,MAX STOCK
TLV:MCRNT,MICRONET
TLV:MDTR,MEDITR TOWER
TLV:MLD,MIRLAND
TLV:MTDS,MEITAV DS
TLV:MYSZ,MY SIZE
TLV:NALA,NALA DIGITAL
TLV:NRGN,NRGENE
TLV:NXTG,NEXTAGE
TLV:OPAL,OPAL BALANCE
TLV:PCBT,P.C.B TEC
TLV:PFLT,PENNANTPARK $
TLV:PHGE,BIOMX
TLV:PHTM,PHOTOMYNE
TLV:PIU,POALIM IBI
TLV:PLNT,PLANT ARC
TLV:PLX,PROTALIX
TLV:PMCN,PHARMOCANN
TLV:PMVM,POMVOM
TLV:PNAX,PANAXIA ISRAEL
TLV:PNRG,PHINERGY
TLV:PPBT,PURPLE BIOTECH
TLV:PRIM,PRIME ENERGY
TLV:PSTI,PLURISTEM
TLV:PWFL,POWERFLEET
TLV:QNCO,QUEENCO
TLV:QUIK,QUIK SUPER
TLV:RZR,RAZOR LABS
TLV:SAVR,SAVER ONE
TLV:SFET,SAFE-T GROUP
TLV:SHAN,SHANIV
TLV:SHGR,SHAGRIR
TLV:SHMM,SHAMAYM
TLV:SLGN,SOLEGREEN
TLV:SNFL,SUNFLOWER
TLV:SOLR,SOLAER
TLV:STRG,STORAGE DROP
TLV:TGTR,TOGETHER
TLV:THES,THIRDEYE
TLV:TIGI,TIGI
TLV:TLRD,TELRAD NETWORKS
TLV:WESR,WESURE GLOBALT
TLV:YAAC,YAACOBI GROUP
