Symbol,Name
TLV:ARPT,AIRPORT CITY
TLV:AVER,AVERBUCH
TLV:AVGD,AVGAD
TLV:BCNV,BRACK CAPIT N V
TLV:CMER,MER
TLV:ECP,ELECTRA CO  PR
TLV:ELCO,ELCO
TLV:ELCRE,ELECTRA REAL E.
TLV:EXPO,EXPORT INV
TLV:GOHO,GOLDEN HOUSE
TLV:HRON,HIRON
TLV:IES,IES
TLV:ILDR,ILD RENEWAL
TLV:ISCD,ISRACARD
TLV:ISTA,ISSTA
TLV:LVPR,LEVINSTEIN PROP
TLV:MCMN,MICHMAN
TLV:MDPR,MEDIPOWER 0.1$
TLV:MSHR,MISHORIM
TLV:NTML,NETO MALINDA
TLV:OBAS,OPTIBASE
TLV:OPCE,OPC ENERGY
TLV:ORL,BAZAN
TLV:PRSK,PRASHKOVSKY
TLV:RAVD,RAVAD
TLV:SMT,SUMMIT
TLV:STRS,STRAUSS GROUP
TLV:UTRN,UTRON
TLV:VILR,VILLAR
TLV:VISN,VISION SIGMA
