Symbol,Name,Sector,Value,Close,MA,Grade
TLV:MTRX,MATRIX IT LTD,Technology,0.0038/0.04051,8695, ,0.6547
TLV:MMAN,MAMAN CARGO TERMIN,Industrials,0.14678/0.08608,947, ,0.5367
TLV:DRAL,DOR ALON ENERGY IN,Energy,0.17554/0.09201,9802, ,0.5062
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,0.13743/0.20703,2050, ,0.4796
TLV:SCOP,SCOPE,Industrials,0.04249/0.27179,13420, ,0.4738
TLV:MLTM,MALAM TEAM LTD,Technology,0.29897/0.10658,10800, ,0.4639
TLV:HLAN,HILAN LTD,Technology,0.09071/0.28562,20230, ,0.4383
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,0.00405/0.39216,18740, ,0.4311
TLV:FORTY,FORMULA SYST(1985),Technology,0.00028/0.97786,34830, ,0.3753
TLV:ZUR,ZUR SHAMIR HOLD,Financial Services,0.35672/0.24495,1300, ,0.3705
TLV:HAMAT,HAMAT GROUP LTD,Industrials,0.93234/0.3298,2990, ,0.2651
TLV:ASPF,ALTSHU FUND PEN,Financial Services,0.14591/-0.00212,1644, ,0.2041
TLV:CMDR,COMPUTER DIRECT,Technology,0.79971/0.02299,28010, ,0.1836
TLV:EMCO,E & M COMPUTING,Technology,0.18432/0.01391,2262, ,0.1733
TLV:CPTP,CAPITAL POINT LTD,Financial Services,0.25509/0.01266,82.7, ,0.1705
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,0.11711/0.12198,3739, ,0.1641
TLV:HAP,HADERA PAPER LTD,Basic Materials,0.35903/0.03494,23000, ,0.1638
TLV:ONE,ONE SOFTWARE TECHN,Technology,6.06313/0.00105,5375, ,0.1616
TLV:SAE,SHUFERSAL,Consumer Defensive,0.58958/0.0344,2680, ,0.1571
TLV:MAXO,MAX STOCK LTD.,Consumer Cyclical,1.97159/0.00125,865.7, ,0.1558
TLV:RLCO,RALCO,Consumer Cyclical,0.01134/0.2226,5489, ,0.1551
TLV:NVMI,NOVA LTD,Technology,0.25434/-0.12734,37660, ,0.1548
TLV:SPNS,SAPIENS INTL CP NV,Technology,0.23833/-0.01558,9892, ,0.1518
TLV:AMRK,AMIR MARK.,Basic Materials,0.10927/0.18079,3846, ,0.1497
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,0.12053/0.16895,2708, ,0.1479
TLV:SRAC,S.R ACCORD LTD,Financial Services,0.32885/-0.02107,5479, ,0.1473
TLV:ENRG,ENERGIXS-RENEWABLE,Technology,0.66939/-0.1117,1232, ,0.1435
TLV:ALMA,ALMOGIM,Real Estate,0.34271/0.11959,848.7, ,0.1388
TLV:PRSK,PRASHKOVSKY,Real Estate,5.70993/0.55433,14200,r+,0.1382
TLV:MTRN,MAYTRONICS LTD,Technology,0.25645/0.01575,6920, ,0.1369
TLV:CAMT,CAMTEK,Technology,0.85043/-0.00377,11480, ,0.1363
TLV:NICE,NICE LTD,Technology,1.52491/-0.04193,77800, ,0.1348
TLV:MGIC,MAGIC SOFTWARE ENT,Technology,0.55817/0.00729,6000, ,0.1345
TLV:GNRS,GENERATION CAPITAL,Energy,0.75546/0.01102,103, ,0.1296
TLV:SANO1,SANO,Consumer Defensive,0.12282/0.39947,35910, ,0.1274
TLV:EXPO,EXPORT INVESTMENT,Financial Services,0.00241/0.57443,4500, ,0.127
TLV:RMLI,RAMI LEVI,Consumer Defensive,0.47885/0.22808,25190, ,0.127
TLV:HNMR,HANAN MOR GRP HLDG,Real Estate,0.138/0.21458,5800, ,0.1259
TLV:NVLG,NOVOLOG,Healthcare,3.554/0.05139,307.2, ,0.1253
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,0.93436/0.27221,4778, ,0.1252
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,1.08442/0.16379,23440, ,0.1233
TLV:GNGR,GINEGAR PLASTIC,Consumer Cyclical,0.35718/0.15693,2163, ,0.1231
TLV:JBNK,BANK OF JERUSALEM,Financial Services,0.49466/0.13234,1360, ,0.1231
TLV:NTML,NETO MALINDA,Consumer Defensive,0.04124/0.60943,12640,r+,0.1224
TLV:TDRN,TADIRAN GROUP LTD,Consumer Cyclical,0.39551/0.26128,45180, ,0.122
TLV:AUDC,AUDIOCODES,Technology,3.41845/0.00505,9341, ,0.1202
TLV:TSEM,TOWER SEMICONDUCTO,Technology,2.9918/0.06177,11070, ,0.111
TLV:SPRG,SPRING VENTURES,Financial Services,0.71204/0.16603,2416, ,0.1108
TLV:RADA,RADA,Technology,6.57135/0.00579,3044, ,0.1108
TLV:DUNI,DUNIEC BROS,Real Estate,0.02292/0.8232,22900, ,0.1075
TLV:ESLT,ELBIT SYSTEMS LTD,Technology,2.49331/0.15603,53200, ,0.1052
TLV:BCOM,B COMMUNICATIONS L,Communication Services,3.09922/0.42237,1385,r+,0.0869
TLV:DANE,DANEL-ADIR YEHOSHU,Healthcare,0.3017/0.71538,74500,r+,0.0867
TLV:BVC,BATM ADVANCED COMM,Technology,0.0786/0.90095,268.8, ,0.0843
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,0.25323/0.7502,5982, ,0.0823
TLV:ANLT,ANALYST,Financial Services,2.17718/0.23951,3353, ,0.0818
TLV:DIFI,DIRECT FINANCE OF,Financial Services,4.74573/0.29708,85670, ,0.0788
TLV:ECP,ELECTRA CONSUMER P,Consumer Cyclical,3.3157/0.37184,20050,r+,0.0778
TLV:NAWI,NAWI BROTHERS GROU,Financial Services,6.2853/0.32587,3021, ,0.0731
TLV:SLARL,SELLA CAPITAL REAL,Real Estate,1.50356/0.46694,1130, ,0.0711
TLV:VTNA,VITANIA LTD,Real Estate,79.22066/0.17668,3016, ,0.0705
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,0.05001/0.01351,3966, ,0.0676
TLV:HARL,HAREL INS INVS,Financial Services,11.5694/0.32704,3656, ,0.0647
TLV:MGOR,MEGA OR HOLDINGS L,Real Estate,62.61307/0.26221,13900, ,0.0632
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,2.60004/0.5408,2350, ,0.063
TLV:RANI,RANI ZIM,Real Estate,104.91744/0.24401,719.2, ,0.0624
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,0.50906/0.00888,6668, ,0.0609
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,1.87177/0.63242,10310,r+,0.0606
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,0.01566/0.01448,44270, ,0.06
TLV:FRDN,FRIDENSON LOGISTIC,Industrials,0.02316/0.01535,8513, ,0.0586
TLV:BEZQ,BEZEQ ISRAEL TELCM,Communication Services,10.62993/0.43143,539.9, ,0.0586
TLV:FOX,FOX-WIZEL LTD,Consumer Cyclical,4.46835/0.52704,58200, ,0.0569
TLV:EQTL,EQUITAL,Industrials,10.03382/0.41617,13080, ,0.0566
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,17.51125/0.38319,80200, ,0.0548
TLV:ARAN,ARAN,Industrials,0.32309/0.06423,2146, ,0.0537
TLV:ILX,ILEX MEDICAL,Healthcare,5.36088/0.97114,16400, ,0.0529
TLV:IDIN,I.D.I. INSURANCE,Financial Services,0.34935/0.02707,11710, ,0.0506
TLV:FIBI,FIRST INTER BK ISR,Financial Services,1510.39161/0.25045,13100, ,0.0503
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,1.07333/0.00533,705.1, ,0.0499
TLV:DIPL,DIPLOMAT HOLDINGS,Consumer Defensive,4.88849/0.01166,5926, ,0.0495
TLV:SHAN,SHANIV,Basic Materials,1.67425/0.00475,501.3, ,0.0487
TLV:NXTM,NEXTCOM,Communication Services,0.57478/0.03643,1237, ,0.0474
TLV:DSCT,ISRAEL DISCOUNT BK,Financial Services,1237.45977/0.28727,2125, ,0.0466
TLV:POLI,BANK HAPOALIM B.M.,Financial Services,1336.08236/0.28582,3365, ,0.0466
TLV:RVL,RAVAL,Consumer Cyclical,6.20965/0.00246,623.9, ,0.0465
TLV:SHVA,AUTOMATIC BANK,Technology,0.26069/0.09587,2595, ,0.0462
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,2.34744/0.00484,8833, ,0.0462
TLV:TLRD,TELRAD NETWORKS,Technology,2.75197/0.00303,306.7, ,0.046
TLV:GVYM,GAV-YAM LANDS CORP,Real Estate,9.66573/0.55518,3943,r+,0.0455
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,11.55379/0.00912,2002, ,0.0451
TLV:TFRLF,TEFRON,Consumer Cyclical,0.9423/0.09284,1972, ,0.0446
TLV:PFLT,PENNANTPARK FLTNG,Financial Services,192.10714/0.35408,3806, ,0.0441
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,0.15194/0.19459,252.1, ,0.0437
TLV:PLRM,PALRAM INDUSTRIES,Industrials,0.37535/0.129,4721, ,0.0436
TLV:RPAC,RAPAC,Energy,6.91524/0.02632,3094, ,0.0435
TLV:KEN,KENON HLDGS LTD,Utilities,29.61813/0.43346,16010,r+,0.0431
TLV:PIU,POALIM I.B.I,Financial Services,5.77239/0.00263,1328, ,0.0431
TLV:ICL,ICL GROUP LTD,Basic Materials,0.86397/0.15413,2990, ,0.0424
TLV:OPAL,OPAL BALANCE INV,Financial Services,3.78955/0.00499,288.4, ,0.0423
TLV:AFHL,AFCON HOLD,Technology,0.23229/0.20065,21180, ,0.042
TLV:INRM,INROM CONSTRUCTION,Basic Materials,20.83023/0.0101,1577, ,0.0417
TLV:HOD,HOD-ASSAF INDS,Basic Materials,0.44484/0.15532,3952, ,0.0414
TLV:ARAD,ARAD INVESTMENT,Industrials,11.40475/0.63885,45410, ,0.041
TLV:PPIL,PLASTOPIL HAZOREA,Consumer Cyclical,0.33374/0.25254,583.7, ,0.0404
TLV:GOSS,G 1 SECURE SOL,Industrials,10.56759/0.00323,459.8, ,0.0399
TLV:MGRT,MEGUREIT ISRAEL,Real Estate,365.5979/0.37372,860.8,r+,0.0397
TLV:TOPS,TOP RAMDOR SYSTEMS,Technology,2.2288/0.09052,1026, ,0.0389
TLV:ARKO,ARKO CORP,Consumer Defensive,183.7045/0.00443,2538, ,0.0388
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,1.80958/0.11346,1085, ,0.0385
TLV:ARPT,AIRPORT CITY,Real Estate,28.98316/0.55058,7774,r+,0.0381
TLV:PERI,PERION NETWORK LTD,Technology,34.79078/0.00778,6047, ,0.0374
