"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:FORTY,FORMULA,Technology,Israel,0.0002987, ,7097845066.666667,4.0,40304666.6666667,599962400.0,2.0,2290015000.0,1.0,50940000.0,1.0,324358000.0,1.0,50940000.0,324358000.0,2290015000.0,7097845066.666667,4.0,40304666.6666667,2290015000.0,1.0,50940000.0,1.0,50940000.0,2290015000.0,0.8981485,0.8981485,34.3109103,34.3109103,34.3109103,0.0074841,4.9015586,7.8788595,11.8182892,130541266.3284967,0,231024666.6666667,0,0.02224,330.63966,14000.0,0.2249303,10.0,110.2966101,0.31238,0.37592,0,3.266,36740,8.89e-05,3.2967384,15294300,50940000,3.3306526,15101,2057032589,1713859418,3373.2865373,0.052,0.203,0.4778743,0.1325631,0.4778743,0.1325631,0.1584686,4.2308113,0.1853908,4.555703,216.5155382,216.5155382,443487066.6666667,2.0,110871766.6666667,1.0,4.6383147,18.5532589,18.5532589,2.7088821,1.0,2.8182415,1.0,2.8182415,1.6797619,USD,ILS,1.0,0.3098132,0,0,0,0,36740,141,36790,266.7,13675.7780277,25956.7375887,-0.1359065,1.9972714,63.4778948,1.8093747,1.0,1.7771302,1.0,0.0064887,3.0,0.0016222,1.0,0.8950657,2.0,0.4046752,1.0,1.4825003,1.0,0.7087788,0.5,1.7871302,0.0116222,0.4146752,0.7187788,1.2529545,4454720933.333333,2.0,2580911733.3333335,1.0,2580911733.3333335,907550666.6666666,2.0,515368733.3333333,1.0,515368733.3333333,0.1197372,0.1988419,333144666.6666667,344684466.6666667,344684466.6666667,2476401466.6666665,2.0,1452822600.0,1.0,1452822600.0,1.0491074,None
TLV:AMRK,AMIR MARK.,Basic Materials,Israel,0.0011199, ,989802000.0,0.0,22388400.0,228939266.6666667,1.0,1136580000.0,0.0,47773000.0,0.0,1527753000.0,1.5,47773000.0,1527753000.0,1136580000.0,989802000.0,1.0,22388400.0,1136580000.0,1.0,47773000.0,1.0,47773000.0,1136580000.0,0.1499496,0.1499496,9.9528546,9.9528546,9.9528546,0.0012975,9.9528546,2.1516527,2.1280572,81012204.8236141,82789000.0,63668066.6666667,82789000.0,0.04203,0.0219247,0.0,5.1205352,100.0,1.7291633,0.07732,0.7197,0,3.818,3925,0.0009727,1.3142877,12526300,47773000,3.8138157,213,170487081,147470894,224286.3849765,2.356,0.171,1.1211044,0.0280401,1.1211044,0.0280401,2.0472761,14.5583056,0.13526,3.9277713,4.8615107,4.8615107,71176066.6666667,1.0,12390500.0,0.5,2.3952866,13.7594997,13.7594997,1.332432,1.0,2.6777449,2.0,2.6777449,1.6373816,USD,ILS,1.0,0.3098132,80.0,6.0,23.0,80.0,0.6540245,2336,4363,3446.24,13.892242,68.0222603,-10.038964,1.5678342,14.8525446,1.7523928,1.0,1.7502672,1.0,0.3234939,1.0,0.2568337,1.0,1.6695001,1.0,1.1073827,1.0,1.3891374,1.0,1.3919871,1.0,1.7602672,0.2668337,1.1173827,1.4019871,1.5811272,731243600.0,1.0,818547533.3333334,1.0,818547533.3333334,313776266.6666667,1.0,525319500.0,1.5,525319500.0,0.1583631,0.1909408,149902466.6666667,171480400.0,171480400.0,417467333.3333333,1.0,468334533.3333333,1.0,468334533.3333333,2.1836771,None
TLV:ASPF,ALTSHU FUND PEN,Financial Services,Israel,0.0014848, ,3055178133.3333335,0.0,105057200.0,87898866.6666667,1.0,3884241000.0,0.0,463048000.0,0.0,989025000.0,1.5,463048000.0,989025000.0,3884241000.0,3055178133.3333335,4.0,105057200.0,3884241000.0,3.0,463048000.0,2.0,463048000.0,3884241000.0,0.8278209,0.8278209,14.221453,14.221453,14.221453,0.0077454,14.221453,2.965532,2.9479405,365748788.9678228,370088000.0,185233000.0,370088000.0,0.17882,0.1441119,0.0,183.9126897,1000.0,61.4128738,0.0303,0.69903,0,1.156,1635,0.000707,7.138515,196891008,192798000,0.9792118,951,1071771650,1002830649,202731.8611987,0.977,0.696,0.7439338,0.3160708,0.7439338,0.3160708,0.9187335,9.8350585,0.6010177,8.0025332,15.4794113,15.4794113,191098400.0,2.0,177331000.0,1.0,5.6084805,6.0439046,6.0439046,1.574585,1.0,6.0382028,2.0,6.0382028,2.4582755,USD,ILS,1.0,0.3098132,20.8211,17.2129,0,0,-0.2247511,1557,2349,1829.725,-10.6423096,5.0096339,-30.3959132,0.1969697,0.1979697,1.6358858,1.0,1.4034558,1.0,0.0038442,0.1666667,8.4166901,2.0,96.3518231,6.0,0.5971034,0.25,1.7859364,2.0,13.3088809,1.0,1.4134558,8.4266901,0.6071034,13.3188809,7.3661683,1260298533.3333333,2.0,1576574866.6666667,1.0,1576574866.6666667,490330933.3333333,2.0,588887400.0,1.5,588887400.0,0.393705,0.8863099,-44909200.0,587480000.0,587480000.0,769967600.0,2.0,1183983266.6666667,1.0,1183983266.6666667,2.2500882,None
TLV:EXPO,EXPORT INV,Financial Services,Israel,0.0023495, ,156131105.69168,1.0,12424294.1801067,281189062.75088,2.0,168755250.04,1.0,35000216.8304,2.0,931235742.027,1.5,35000216.8304,931235742.027,168755250.04,156131105.69168,1.0,12424294.1801067,168755250.04,1.0,35000216.8304,2.0,35000216.8304,168755250.04,0.0811711,0.0811711,5.227161,5.227161,5.227161,0.2437867,5.227161,0,100000,0.0,7037000.0,17372733.3333333,7037000.0,0.15043,0.6983819,10.0,131.2234832,1000.0,44.0250984,0.01,0.81116,0,8.144,4350,0.0018722,0.6462043,11290300,91881000,8.1380477,572,49589964,14890492367,160631.1188811,14.913,0.507,0.0919677,-0.0210499,0.0919677,-0.0210499,11.2077419,33.7279658,0.3749875,6.3736225,0.4663884,0.4663884,78061422.0031733,1.0,20751752.8558,0.5,0.6352685,2.389676,2.389676,42.658983,2.0,20.9448458,1.0,20.9448458,4.5775539,ILS,ILS,0.3098132,0.3098132,17.7139,35.4278,35.4278,17.7139,4350,46.5,4739,3329.6426,30.6446524,9254.8387097,-8.2084828,1.8342035,38.0789645,1.0568963,1.0,1.0577802,1.0,1156.0581006,2.0,73.1575535,1.0,158.4154756,2.0,47.3028507,1.0,0.2648106,1.0,0.1193923,0.5,1.0677802,73.1675535,47.3128507,0.1293923,0.5985863,4489716315.298453,1.0,7345893293.952321,1.5,7345893293.952321,399045597.864,2.0,331906598.9184,1.5,331906598.9184,0.1047646,0.205452,-8475894666.666667,-9532867333.333334,-9532867333.333334,4247893955.96456,1.0,6944484657.86796,1.5,6944484657.86796,1e-05,None
TLV:AFHL,AFCON HOLD,Technology,Israel,0.0024186, ,2085677911.7515733,4.0,3042840.6709067,103806196.67992,1.0,614274376.97,1.0,38724791.1208,1.0,707892335.5866001,1.5,38724791.1208,707892335.5866001,614274376.97,2085677911.7515733,4.0,3042840.6709067,614274376.97,1.0,38724791.1208,1.0,38724791.1208,614274376.97,0.1889861,0.1889861,8.7668756,8.7668756,8.7668756,0.0016844,1.2524108,1.943768,1.8800694,206426520.2422697,219956000.0,59031933.3333333,219956000.0,0.06304,0.0016975,0.35,0.4267815,10.0,0.1648396,0.2315,0.63076,0,24.296,21100,0.0011515,1.9494604,5061010,124994000,24.6974418,1209,374947097,333976448,103386.2696443,0.2770422,0.221,0.2770422,0.0441587,0.2770422,0.0441587,0.2770422,5.5134794,0.1767897,4.4546363,31.6445547,31.6445547,19557598.5306133,1.0,73153402.5972,1.0,19.1714283,5.1254909,5.1254909,2.6974903,1.0,5.1154859,2.0,5.1154859,2.262744,ILS,ILS,0.3098132,0.3098132,493.9724,949.1046,215.99013,323.9852,0.4817416,14010,23390,20211.85,4.3942044,50.6067095,-9.7905088,1.5117271,11.9354928,1.3749333,1.0,2.7923631,2.0,0.1446732,0.5,0.0218086,0.125,3.3487037,1.0,0.5121614,0.25,1.5770729,1.0,0.8064587,0.5,2.8023631,0.0318086,0.5221614,0.8164587,1.8094109,1084727848.5539734,2.0,904322981.91336,1.5,904322981.91336,292411570.8739733,2.0,253410684.5564401,1.5,253410684.5564401,0.1428219,0.2528144,451985733.3333333,518939600.0,518939600.0,789476612.5056534,2.0,431798925.4427201,1.0,431798925.4427201,1.9186269,None
TLV:ARAN,ARAN,Industrials,Israel,0.0032604, ,27374333.3333333,0.0,3867666.6666667,34586466.6666667,1.0,484497000.0,0.0,7571000.0,0.0,118350000.0,1.5,7571000.0,118350000.0,484497000.0,27374333.3333333,0.25,3867666.6666667,484497000.0,3.0,7571000.0,1.0,7571000.0,484497000.0,0.2004491,0.2004491,13.819355,13.819355,13.819355,0.0020076,13.819355,3.4764139,5.2146209,4657036.6277515,0,6896400.0,0,0.04688,0.0310855,0.0,5.0359467,100.0,1.7056374,0.20563,0.56903,0,1.55,2214,0.0007001,1.6058176,4885640,7571000,1.5496434,141,32379573,32421812,53695.035461,4.345,1.834,0.010994,-0.1442952,0.010994,-0.1442952,3.2614985,18.3096194,1.3394262,11.8233582,4.2371183,4.2371183,7578000.0,0.5,1894500.0,1.0,4.272839,17.091356,17.091356,1.300899,1.0,3.2172918,2.0,3.2172918,1.7946811,USD,ILS,1.0,0.3098132,61.4044,25.5851,40.9362,20.4681,0.4302325,1501,2520,2185.52,1.3031224,47.5016656,-12.1428571,1.3994112,7.5105553,1.8537293,1.0,0.8181821,0.5,0.2056841,1.0,0.2567449,1.0,6.9220519,1.0,84.9796317,8.0,1.4576827,1.0,2.9109087,2.0,0.8281821,0.2667449,84.9896317,2.9209087,1.8745454,133913600.0,1.0,249208000.0,1.5,249208000.0,57305866.6666667,1.0,62476000.0,1.0,62476000.0,0.1303802,0.2211825,23791666.6666667,33914333.3333333,33914333.3333333,74832066.6666667,1.0,152336000.0,1.5,152336000.0,1.4808432,None
TLV:MTRX,MATRIX,Technology,Israel,0.003816, ,4495237186.522453,4.0,49914293.8109867,255416941.89568,2.0,1316148126.4268,1.0,60143107.0764,1.0,857097133.4538,1.5,60143107.0764,857097133.4538,1316148126.4268,4495237186.522453,4.0,49914293.8109867,1316148126.4268,1.0,60143107.0764,1.0,60143107.0764,1316148126.4268,0.4851675,0.4851675,28.56169,28.56169,28.56169,0.4015742,4.0802414,5.5797357,5.3246167,406526270.3498057,443701000.0,370096933.3333333,443701000.0,0.0457,624.4762229,14000.0,0.4408919,10.0,208.3219383,0.14546,0.48739,0,3.08,8976,0.0003431,6.817794,62594500,194127008,3.1013429,10000,2060883989,170596726006,19412.7008,0.05,0.053,0.1092206,0.0951251,0.1092206,0.0951251,0.0648052,2.7956856,0.0635313,2.7705413,440.7317834,440.7317834,119072882.3905333,1.0,39905024.5062,0.5,17.3077526,51.6447243,51.6447243,5.7888873,2.0,5.8756703,2.0,5.8756703,2.4249782,ILS,ILS,0.3098132,0.3098132,52.0,60.0,64.0,50.0,8976,7130,9699,8732.885,2.7839025,25.8906031,-7.4543767,1.4371351,8.8101952,1.3641619,1.0,1.362247,1.0,0.0321162,3.0,0.0135437,1.0,1.2405848,2.0,0.5890753,1.0,1.2359566,1.0,0.5842027,0.5,1.372247,0.0235437,0.5990753,0.5942027,0.9832249,1827716990.3996267,2.0,997206094.60088,1.0,997206094.60088,462929616.7135467,2.0,373819120.01664,1.5,373819120.01664,0.1603116,0.2608883,331717933.3333333,280068400.0,280068400.0,1346730882.0721066,2.0,732110175.2529334,1.0,732110175.2529334,12.0007413,None
TLV:ALMA,ALMOGIM,Real Estate,Israel,0.0040646, ,169875933.3333333,0.0,12547400.0,192487428.5714286,2.0,834438000.0,0.0,29707000.0,0.0,670005000.0,1.5,29707000.0,670005000.0,834438000.0,169875933.3333333,1.0,12547400.0,834438000.0,3.0,29707000.0,1.0,29707000.0,834438000.0,0.6351171,0.6351171,8.229643,8.229643,8.229643,0.0030726,8.229643,4.0923226,4.3078308,47534483.4582482,42528000.0,29701800.0,42528000.0,0.12348,0.0667222,0.0,11.6603545,100.0,3.9511856,0.01,0.76234,0,1.093,900.8,0.0012134,1.9550099,37333400,41810000,1.1199087,87,215014584,104039585,480574.7126437,1.263,0.788,-0.2676776,0.0869431,-0.2676776,0.0869431,0.8803306,9.6325935,0.6127358,8.077744,9.3483549,9.3483549,1230400.0,1.0,114952500.0,1.5,174.7517752,1.8704646,1.8704646,2.2124977,0.5,7.3499212,2.0,7.3499212,2.7120738,USD,ILS,1.0,0.3098132,9.3749,16.071,0,0,0.9165957,407,1036,697.302,29.1836249,121.3267813,-13.0501931,1.5701113,14.9824423,3.692745,3.0,1.2723722,1.0,0.9663053,1.0,0.2701888,0.5,302.8793476,12.0,53.3748826,2.0,9.6701803,6.0,1.6750047,1.0,1.2823722,0.2801888,53.3848826,1.6850047,1.4836885,1242763428.5714285,2.0,740872666.6666666,1.0,740872666.6666666,235321428.5714286,2.0,237540400.0,1.5,237540400.0,0.1400973,0.2250608,182723142.8571429,204642933.3333333,204642933.3333333,1007442000.0,2.0,582512400.0,1.0,582512400.0,1.7443419,None
TLV:NTO,NETO,Consumer Defensive,Israel,0.0049916,r+,3711331469.7454934,4.0,33032242.0755733,119814637.1539733,1.0,1035521188.746,1.0,26498322.996,1.0,187025863.8836,1.0,26498322.996,187025863.8836,1035521188.746,3711331469.7454934,4.0,33032242.0755733,1035521188.746,1.0,26498322.996,1.0,26498322.996,1035521188.746,0.1502594,0.1502594,8.204471,8.204471,8.204471,0.0704146,8.204471,1.8232507,1.8112645,278894061.2574341,282561000.0,211589733.3333333,282561000.0,0.02559,51.8860315,1400.0,0.2574438,10.0,17.3906885,0.0139,0.57932,0,24.962,20240,0.0012333,3.8776865,3709300,85530000,23.058259,1355,501808038,23535413304,63121.7712177,0.191,0.071,0.3037676,0.1143589,0.3037676,0.1143589,0.2191919,4.9317933,0.0818397,3.1107645,37.4305411,37.4305411,38946658.6804267,1.0,38318626.0156,0.5,12.8844953,13.0956689,13.0956689,1.7163713,1.0,2.3244026,0.5,2.3244026,1.5255992,ILS,ILS,0.3098132,0.3098132,2695.93,4852.67,2695.93,4865.84,20240,11600,20590,15653.95,29.2964396,74.4827586,-1.6998543,1.9221357,50.4317779,4.4058065,2.0,0.9173957,0.5,0.0136829,0.0833333,0.0858515,1.0,0.6093177,1.0,0.4645017,1.0,3.7515036,2.0,0.8296984,0.5,0.9273957,0.0958515,0.4745017,0.8396984,0.8835471,989343551.9402134,2.0,530408170.9263467,1.0,530408170.9263467,147902508.4081067,1.0,66285546.1964533,1.0,66285546.1964533,0.1499584,0.4997602,600717133.3333334,585184866.6666666,585184866.6666666,227158859.2694667,1.0,435873000.00404,1.5,435873000.00404,6.1565154,None
TLV:RLCO,RALCO,Consumer Cyclical,Israel,0.0138632, ,69832122.4763467,1.0,6322068.8134133,29968189.5275733,2.0,86348656.5984,1.0,11049487.778,1.0,68336736.7768,1.0,11049487.778,68336736.7768,86348656.5984,69832122.4763467,1.0,6322068.8134133,86348656.5984,1.0,11049487.778,1.0,11049487.778,86348656.5984,0.2580744,0.2580744,6.736976,6.736976,6.736976,0.2652556,6.736976,1.2535042,1.2461553,58055280.2768166,58736000.0,36654266.6666667,58736000.0,0.12796,98.4344661,1000.0,1.2350294,10.0,33.2668185,0.12477,0.69876,0,8.676,5600,0.0015493,3.083131,4082590,35665000,8.735876,47,71919253,7392991513,758829.787234,1.472,0.369,0.439933,0.0914062,0.439933,0.0914062,1.2139833,11.2680908,0.2996015,5.723587,5.5494802,5.5494802,12763642.9051733,1.0,15354342.192,1.0,5.6346964,4.6839684,4.6839684,1.6482472,2.0,0.8952896,1.0,0.8952896,0.9471974,ILS,ILS,0.3098132,0.3098132,538.874,221.099,293.937,220.094,5600,2961,6207,4666.535,20.0033858,89.1252955,-9.7792815,1.6260012,18.4809896,2.3001258,1.0,2.1403436,1.0,16.0195001,0.5,0.047191,1.0,24.1662471,2.0,12.5436486,1.0,2.1663978,1.0,2.0470451,1.0,2.1503436,0.057191,12.5536486,2.0570451,2.1036944,40673598.7656533,1.0,46017484.0356,1.0,46017484.0356,45430222.7878933,2.0,24318911.05928,1.0,24318911.05928,0.340115,0.5543578,62437400.0,68608400.0,68608400.0,17958487.3717067,1.0,21698572.97632,1.0,21698572.97632,14.6402106,None
