"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ABIL,ABILITY,Technology,Israel,1e+50, ,1693200.0,0.0,-7635000.0,-298891733.3333333,0.125,1109000.0,0.0,-28976000.0,0.0,-724000000.0,0.25,-28976000.0,-724000000.0,1109000.0,1693200.0,1.0,-7635000.0,1109000.0,1.0,-28976000.0,0.25,-28976000.0,1109000.0,2.1646648,2.1646648,12309.9723807,12309.9723807,12309.9723807,2.1225103,1758.567483,-0.3717758,268963.6736149,-6456749.5833333,-6456000.0,-6831133.3333333,-6456000.0,0,-4.6380327,0.0,-1479.2537006,0.01,-494.6295778,0.03946,0.35554,0,-1.009,97.1,-0.0103913,10000.0,7972390,-7244000,-0.9086359,10,2400742,235386393,-724400.0,0.1672451,-0.687,0.1672451,0.5483419,0.1672451,0.5483419,0.1672451,4.3395615,-0.3781645,0.2121835,73604.3697845,73604.3697845,-7925466.6666667,0.5,-196000.0,0.5,330125.6895738,1224868.4576463,1224868.4576463,-0.1693273,1.0,-2.0561431,1.0,-2.0561431,206.6143142,USD,ILS,1.0,0.3098132,0,0,0,0,97.1,93.1,238.6,141.9665,-31.6035825,4.2964554,-59.3042749,0.0549828,0.0559828,0.7713891,1.0,0.5088612,1.0,1.6886459,2.0,0.8032523,1.0,22.567841,3.0,1.6041667,1.0,0.7135936,1.0,0.4850303,1.0,0.5188612,0.8132523,1.6141667,0.4950303,0.5069458,16669933.3333333,1.0,13427600.0,1.0,13427600.0,-5193533.3333333,1.0,-13113600.0,1.0,-13113600.0,1e-06,1e-06,-6303200.0,-13673200.0,-13673200.0,21863466.6666667,1.0,26541200.0,1.0,26541200.0,1e-05,effective_profit_margin          <= 0   |
TLV:ABRA,ABRA,Technology,Israel,1e+50, ,18581400.0,0.0,-12050466.6666667,-314319466.6666667,0.125,470649000.0,0.0,1428000.0,0.0,-430794666.6666667,0.375,1428000.0,-430794666.6666667,470649000.0,18581400.0,1.0,-12050466.6666667,470649000.0,3.0,1428000.0,0.25,1428000.0,470649000.0,0.4833086,0.4833086,47.858823,47.858823,47.858823,0.0060479,6.8369747,14.8010158,11.1529201,10105481.8311215,15087000.0,-4912466.6666667,15087000.0,0.03641,-0.6507963,0.0,0.0349593,1.0,-0.1921423,0.61964,0.08526,0,0.085,411.5,0.0002066,1.516213,75283400,5712000,0.0758733,700,75839867,94881179,8160.0,-0.71,6.071,-0.5048293,7.2139752,-0.5048293,7.2139752,-0.6587073,0.1841293,6.3567438,25.4625837,-72.6556709,1376.3550563,5831066.6666667,1.0,-6842000.0,0.5,13.0061739,1108445.8814611,1108445.8814611,0.2857437,1.0,1.57455,2.0,1.57455,1.2558107,USD,ILS,1.0,0.3098132,28.765402,241.88435,159.01178,105.64151,0.2829182,281.8292,457,397.31772,3.569506,46.0104205,-9.9562363,1.480507,10.5308357,19.1070825,1.0,2.3827591,1.0,0.0257269,0.0833333,0.0095012,1.0,0.114232,1.0,0.092496,1.0,10.604971,1.0,1.7989852,1.0,2.3927591,0.0195012,0.102496,1.8089852,2.1008721,153838800.0,1.0,314627400.0,1.0,314627400.0,119105200.0,1.0,257060500.0,1.5,257060500.0,0.1045387,0.1055551,65249333.3333333,49598666.6666667,49598666.6666667,34964600.0,1.0,138073933.3333333,1.0,138073933.3333333,0.0716131,effective_profit_margin          <= 0   |
TLV:ACCL,ACCEL,Technology,Israel,1e+50, ,54300466.6666667,0.0,-2694666.6666667,-557029066.6666666,0.25,91189000.0,0.0,2921000.0,0.0,-22024000.0,0.375,2921000.0,-22024000.0,91189000.0,54300466.6666667,1.0,-2694666.6666667,91189000.0,1.0,2921000.0,1.0,2921000.0,91189000.0,0.5465105,0.5465105,45.81818,45.81818,45.81818,0.0057562,6.5454543,7.0064255,7.39912,6957955.6489056,6178000.0,3633800.0,6178000.0,0.04054,-0.4524074,0.0,0.3662528,10.0,-0.0142049,0.38323,0.12678,0,0.033,151.4,0.000218,2.4950494,124725000,4023000,0.032255,25,54215099,57113780,160920.0,1.851,0.461,-0.5409642,27.754089,-0.5409642,27.754089,1.2530089,11.4437882,7.2842723,27.239391,36.5665226,36.5665226,-1260000.0,0.5,-4740000.0,0.5,2324.0758003,1143778.4635655,1143778.4635655,1.3590111,1.0,1.3992811,2.0,1.3992811,1.1839121,USD,ILS,1.0,0.3098132,64.3205,173.616,4.602,47.5795,-0.3865478,138,255,177.3435,-14.6289545,9.7101449,-40.627451,0.2290598,0.2300598,3.9683596,1.0,10.493768,4.0,0.6177155,1.0,0.2225005,1.0,0.0037273,1.0,0.0295409,1.0,4.909371,2.0,2.1611431,1.0,10.503768,0.2325005,0.0395409,2.1711431,6.3374555,48098400.0,1.0,178617200.0,1.5,178617200.0,25943866.6666667,1.0,98504300.0,1.5,98504300.0,0.1163534,0.1296535,14586866.6666667,40598533.3333333,40598533.3333333,19959600.0,1.0,45027466.6666667,1.0,45027466.6666667,0.3750646,effective_profit_margin          <= 0   |
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,Israel,0.3017556, ,169475750.0,0.0,66501428.5714286,1199185333.3333333,2.0,646230000.0,0.0,44150000.0,0.0,1625349000.0,1.0,44150000.0,1625349000.0,646230000.0,169475750.0,0.25,66501428.5714286,646230000.0,1.0,44150000.0,1.0,44150000.0,646230000.0,0.6853068,0.6853068,19.54091,19.54091,19.54091,0.0060629,19.54091,4.8454784,4.732996,93692083.3759591,98042000.0,100188857.1428571,98042000.0,0.10015,0.0943793,0.0,0.6096547,10.0,0.2690613,0.13701,0.73914,0,0.22,434.8,0.000506,1.5342612,287510016,63254000,0.2200062,561,432905543,382930820,112752.228164,-0.277,-0.089,-0.1476352,-0.041651,-0.1476352,-0.041651,-0.2446588,0.2255341,-0.0771627,0.2422837,-79.8700438,1252.0338703,91234428.5714286,1.0,19570000.0,0.5,4.7449801,22.120876,22.120876,0.4317661,0.5,1.5946811,2.0,1.5946811,1.2638068,USD,ILS,1.0,0.3098132,0,0,0,0,0.0232996,336,499,402.50113,8.0245414,29.4047619,-12.8657315,1.2122699,3.1739203,6.5021399,3.0,2.2555484,1.0,0.0412356,0.0833333,0.0025433,1.0,0.7444487,0.3333333,8.7932602,4.0,0.4981812,0.3333333,3.2008897,2.0,2.2655484,0.0125433,8.8032602,3.2108897,2.738219,2618470666.6666665,2.0,1440646000.0,1.0,1440646000.0,1413838000.0,2.0,1202371500.0,1.5,1202371500.0,0.130646,0.1367191,151716333.3333333,195240714.2857143,195240714.2857143,1204632666.6666667,2.0,639065000.0,1.0,639065000.0,1.3824134,None
TLV:ADGR,ADGAR INV.,Real Estate,Israel,52.7099997, ,74389020.2556533,1.0,13942668.0190933,260907678.6224267,1.0,80228606.6456,1.0,2700874.0243,0.25,1565773451.343,1.5,2700874.0243,1565773451.343,80228606.6456,74389020.2556533,1.0,13942668.0190933,80228606.6456,1.0,2700874.0243,0.25,2700874.0243,80228606.6456,4.934085,4.934085,34.796294,34.796294,34.796294,0.0147115,34.796294,6.2167117,6.2167333,205526431.8249776,205525000.0,184934000.0,205525000.0,0.13466,0.0012212,0.025,0.0048743,0.025,0.0479185,0.26957,0.5138,0,0.216,744.7,0.00029,0.9653223,163606000,34871000,0.2131401,116,1277707468,380965742,300612.0689655,3.953,0.09,-0.2025248,0.0078743,-0.2025248,0.0078743,2.9141188,17.3207903,0.0694686,2.8856893,11.9405887,11.9405887,50392067.0738133,2.0,27199430.2676,1.0,25.3553296,46.9755232,46.9755232,2.8738649,1.0,2.8655396,1.0,2.8655396,1.6937905,ILS,ILS,0.3098132,0.3098132,8.5593,7.7043,7.3374,7.2151,0.3811202,527,847,696.428,6.9313698,41.3092979,-12.0779221,1.360625,6.3449861,2.7102003,2.0,1.3492009,1.0,0.7054921,1.0,0.4243996,1.0,38.5392873,2.0,18.9204533,1.0,0.9694012,1.0,0.9647607,1.0,1.3592009,0.4343996,18.9304533,0.9747607,1.1669808,2907776243.1885867,2.0,1514509704.1767733,1.0,1514509704.1767733,375639850.8846133,1.0,391753379.9961067,1.0,391753379.9961067,0.1017833,0.1068943,-16947200.0,-13772466.6666667,-13772466.6666667,1073127450.9437333,1.0,1122756324.1806667,1.0,1122756324.1806667,1.0704314,None
TLV:ADKA,ADKA,Consumer Cyclical,Israel,1e+50, ,704054666.6666666,0.0,4285066.6666667,1339666.6666667,0.25,167244000.0,0.0,-67740000.0,0.0,-179904000.0,0.1666667,-67740000.0,-179904000.0,167244000.0,704054666.6666666,4.0,4285066.6666667,167244000.0,1.0,-67740000.0,0.25,-67740000.0,167244000.0,0.2196576,0.2196576,228523.1536008,228523.1536008,228523.1536008,0.0013314,228523.1536008,-7.8692553,9598.1740264,-3772058.2677165,-1328000.0,19746800.0,-1328000.0,-0.1199,0.0219298,0.0,-13.9765524,0.01,-4.6905075,0.12754,0.55175,0,-1.228,358.8,-0.0034225,1.3352336,27235600,-25252000,-0.9271689,451,48916207,29642510,-55991.1308204,2.6341604,-0.161,2.6341604,0.4470953,2.6341604,0.4470953,2.6341604,16.4800968,-0.0089762,0.2491024,86753.696228,86753.696228,16190466.6666667,1.0,-51790000.0,0.5,3.021297,94451.067518,94451.067518,5.9390693,2.0,3.2068699,1.0,3.2068699,1.7917736,USD,ILS,1.0,0.3098132,0,0,0,0,-0.7793358,325,1780,554.311,-35.2709941,10.4,-79.8426966,0.0464605,0.0474605,2.9367586,2.0,1.3569624,1.0,0.5282903,0.5,0.4384994,1.0,3.6743319,2.0,6.0726184,2.0,0.6848756,0.5,1.3147747,1.0,1.3669624,0.4484994,6.0826184,1.3247747,1.3458685,317923066.6666667,2.0,185803733.3333333,1.0,185803733.3333333,91056533.3333333,2.0,48079133.3333333,1.0,48079133.3333333,1e-06,1e-06,18893533.3333333,16499800.0,16499800.0,113433266.6666667,1.0,137724600.0,1.0,137724600.0,1e-05,effective_profit_margin          <= 0   |
TLV:AFHL,AFCON HOLD,Technology,Israel,0.0028146,r+,2085677911.7515733,4.0,3042840.6709067,103806196.67992,1.0,614274376.97,1.0,38724791.1208,1.0,707892335.5866001,1.5,38724791.1208,707892335.5866001,614274376.97,2085677911.7515733,4.0,3042840.6709067,614274376.97,1.0,38724791.1208,1.0,38724791.1208,614274376.97,0.1992099,0.1992099,9.211393,9.211393,9.211393,0.0017698,1.3159133,2.0478653,1.9807542,206426319.515885,219956000.0,59031933.3333333,219956000.0,0.06304,0.0016975,0.35,0.4267815,10.0,0.1648396,0.2315,0.63076,0,24.296,22500,0.0010798,2.0483063,5061010,124994000,24.6974418,1209,395026324,350910471,103386.2696443,0.2770422,0.221,0.2770422,0.0441587,0.2770422,0.0441587,0.2770422,5.5134794,0.1767897,4.4546363,33.2490664,33.2490664,19557598.5306133,1.0,73153402.5972,1.0,20.1980997,5.399972,5.399972,2.6974903,1.0,5.1154859,2.0,5.1154859,2.262744,ILS,ILS,0.3098132,0.3098132,493.9724,949.1046,215.99013,323.9852,0.3619854,14170,23390,20255.85,11.0790216,58.786168,-3.8050449,1.8069414,34.8068287,1.3749333,1.0,2.7923631,2.0,0.1446732,0.5,0.0218086,0.125,3.3487037,1.0,0.5121614,0.25,1.5770729,1.0,0.8064587,0.5,2.8023631,0.0318086,0.5221614,0.8164587,1.8094109,1084727848.5539734,2.0,904322981.91336,1.5,904322981.91336,292411570.8739733,2.0,253410684.5564401,1.5,253410684.5564401,0.1428219,0.2528144,451985733.3333333,518939600.0,518939600.0,789476612.5056534,2.0,431798925.4427201,1.0,431798925.4427201,1.9247491,None
TLV:AFID,None,None,Unknown,1e+50, ,0,0.0,0,0,1.0,0,0.0,0,0.0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0.0,100000.0,100000.0,100000.0,10000000000000.0,100000.0,0.0,100000,0.0,0,0,0,0.0,0.0,0.0,0,1.0,0.001,0.01,1.23e-05,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-111111.1111111,0.9,0,1.0,0,1.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,1.0,10000000000000.0,1.0,0.0,0.0,USD,USD,1.0,1.0,1992.123,2458.831,1844.0001,1299.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01,0.01,0.01,0.01,0.01,0,1.0,0,1.0,0,0,1.0,0,1.0,0,1e-06,1e-06,0.0,0.0,0.0,0,1.0,0,1.0,0.0,1e-05,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,0.4607452, ,284103124.4016533,1.0,54431762.69704,1515255631.091307,2.0,341789330.1852,1.0,159063983.3308,1.0,5060828364.067201,1.5,159063983.3308,5060828364.067201,341789330.1852,284103124.4016533,1.0,54431762.69704,341789330.1852,1.0,159063983.3308,1.0,159063983.3308,341789330.1852,4.2314287,4.2314287,14.508866,14.508866,14.508866,0.0209144,14.508866,11.2434308,10.8682402,444872422.7081095,474563000.0,384084733.3333333,474563000.0,0.46539,1.1869237,10.0,6.70507,10.0,2.7867946,0.02979,0.69398,0,14.212,19870,0.0007152,1.6674483,36117300,513419008,14.2153209,296,4668068365,2307298840,1734523.6756757,0.797,0.146,-0.4547347,0.0704583,-0.4547347,0.0704583,0.4840663,7.2074876,0.1271146,3.8153132,29.9728882,29.9728882,97236752.3534133,1.0,152056628.3732,1.0,48.0072427,30.6995388,30.6995388,1.9195086,1.0,4.2176513,2.0,4.2176513,2.0546921,ILS,ILS,0.3098132,0.3098132,138.464,699.04755,262.25336,355.3014,0.7772808,9881,21780,16720.2,18.8382914,101.0930068,-8.7695133,1.6789646,22.4000643,1.5316894,1.0,1.4765597,1.0,0.1947461,0.5,4.4893048,2.0,29.9410131,2.0,15.9903702,1.0,0.6443368,1.0,0.648317,1.0,1.4865597,4.4993048,16.0003702,0.658317,1.0724383,7282419426.471147,2.0,4242934383.6421065,1.0,4242934383.6421065,2478871964.4361067,2.0,2044139128.6436,1.5,2044139128.6436,0.1374891,0.1778147,-740301533.3333334,-615607066.6666666,-615607066.6666666,4765156980.011254,2.0,2874104381.434507,1.0,2874104381.434507,1.2019992,None
TLV:AFRE,AFRICA RESIDENC,Real Estate,Israel,0.516923, ,5048115200.0,0.0,103345466.6666667,1675347333.3333333,2.0,1292346000.0,0.0,124018000.0,0.0,3412890000.0,1.0,124018000.0,3412890000.0,1292346000.0,5048115200.0,4.0,103345466.6666667,1292346000.0,1.0,124018000.0,1.0,124018000.0,1292346000.0,1.1187355,1.1187355,22.86115,22.86115,22.86115,0.0069353,22.86115,9.2206605,9.2176723,156490572.9453666,156592000.0,140603400.0,156592000.0,0.09792,0.0783453,0.0,0.8501349,10.0,0.3431334,0.38285,0.50881,0,9.982,23220,0.0004299,2.6104166,12643500,126211000,9.9822834,54,1442011213,893887519,2337240.7407407,0.546,-0.086,-0.0037277,0.1047708,-0.0037277,0.1047708,0.4085681,6.6419331,-0.0383073,0.2461693,55.9543214,55.9543214,-117897200.0,0.5,143799000.0,0.5,8175.88649,10.0279641,10.0279641,4.9596856,2.0,2.4125816,1.0,2.4125816,1.5542487,USD,ILS,1.0,0.3098132,118.6376,118.6376,474.5507,395.4589,0.5625842,13400,25870,18321.6,26.7356563,73.2835821,-10.2435253,1.57498,15.2633611,1.4038138,1.0,1.4158758,1.0,0.3425064,1.0,1.0250638,2.0,26.8335049,1.0,22.0884537,1.0,1.1846965,1.0,1.0555063,1.0,1.4258758,1.0350638,22.0984537,1.0655063,1.2456911,3752019266.6666665,1.0,3742326000.0,1.0,3742326000.0,2158551333.3333335,2.0,1096933533.3333333,1.0,1096933533.3333333,0.1331393,0.2130588,275594800.0,82547466.6666667,82547466.6666667,2672743600.0,1.0,2645392466.6666665,1.0,2645392466.6666665,0.9946481,None
