Symbol,Name,Sector,Value,Close,MA,Grade
TLV:MTRX,MATRIX,Technology,0.00382/0.03388,8976.0, ,0.6819
TLV:MMAN,MAMAN,Industrials,0.14988/0.0889,951.9, ,0.5156
TLV:DRAL,DOR ALON,Energy,0.16939/0.07601,9716.0, ,0.5156
TLV:MLTM,MALAM TEAM,Technology,0.27524/0.05086,10530.0, ,0.5084
TLV:SCOP,SCOPE,Industrials,0.04757/0.41715,13980.0,r+,0.495
TLV:NTO,NETO,Consumer Defensive,0.00499/0.7655,20240.0,r+,0.4045
TLV:FORTY,FORMULA,Technology,0.0003/0.91984,36740.0, ,0.3986
TLV:HLAN,HILAN,Technology,0.0862/0.73402,20670.0, ,0.3885
TLV:HAMAT,HAMAT,Industrials,0.96618/0.34499,3009.0, ,0.3324
TLV:ZUR,ZUR,Financial Services,0.40259/0.59312,1384.0,r+,0.2989
TLV:CRSO,CARASSO,Consumer Cyclical,0.14791/0.91802,2250.0, ,0.2948
TLV:ASPF,ALTSHU FUND PEN,Financial Services,0.00148/-0.02543,1635.0, ,0.2309
TLV:ARAN,ARAN,Industrials,0.00326/0.11575,2214.0, ,0.19
TLV:AMRK,AMIR MARK.,Basic Materials,0.00112/0.22789,3925.0, ,0.184
TLV:HAP,HADERA PAPER,Basic Materials,0.35268/0.01211,22020.0, ,0.1763
TLV:ALMA,ALMOGIM,Real Estate,0.00406/0.22862,900.8, ,0.1701
TLV:CMDR,COMPUTER DIRECT,Technology,0.83794/0.06302,29460.0, ,0.1691
TLV:CPTP,CAPITAL POINT,Financial Services,0.25935/0.01296,85.6, ,0.168
TLV:BRMG,BRIMAG,Consumer Cyclical,0.12178/0.12589,3768.0, ,0.1627
TLV:RLCO,RALCO,Consumer Cyclical,0.01386/0.26779,5600.0, ,0.1589
TLV:AUDC,AUDIOCODES,Technology,0.07186/0.00112,9050.0, ,0.1587
TLV:NVMI,NOVA,Technology,0.24996/-0.9664,37090.0, ,0.1576
TLV:ONE,ONE TECHNOLOGI,Technology,6.69755/0.00169,5776.0, ,0.1543
TLV:KAFR,KAFRIT,Basic Materials,0.12899/0.22394,2752.0, ,0.1533
TLV:SPNS,SAPIENS,Technology,0.2506/-0.12749,10220.0, ,0.1514
TLV:MAXO,MAX STOCK,Consumer Cyclical,2.63903/0.00897,990.0, ,0.1497
TLV:SRAC,S.R ACCORD,Financial Services,0.40315/-0.136,5887.0, ,0.1443
TLV:MTRN,MAYTRONICS,Technology,0.25123/0.00213,7055.0, ,0.1442
TLV:EXPO,EXPORT INV,Financial Services,0.00235/0.56283,4350.0, ,0.1434
TLV:ENRG,ENERGIX,Technology,0.72278/-0.6279,1285.0, ,0.1428
TLV:MGIC,MAGIC,Technology,0.56662/-0.00516,6195.0, ,0.1382
TLV:CAMT,CAMTEK,Technology,0.84587/-0.08739,11600.0, ,0.1351
TLV:NICE,NICE,Technology,1.69293/-0.255,82830.0, ,0.1333
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,0.92853/0.36695,4875.0, ,0.1324
TLV:JBNK,JERUSALEM,Financial Services,0.49318/0.09647,1334.0, ,0.1324
TLV:ARAD,ARAD INVESTMENT,Industrials,0.11715/0.74309,46950.0, ,0.1316
TLV:GNRS,GENERATION CAP,Energy,0.81587/0.01158,104.5, ,0.1285
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,1.04017/0.23824,24010.0, ,0.1256
TLV:EMCO,E&M,Technology,0.22186/0.29365,2360.0, ,0.1253
TLV:RMLI,RAMI LEVI,Consumer Defensive,0.48935/0.44158,25750.0, ,0.1209
TLV:TDRN,TADIRAN GROUP,Consumer Cyclical,0.38113/0.53329,47450.0, ,0.1143
TLV:DUNI,DUNIEC,Real Estate,0.0278/0.74001,24380.0, ,0.1131
TLV:TSEM,TOWER,Technology,3.13257/0.06045,11090.0, ,0.109
TLV:HNMR,HANAN MOR,Real Estate,0.17295/0.44596,6133.0,r+,0.1088
TLV:SAE,SHUFERSAL,Consumer Defensive,0.71298/0.51651,2999.0,r+,0.1069
TLV:SANO1,SANO,Consumer Defensive,0.14056/0.86145,37300.0,r+,0.1062
TLV:ESLT,ELBIT SYSTEMS,Technology,2.62693/0.1566,53260.0, ,0.106
TLV:NTML,NETO MALINDA,Consumer Defensive,0.0486/0.97337,14020.0,r+,0.1043
TLV:DANE,DANEL,Healthcare,0.30378/0.73716,75730.0,r+,0.1033
TLV:GNGR,GINEGAR,Consumer Cyclical,0.33775/0.4366,2284.0, ,0.1001
TLV:ARPT,AIRPORT CITY,Real Estate,0.29442/0.50515,7739.0,r+,0.0978
TLV:ECP,ELECTRA CO PR,Consumer Cyclical,3.02012/0.44609,20310.0, ,0.0919
TLV:BCOM,B COMMUNICATION,Communication Services,3.55366/0.71341,1464.0,r+,0.0818
TLV:SPRG,SPRING,Financial Services,0.91758/0.44769,2721.0, ,0.0817
TLV:NAWI,NAWI,Financial Services,6.62057/0.34916,3074.0, ,0.0801
TLV:BEZQ,BEZEQ,Communication Services,11.63979/0.48374,545.0,r+,0.0787
TLV:DIFI,DIRECT FINANCE,Financial Services,4.79617/0.43779,87990.0, ,0.0776
TLV:PRSK,PRASHKOVSKY,Real Estate,5.42876/0.66048,14400.0,r+,0.077
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,0.26533/0.79017,6265.0, ,0.0749
TLV:SLARL,SELLA REAL EST,Real Estate,1.55197/0.62096,1158.0,r+,0.073
TLV:HARL,HAREL,Financial Services,12.00165/0.40207,3700.0, ,0.0708
TLV:WLFD,WILLY FOOD,Consumer Defensive,0.05367/0.00527,4060.0, ,0.0687
TLV:VTNA,VITANIA,Real Estate,90.80218/0.33148,3189.0, ,0.066
TLV:POLI,POALIM,Financial Services,1258.34113/0.16275,3272.0, ,0.0657
TLV:PRTC,PRIORTECH,Technology,3777.97256/0.09992,10530.0, ,0.0649
TLV:FOX,FOX,Consumer Cyclical,5.64471/0.65536,62980.0,r+,0.0636
TLV:DSCT,DISCOUNT,Financial Services,1148.18284/0.24109,2101.0, ,0.0623
TLV:FIBI,FIBI BANK,Financial Services,1483.09631/0.23667,13070.0, ,0.0602
TLV:STRS,STRAUSS GROUP,Consumer Defensive,2.03037/0.85883,10900.0,r+,0.0598
TLV:FRDN,FRIDENSON,Industrials,0.02462/0.03111,8935.0, ,0.0578
TLV:VCTR,VICTORY,Consumer Defensive,0.50605/0.01377,6960.0, ,0.0574
TLV:NVLG,NOVOLOG,Healthcare,4.00796/0.74147,326.5,r+,0.0571
TLV:PFLT,PENNANTPARK $,Financial Services,187.84539/0.35077,3812.0, ,0.0566
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,0.3181/0.06019,437.8, ,0.0565
TLV:LUMI,LEUMI,Financial Services,1244.26822/0.33238,3355.0, ,0.0556
TLV:ISRS,ISRAS,Real Estate,17.49397/0.5404,82490.0, ,0.0544
TLV:MZTF,MIZRAHI TEFAHOT,Financial Services,1609.06337/0.32267,12150.0, ,0.0544
TLV:ARKO,ARKO CORP,Consumer Defensive,2.04672/0.01166,2718.0, ,0.0539
TLV:AFHL,AFCON HOLD,Technology,0.00242/0.18302,21100.0, ,0.0538
TLV:IDIN,IDI INSUR,Financial Services,0.33984/0.01309,11530.0, ,0.0523
TLV:NFTA,NAPHTHA,Energy,2.94279/0.86738,2599.0,r+,0.0514
TLV:ELDAV,ELDAV,Financial Services,0.16886/0.13756,253.4, ,0.0494
TLV:BLSR,BLUE SQ REAL ES,Real Estate,17.02987/0.64167,29150.0, ,0.0493
