"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ANLT,ANALYST,Financial Services,Israel,13035025.607812,r+,106478400.0,0.0,12113333.3333333,169866666.6666667,2.0,342069000.0,0.0,27294000.0,0.0,359843000.0,1.0,27294000.0,359843000.0,342069000.0,106478400.0,1.0,12113333.3333333,342069000.0,3.0,27294000.0,1.0,27294000.0,342069000.0,0.9728134,0.9728134,16.057935,16.057935,16.057935,0.0120598,16.057935,5.5190123,5.3529652,21387080.1616706,22674000.0,25174866.6666667,22674000.0,0.23937,0.0977063,0.0,0.6349249,4.0,0.3250004,0.01,0.62365,0,2.382,3868,0.0006158,2.6853412,11603800,27294000,2.3521605,140,110933032,137509146,194957.1428571,-0.718,0.255,-0.0986051,-0.0477366,-0.0986051,-0.0477366,-0.5631513,0.1936849,0.1793158,4.4845701,-28.5144256,3506.9968216,13466533.3333333,1.0,28535000.0,1.0,8.237683,3.8876129,3.8876129,0.6699234,2.0,0.3910827,1.0,0.3910827,0.6263661,USD,ILS,1.0,0.3098132,160.0,160.0,52.254,130.0,0.7198754,2102,3900,3230.18,19.7456488,84.0152236,-0.8205128,1.9644049,57.4627022,8.0540069,2.0,3.5794804,1.0,0.5158127,1.0,0.9466667,1.0,1.7481362,6.0,1.0212518,2.0,16.472322,3.0,4.3082374,1.0,3.5894804,0.9566667,1.0312518,4.3182374,3.9538589,412808400.0,2.0,222332600.0,1.0,222332600.0,309026666.6666667,2.0,159918000.0,1.0,159918000.0,0.222762,0.270675,93149800.0,84505733.3333333,84505733.3333333,51890866.6666667,1.0,62414600.0,1.0,62414600.0,2.4289649,None
TLV:ARAD,ARAD INVESTMENT,Industrials,Israel,2102945.5956209,r+,841174025.8621334,1.0,76791910.78064,1292965899.344107,2.0,308565788.7857333,0.3333333,76346647.2496,1.0,4309004206.9074,1.5,76346647.2496,4309004206.9074,308565788.7857333,841174025.8621334,1.0,76791910.78064,308565788.7857333,0.3333333,76346647.2496,1.0,76346647.2496,308565788.7857333,0.81264,0.81264,13.57561,13.57561,13.57561,0.0034273,13.57561,4.2509469,4.1690043,594151881.1311128,617058000.0,537123733.3333334,617058000.0,0.08247,0.4003221,4.75,0.0221837,0.275,0.1693253,0.18226,0.59308,0,33.818,45930,0.0007363,1.2767673,7199640,246428000,34.2278225,4254,2428335412,1024036822,57928.5378467,0.235,-0.037,-0.1162104,0.0573205,-0.1162104,0.0573205,0.1471974,4.0866314,-0.0134199,0.248658,92.2272394,92.2272394,297067443.6435733,2.0,201440542.64,1.0,8.1743573,12.0548494,12.0548494,2.1947113,1.0,2.0819546,1.0,2.0819546,1.443898,ILS,ILS,0.3098132,0.3098132,500.0,300.0,300.0,300.0,0.4816129,29550,47780,38396.6,19.6199664,55.4314721,-3.8719129,1.7970378,33.6777715,1.7974733,1.0,1.8339254,1.0,0.6034092,1.0,0.159893,1.0,7.9711222,1.0,8.247177,1.0,1.6898639,1.0,0.7936413,0.5,1.8439254,0.169893,8.257177,0.8036413,1.3237833,5726536792.519467,2.0,3014114274.647333,1.0,3014114274.647333,1452680593.6659734,2.0,1185779630.32508,1.5,1185779630.32508,0.1253297,0.1643852,933713266.6666666,823857200.0,823857200.0,3192847595.8028803,2.0,1644473553.2579734,1.0,1644473553.2579734,1.8590214,None
TLV:ARAN,ARAN,Industrials,Israel,37.0865779, ,27374333.3333333,0.0,3867666.6666667,34586466.6666667,1.0,484497000.0,0.0,7571000.0,0.0,118350000.0,1.5,7571000.0,118350000.0,484497000.0,27374333.3333333,0.25,3867666.6666667,484497000.0,3.0,7571000.0,1.0,7571000.0,484497000.0,0.2047865,0.2047865,14.587097,14.587097,14.587097,0.0021191,14.587097,3.5529378,5.3294067,4657038.7164283,0,6896400.0,0,0.04688,0.0310855,0.0,0.2014379,4.0,0.0941344,0.18898,0.56903,0,1.55,2249,0.0006892,1.6950296,4885640,7571000,1.5496434,141,33092337,34223024,53695.035461,4.345,1.834,0.010994,-0.1442952,0.010994,-0.1442952,3.2614985,18.3096194,1.3394262,11.8233582,4.4725138,4.4725138,7578000.0,0.5,1894500.0,1.0,4.366896,17.4675838,17.4675838,1.300899,1.0,3.2172918,2.0,3.2172918,1.7946811,USD,ILS,1.0,0.3098132,61.4044,25.5851,40.9362,20.4681,0.2303064,1772,2520,2190.215,2.6839831,26.9187359,-10.7539683,1.2754011,4.3040832,1.8537293,1.0,0.8181821,0.5,0.2056841,1.0,0.2567449,1.0,6.9220519,1.0,84.9796317,8.0,1.4576827,1.0,2.9109087,2.0,0.8281821,0.2667449,84.9896317,2.9209087,1.8745454,133913600.0,1.0,249208000.0,1.5,249208000.0,57305866.6666667,1.0,62476000.0,1.0,62476000.0,0.1303802,0.2211825,23791666.6666667,33914333.3333333,33914333.3333333,74832066.6666667,1.0,152336000.0,1.5,152336000.0,1.4843904,None
TLV:ARD,ARAD,Technology,Israel,334678.4389619, ,242485000.0,1.0,16759333.3333333,187100666.6666667,2.0,276543000.0,1.0,19963000.0,1.0,409779000.0,1.0,19963000.0,409779000.0,276543000.0,242485000.0,1.0,16759333.3333333,276543000.0,1.0,19963000.0,1.0,19963000.0,276543000.0,1.3771197,1.3771197,60.210396,60.210396,60.210396,0.013479,8.6014851,11.913247,11.5543682,34020320.261098,36070000.0,32943733.3333333,36070000.0,0.07219,0.315435,4.75,0.2066196,2.75,0.1990815,0.30168,0.57996,0,0.808,4912,0.0001645,9.062966,24730700,19963000,0.8072153,998,380874136,372751300,20003.006012,0.353,0.093,0.0916898,0.0812138,0.0916898,0.0812138,0.2876724,5.6135105,0.0900535,3.2508909,209.3019223,209.3019223,22098266.6666667,1.0,39663000.0,1.0,17.2354756,9.6027566,9.6027566,2.4045081,2.0,1.1220924,1.0,1.1220924,1.0602886,USD,ILS,1.0,0.3098132,40.8,10.1,14.15,12.13,-0.0290571,4079,5385,4662.365,5.3542569,20.421672,-8.7836583,1.2756508,4.3091431,3.6870041,2.0,0.9489642,0.5,0.0811348,1.0,0.0111257,0.5,0.5188146,0.5,1.2382325,1.0,2.0587803,1.0,2.1209491,1.0,0.9589642,0.0211257,1.2482325,2.1309491,1.5449567,539184666.6666666,2.0,186862044.4444444,0.6666667,186862044.4444444,243814533.3333333,2.0,131723933.3333333,1.0,131723933.3333333,0.2068328,0.2515518,97242600.0,104623733.3333333,104623733.3333333,146922933.3333333,1.0,147742066.6666667,1.0,147742066.6666667,2.7086034,None
TLV:ARPT,AIRPORT CITY,Real Estate,Israel,140486.6589164, ,280550269.2409067,1.0,161707701.9832534,3369619613.5145063,2.0,258628031.7884,1.0,268503327.5384,1.0,11375138473.8774,1.5,268503327.5384,11375138473.8774,258628031.7884,280550269.2409067,1.0,161707701.9832534,258628031.7884,1.0,268503327.5384,1.0,268503327.5384,258628031.7884,5.299045,5.299045,10.902191,10.902191,10.902191,0.0351728,10.902191,7.0120022,7.0120126,630854875.9112799,630853000.0,568718333.3333334,630853000.0,1.03818,2.0146877,4.75,4.4866154,2.75,2.514161,0.1902,0.47591,0,6.983,7640,0.000914,1.1458286,124488000,866662016,6.9618117,169,4423568903,2936183826,5128177.6094675,3.568,-0.133,-0.2958878,-0.0004955,-0.2958878,-0.0004955,2.602028,16.380803,-0.0998739,0.2400126,4.1898822,4.1898822,111516559.0967467,1.0,189447983.4812,1.0,39.6673726,23.3497809,23.3497809,1.0039783,1.0,1.903899,2.0,1.903899,1.3808185,ILS,ILS,0.3098132,0.3098132,0,0,0,0,0.6272631,4450,8121,6223.675,22.7570527,71.6853933,-5.9229159,1.7379461,27.5561008,4.0291792,2.0,2.0655965,1.0,0.2903558,1.0,0.1870558,1.0,25.730952,3.0,4.3308431,0.5,1.5229111,1.0,1.1418647,1.0,2.0755965,0.1970558,4.3408431,1.1518647,1.6137306,9100365486.860746,2.0,4874107397.680827,1.0,4874107397.680827,2253714539.747067,1.0,3719337084.14192,1.5,3719337084.14192,0.1550877,0.1721912,763416866.6666666,242334000.0,242334000.0,2259557265.5774403,1.0,2360022374.74592,1.0,2360022374.74592,2.133923,None
TLV:ASGR,ASPEN GROUP,Real Estate,Israel,43484578698.052345, ,61218613.2730933,1.0,21009961.5037867,257599348.6933333,2.0,168906129.0684,3.0,10717368.0276,1.0,571755303.5888001,1.0,10717368.0276,571755303.5888001,168906129.0684,61218613.2730933,1.0,21009961.5037867,168906129.0684,3.0,10717368.0276,1.0,10717368.0276,168906129.0684,5.6215605,5.6215605,18.517823,18.517823,18.517823,0.0108574,18.517823,9.1664431,9.0581384,114149565.6369351,116847000.0,133128733.3333333,116847000.0,0.19035,1.3383246,4.75,4.1539485,27.4725,1.8952077,0.23309,0.49759,0,0.533,987.9,0.0005395,0.9271088,64525700,34593000,0.536112,30,1021619625,197310321,1153100.0,-0.986,0.135,-0.0615737,-0.0770374,-0.0615737,-0.0770374,-0.7548934,0.1745107,0.0819907,3.113401,-24.5303804,4076.5776245,15795867.3104267,1.0,12682822.9684,1.0,64.6763869,80.5514378,80.5514378,6.6385133,2.0,3.9251476,1.0,3.9251476,1.9821985,ILS,ILS,0.3098132,0.3098132,7.1596,7.1543,7.1493,6.3383,0.4375727,614,1080,845.357,16.8618702,60.8957655,-8.5277778,1.604721,17.0764372,4.2133514,3.0,1.4698915,1.0,1.5595497,1.0,0.9041783,1.0,1.2942425,1.0,0.5375569,1.0,1.051665,1.0,0.7048652,1.0,1.4798915,0.9141783,0.5475569,0.7148652,1.0973784,919363462.6795467,1.0,1211774145.4223468,1.0,1211774145.4223468,398220957.7424533,2.0,209900467.1129067,1.0,209900467.1129067,0.1088444,0.1510593,23508733.3333333,-206740266.6666667,-206740266.6666667,656171572.6419467,1.0,824048213.10096,1.0,824048213.10096,0.262437,None
TLV:ASHG,ASHTROM GROUP,Real Estate,Israel,1426566253.1592045,r+,4543404266.666667,0.0,366316666.6666667,3669089333.3333335,2.0,4461973000.0,0.0,945504000.0,0.0,14369983500.0,1.5,945504000.0,14369983500.0,4461973000.0,4543404266.666667,1.0,366316666.6666667,4461973000.0,1.0,945504000.0,1.0,945504000.0,4461973000.0,1.1552934,1.1552934,9.8475964,9.8475964,9.8475964,0.0064939,9.8475964,9.2082679,9.0347897,581672283.7292242,603589000.0,610129333.3333334,603589000.0,0.2119,0.0772842,0.0,0.1596929,1.0,0.1506257,0.23451,0.62008,0,9.383,9421,0.000996,2.4985805,101218000,945504000,9.3412634,769,5154379240,2897541346,1229524.0572172,-0.067,-0.099,0.0230698,0.0469546,0.0230698,0.0469546,-0.0444825,0.2455517,-0.0625114,0.2437489,-221.3811255,451.7096919,331071366.6666667,0.5,1223333000.0,1.0,15.5687859,4.2133902,4.2133902,2.014678,0.5,6.0878056,2.0,6.0878056,2.4683479,USD,ILS,1.0,0.3098132,99.0127,108.914,129.0195,59.6594,0.4683603,6011,9628,7584.515,24.2136115,56.7293296,-2.1499792,1.8855405,44.9381506,1.3105641,1.0,1.3431196,1.0,0.3470742,1.0,0.0352283,0.5,20.6071285,1.0,79.8440565,4.0,8.0354388,6.0,0.6399176,0.5,1.3531196,0.0452283,79.8540565,0.6499176,1.0015186,27402802533.333332,2.0,15078139533.333334,1.0,15078139533.333334,5404755333.333333,2.0,5537519500.0,1.5,5537519500.0,0.1627069,0.270745,1319604866.6666667,1118740733.3333333,1118740733.3333333,20908379466.666668,2.0,11225905666.666666,1.0,11225905666.666666,1.0006893,None
TLV:ASPF,ALTSHU FUND PEN,Financial Services,Israel,0.2290077, ,3055178133.3333335,0.0,105057200.0,87898866.6666667,1.0,3884241000.0,0.0,463048000.0,0.0,989025000.0,1.5,463048000.0,989025000.0,3884241000.0,3055178133.3333335,4.0,105057200.0,3884241000.0,3.0,463048000.0,2.0,463048000.0,3884241000.0,0.821005,0.821005,14.01384,14.01384,14.01384,0.0076333,14.01384,2.9407469,2.9233102,365750670.0379267,370088000.0,185233000.0,370088000.0,0.17882,0.1441119,0.0,2.942603,16.0,1.0895116,0.03036,0.69894,0,1.156,1634,0.0007075,7.034303,196916000,192798000,0.9790875,951,1062825157,988316282,202731.8611987,0.977,0.696,0.7439338,0.3160708,0.7439338,0.3160708,0.9187335,9.8350585,0.6010177,8.0025332,15.2534339,15.2534339,191098400.0,2.0,177331000.0,1.0,5.5616643,5.9934538,5.9934538,1.574585,1.0,6.0382028,2.0,6.0382028,2.4582755,USD,ILS,1.0,0.3098132,20.8211,17.2129,0,0,-0.2252252,1557,2349,1822.08,-10.3222691,4.9454078,-30.4384845,0.1944444,0.1954444,1.6358858,1.0,1.4034558,1.0,0.0038442,0.1666667,8.4166901,2.0,96.3518231,6.0,0.5971034,0.25,1.7859364,2.0,13.3088809,1.0,1.4134558,8.4266901,0.6071034,13.3188809,7.3661683,1260298533.3333333,2.0,1576574866.6666667,1.0,1576574866.6666667,490330933.3333333,2.0,588887400.0,1.5,588887400.0,0.393705,0.8863099,-44909200.0,587480000.0,587480000.0,769967600.0,2.0,1183983266.6666667,1.0,1183983266.6666667,2.248454,None
TLV:ATRY,ATREYU CAP,Financial Services,Israel,209161.0393732, ,92283000.0,0.0,76056333.3333333,221787733.3333333,2.0,89700000.0,0.0,164574000.0,0.0,490623000.0,1.0,164574000.0,490623000.0,89700000.0,92283000.0,1.0,76056333.3333333,89700000.0,1.0,164574000.0,2.0,164574000.0,89700000.0,3.0005408,3.0005408,11.501792,11.501792,11.501792,0.0299575,11.501792,0,100000,0.0,187000.0,315866.6666667,187000.0,0.84203,0.8244602,0.0,3.7318641,4.0,1.8004514,0.18416,0.45949,0,5.58,6551,0.0008518,4.3904776,14723500,84078000,5.7104629,16,293221330,292759296,5254875.0,0.132,0.104,-0.0112062,-0.0128258,-0.0112062,-0.0128258,0.0961985,3.3515875,0.0747935,2.9848408,119.5631699,119.5631699,52928066.6666667,1.0,78164000.0,1.0,5.539997,3.7513603,3.7513603,0.0394096,2.0,0.0175943,1.0,0.0175943,0.1336436,USD,ILS,1.0,0.3098132,125.6493,227.5271,142.6289,135.837,0.2661384,67.4,6983,5752.489,13.8811391,9619.5845697,-6.1864528,1.8750651,43.4608346,125.4600907,2.0,273.7669407,1.0,0.0441111,1.0,0.0110278,1.0,0.0,1.0,0.0,1.0,6.5707248,1.0,8.9638806,1.0,273.7769407,0.0210278,0.01,8.9738806,141.3754107,434980133.3333333,2.0,225772533.3333333,1.0,225772533.3333333,423460533.3333333,2.0,221251933.3333333,1.0,221251933.3333333,0.8289372,0.8438308,14054400.0,7484200.0,7484200.0,3881466.6666667,1.0,3970400.0,1.0,3970400.0,6.9080157,None
TLV:AUDC,AUDIOCODES,Technology,Israel,2232.9631335, ,920334133.3333334,4.0,26696466.6666667,-96243428.5714286,0.25,746760000.0,3.0,33751000.0,1.0,-3462000.0,1.0,33751000.0,-3462000.0,746760000.0,920334133.3333334,4.0,26696466.6666667,746760000.0,3.0,33751000.0,1.0,33751000.0,746760000.0,3.5994098,3.5994098,28.1960993,17.0885464,26.8076552,0.0365927,3.829665,21.3554239,21.3554429,41956074.6844625,41956000.0,37741600.0,41956000.0,0.13559,4.6930982,36.9075,0.8430553,6.868125,1.8915812,0.42127,0.25405,1.65,1,8793,0.0001137,4.4515472,32304700,33751000,1.0447706,10000000,895991353,910866511,3.3751,-0.134,0.127,1.7074536,0.1215831,1.7074536,0.1215831,0.3263634,5.9628225,0.1256458,3.7946549,82.1405059,82.1405059,40304933.3333333,1.0,47344000.0,1.0,22.2303148,18.92513,18.92513,0.8402987,1.0,0.703392,1.0,0.703392,0.8396847,USD,ILS,1.0,0.3098132,17.0,17.0,16.0,14.0,-0.1203482,8600,12180,10613.195,-17.1503021,2.244186,-27.8078818,0.1078212,0.1088212,2.2952459,1.0,2.422039,1.0,0.0684845,0.5,0.0630827,1.0,0.9094013,1.0,0.218973,0.25,0.9235691,0.5,1.7847873,1.0,2.432039,0.0730827,0.228973,1.7947873,2.1134131,326312000.0,1.0,350267000.0,1.0,350267000.0,184193333.3333333,1.0,205641466.6666667,1.0,205641466.6666667,0.1963579,0.2641255,77306733.3333333,75392533.3333333,75392533.3333333,142118666.6666667,1.0,144625533.3333333,1.0,144625533.3333333,2.5594089,None
