Symbol,Name,Sector,Value,Close,MA,Grade
TLV:MMAN,MAMAN CARGO TERMIN,Industrials,269.26225/-1.25492,957.5, ,226.3097
TLV:CPTP,CAPITAL POINT LTD,Financial Services,5.28231/-1.57345,86.3, ,213.8003
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,1986.89166/-1.18804,3592.0, ,151.0758
TLV:PLRM,PALRAM INDUSTRIES,Industrials,16.35007/-1.20353,4696.0, ,138.3088
TLV:FRDN,FRIDENSON LOGISTIC,Industrials,0.00088/-1.50588,8732.0, ,123.655
TLV:ALMA,ALMOGIM HOLDINGS,Real Estate,468.74946/-1.1496,783.2, ,121.2137
TLV:HRON,HIRON TRADE INVS,Real Estate,12008.87564/-0.94752,209470.0, ,117.9283
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,156.84347/-1.11048,660.5, ,116.8018
TLV:DRSL,DORSEL (B.A.Z.),Real Estate,2870.69602/-1.1618,1556.0, ,98.969
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,142539.04026/-0.91201,24500.0, ,97.4439
TLV:SPRG,SPRING VENTURES,Financial Services,155.4365/-2.0339,2444.0, ,91.6085
TLV:SNEL,SYNEL PAYWAY M.L.L,Real Estate,10113.69775/-0.91754,4737.0, ,91.0518
TLV:MLTM,MALAM TEAM LTD,Technology,99707116.37421/-1.06311,10690.0, ,88.7235
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,6703.29731/-0.89635,2676.0, ,87.147
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,2.23247/-1.05336,5972.0, ,80.5453
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,12374.21478/-0.66461,2180.0, ,77.045
TLV:BLSR,BLUE SQUARE REAL,Real Estate,2905423333.58404/-0.88263,25950.0, ,76.5044
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,204293.56947/-0.9865,79670.0, ,76.347
TLV:VILR,VILLAR INTL LTD,Real Estate,1108365.29128/-0.82699,18020.0, ,72.6993
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,20187539.24883/-0.241,6185.0, ,65.7571
TLV:DRAL,DOR ALON ENERGY IN,Energy,21544059.30013/-0.73622,10680.0,r+,61.7782
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,36602.3671/-0.59715,2560.0,r+,60.6387
TLV:AZRM,AZORIM INV DEV,Consumer Cyclical,2203.99414/-1.04454,1691.0, ,58.0359
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,114702.27416/-0.93191,36560.0, ,50.6883
TLV:ASPF,ALTSHULER SHAHM,Financial Services,4.98301/-1.60137,1434.0, ,50.6544
TLV:AFPR,AFI PROPERTIES,Real Estate,26739853.09746/-0.84042,20160.0, ,47.5394
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,11652991.77734/-1.04634,13140.0, ,47.46
TLV:JBNK,BANK OF JERUSALEM,Financial Services,13139680.25558/-0.18297,1351.0, ,47.1655
TLV:IDIN,I.D.I. INSURANCE,Financial Services,14375.89097/-1.00327,11490.0, ,46.5315
TLV:AVIV,MORDECHAI AVIV,Real Estate,20848266.98096/-1.19624,2117.0, ,45.74
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,65548.04396/-1.12749,3951.0, ,45.5312
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,21772403.06649/-0.79728,271.9,r+,45.2821
TLV:MTRX,MATRIX IT LTD,Technology,529696.43318/-0.88447,8847.0, ,40.5578
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,3590.81425/-0.41298,22100.0,r+,40.1631
TLV:MTRN,MAYTRONICS LTD,Technology,59994.69933/-1.11862,6951.0, ,39.4718
TLV:KEN,KENON HLDGS LTD,Utilities,326328.79871/-0.69675,18120.0, ,39.2499
TLV:PPIL,PLASTOPIL HAZOREA,Consumer Cyclical,12449065.98104/-1.05589,575.9, ,35.6998
TLV:MGIC,MAGIC SOFTWARE ENT,Technology,76879.98768/-0.9632,5822.0, ,34.95
TLV:AFHL,AFCON HOLDINGS LTD,Technology,1373.89873/-0.89845,21140.0, ,33.9655
TLV:HOD,HOD-ASSAF INDS,Basic Materials,12.75503/-0.64332,4795.0,r+,33.0837
TLV:EXPO,EXPORT INVESTMENT,Financial Services,52174725940.73734/0.15331,4358.0, ,32.6051
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,475787.34824/-1.01349,1107.0, ,31.5989
TLV:ZUR,ZUR SHAMIR HOLD,Financial Services,40111150753389.61/-0.72863,1328.0, ,29.6472
TLV:IBI,IBI INV HOUSE,Financial Services,167783750.68181/-0.78739,10220.0, ,29.1185
TLV:ARPT,AIRPORT CITY,Real Estate,1842113.34415/-0.71621,7430.0, ,29.0511
TLV:VISN,VISION SIGMA,Industrials,2590213181594.5454/-0.63354,6100.0,r+,27.9589
TLV:EMCO,E & M COMPUTING,Technology,118917.10733/-0.77626,2216.0, ,27.8574
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,2454.06261/-0.70525,4969.0, ,26.0837
TLV:SMNIN,SHEMEN INDUSTRIES,Consumer Defensive,9275.7703/-0.68543,1535.0,r+,26.0494
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,17223.2014/-1.09136,8740.0, ,24.6612
TLV:KRDI,KARDAN ISRAEL LTD,Real Estate,3964.13538/-1.2628,326.1, ,23.9319
TLV:HNMR,HANAN MOR GRP HLDG,Real Estate,355702.83105/-1.21198,5035.0, ,23.6853
TLV:FORTY,FORMULA SYST(1985),Technology,276571.46631/0.17855,32820.0, ,23.4334
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,2890.22343/-1.29704,8327.0, ,23.1722
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,6087.84774/-0.34453,1477.0,r+,21.7746
TLV:ESLT,ELBIT SYSTEMS LTD,Technology,964543.55956/-0.41652,56960.0,r+,21.6871
TLV:ORTC,O.R.T. TECHNOLOGIE,Technology,33052792022.40718/-0.73612,2717.0, ,20.9099
TLV:VTNA,VITANIA LTD,Real Estate,81.63388/-1.89812,2911.0, ,20.353
TLV:MRHL,MERCHAVIA HOLD,Healthcare,5380.50517/-1.3056,59.1, ,20.2333
