Symbol,Name,Sector,Value,Close,MA,Grade
TLV:FORTY,FORMULA SYST(1985),Technology,0.00028,36670.0, ,0.3809
TLV:MTRX,MATRIX IT LTD,Technology,0.00406,8988.0, ,0.3551
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,0.00581,22010.0,r+,0.3381
TLV:SCOP,SCOPE METALS GROUP,Industrials,0.04679,13810.0, ,0.3144
TLV:HLAN,HILAN LTD,Technology,0.09134,20470.0, ,0.2937
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,0.14255,2129.0, ,0.268
TLV:ASPF,ALTSHULER SHAHM,Financial Services,0.1427,1607.0, ,0.251
TLV:MMAN,MAMAN CARGO TERMIN,Industrials,0.17199,1013.0,r+,0.2316
TLV:DRAL,DOR ALON ENERGY IN,Energy,0.20555,10380.0, ,0.2106
TLV:MLTM,MALAM TEAM LTD,Technology,0.2886,10640.0, ,0.1813
TLV:ZUR,ZUR SHAMIR HOLD,Financial Services,0.37959,1327.0, ,0.1596
TLV:AMRK,AMIR MARKETING AND,Basic Materials,0.00119,3908.0, ,0.1156
TLV:EXPO,EXPORT INVESTMENT,Financial Services,0.00245,4380.0, ,0.1128
TLV:ALMA,ALMOGIM HOLDINGS,Real Estate,0.00373,864.6, ,0.1096
TLV:NTML,NETO MALINDA,Consumer Defensive,0.05354,14200.0,r+,0.1077
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,0.01319,5728.0, ,0.1012
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,0.13473,36420.0, ,0.1003
TLV:DUNI,DUNIEC BROS,Real Estate,0.02199,23850.0, ,0.098
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,0.11547,3699.0, ,0.0876
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,0.1276,2801.0, ,0.0848
TLV:DANE,DANEL-ADIR YEHOSHU,Healthcare,0.27791,74240.0, ,0.0808
TLV:HNMR,HANAN MOR GRP HLDG,Real Estate,0.14952,5828.0, ,0.0761
TLV:ELCRE,ELECTRA REAL ESTAT,Real Estate,0.17633,6491.0, ,0.0733
TLV:EMCO,E & M COMPUTING,Technology,0.19423,2283.0, ,0.0713
TLV:CMDR,COMPUTER DIRECT,Technology,0.83965,29040.0, ,0.0713
TLV:SPNS,SAPIENS INTL CP NV,Technology,0.23318,9971.0, ,0.0707
TLV:NVMI,NOVA LTD,Technology,0.26827,37130.0, ,0.069
TLV:HAP,HADERA PAPER LTD,Basic Materials,0.398,23650.0, ,0.0688
TLV:MTRN,MAYTRONICS LTD,Technology,0.28135,7137.0, ,0.0675
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,1.06772,5089.0,r+,0.0662
TLV:RMLI,RAMI LEVI CHAIN,Consumer Defensive,0.52081,26300.0,r+,0.0654
TLV:CPTP,CAPITAL POINT LTD,Financial Services,0.23958,82.1, ,0.0654
TLV:SRAC,S.R ACCORD LTD,Financial Services,0.39097,5840.0, ,0.0632
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,0.26359,6195.0, ,0.0626
TLV:MGIC,MAGIC SOFTWARE ENT,Technology,0.56791,6267.0, ,0.0604
TLV:ENRG,ENERGIXS-RENEWABLE,Technology,0.57752,1185.0, ,0.0592
TLV:HAMAT,HAMAT GROUP LTD,Industrials,1.03166,3025.0, ,0.0574
TLV:GNRS,GENERATION CAPITAL,Energy,0.81895,103.9, ,0.0573
TLV:CAMT,CAMTEK,Technology,0.91875,11700.0, ,0.0554
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,1.10602,24190.0, ,0.0538
TLV:GNGR,GINEGAR PLASTIC,Consumer Cyclical,0.37367,2293.0, ,0.0538
TLV:SLARL,SELLA CAPITAL REAL,Real Estate,1.47435,1120.0, ,0.0525
TLV:BCOM,B COMMUNICATIONS L,Communication Services,3.34113,1435.0, ,0.0522
TLV:NICE,NICE LTD,Technology,1.67843,83150.0, ,0.0512
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,2.53999,2344.0, ,0.0486
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,1.80729,10200.0, ,0.0482
TLV:ESLT,ELBIT SYSTEMS LTD,Technology,2.80011,56100.0,r+,0.047
TLV:JBNK,BANK OF JERUSALEM,Financial Services,0.52242,1367.0, ,0.0462
TLV:ILX,ILEX MEDICAL,Healthcare,4.66915,15290.0, ,0.0456
TLV:MAXO,MAX STOCK LTD.,Consumer Cyclical,2.64956,992.0, ,0.044
TLV:AUDC,AUDIOCODES,Technology,3.75211,8990.0, ,0.0437
TLV:GVYM,GAV-YAM LANDS CORP,Real Estate,4.60971,3900.0,r+,0.0417
TLV:SPRG,SPRING VENTURES,Financial Services,0.74064,2641.0, ,0.0416
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,6.02599,15000.0,r+,0.0404
TLV:DIFI,DIRECT FINANCE OF,Financial Services,4.81192,85490.0, ,0.0402
TLV:ECP,ELECTRA CONSUMER P,Consumer Cyclical,3.2178,20000.0,r+,0.0397
TLV:TSEM,TOWER SEMICONDUCTO,Technology,5.84057,15120.0, ,0.0381
TLV:NAWI,NAWI BROTHERS GROU,Financial Services,6.50075,3083.0, ,0.0359
TLV:NVLG,NOVOLOG,Healthcare,3.66907,317.5,r+,0.0354
TLV:ONE,ONE SOFTWARE TECHN,Technology,6.73058,5650.0, ,0.0351
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,0.05186,4056.0, ,0.0348
TLV:RADA,RADA ELECTRONIC,Technology,7.8234,3488.0, ,0.034
TLV:AFHL,AFCON HOLDINGS LTD,Technology,0.00274,22310.0,r+,0.0336
TLV:EQTL,EQUITAL,Industrials,10.9096,13980.0,r+,0.0318
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,0.01448,43130.0, ,0.0317
TLV:FRDN,FRIDENSON LOGISTIC,Industrials,0.02332,8708.0, ,0.0309
TLV:ZNKL,ZANLAKOL,Consumer Defensive,0.15331,2318.0,r+,0.0299
TLV:HARL,HAREL INS INVS,Financial Services,11.47478,3704.0, ,0.0297
TLV:FOX,FOX-WIZEL LTD,Consumer Cyclical,5.813,64800.0,r+,0.0293
TLV:BVC,BATM ADVANCED COMM,Technology,0.0378,217.6, ,0.029
TLV:ARAD,ARAD INVESTMENT &,Industrials,11.2475,44710.0, ,0.0289
TLV:AMOT,AMOT INVESTMENTS,Real Estate,0.15724,2590.0, ,0.0279
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,0.5459,7060.0,r+,0.0278
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,0.17142,263.5, ,0.0277
TLV:BLSR,BLUE SQUARE REAL,Real Estate,15.25574,26900.0, ,0.0271
TLV:SAE,SHUFERSAL LTD,Consumer Defensive,0.60236,2718.0, ,0.027
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,16.64485,77890.0, ,0.0255
TLV:BEZQ,BEZEQ ISRAEL TELCM,Communication Services,11.42912,543.7, ,0.0251
TLV:PPIL,PLASTOPIL HAZOREA,Consumer Cyclical,0.32106,575.9, ,0.0245
TLV:IDIN,I.D.I. INSURANCE,Financial Services,0.3241,11380.0, ,0.0244
TLV:TDRN,TADIRAN GROUP LTD,Consumer Cyclical,0.41067,47100.0,r+,0.0239
TLV:ARAN,ARAN RESEARCH&DEVE,Industrials,0.35592,2288.0, ,0.0238
