Symbol,Name,Sector,Value,Close,MA,Grade
TLV:MTRX,MATRIX,Technology,0.00386/0.06145,8836.0, ,0.7215
TLV:MLTM,MALAM TEAM,Technology,0.27788/0.05559,10600.0, ,0.5632
TLV:ZUR,ZUR,Financial Services,0.32505/0.07621,1233.0, ,0.479
TLV:MMAN,MAMAN,Industrials,0.16931/0.19499,998.3, ,0.4777
TLV:FORTY,FORMULA,Technology,0.00024/0.86658,33380.0, ,0.4713
TLV:NTO,NETO,Consumer Defensive,0.00562/0.62555,21670.0, ,0.4598
TLV:CRSO,CARASSO,Consumer Cyclical,0.14388/0.42404,2150.0, ,0.4373
TLV:HLAN,HILAN,Technology,0.08428/0.56723,19670.0, ,0.4367
TLV:SCOP,SCOPE,Industrials,0.05533/0.88596,14890.0, ,0.3587
TLV:ALMA,ALMOGIM,Real Estate,0.00294/0.04496,783.1, ,0.2189
TLV:KAFR,KAFRIT,Basic Materials,0.10657/0.04779,2544.0, ,0.188
TLV:AMRK,AMIR MARK.,Basic Materials,0.00115/0.18349,3880.0, ,0.1818
TLV:CPTP,CAPITAL POINT,Financial Services,0.26426/0.01363,84.1, ,0.1808
TLV:DANE,DANEL,Healthcare,0.25245/0.06649,69010.0, ,0.1772
TLV:MAXO,MAX STOCK,Consumer Cyclical,2.33205/0.00831,939.7, ,0.1664
TLV:ONE,ONE TECHNOLOGI,Technology,6.88734/0.00284,5789.0, ,0.1661
TLV:CMDR,COMPUTER DIRECT,Technology,0.86663/0.11376,30700.0, ,0.1639
TLV:SPNS,SAPIENS,Technology,0.13149/-0.00672,8610.0, ,0.1619
TLV:AUDC,AUDIOCODES,Technology,0.0783/0.01041,9010.0, ,0.1607
TLV:ARAD,ARAD INVESTMENT,Industrials,0.11048/0.41392,45270.0, ,0.1602
TLV:NVMI,NOVA,Technology,0.23413/-0.06837,34770.0, ,0.1575
TLV:HNMR,HANAN MOR,Real Estate,0.09557/0.01149,4779.0, ,0.1564
TLV:EXPO,EXPORT INV,Financial Services,0.00231/0.45766,4168.0, ,0.1562
TLV:BRMG,BRIMAG,Consumer Cyclical,0.12846/0.13728,3835.0, ,0.1558
TLV:STRS,STRAUSS GROUP,Consumer Defensive,1.75442/0.05625,10110.0, ,0.1505
TLV:SRAC,S.R ACCORD,Financial Services,0.32885/0.00025,5471.0, ,0.1452
TLV:ENRG,ENERGIX,Technology,0.72984/-0.0064,1368.0, ,0.142
TLV:MTRN,MAYTRONICS,Technology,0.24109/0.0145,6874.0, ,0.1418
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,0.98024/0.1364,23160.0, ,0.1395
TLV:RLCO,RALCO,Consumer Cyclical,0.01327/0.46892,5931.0, ,0.1394
TLV:NICE,NICE,Technology,1.37315/-0.00506,73710.0, ,0.1345
TLV:MGIC,MAGIC,Technology,0.57272/0.01436,6150.0, ,0.1332
TLV:GNGR,GINEGAR,Consumer Cyclical,0.31371/0.13265,2171.0, ,0.1332
TLV:CAMT,CAMTEK,Technology,0.79355/0.01235,10530.0, ,0.1324
TLV:JBNK,JERUSALEM,Financial Services,0.46622/0.08165,1317.0, ,0.1323
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,0.28109/0.14269,6126.0, ,0.1295
TLV:NTML,NETO MALINDA,Consumer Defensive,0.05519/0.72076,14560.0, ,0.1254
TLV:SANO1,SANO,Consumer Defensive,0.12845/0.63769,36710.0, ,0.1223
TLV:BCOM,B COMMUNICATION,Communication Services,2.93137/0.28418,1331.0, ,0.1194
TLV:AFPR,AFI PROPERTIES,Real Estate,0.35255/0.08623,18060.0, ,0.1185
TLV:GNRS,GENERATION CAP,Energy,0.83445/0.05972,106.7, ,0.1183
TLV:FOX,FOX,Consumer Cyclical,4.32711/0.0831,55630.0, ,0.1179
TLV:AZRM,AZORIM,Consumer Cyclical,1.79167/0.03714,1610.0, ,0.117
TLV:TSEM,TOWER,Technology,0.06555/0.31081,15110.0, ,0.1163
TLV:ECP,ELECTRA CO PR,Consumer Cyclical,3.12775/0.15573,19140.0, ,0.1126
TLV:PRSK,PRASHKOVSKY,Real Estate,4.92552/0.25284,13950.0, ,0.11
TLV:SPRG,SPRING,Financial Services,0.63765/0.14864,2392.0, ,0.1097
TLV:ARPT,AIRPORT CITY,Real Estate,0.25239/0.25147,7360.0, ,0.107
TLV:RMLI,RAMI LEVI,Consumer Defensive,0.56562/0.56168,26990.0, ,0.1054
TLV:DRAL,DOR ALON,Energy,0.23328/0.66335,10990.0, ,0.1046
TLV:DUNI,DUNIEC,Real Estate,0.01447/0.92841,20200.0, ,0.1042
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,0.97451/0.58711,5069.0, ,0.0994
TLV:DIFI,DIRECT FINANCE,Financial Services,3.9821/0.08409,79190.0, ,0.099
TLV:EMCO,E&M,Technology,0.21073/0.58169,2387.0, ,0.0963
TLV:BLSR,BLUE SQ REAL ES,Real Estate,13.67572/0.04393,25610.0, ,0.0959
TLV:DLTI,DELTA BRANDS,Consumer Cyclical,1.31656/0.47701,8089.0, ,0.0949
TLV:NVLG,NOVOLOG,Healthcare,3.83665/0.315,319.9, ,0.092
TLV:BEZQ,BEZEQ,Communication Services,10.62589/0.28506,524.6, ,0.0869
TLV:HAMAT,HAMAT,Industrials,1.09929/0.59765,3212.0, ,0.0856
TLV:SLARL,SELLA REAL EST,Real Estate,1.39615/0.2992,1097.0, ,0.0846
TLV:NAWI,NAWI,Financial Services,5.82894/0.16273,2904.0, ,0.0823
TLV:MGOR,MEGA OR,Real Estate,46.62996/0.08628,13080.0, ,0.0757
TLV:ARAN,ARAN,Industrials,0.00328/0.04719,2220.0, ,0.072
TLV:WLFD,WILLY FOOD,Consumer Defensive,0.05417/0.01457,3953.0, ,0.0715
TLV:VTNA,VITANIA,Real Estate,74.14172/0.10714,2910.0, ,0.0704
TLV:ISRS,ISRAS,Real Estate,16.2178/0.18426,78700.0, ,0.0703
TLV:RADA,RADA,Technology,12.85307/0.24188,4283.0, ,0.07
TLV:RANI,RANI ZIM,Real Estate,101.56168/0.1207,677.9, ,0.0669
TLV:EQTL,EQUITAL,Industrials,9.73521/0.32245,13130.0, ,0.0653
TLV:VCTR,VICTORY,Consumer Defensive,0.48213/0.01191,6728.0, ,0.0629
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,0.26977/0.02384,421.4, ,0.0622
TLV:MGRT,MGURIT,Real Estate,313.81016/0.13505,800.0, ,0.0616
TLV:FRDN,FRIDENSON,Industrials,0.02286/0.01544,8695.0, ,0.0605
TLV:GLRS,GLOBRANDS,Consumer Defensive,0.01402/0.02813,41920.0, ,0.0596
TLV:LVPR,LEVINSTEIN PROP,Real Estate,0.13876/-0.93546,11680.0, ,0.0592
TLV:AURA,AURA,Real Estate,0.18039/0.06433,617.0, ,0.0591
TLV:HARL,HAREL,Financial Services,12.59455/0.38183,3805.0, ,0.059
TLV:NFTA,NAPHTHA,Energy,3.13869/0.69632,2589.0, ,0.0579
TLV:IDIN,IDI INSUR,Financial Services,0.29373/0.00436,10810.0, ,0.0576
TLV:SPNTC,SPUNTECH,Consumer Cyclical,0.88487/0.00272,657.0, ,0.0547
TLV:SAE,SHUFERSAL,Consumer Defensive,0.6517/0.05794,2831.0, ,0.0546
TLV:ASGR,ASPEN GROUP,Real Estate,0.06894/0.07857,917.3, ,0.052
TLV:DIPL,DIPLOMAT HOLDI.,Consumer Defensive,4.57303/0.01132,5727.0, ,0.0517
TLV:ESLT,ELBIT SYSTEMS,Technology,3.92788/0.70836,68500.0, ,0.0508
TLV:ANLT,ANALYST,Financial Services,0.03187/0.38338,3728.0, ,0.0501
TLV:NXTM,NEXTCOM,Communication Services,0.59013/0.02247,1220.0, ,0.0501
TLV:ILX,ILEX MEDICAL,Healthcare,4.33388/0.99803,15250.0, ,0.0483
TLV:KRUR,KERUR,Consumer Defensive,2.27414/0.00426,8585.0, ,0.0483
TLV:VILR,VILLAR,Real Estate,48.57601/0.37532,16890.0, ,0.0481
TLV:ASHG,ASHTROM GROUP,Real Estate,0.09883/0.19247,8771.0, ,0.0475
TLV:SHAN,SHANIV,Basic Materials,1.95825/0.0091,518.9, ,0.0472
TLV:SHVA,AUTO BANK SERV,Technology,0.20528/0.06385,2537.0, ,0.0471
TLV:KLIL,KLIL,Basic Materials,3.63098/0.00319,27970.0, ,0.0464
TLV:AMOT,AMOT,Real Estate,0.14281/0.14681,2503.0, ,0.0456
TLV:TLRD,TELRAD NETWORKS,Technology,2.96922/0.00766,328.1, ,0.0456
TLV:QNCO,QUEENCO,Consumer Cyclical,2.79044/0.00602,415.5, ,0.045
TLV:INRM,INROM CONST,Basic Materials,19.09197/0.01063,1556.0, ,0.0448
TLV:RPAC,RAPAC,Energy,7.02697/0.03181,3093.0, ,0.0445
TLV:AFHL,AFCON HOLD,Technology,0.0026/0.43034,22210.0, ,0.0438
TLV:PIU,POALIM IBI,Financial Services,5.76355/0.00362,1295.0, ,0.0432
TLV:PLRM,PALRAM,Industrials,0.35446/0.12112,4699.0, ,0.043
TLV:MRIN,MORE INVEST,Financial Services,14.89852/0.01839,1364.0, ,0.0426
TLV:PPIL,PLASTOFIL,Consumer Cyclical,0.32386/0.23465,569.9, ,0.0424
TLV:DRSL,DORSEL,Real Estate,1.52345/0.03183,1516.0, ,0.0423
TLV:GILT,GILAT,Technology,14.69434/0.01099,2663.0, ,0.0418
TLV:RVL,RAVAL,Consumer Cyclical,7.97545/0.05553,668.6, ,0.0411
TLV:DNYA,DANYA CEBUS,Real Estate,2.43859/0.17911,8975.0, ,0.0406
TLV:EMDV,EMILIA DEVEL,Financial Services,13.71447/0.04879,2252.0, ,0.0405
TLV:OPAL,OPAL BALANCE,Financial Services,3.98997/0.01383,297.8, ,0.0403
TLV:GLPL,GOLAN PLASTIC,Industrials,1.84759/0.06519,1054.0, ,0.0398
TLV:GOSS,G 1 SECU,Industrials,12.17747/0.00859,504.4, ,0.0387
TLV:GVYM,GAV YAM,Real Estate,4.74219/0.99478,4090.0, ,0.0386
TLV:ORTC,O.R.T.,Technology,4.12338/0.01997,2653.0, ,0.0386
TLV:LUZN,LUZON GROUP,Industrials,3.89759/0.03406,177.7, ,0.0385
TLV:TAYA,TAYA INV,Communication Services,3.03514/0.05112,6326.0, ,0.0378
TLV:SKBN,SHIKUN & BINUI,Real Estate,116.494/0.01628,1968.0, ,0.0377
TLV:ATRY,ATREYU CAP,Financial Services,0.02953/0.4936,6206.0, ,0.0376
