"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:FORTY,FORMULA,Technology,Israel,0.0002417, ,7097845066.666667,4.0,40304666.6666667,599962400.0,2.0,2290015000.0,1.0,50940000.0,1.0,324358000.0,1.0,50940000.0,324358000.0,2290015000.0,7097845066.666667,4.0,40304666.6666667,2290015000.0,1.0,50940000.0,1.0,50940000.0,2290015000.0,0.8346368,0.8346368,32.0152937,32.0152937,32.0152937,0.0069833,4.5736134,7.3218154,10.982723,130542235.0103669,0,231024666.6666667,0,0.02224,330.63966,14000.0,0.2249303,10.0,110.2966101,0.31868,0.37592,0,3.266,33380,9.78e-05,3.0761658,15294300,50940000,3.3306526,15101,1911612281,1599191455,3373.2865373,0.052,0.203,0.4778743,0.1325631,0.4778743,0.1325631,0.1584686,4.2308113,0.1853908,4.555703,202.0292808,202.0292808,443487066.6666667,2.0,110871766.6666667,1.0,4.3104127,17.2416508,17.2416508,2.7088821,1.0,2.8182415,1.0,2.8182415,1.6797619,USD,ILS,1.0,0.3098132,0,0,0,0,33380,141,34160,266.7,12415.9355081,23573.7588652,-2.2833724,1.9541433,55.6850241,1.8093747,1.0,1.7771302,1.0,0.0064887,3.0,0.0016222,1.0,0.8950657,2.0,0.4046752,1.0,1.4825003,1.0,0.7087788,0.5,1.7871302,0.0116222,0.4146752,0.7187788,1.2529545,4454720933.333333,2.0,2580911733.3333335,1.0,2580911733.3333335,907550666.6666666,2.0,515368733.3333333,1.0,515368733.3333333,0.1197372,0.1988419,333144666.6666667,344684466.6666667,344684466.6666667,2476401466.6666665,2.0,1452822600.0,1.0,1452822600.0,1.0254297,None
TLV:GLRS,GLOBRANDS,Consumer Defensive,Israel,0.0140194, ,495437466.6666667,0.0,69362333.3333333,40491200.0,1.0,554020000.0,0.0,75569000.0,0.0,178670000.0,1.0,75569000.0,178670000.0,554020000.0,495437466.6666667,1.0,69362333.3333333,554020000.0,1.0,75569000.0,1.0,75569000.0,554020000.0,0.3928431,0.3928431,6.869298,6.869298,6.869298,0.0027778,6.869298,2.000154,1.9786459,111248435.5638166,113641000.0,103019600.0,113641000.0,0.1364,0.1388383,0.0,1.3258566,10.0,0.5346983,0.05762,0.69952,0,61.491,41920,0.0014669,7.229782,1176000,75569000,64.2593537,199,217728508,153897352,379743.718593,-0.143,-0.006,0.0502436,0.0667107,0.0502436,0.0667107,-0.0946891,0.2405311,0.0121777,1.3535248,-72.5458112,1378.4393391,34750266.6666667,0.5,28575000.0,0.5,6.2655205,7.6195453,7.6195453,4.1109098,1.0,3.7554097,1.0,3.7554097,1.938888,USD,ILS,1.0,0.3098132,0,0,0,0,41920,41220,42500,41920,0.0,1.6982048,-1.3647059,1.09375,1.7120183,1.2449222,1.0,1.2700351,1.0,1.4256588,1.0,0.8981938,1.0,2.3017417,1.0,2.7292465,1.0,1.1413942,1.0,1.1792682,1.0,1.2800351,0.9081938,2.7392465,1.1892682,1.2346517,254928933.3333333,1.0,308477600.0,1.0,308477600.0,49821866.6666667,1.0,65672133.3333333,1.0,65672133.3333333,0.344974,1.2507012,26207000.0,39703600.0,39703600.0,205107066.6666667,1.0,242805466.6666667,1.0,242805466.6666667,2.0812761,None
TLV:DUNI,DUNIEC,Real Estate,Unknown,0.0144712, ,72168341.2006933,1.0,14230876.9119467,188763193.0381333,2.0,415337744.6124001,3.0,68175633.9128,2.0,611456006.2896,1.5,68175633.9128,611456006.2896,415337744.6124001,72168341.2006933,1.0,14230876.9119467,415337744.6124001,3.0,68175633.9128,2.0,68175633.9128,415337744.6124001,0,0.5800308,9.241728,9.241728,9.241728,0.5800308,9.241728,1.6293246,0.8146623,0.0,147858000.0,63957933.3333333,147858000.0,37.9158924,1.9447745,10.0,604.7095037,2500.0,214.8577235,0.01,1.23e-05,0,0,20200,0.0,10000.0,100000000,0,0.0,10000000,240908682,240908682,0.0,-0.1656159,-0.1337305,-0.1656159,-0.1337305,-0.1656159,-0.1337305,-0.1656159,0.2334384,-0.1337305,0.236627,-55.8021811,1792.0446486,4142780.8019733,0.5,66880614.7368,0.75,58.1514431,3.6020704,3.6020704,3.3172354,2.0,2.5256033,2.0,2.5256033,1.5902147,ILS,ILS,0.3098132,0.3098132,0,0,0,0,0.0,56.14,20420,95.6,21029.707113,35881.4748842,-1.0773751,1.9783931,59.9619192,1.6274212,1.0,1.8284566,1.0,0.6572112,1.0,0.2489389,0.5,8.1993441,1.0,14.3724265,2.0,1.2943549,1.0,2.8318898,2.0,1.8384566,0.2589389,14.3824265,2.8418898,2.3401732,221700859.4708533,1.0,218033703.89352,1.0,218033703.89352,170020320.6066667,2.0,145610995.72852,1.5,145610995.72852,0.4126839,0.5682039,123864066.6666667,143626866.6666667,143626866.6666667,136690699.16752,1.0,120959706.7411733,1.0,120959706.7411733,2.7958129,None
TLV:BVC,BATM,Technology,Israel,0.0357645, ,615565600.0,4.0,6330733.3333333,-590451066.6666666,0.5,177604000.0,1.0,20187000.0,1.0,-4545608000.0,0.25,20187000.0,-4545608000.0,177604000.0,615565600.0,4.0,6330733.3333333,177604000.0,1.0,20187000.0,1.0,20187000.0,177604000.0,1.925489,1.925489,14.6300671,14.6300671,14.6300671,1.9254152,2.0900096,10.1847991,10.0079221,34783834.2763278,35992000.0,11071600.0,35992000.0,0.11366,648.3415515,14000.0,1.4959235,10.0,216.6513783,0.40803,0.22689,0,0.045,221.8,0.0002029,2.2018496,100000000,20187000,0.20187,1196,341961440,341961440,16878.7625418,6.558,-0.077,3.774239,0.3043691,3.774239,0.3043691,5.8620597,24.4616909,0.0183423,1.6043362,2.4957213,2.4957213,24214133.3333333,2.0,5089000.0,0.5,14.1223902,67.1961957,67.1961957,0.6328541,1.0,0.5446361,1.0,0.5446361,0.7389947,USD,ILS,1.0,0.3098132,0,0,0,0,221.8,1.389,226.9,3.79,5752.2427441,15868.3225342,-2.2476862,1.9547694,55.7921604,2.5303523,1.0,2.8014481,1.0,0.0,1.0,0.0,1.0,0.4206513,0.5,1.0545324,1.0,2.0462339,1.0,2.3384613,1.0,2.8114481,0.01,1.0645324,2.3484613,2.5799547,179473800.0,1.0,196770000.0,1.0,196770000.0,112037866.6666667,1.0,129969800.0,1.0,129969800.0,0.2025919,0.2553207,58761933.3333333,77506600.0,77506600.0,71500266.6666667,1.0,70567000.0,1.0,70567000.0,1e-05,None
TLV:TSEM,TOWER,Technology,Israel,0.0655508, ,1393340266.6666667,1.0,122998600.0,-1026880571.4285715,0.5,4524498000.0,3.0,300024000.0,2.0,-406272000.0,1.0,300024000.0,-406272000.0,4524498000.0,1393340266.6666667,1.0,122998600.0,4524498000.0,3.0,300024000.0,2.0,300024000.0,4524498000.0,3.3150012,3.3150012,39.4757783,26.3689326,37.8374226,3.3763628,5.4053461,11.4348954,11.434882,437219976.0627489,437221000.0,386382533.3333333,437221000.0,0.09947,0.9178971,10.0,2767.8310801,25000.0,922.9504824,0.6093399,0.02022,1.78,1.189,15110,7.87e-05,3.2613047,108489000,150012000,1.3827393,10000000,4999552983,509211580449,15.0012,0.667,0.194,0.3975627,0.1091386,0.3975627,0.1091386,0.5996407,7.993647,0.1727847,4.4067374,63.1001593,63.1001593,358141666.6666667,1.0,631939500.0,1.5,13.9597077,7.9114424,7.9114424,0.8153116,2.0,0.3860567,1.0,0.3860567,0.6223346,USD,ILS,1.0,0.3098132,0,0,0,0,15110,8160,16440,10522.18,43.601421,85.1715686,-8.0900243,1.678744,22.3824066,6.9221021,2.0,14.3625724,4.0,0.4819162,1.0,1.095561,2.0,0.9308939,1.0,1.0149989,1.0,4.2832536,1.0,8.1467374,2.0,14.3725724,1.105561,1.0249989,8.1567374,11.2646549,4250955600.0,2.0,3281250500.0,1.5,3281250500.0,3027522666.6666665,2.0,2368404500.0,1.5,2368404500.0,0.1914359,0.2266777,875606933.3333334,875616533.3333334,875616533.3333334,613986400.0,1.0,609221466.6666666,1.0,609221466.6666666,22.438124,None
TLV:TIGBUR,TGBR,Real Estate,Unknown,0.174513, ,3313672000.0,0.0,9444933.3333333,203821733.3333333,2.0,2793171000.0,0.0,18648000.0,0.0,628404000.0,1.5,18648000.0,628404000.0,2793171000.0,3313672000.0,4.0,9444933.3333333,2793171000.0,3.0,18648000.0,1.0,18648000.0,2793171000.0,0,0.0638629,30.88117,30.88117,30.88117,0.0638629,30.88117,5.9595052,2.9797526,0.0,29932000.0,23052066.6666667,29932000.0,0.1271842,0.0112263,0.0,2.0237204,100.0,0.7217103,0.01,1.23e-05,0,0,6022,0.0,10000.0,100000000,0,0.0,10000000,178379911,178379911,0.0,0.0419202,0.0909205,0.0419202,0.0909205,0.0419202,0.0909205,0.0419202,2.2974413,0.0909205,3.2653031,736.6663061,736.6663061,12725733.3333333,1.0,-2204000.0,0.5,14.0172599,8093462.3865699,8093462.3865699,2.3735664,1.0,4.8052848,2.0,4.8052848,2.193096,USD,ILS,1.0,0.3098132,0,0,0,0,0.0,8,6163,11.18,53764.0429338,75175.0,-2.2878468,1.9541836,55.6919177,2.8826647,2.0,1.4378487,1.0,0.1389187,1.0,0.1516188,1.0,20.1655546,6.0,3.3509238,1.0,1.2208081,1.0,1.210423,1.0,1.4478487,0.1616188,3.3609238,1.220423,1.3341359,625179066.6666666,2.0,333037400.0,1.0,333037400.0,91458200.0,1.0,144619800.0,1.5,144619800.0,0.1559937,0.228945,42863666.6666667,45039733.3333333,45039733.3333333,216931333.3333333,1.0,231828266.6666667,1.0,231828266.6666667,3.4135842,None
TLV:NVMI,NOVA,Technology,Israel,0.2341347, ,251937600.0,1.0,45276600.0,417202666.6666667,2.0,1112685000.0,3.0,169064000.0,2.0,241620000.0,1.0,169064000.0,241620000.0,1112685000.0,251937600.0,1.0,45276600.0,1112685000.0,3.0,169064000.0,2.0,169064000.0,1112685000.0,10.6154395,10.6154395,38.3887213,30.8942935,37.4519178,8.4512434,5.350274,36.4371305,36.5178398,107577574.9766176,107101000.0,59304666.6666667,107101000.0,0.22791,1.7598363,10.0,6148.222096,25000.0,2050.0709474,0.84908,0.00512,3.56,2.865,34770,8.24e-05,6.9706988,28499900,84532000,2.9660455,713,3937183157,313452412059,118558.2047686,1.183,0.622,0.130357,0.1019461,0.130357,0.1019461,0.9198392,9.840825,0.4919865,7.264175,40.7157207,40.7157207,52056733.3333333,1.0,118078000.0,1.0,75.6325437,33.3439181,33.3439181,1.0450232,2.0,0.7353606,1.0,0.7353606,0.8585317,USD,ILS,1.0,0.3098132,0,0,0,0,34770,25930,46500,35621.15,-2.3894512,34.0917856,-25.2258065,0.8595041,0.8605041,7.3024852,2.0,2.3603504,1.0,1.007103,1.0,0.0530742,0.25,0.3956718,0.5,1.2061741,2.0,46.2894378,6.0,0.8277737,0.25,2.3703504,0.0630742,1.2161741,0.8377737,1.604062,1039760666.6666666,2.0,1110960800.0,1.5,1110960800.0,669156800.0,2.0,640420800.0,1.5,640420800.0,0.2521782,0.3639889,377047466.6666667,329782066.6666667,329782066.6666667,185301933.3333333,1.0,470540000.0,1.5,470540000.0,20.041821,None
TLV:ARPT,AIRPORT CITY,Real Estate,Israel,0.2523948, ,280550269.2409067,1.0,161707701.9832534,3369619613.5145063,2.0,258628031.7884,1.0,268503327.5384,1.0,11375138473.8774,1.5,268503327.5384,11375138473.8774,258628031.7884,280550269.2409067,1.0,161707701.9832534,258628031.7884,1.0,268503327.5384,1.0,268503327.5384,258628031.7884,5.1819356,5.1819356,10.425319,10.425319,10.425319,0.0336344,10.425319,6.8570956,6.8571224,630857941.5578548,630853000.0,568718333.3333334,630853000.0,1.03818,4.2414477,10.0,16.3149652,10.0,7.1991977,0.19066,0.47591,0,6.983,7360,0.0009488,1.0957089,124488000,866662016,6.9618117,169,4325887072,2807752346,5128177.6094675,3.568,-0.133,-0.2958878,-0.0004955,-0.2958878,-0.0004955,2.602028,16.380803,-0.0998739,0.2400126,4.0066129,4.0066129,111516559.0967467,1.0,189447983.4812,1.0,38.7914325,22.8341679,22.8341679,1.0039783,1.0,1.903899,2.0,1.903899,1.3808185,ILS,ILS,0.3098132,0.3098132,0,0,0,0,0.5669576,4506,8121,6366.695,15.6015798,63.3377719,-9.3707671,1.5789765,15.4972264,4.0291792,2.0,2.0655965,1.0,0.2903558,1.0,0.1870558,1.0,25.730952,3.0,4.3308431,0.5,1.5229111,1.0,1.1418647,1.0,2.0755965,0.1970558,4.3408431,1.1518647,1.6137306,9100365486.860746,2.0,4874107397.680827,1.0,4874107397.680827,2253714539.747067,1.0,3719337084.14192,1.5,3719337084.14192,0.1550877,0.1721912,763416866.6666666,242334000.0,242334000.0,2259557265.5774403,1.0,2360022374.74592,1.0,2360022374.74592,2.1262591,None
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,Israel,0.2697688, ,169475750.0,0.0,66501428.5714286,1199185333.3333333,2.0,646230000.0,0.0,44150000.0,0.0,1625349000.0,1.0,44150000.0,1625349000.0,646230000.0,169475750.0,0.25,66501428.5714286,646230000.0,1.0,44150000.0,1.0,44150000.0,646230000.0,0.6664082,0.6664082,18.736365,18.736365,18.736365,0.0058132,18.736365,4.7116391,4.6023237,93694367.7012099,98042000.0,100188857.1428571,98042000.0,0.10015,0.0943793,0.0,0.6096547,10.0,0.2690613,0.13701,0.73914,0,0.22,421.4,0.0005221,1.471092,287510016,63254000,0.2200062,561,420969576,367164669,112752.228164,-0.277,-0.089,-0.1476352,-0.041651,-0.1476352,-0.041651,-0.2446588,0.2255341,-0.0771627,0.2422837,-76.5816071,1305.7965713,91234428.5714286,1.0,19570000.0,0.5,4.6141526,21.5109645,21.5109645,0.4317661,0.5,1.5946811,2.0,1.5946811,1.2638068,USD,ILS,1.0,0.3098132,0,0,0,0,-0.0082372,336,499,403.1895,4.5166107,25.4166667,-15.5511022,1.0478528,1.3237366,6.5021399,3.0,2.2555484,1.0,0.0412356,0.0833333,0.0025433,1.0,0.7444487,0.3333333,8.7932602,4.0,0.4981812,0.3333333,3.2008897,2.0,2.2655484,0.0125433,8.8032602,3.2108897,2.738219,2618470666.6666665,2.0,1440646000.0,1.0,1440646000.0,1413838000.0,2.0,1202371500.0,1.5,1202371500.0,0.130646,0.1367191,151716333.3333333,195240714.2857143,195240714.2857143,1204632666.6666667,2.0,639065000.0,1.0,639065000.0,1.3750148,None
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,Israel,0.2810891, ,512535790.9700267,4.0,14430541.19224,234754838.6528533,2.0,138247944.236,1.0,17404376.1364,1.0,526881959.7008,1.0,17404376.1364,526881959.7008,138247944.236,512535790.9700267,4.0,14430541.19224,138247944.236,1.0,17404376.1364,1.0,17404376.1364,138247944.236,0.3268529,0.3268529,4.6927024,4.6927024,4.6927024,1.0546984,4.6927024,2.9844306,2.9558341,49811427.2812208,50766000.0,54496000.0,50766000.0,0.12589,16.1691083,140.0,0.9675755,10.0,5.7551913,0.09293,0.717,0,4.051,6126,0.0006613,0.4640693,100000000,56177000,0.56177,181,145809889,145809889,310370.1657459,-0.762,-0.051,0.3111844,0.1449376,0.3111844,0.1449376,-0.4937039,0.2006296,-0.0020156,0.2497984,-9.5050949,10520.6734521,5931859.0880133,0.5,30658029.9258,1.5,24.580808,4.7560098,4.7560098,0.1525437,2.0,0.0935795,1.0,0.0935795,0.3069077,ILS,ILS,0.3098132,0.3098132,0,0,0,0,6126,6100,6136,6126,0.0,0.4262295,-0.1629726,1.4444444,9.0824927,29.0546911,2.0,12.066447,1.0,1.9578256,2.0,1.4964895,1.0,1.3621106,1.0,0.3405277,1.0,28.8579107,2.0,12.8732381,1.0,12.076447,1.5064895,0.3505277,12.8832381,12.4798426,353520489.6200534,2.0,199411121.6005067,1.0,199411121.6005067,328348580.20432,2.0,182456408.3425867,1.0,182456408.3425867,0.1872789,0.1953892,485277000.0,530933266.6666667,530933266.6666667,12585954.7078667,1.0,16954713.25792,1.0,16954713.25792,3.6839715,None
