Symbol,Name,Sector,Value,Close,MA,Grade
TLV:MLTM,MALAM TEAM,Technology,0.05559,10600.0, ,0.3664
TLV:MTRX,MATRIX,Technology,0.06145,8836.0, ,0.3388
TLV:ZUR,ZUR,Financial Services,0.07621,1233.0, ,0.3119
TLV:MMAN,MAMAN,Industrials,0.19499,998.3, ,0.2399
TLV:CRSO,CARASSO,Consumer Cyclical,0.42404,2150.0, ,0.1765
TLV:HLAN,HILAN,Technology,0.56723,19670.0, ,0.136
TLV:ONE,ONE TECHNOLOGI,Technology,0.00284,5789.0, ,0.1347
TLV:MAXO,MAX STOCK,Consumer Cyclical,0.00831,939.7, ,0.1237
TLV:CPTP,CAPITAL POINT,Financial Services,0.01363,84.1, ,0.1155
TLV:ALMA,ALMOGIM,Real Estate,0.04496,783.1, ,0.1057
TLV:STRS,STRAUSS GROUP,Consumer Defensive,0.05625,10110.0, ,0.1038
TLV:KAFR,KAFRIT,Basic Materials,0.04779,2544.0, ,0.1018
TLV:NTO,NETO,Consumer Defensive,0.62555,21670.0, ,0.0995
TLV:DANE,DANEL,Healthcare,0.06649,69010.0, ,0.0957
TLV:CMDR,COMPUTER DIRECT,Technology,0.11376,30700.0, ,0.0923
TLV:NVMI,NOVA,Technology,-0.06837,34770.0, ,0.0886
TLV:FOX,FOX,Consumer Cyclical,0.0831,55630.0, ,0.0881
TLV:SPNS,SAPIENS,Technology,-0.00672,8610.0, ,0.0874
TLV:ENRG,ENERGIX,Technology,-0.0064,1368.0, ,0.0862
TLV:JBNK,JERUSALEM,Financial Services,0.08165,1317.0, ,0.085
TLV:NICE,NICE,Technology,-0.00506,73710.0, ,0.085
TLV:SRAC,S.R ACCORD,Financial Services,0.00025,5471.0, ,0.0838
TLV:AUDC,AUDIOCODES,Technology,0.01041,9010.0, ,0.0809
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,0.1364,23160.0, ,0.0804
TLV:HNMR,HANAN MOR,Real Estate,0.01149,4779.0, ,0.0791
TLV:GNGR,GINEGAR,Consumer Cyclical,0.13265,2171.0, ,0.0778
TLV:CAMT,CAMTEK,Technology,0.01235,10530.0, ,0.0778
TLV:MGIC,MAGIC,Technology,0.01436,6150.0, ,0.0753
TLV:ECP,ELECTRA CO PR,Consumer Cyclical,0.15573,19140.0, ,0.0747
TLV:MTRN,MAYTRONICS,Technology,0.0145,6874.0, ,0.0741
TLV:BRMG,BRIMAG,Consumer Cyclical,0.13728,3835.0, ,0.0738
TLV:PRSK,PRASHKOVSKY,Real Estate,0.25284,13950.0, ,0.0723
TLV:AZRM,AZORIM,Consumer Cyclical,0.03714,1610.0, ,0.0707
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,0.14269,6126.0, ,0.0706
TLV:BLSR,BLUE SQ REAL ES,Real Estate,0.04393,25610.0, ,0.0693
TLV:SPRG,SPRING,Financial Services,0.14864,2392.0, ,0.0669
TLV:BCOM,B COMMUNICATION,Communication Services,0.28418,1331.0, ,0.0666
TLV:GNRS,GENERATION CAP,Energy,0.05972,106.7, ,0.0649
TLV:BEZQ,BEZEQ,Communication Services,0.28506,524.6, ,0.0621
