Symbol,Name
TLV:AFHL,AFCON HOLD
TLV:AFRE,AFRICA RESIDENC
TLV:ALGS,ALON GAS
TLV:ALRPR,ALROV PROPERT
TLV:AMAN,AMANET
TLV:ARIN,ARI RAEL ESTATE
TLV:ASGR,ASPEN GROUP
TLV:ASHG,ASHTROM GROUP
TLV:ASHO,ASHOT
TLV:ATRY,ATREYU CAP
TLV:AVER,AVERBUCH
TLV:AVIA,AVIATION LINKS
TLV:BCOM,B COMMUNICATION
TLV:BIG,BIG
TLV:BRAN,BARAN
TLV:BRKT,BAREKET
TLV:BULL,BULL TRADING
TLV:CAST,CASTRO
TLV:CDEV,COHEN DEV
TLV:CEL,CELLCOM
TLV:CHAM,CHAM
TLV:CMDR,COMPUTER DIRECT
TLV:CPTP,CAPITAL POINT
TLV:CRSO,CARASSO
TLV:DELT,DELTA
TLV:DISI,DISCOUNT INV
TLV:DLEA,DELEK AUTOMOTIV
TLV:DLEKG,DELEK GROUP
TLV:DNA,D.N.A BIOMED
TLV:DRAL,DOR ALON
TLV:DRSL,DORSEL
TLV:ELLO,ELLOMAY
TLV:ELMR,ELMOR
TLV:ENOG,ENERGEAN
TLV:ETGA,ETGA GROUP
TLV:EXPO,EXPORT INV
TLV:FBRT,FMS
TLV:FIBI,FIBI BANK
TLV:FIBIH,FIBI HOLDINGS
TLV:FORTY,FORMULA
TLV:FTAL,FATTAL HOLD
TLV:GAGR,GAON GROUP
TLV:GIX,GIX
TLV:GLPL,GOLAN PLASTIC
TLV:GNRS,GENERATION CAP
TLV:GPGB,G.P GLOBAL
TLV:HAMAT,HAMAT
TLV:HARL,HAREL
TLV:HIPR,HIPER GLOBAL
TLV:HNMR,HANAN MOR
TLV:HOD,HOD
TLV:IBI,IBI INV HOUSE
TLV:ICL,ICL
TLV:ILCO,ISRAEL CORP
TLV:INFN,INFINYA
TLV:ISHI,ISRAEL SHIPYARD
TLV:ISI,IMAGESAT  I.S.I
TLV:ISRO,ISROTEL
TLV:ISRS,ISRAS
TLV:JBNK,JERUSALEM
TLV:LAHAV,LAHAV
TLV:LAPD,LAPIDOTH   CAP.
TLV:LEVI,LEVINSTEIN ENG
TLV:LODZ,LODZIA
TLV:LUDN,LUDAN
TLV:LUZN,LUZON GROUP
TLV:MDPR,MEDIPOWER 0.1$
TLV:MDTR,MEDITR TOWER
TLV:MGDL,MIGDAL INSUR.
TLV:MMAN,MAMAN
TLV:MMHD,MENORA MIV HLD
TLV:MNIF,MNIF
TLV:MNIN,MENDELSON    IF
TLV:MZTF,MIZRAHI TEFAHOT
TLV:NFTA,NAPHTHA
TLV:NSTR,NORSTAR
TLV:NTGR,NETANEL GROUP
TLV:NTML,NETO MALINDA
TLV:NTO,NETO
TLV:NWMD,NEWMED ENERG PU
TLV:OPAL,OPAL BALANCE
TLV:ORBI,ORBIT
TLV:ORL,BAZAN
TLV:OVRS,OVERSEAS
TLV:PHOE,PHOENIX
TLV:PRSK,PRASHKOVSKY
TLV:PTNR,PARTNER
TLV:PTX,PETROTX     PU
TLV:QLTU,QUALITAU
TLV:RANI,RANI ZIM
TLV:RTSN,ROTEM SHANI
TLV:SCOP,SCOPE
TLV:SFRN,SUFRIN
TLV:SHGR,SHAGRIR
TLV:SKLN,SKYLINE
TLV:SMNIN,SHEMEN INDUSTRY
TLV:SNCM,SUNY COMMUN
TLV:SNEL,SYNEL
TLV:SRAC,S.R ACCORD
TLV:SRFT,SARFATI
TLV:TDRN,TADIRAN GROUP
TLV:TGI,TGI
TLV:TMRP,TAMAR PET
TLV:TOEN,TOMER ENERGY
TLV:TSEM,TOWER
TLV:YBOX,YBOX
