Symbol,Name,Sector,Value,Close,MA,Grade
TLV:ISRS,ISRAS,Real Estate,404.47447/-1.30896,80320.0,r+,175.2464
TLV:CPTP,CAPITAL POINT,Financial Services,0.50387/-1.93971,90.2,r+,159.6813
TLV:PLRM,PALRAM,Industrials,0.18759/-1.65724,4477.0, ,137.7228
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,379.67949/-1.60261,5945.0, ,137.233
TLV:DRAL,DOR ALON,Energy,12.21733/-0.65766,12500.0,r+,127.9452
TLV:ELDAV,ELDAV,Financial Services,0.55922/-1.14299,265.6, ,119.7101
TLV:HOD,HOD,Basic Materials,0.04676/-0.95331,5388.0,r+,110.1016
TLV:FRDN,FRIDENSON,Industrials,0.001/-1.75381,8240.0, ,109.6879
TLV:HNMR,HANAN MOR,Real Estate,120.95122/-1.8208,6000.0,r+,109.104
TLV:KAFR,KAFRIT,Basic Materials,9.27917/-1.46977,2640.0, ,108.8378
TLV:NFTA,NAPHTHA,Energy,239.17006/-0.88959,2669.0,r+,105.9905
TLV:HRON,HIRON,Real Estate,646.06096/-1.17844,206830.0, ,103.7781
TLV:MSHR,MISHORIM,Real Estate,2.08822/-1.04362,1293.0, ,100.8414
TLV:AFPR,AFI PROPERTIES,Real Estate,998.55352/-1.39862,20000.0, ,92.1082
TLV:RLCO,RALCO,Consumer Cyclical,2.5189/-2.03834,6174.0, ,90.2592
TLV:CRSO,CARASSO,Consumer Cyclical,653.06964/-0.73727,2328.0,r+,88.6253
TLV:SPRG,SPRING,Financial Services,8.65872/-2.42133,2502.0, ,80.81
TLV:EMCO,E&M,Technology,2.75409/-1.38693,1163.0, ,78.6284
TLV:GLPL,GOLAN PLASTIC,Industrials,11.59205/-1.45267,1121.0,r+,76.7925
TLV:KRUR,KERUR,Consumer Defensive,18.28667/-1.59641,8411.0, ,71.3465
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,50.68559/-1.55992,19090.0, ,65.2323
TLV:BRMG,BRIMAG,Consumer Cyclical,943.78319/-1.5718,3861.0, ,63.761
TLV:KRDI,KARDEN ISRAEL,Real Estate,0.8408/-1.637,350.2, ,63.1234
TLV:IDIN,IDI INSUR,Financial Services,245.28051/-2.22394,11101.142, ,59.0785
TLV:LAPD,LAPIDOTH CAP.,Energy,25.26671/-0.91858,6590.0,r+,56.7155
