Symbol,Name,Sector,Country,sss_value,sss_value_normalized,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
TLV:RMN,RAM ON,Basic Materials,Israel,24534266.7799344,-2.1277558756506405, ,3758901.59296,4.0,18659987.07336,39822872.3726667,1.0,1139492.9496,1.0,23565011.6184,1.0,154741159.7512,1.0,23565011.6184,154741159.7512,1139492.9496,3758901.59296,4.0,18659987.07336,1139492.9496,1.0,23565011.6184,1.0,23565011.6184,1139492.9496,25.9341532,25.9341532,0.04853235845821366,3.841318,3.841318,3.841318,24.826601,0.048338334471014224,3.841318,0.0037980336765421974,-6359.0175487,15.7256994,0.000157256994,-15000.0003898,-15000.0,413066.6666667,-15000.0,20.6218,964.84218,36.9075,6.7889936,0.6875,330.7519912,1.0,0.21949,0.19257,0.214770864236084,0.0,4.613,1746.0,0.002642,1.8249228,0.00018249228,16632800,75847000,4.5600861,308,95385268,9131223881,246256.4935065,-0.919,0.325,5.8813939,0.006388,5.8813939,0.006388,0.7810985,9.0879776,0.06188704280055576,0.245347,5.2032515,0.015732772441277364,4.9178409,4.9178409,1.997319902343603e-05,6084380.1263733,1.0,-1291301.4176,0.5,15.6770725,7386754.7024952,7386754.7024952,0.208658514158715,0.3526728,1.0,0.1846181,1.0,0.1846181,0.430672,0.0009317305546280768,ILS,ILS,0.3098132,0.3098132,39.7278,31.3007,361.163,30.0968,1746.0,1283.0,2130.0,1716.04,1.74588,36.0872954,-18.028169,1.0932704,1.7075187,0.0266799796875,9.2270556,2.0,3.977618,0.5,0.0,1.0,0.0,1.0,3.0506921,0.1666667,5.005603,0.5,1.7002319,1.0,1.7088442,1.0,3.987618,0.01,5.015603,1.7188442,2.8532311,0.000784993118761002,149079261.55856,2.0,41263799.7963911,0.6666667,41263799.7963911,55949537.56384,1.0,51613061.5492267,1.0,51613061.5492267,0.671082,0.8095691688103754,0.5565707,0.12337490011005904,21519533.3333333,18085600.0,18085600.0,17834665.3627733,1.0,9545489.2714933,1.0,9545489.2714933,24.0782679,0.2389348076131642,None
TLV:SPRG,SPRING,Financial Services,Israel,25.5882427,-2.033572529254173, ,4315635.91336,1.0,1399281.6449067,317067.9924333,0.25,27220187.752,1.0,18834783.6808,1.0,44842982.1944,1.0,18834783.6808,44842982.1944,27220187.752,4315635.91336,1.0,1399281.6449067,27220187.752,1.0,18834783.6808,1.0,18834783.6808,27220187.752,0.6769418,0.6769418,0.00126680758918893,2.6876212,2.6876212,2.6876212,0.5762888,0.0011220561673464453,2.6876212,0.0026573368378740715,0.7320886,0.7311522,7.311522e-06,81464610.0296234,81673000.0,9508200.0,81673000.0,0.69194,0.0296302,0.1,1.8463926,2.75,0.8569876,0.0025910277875902323,0.01,0.77936,0.8692102651037775,0.0,7.222,1922.0,0.0037575,1.2598988,0.00012598988,8419880,60794000,7.2202929,5,59486751,5063273023,12158800.0,14.774,8.832,1.2863332,1.1409514,1.2863332,1.1409514,11.4020833,34.016971,0.23164776949079008,6.9092379,26.5354291,0.08023365152769367,0.2357132,0.2357132,9.573198384785043e-07,-2121559.4851733,0.5,-2645185.1016,0.5,3566.4402988,2248869.1496838,2248869.1496838,0.0635252846763527,0.0831781,1.0,0.1833385,1.0,0.1833385,0.4291805,0.0009285037924465843,ILS,ILS,0.3098132,0.3098132,0.0,0.0,0.0,0.0,1922.0,24.89,2995.0,2294.7595,-16.2439463,7621.9766975,-35.8263773,1.2774678,4.3461013,0.0679078328125,16.5607022,1.0,6.8347758,1.0,5.1624876,2.0,3.4666667,1.0,3.4611032,0.3333333,8.2125533,1.0,12.0292093,0.5,11.2312893,1.0,6.8447758,3.4766667,8.2225533,11.2412893,9.0430326,0.0024879577275501493,23434187.8311467,1.0,43728831.96456,1.0,43728831.96456,21596665.0877333,1.0,36727549.34568,1.0,36727549.34568,0.5307177,0.6402387297855615,0.6128244,0.1358446449570681,36352800.0,32053800.0,32053800.0,1837522.7434133,1.0,7001282.61888,1.0,7001282.61888,21.0475847,0.20886056347168888,None
TLV:TRLT,TERA LIGHT,Utilities,Israel,13887074679.031391,-1.9553986185335306, ,1959428.5714286,0.0,-2394428.5714286,-59968000.0,0.125,10710000.0,0.0,876750.0,0.0,-101016000.0,0.25,876750.0,-101016000.0,10710000.0,1959428.5714286,1.0,-2394428.5714286,10710000.0,1.0,876750.0,0.25,876750.0,10710000.0,7.0392657,7.0392657,0.013173060388762115,114.38182,114.38182,114.38182,13.2353107,0.025769652295309912,114.38182,0.11309295516387549,9.1627254,9.1627599,9.162759899999999e-05,8228062.0118343,8228000.0,843857.1428571,8228000.0,0.32745,-0.7060367,0.0,0.4093226,1.0,0.0112453,3.3999190629815926e-05,0.07934,0.69193,0.7717007015156754,0.0,0.055,626.4,8.78e-05,1.5910469,0.00015910469,72728400,3507000,0.0482205,8,75392040,14175017833,438375.0,-0.037852,1456.2,-0.037852,0.0,-0.037852,0.0,-0.037852,0.2462148,0.0016766663097552393,1092.15,330.7269281,1.0,-3021.8171617,33.0926706,0.0001344017648295231,-1590857.1428571,0.5,-7710000.0,0.5,2110.1128498,977847.4825387,977847.4825387,0.02762190041473057,6.1402724,2.0,0.0802488,1.0,0.0802488,0.2842822,0.0006150258476912589,USD,ILS,1.0,0.3098132,0.0,0.0,0.0,0.0,626.4,618.7,1060.0,766.9892,-18.3300104,1.244545,-40.9056604,0.0348969,0.0358969,0.0005608890625,420.1023678,12.0,19.5769573,1.0,0.0,1.0,0.0,1.0,266.75,1.0,53.872,1.0,37.4052962,0.3333333,31.9582482,1.0,19.5869573,0.01,53.882,31.9682482,25.7776028,0.007092044109625168,132619333.3333333,2.0,234667600.0,1.0,234667600.0,103882666.6666667,2.0,215276800.0,1.0,215276800.0,0.1037361,0.12514349699832508,0.1040727,0.023069771669051466,39999333.3333333,150275000.0,150275000.0,7184166.6666667,0.5,19390800.0,1.0,19390800.0,20.9508415,0.20790055596716722,None
TLV:VTNA,VITANIA,Real Estate,Israel,23.2232068,-1.9389709284342749, ,97263066.6666667,0.0,105028466.6666667,902145733.3333334,2.0,113629000.0,0.0,139558000.0,0.0,1998754000.0,1.0,139558000.0,1998754000.0,113629000.0,97263066.6666667,1.0,105028466.6666667,113629000.0,1.0,139558000.0,1.0,139558000.0,113629000.0,7.0033274,7.0033274,0.013105806584694249,10.112241,10.112241,10.112241,3.7002335,0.007204495071389419,10.112241,0.00999829534115914,11.5219529,11.522584,0.00011522584,69057565.5283678,69050000.0,50734200.0,69050000.0,1.22819,1.1323526,0.0,0.7998371,1.0,1.0544599,0.003188068184183315,0.21924,0.61035,0.6807155682946142,0.0,2.851,2870.0,0.0009934,1.5414641,0.00015414641,47073200,139558000,2.9647018,10000000,795765187,42045381053,13.9558,286.517,0.762,0.0858855,-0.0263632,0.0858855,-0.0263632,214.9092214,146.8478245,1.0,0.5649092,7.7660442,0.023481741401026244,0.0470535,0.0470535,1.911019366749435e-07,20560933.3333333,0.5,135721000.0,1.0,38.7027755,5.8632429,5.8632429,1.6562287512435918e-07,2.7883173,2.0,1.6159126,1.0,1.6159126,1.2721855,0.0027522896810212812,USD,ILS,1.0,0.3098132,31.8652,31.8652,63.7305,63.7305,2870.0,2082.0,3500.0,2790.65,2.8434236,37.8482229,-18.0,1.1114245,1.8848635,0.0294509921875,0.5775307,0.3333333,1.6290221,1.0,0.5419911,0.5,0.3140907,0.5,6.2089335,0.3333333,35.5432812,2.0,0.123952,0.5,0.3501446,1.0,1.6390221,0.3240907,35.5532812,0.3601446,0.9995834,0.00027500965155879807,4005151333.3333335,2.0,2309995266.6666665,1.0,2309995266.6666665,1655982400.0,2.0,877975000.0,1.0,877975000.0,0.1604148,0.19351864049532339,0.2589544,0.05740236277809858,-432235400.0,-406918533.3333333,-406918533.3333333,2325095733.333333,2.0,1418930600.0,1.0,1418930600.0,4.3505022,0.04317114547004636,None
TLV:CDEV,COHEN DEV,Energy,Israel,3957264.9771162,-1.8759510559452872, ,11127800.0,1.0,6299600.0,5756300.0,0.5,48240000.0,3.0,15574000.0,1.0,42574000.0,1.0,15574000.0,42574000.0,48240000.0,11127800.0,1.0,6299600.0,48240000.0,3.0,15574000.0,1.0,15574000.0,48240000.0,9.7615943,9.7615943,0.018267540491403254,36.349072,36.349072,36.349072,10.677246,0.020789003229934648,36.349072,0.03593948732363659,10.8499681,11.8130416,0.000118130416,12286096.756232,10105000.0,10349400.0,10105000.0,0.9685299,2.2140923,4.75,6.0735424,6.868125,3.0863882,0.009331427420292427,0.45782,0.23884,0.2663752049340307,0.0,2.372,8659.0,0.0002739,28.194897,0.0028194897,6427430,15574000,2.4230524,10000000,156968587,17169011990,1.5574,0.072,0.177,-0.2415517,0.3384045,-0.2415517,0.3384045,-0.0063879,0.2493612,0.0016980925720149161,0.2173511,4.9120931,0.01485241352501771,-5690.2757018,17.5738409,7.137396858485198e-05,8039400.0,1.0,11962000.0,1.0,19.5249133,13.1222695,13.1222695,3.70673369637592e-07,0.0875734,0.5,0.1950031,1.0,0.1950031,0.4425916,0.0009575178254953373,USD,ILS,1.0,0.3098132,91.177,83.579,106.373,75.981,8659.0,6087.0,10000.0,7594.955,14.0098921,42.2539839,-13.41,1.3145924,5.1611523,0.0806430046875,3.5840484,0.5,6.1380365,1.0,0.7747924,0.5,0.525,1.0,2.0462828,1.0,0.5115707,1.0,3.7034161,1.0,2.5302247,1.0,6.1480365,0.535,0.5215707,2.5402247,4.3441306,0.0011951757528505498,10329366.6666667,0.5,21591733.3333333,1.0,21591733.3333333,8865600.0,0.5,18081533.3333333,1.0,18081533.3333333,0.8212946,0.990780242459863,0.9613208,0.21309576244980566,3738666.6666667,5453866.6666667,5453866.6666667,2927533.3333333,1.0,3510200.0,1.0,3510200.0,54.2391202,0.5382286551473368,None
TLV:LVPR,LEVINSTEIN PROP,Real Estate,Israel,1703.8509061,-1.7003561556226638, ,66747666.6666667,0.0,141179066.6666667,1267522133.3333333,2.0,198078000.0,0.0,447000000.0,0.0,3520153500.0,1.5,447000000.0,3520153500.0,198078000.0,66747666.6666667,1.0,141179066.6666667,198078000.0,3.0,447000000.0,2.0,447000000.0,198078000.0,9.6887882,9.6887882,0.018131293446207862,33.698452,33.698452,33.698452,7.0686001,0.013762832692064637,33.698452,0.03331873475284805,13.5301621,13.5301637,0.000135301637,47280011.7237589,47280000.0,48664066.6666667,47280000.0,3.3850298,2.6866555,0.0,98.5146914,16.0,34.8631256,0.10540564086557189,0.23813,0.69824,0.7787381640141418,0.0,3.104,10330.0,0.0003005,1.636011,0.00016360110000000001,14401800,223500000,15.5188935,10000000,639706379,46671138909,22.35,49.469,-0.058,4.6798246,-0.010505,4.6798246,-0.010505,38.2717061,62.1141303,0.4229829792269071,-0.0461263,0.2453874,0.0007419637747967218,0.8805056,0.8805056,3.576063957264245e-06,29869800.0,1.0,28758000.0,1.0,21.4164936,22.2444669,22.2444669,6.283540740886993e-07,0.669975,1.0,0.671373,1.0,0.671373,0.8203736,0.0017748243427253968,USD,ILS,1.0,0.3098132,100.0,75.0,100.0,50.0,10330.0,6960.0,14890.0,10149.28,1.7806189,48.4195402,-30.6245803,0.8499369,0.8509369,0.0132958890625,2.4955312,1.0,2.4923935,1.0,0.0119457,1.0,0.0029864,1.0,0.0151657,0.5,0.0077209,0.25,0.434568,1.0,1.2661317,4.0,2.5023935,0.0129864,0.0177209,1.2761317,1.8892626,0.0005197819905063138,3368896000.0,2.0,2553359700.0,1.5,2553359700.0,2020990133.3333333,2.0,1530159700.0,1.5,1530159700.0,0.2750635,0.3318267053282203,0.3921264,0.08692256964032971,-68456666.6666667,-79138066.6666667,-79138066.6666667,1347905866.6666667,2.0,1023200000.0,1.5,1023200000.0,5.4221149,0.0538050322335674,None
TLV:HGGE,HAGAG EURO,Real Estate,Israel,2.1608909561894477e+17,-1.6773299760244007, ,231466.6666667,0.0,6679866.6666667,1717750.0,0.25,71094000.0,0.0,-20796000.0,0.0,28610000.0,0.6666667,-20796000.0,28610000.0,71094000.0,231466.6666667,1.0,6679866.6666667,71094000.0,3.0,-20796000.0,0.25,-20796000.0,71094000.0,10.7706559,10.7706559,0.02015586662644045,131.7329012,131.7329012,131.7329012,6.6615275,0.012970246888926085,131.7329012,0.13024852278988774,245.4231736,245.4231772,0.002454231772,1040000.0302967,1040000.0,-2807866.6666667,1040000.0,-0.21939,61.1021424,0.0,-1.702338,4.0,19.7278048,0.05964530924946401,0.10074,0.8094,0.9027134938603437,0.0,-0.146,1242.0,-0.0001176,9.4932697,0.00094932697,42497800,-5199000,-0.1223357,11,255240115,15786489035,-472636.3636364,1.2999949,705.667,1.2999949,0.9783065,1.2999949,0.9783065,1.2999949,11.6517318,0.07934562081306148,529.4948266,230.3575459,0.6965188689756405,101.3333994,101.3333994,0.000411552995530525,-22998533.3333333,0.5,1486000.0,0.5,9010.5480865,171.7632001,171.7632001,4.8519079844231965e-06,6.2970747,1.0,2.9833943,1.0,2.9833943,1.7282505,0.0037389563215190474,USD,ILS,1.0,0.3098132,0.0,0.0,0.0,0.0,1242.0,1071.0,2299.0,1532.9491,-18.9796974,15.9663866,-45.9765115,0.2785016,0.2795016,0.0043672125,1.4814916,1.0,1.7219769,1.0,1.8814233,0.5,0.3160125,1.0,2.4628322,0.3333333,17.0597049,2.0,1.0788438,1.0,1.7406373,1.0,1.7319769,0.3260125,17.0697049,1.7506373,1.7413071,0.0004790758418235649,182159733.3333333,2.0,120137333.3333333,1.0,120137333.3333333,26309333.3333333,2.0,32426466.6666667,1.0,32426466.6666667,1e-06,1.206364004414327e-06,1e-06,2.2166977189072123e-07,1614733.3333333,17076400.0,17076400.0,126321066.6666667,2.0,72479066.6666667,1.0,72479066.6666667,11.4808035,0.11392694802257941,None
TLV:BCOM,B COMMUNICATION,Communication Services,Israel,355977.8563335,-1.6427747768357694, ,686800540.6142857,0.25,-94891357.2571429,-1728509805.44,0.25,2715822511.2000003,1.0,73115915.2,1.0,-4891743885.866667,0.375,73115915.2,-4891743885.866667,2715822511.2000003,691559861.4866668,0.25,-87016200.7733333,2715822511.2000003,1.0,73115915.2,1.0,73115915.2,2715822511.2000003,0.4569745,0.4569745,0.0008551677037314238,6.595122,1.2863939,5.931531,0.0548642,0.00010682267983783277,5.931531,0.005864693964793858,1.1751215,1.1404075,1.1404075e-05,3622950699.709992,3837000000.0,3952066666.6666665,3837000000.0,0.02692,-0.031151,0.31875,0.0550994,2.75,0.0179562,5.4289015569802556e-05,0.00056,0.72529,0.8089066839164426,10.51,2.05,1370.0,0.0014964,23.472224,0.0023472224,114819000,236000000,2.0554089,9848,4005873215,48093941030,23964.2567019,0.7499023,-0.017,0.7499023,-0.0293991,0.4999163,-0.0320291,0.7499023,8.90969,0.06067294514124722,-0.0200998,0.24799,0.0007498331068010787,7.9097383,7.9097383,3.212441811389111e-05,986259340.88,1.0,975911580.0,1.0,4.0616834,4.1047502,4.1047502,1.1594957626457676e-07,-39.8315983,2.0,409.4894986,4.0,409.4894986,20.2368469,0.0437810876631415,ILS,ILS,0.3098132,0.3098132,1188.0,315.0,32.0,73.0,1370.0,588.2,1521.0,1080.69,26.7708594,132.9139748,-9.9276792,1.6762436,22.183126,0.34661134375,2.0440558,2.0,4.3110446,4.0,0.0063514,0.0833333,1.0287624,4.0,1.1831819,1.0,5.3226368,4.0,0.507784,0.5,2.2852703,2.0,4.3210446,1.0387624,5.3326368,2.2952703,3.3081574,0.0009101543841921138,5181481190.506667,1.0,5016350754.906667,1.0,5016350754.906667,-5018973.84,1.0,16575006.2,1.5,16575006.2,0.1145755,0.13821975898777372,4.511215,1.0,-59800000.0,485600000.0,485600000.0,2530182441.76,0.5,3103777484.977777,0.6666667,3103777484.977777,3.3125313,0.03287109488793771,None
TLV:CPTP,CAPITAL POINT,Financial Services,Israel,2.518285,-1.5720256758751954, ,11589905.2698667,1.0,1432059.8814667,4515238.2310133,1.0,16999450.284,1.0,10099290.6936,1.0,36337370.6016,1.0,10099290.6936,36337370.6016,16999450.284,11589905.2698667,1.0,1432059.8814667,16999450.284,1.0,10099290.6936,1.0,10099290.6936,16999450.284,0.2865772,0.2865772,0.0005362915568938332,3.011111,3.011111,3.011111,0.5794712,0.0011282524209383306,3.011111,0.002977181525144925,0.3745642,0.3734257,3.7342570000000003e-06,42259116.6253102,42516000.0,29734000.0,42516000.0,0.5941,0.0143892,0.1,1.5694447,2.75,0.726978,0.002197955021714167,0.10897,0.75088,0.8374468844450887,0.0,0.27,81.0,0.0033333,0.5519348,5.519348e-05,126234000,32598000,0.2582347,37,15732531,3179558641,881027.027027,11.648,0.14,0.6489507,0.7140446,0.6489507,0.7140446,8.8982377,30.079914,0.2048373144268133,0.2835111,5.5745765,0.016855526497420396,0.3383941,0.3383941,1.3743455400634279e-06,-3201403.0666667,0.5,-7570595.3552,0.5,20348.9383434,207811.016533,207811.016533,0.005870174343401532,0.1575948,1.0,0.1610201,1.0,0.1610201,0.4022731,0.0008702914017511142,ILS,ILS,0.3098132,0.3098132,10.0,10.0,0.0,0.0,81.0,68.9,121.4,84.0705,-3.6522918,17.5616836,-33.2784185,0.4609524,0.4619524,0.00721800625,7.3752733,1.0,7.2153195,1.0,1.7016308,1.0,0.4650659,1.0,7.6001255,1.0,4.3265831,1.0,3.2983629,1.0,3.1365396,1.0,7.2253195,0.4750659,4.3365831,3.1465396,5.1859296,0.0014267750868056203,54916888.8598133,1.0,62494837.11496,1.0,62494837.11496,47456587.0038133,1.0,53818394.52368,1.0,53818394.52368,0.261602,0.3155872362827968,0.287655,0.06376441823322541,47728133.3333333,50268600.0,50268600.0,7460301.856,1.0,8676442.59128,1.0,8676442.59128,14.9719075,0.14857006546200072,None
TLV:RLCO,RALCO,Consumer Cyclical,Israel,0.3854446,-1.4885917409021239,r+,69832122.4763467,1.0,6322068.8134133,29968189.5275733,2.0,86348656.5984,1.0,11049487.778,1.0,68336736.7768,1.0,11049487.778,68336736.7768,86348656.5984,69832122.4763467,1.0,6322068.8134133,86348656.5984,1.0,11049487.778,1.0,11049487.778,86348656.5984,0.2497094,0.2497094,0.0004672983157663099,7.587598,7.587598,7.587598,0.2987472,0.0005816721377154682,7.587598,0.007502100249983007,1.2126089,1.2055195,1.2055195e-05,58057156.8727644,58736000.0,36654266.6666667,58736000.0,0.12796,7.4517967,75.703125,0.3396331,2.75,2.6407966,0.007984219808984176,0.12477,0.69876,0.779318113380101,0.0,8.676,6483.0,0.0013383,3.4724127,0.00034724127,4082590,35665000,8.735876,47,69577451,8326443198,758829.787234,1.472,0.369,0.439933,0.0914062,0.439933,0.0914062,1.2139833,11.2680908,0.07673311360496185,0.2996015,5.723587,0.01730608098010511,6.2501669,6.2501669,2.5384275327693542e-05,12763642.9051733,1.0,15354342.192,1.0,5.4512221,4.5314512,4.5314512,1.280028798107149e-07,1.6482472,2.0,0.8952896,1.0,0.8952896,0.9471974,0.0020491992951579678,ILS,ILS,0.3098132,0.3098132,538.874,221.099,293.937,220.094,6483.0,3779.0,7998.0,5257.67,23.3055707,71.553321,-18.9422356,1.2818203,4.435708,0.0693079375,2.3001258,1.0,2.1403436,1.0,16.0195001,0.5,0.047191,1.0,24.1662471,2.0,12.5436486,1.0,2.1663978,1.0,2.0470451,1.0,2.1503436,0.057191,12.5536486,2.0570451,2.1036944,0.000578777382587781,40673598.7656533,1.0,46017484.0356,1.0,46017484.0356,45430222.7878933,2.0,24318911.05928,1.0,24318911.05928,0.340115,0.41030249336137886,0.5543578,0.12288436707184207,62437400.0,68608400.0,68608400.0,17958487.3717067,1.0,21698572.97632,1.0,21698572.97632,15.4966875,0.15377759155399323,None
