Symbol,Name,Sector,Value,Close,MA,Grade
TLV:BLSR,BLUE SQ REAL ES,Real Estate,194.79609,24650.0, ,49.5266
TLV:PLRM,PALRAM,Industrials,1.61619,4525.0, ,35.1674
TLV:FRDN,FRIDENSON,Industrials,0.51823,7799.0, ,33.3979
TLV:SANO1,SANO,Consumer Defensive,21.9297,30300.0, ,33.3527
TLV:SPRG,SPRING,Financial Services,690.03619,2088.0, ,31.9717
TLV:GLPL,GOLAN PLASTIC,Industrials,11.64965,989.8, ,31.1129
TLV:ISRS,ISRAS,Real Estate,765.26297,69950.0, ,29.9578
TLV:EMCO,E&M,Technology,78.84093,1019.0, ,29.4713
TLV:BRMG,BRIMAG,Consumer Cyclical,1118.65322,3365.0, ,28.5689
TLV:LAHAV,LAHAV,Real Estate,802.95851,529.7, ,27.9461
TLV:CRSO,CARASSO,Consumer Cyclical,15.76629,1722.0, ,27.6117
TLV:SALG,SHALAG,Consumer Cyclical,1264.12626,1141.0, ,25.7293
TLV:MMAN,MAMAN,Industrials,174.35227,1126.0, ,23.7764
TLV:ARAD,ARAD INVESTMENT,Industrials,2246.31816,39700.0, ,21.866
TLV:NFTA,NAPHTHA,Energy,9958.07701,2583.0, ,19.5167
TLV:KAFR,KAFRIT,Basic Materials,166.78839,2672.0, ,18.3499
TLV:CAST,CASTRO,Consumer Cyclical,12.25202,9447.0, ,18.2551
TLV:AZRM,AZORIM,Consumer Cyclical,2936.9351,1392.0, ,17.6056
TLV:RLCO,RALCO,Consumer Cyclical,16.79001,5582.0, ,16.9518
TLV:GOLF,GOLF,Consumer Cyclical,173.96665,755.5, ,16.9104
TLV:VISN,VISION SIGMA,Industrials,4441.89155,7312.0, ,16.4111
TLV:PTBL,PROPERT & BUIL,Real Estate,3592.65012,27210.0, ,16.2608
TLV:LAPD,LAPIDOTH CAP.,Energy,113.59372,5572.0, ,16.0761
TLV:BRIL,BRILL,Consumer Cyclical,0.37862,3492.0, ,15.7798
TLV:HRON,HIRON,Real Estate,4675.32443,218450.0,r+,15.7747
TLV:VILR,VILLAR,Real Estate,26020.99424,15780.0, ,15.2204
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,7309.58649,18310.0, ,14.6806
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,23985349.94002,5467.0, ,14.4178
TLV:NTO,NETO,Consumer Defensive,4099.56698,20300.0, ,14.4029
TLV:AFHL,AFCON HOLD,Technology,0.80235,14110.0, ,14.0909
TLV:ELDAV,ELDAV,Financial Services,35894.52717,256.9, ,13.0702
TLV:DRAL,DOR ALON,Energy,159.31908,12370.0, ,12.1386
TLV:MSHR,MISHORIM,Real Estate,75.85681,1079.0, ,11.5671
TLV:ARPT,AIRPORT CITY,Real Estate,2607.44576,6223.0, ,10.7272
TLV:KRDI,KARDEN ISRAEL,Real Estate,4.615,266.2, ,10.6086
TLV:HNMR,HANAN MOR,Real Estate,29.12083,4253.0, ,10.4475
TLV:MLTM,MALAM TEAM,Technology,2751304.61795,8073.0, ,9.9452
TLV:CPTP,CAPITAL POINT,Financial Services,143109564.44287,88.0, ,9.3955
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,1068.96691,4385.0, ,9.1739
TLV:AFPR,AFI PROPERTIES,Real Estate,7582.30059,19000.0, ,9.1361
TLV:EXPO,EXPORT INV,Financial Services,78097890292994.4,4278.0, ,8.5515
TLV:VTNA,VITANIA,Real Estate,335354.87498,2806.0, ,8.3833
TLV:NXTM,NEXTCOM,Communication Services,9.11505,789.0, ,8.1938
TLV:DLTI,DELTA BRANDS,Consumer Cyclical,163.38556,6239.0, ,7.7843
TLV:GVYM,GAV YAM,Real Estate,2523.40814,2991.0, ,7.7328
TLV:EQTL,EQUITAL,Industrials,73101.15931,12080.0, ,7.3056
TLV:HOD,HOD,Basic Materials,18.07236,5673.0, ,6.9333
TLV:WLFD,WILLY FOOD,Consumer Defensive,21051.15412,3569.0, ,6.8611
TLV:ELCRE,ELECTRA REAL E.,Real Estate,32.28266,5990.0, ,6.8486
TLV:LVPR,LEVINSTEIN PROP,Real Estate,62.27388,9233.0, ,6.6026
TLV:ASHG,ASHTROM GROUP,Real Estate,120635.95209,7831.0, ,6.4794
TLV:ALMA,ALMOGIM,Real Estate,1.52957,801.0, ,6.3939
TLV:DRSL,DORSEL,Real Estate,4089.82358,1410.0, ,6.3676
TLV:KEN,KENON,Utilities,20931.37896,18400.0, ,6.073
TLV:GOLD,GOLD,Industrials,242.88178,14570.0, ,6.0633
TLV:PTNR,PARTNER,Communication Services,2321.08001,2493.0, ,5.9068
TLV:MTRX,MATRIX,Technology,27445.95306,7968.0, ,5.5025
TLV:KRUR,KERUR,Consumer Defensive,2395.3664,8203.0, ,5.3969
TLV:SNEL,SYNEL,Real Estate,41040.51348,4637.0, ,5.348
TLV:MLSR,MELISRON,Real Estate,11323.8615,24000.0, ,5.3336
TLV:KARE,KARDAN REAL ES,Real Estate,26.4531,390.0, ,5.2738
TLV:MCMN,MICHMAN,Financial Services,120251473.83367,23710.0, ,5.1663
TLV:SPNTC,SPUNTECH,Consumer Cyclical,25070270.07348,557.2, ,5.0324
TLV:SARN,SARINE TECH,Technology,0.14188,91.3, ,4.9497
TLV:FORTY,FORMULA,Technology,870721.22554,31200.0, ,4.9167
TLV:BIG,BIG,Real Estate,211.13555,47660.0, ,4.7333
TLV:SPNS,SAPIENS,Technology,27131.86583,8582.0, ,4.7102
TLV:SHNP,SCHNAPP,Consumer Cyclical,4295.72424,2054.2456, ,4.7064
TLV:YBOX,YBOX,Real Estate,8682.85606,144.0, ,4.6784
TLV:BRAN,BARAN,Industrials,940.17948,1023.0, ,4.5247
TLV:MGOR,MEGA OR,Real Estate,968.29333,11170.0, ,4.4474
TLV:PRSK,PRASHKOVSKY,Real Estate,1677676271.75461,12060.0, ,4.4418
TLV:MTRN,MAYTRONICS,Technology,10784.37941,6113.0, ,4.3193
TLV:MGIC,MAGIC,Technology,1819724.65423,5811.0, ,4.2107
TLV:SRFT,SARFATI,Real Estate,0.18715,3021.05,r+,4.1256
TLV:SLARL,SELLA REAL EST,Real Estate,22857470.06912,1026.0, ,4.0266
TLV:HLAN,HILAN,Technology,56957.14838,19350.0, ,3.9438
TLV:ASGR,ASPEN GROUP,Real Estate,32863.17618,967.3, ,3.931
TLV:MRHL,MERCHAVIA HOLD,Healthcare,11241.17281,48.6, ,3.8901
TLV:HAMAT,HAMAT,Industrials,7408.6034,3246.0,r+,3.8589
TLV:SCOP,SCOPE,Industrials,1027.1081,15020.0, ,3.8017
TLV:SHAN,SHANIV,Basic Materials,4160.30402,511.2, ,3.6988
TLV:AUDC,AUDIOCODES,Technology,22027.29227,7673.0, ,3.6559
TLV:LUZN,LUZON GROUP,Industrials,20020.61515,223.8, ,3.6422
TLV:MISH,MIVTACH SHAMIR,Financial Services,1572907745.49661,9722.0, ,3.4758
TLV:ACCL,ACCEL,Technology,12236.55133,126.1, ,3.4726
TLV:YHNF,YOCHANANOF,Consumer Defensive,237.8845,19570.0, ,3.2977
TLV:ELCO,ELCO,Industrials,4782019.3529,22490.0, ,3.1151
TLV:CAMT,CAMTEK,Technology,1559.24946,9770.0, ,3.0606
TLV:KLIL,KLIL,Basic Materials,4655.5693,27500.0, ,3.0589
TLV:IDIN,IDI INSUR,Financial Services,216.87775,9814.0, ,3.038
TLV:HMAM,HAMAMA,Consumer Defensive,2344.52695,680.8,r+,2.9331
TLV:MGRT,MGURIT,Real Estate,2220212426806.1387,726.6, ,2.9296
TLV:TSEM,TOWER,Technology,3924831.2286,16040.0,r+,2.848
TLV:ELSPC,ELSPEC,Industrials,83510.70952,348.0, ,2.747
TLV:GNRS,GENERATION CAP,Energy,6990122974985616.0,119.3,r+,2.6615
TLV:ZUR,ZUR,Financial Services,53463551.59699,1113.0, ,2.5961
TLV:ALHE,ALONY HETZ,Real Estate,47489.23053,4802.0, ,2.5806
TLV:MDTR,MEDITR TOWER,Real Estate,71.35092,968.7, ,2.5352
TLV:JBNK,JERUSALEM,Financial Services,268029507757.00015,1132.7814, ,2.4909
TLV:TAYA,TAYA INV,Communication Services,6476.98678,6796.0,r+,2.3664
TLV:MVNE,MIVNE,Real Estate,94545.68653,1065.0, ,2.3298
TLV:MNRT,MENIVIM REIT,Real Estate,172036.73608,182.8, ,2.2663
TLV:DANE,DANEL,Healthcare,297.11302,44910.0, ,2.2606
TLV:ZNKL,ZANLAKOL,Consumer Defensive,2404.65509,1888.0, ,2.2245
TLV:SMT,SUMMIT,Real Estate,5118.89248,6636.0, ,2.1813
TLV:NSTR,NORSTAR,Real Estate,31714498.3816,3698.0, ,2.161
TLV:ESLT,ELBIT SYSTEMS,Technology,5666837918.98168,69640.0, ,2.1512
TLV:AMRK,AMIR MARK.,Basic Materials,1873.79115,4067.0, ,2.1279
TLV:NTGR,NETANEL GROUP,Real Estate,2022026.69495,1312.0, ,2.0888
TLV:ELMR,ELMOR,Industrials,58.53881,1122.0, ,1.9731
TLV:DELT,DELTA,Consumer Cyclical,7232.85031,19510.0, ,1.8449
TLV:PERI,PERION NETWORK,Technology,3487.03832,6716.0, ,1.8283
TLV:LODZ,LODZIA,Real Estate,483195.48644,3658.0,r+,1.7859
TLV:ICL,ICL,Basic Materials,843.25895,3630.0, ,1.7735
TLV:PEN,PENINSULA GROUP,Financial Services,586646256818918.4,245.6, ,1.7721
TLV:CMDR,COMPUTER DIRECT,Technology,69892.40736,28480.0, ,1.7712
TLV:AMOT,AMOT,Real Estate,1224.63429,2223.0, ,1.7207
TLV:PHOE,PHOENIX,Financial Services,20014838613.05582,3630.0, ,1.695
TLV:DIPL,DIPLOMAT HOLDI.,Consumer Defensive,1593359.53621,5421.0, ,1.6503
TLV:RIT1,REIT 1,Real Estate,87037111348.09682,1960.0, ,1.6308
TLV:GLRS,GLOBRANDS,Consumer Defensive,7678.28137,35320.0, ,1.6198
TLV:ZMH,ZMH,Real Estate,45571615550.83117,2990.0, ,1.5436
TLV:IBI,IBI INV HOUSE,Financial Services,714350.35417,9861.0, ,1.4944
TLV:FOX,FOX,Consumer Cyclical,145046.26266,43100.0, ,1.4215
