"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:SRFT,SARFATI,Real Estate,Israel,0.1133721,r+,371414266.6666667,0.0,77487533.3333333,188204800.0,1.0,560037000.0,0.0,137448000.0,0.0,965259000.0,1.5,137448000.0,965259000.0,560037000.0,371414266.6666667,1.0,77487533.3333333,560037000.0,1.0,137448000.0,1.0,137448000.0,560037000.0,0.3778069,0.3778069,14.093512,14.093512,14.093512,0.2700212,14.093512,1.0828109,1.0827921,195434186.9565217,195441000.0,118152866.6666667,195441000.0,0.24543,0.1957361,0.0,0.240786,1.0,0.2283174,0.07129,0.58543,0,2.096,2983,0.0007026,1.7848944,17398000,137448000,7.9002184,42,211610896,15122187757,3272571.4285714,64.274,4.593,18.5843477,1.3939242,18.5843477,1.3939242,52.8515869,72.9490969,3.7932311,19.726219,0.266662,0.266662,78619066.6666667,0.5,160144500.0,0.5,2.6915977,1.3213747,1.3213747,1.7897155,1.0,3.7204839,2.0,3.7204839,1.9298556,USD,ILS,1.0,0.2942421,5.822,25.1,81.555,52.0376,2983,2098,3390,2772.015,7.6112503,42.1830315,-12.0058997,1.369969,6.6109598,3.1645278,2.0,1.5665713,1.0,0.1166496,0.5,0.2611084,1.0,4.8385678,0.5,1.1066057,0.125,2.7954243,2.0,1.3956599,1.0,1.5765713,0.2711084,1.1166057,1.4056599,1.4911156,1798832533.3333333,2.0,946487266.6666666,1.0,946487266.6666666,330519066.6666667,1.0,508690800.0,1.5,508690800.0,0.2452191,0.3701995,202997400.0,212351933.3333333,212351933.3333333,568897200.0,1.0,607360066.6666666,1.0,607360066.6666666,4.2319059,None
TLV:BRIL,BRILL,Consumer Cyclical,Israel,0.3756842, ,151294403.40114,1.0,6742067.318,13610776.43584,1.0,161255557.7577,1.0,13812312.6582,1.0,81731186.75385,1.5,13812312.6582,81731186.75385,161255557.7577,151294403.40114,1.0,6742067.318,161255557.7577,1.0,13812312.6582,1.0,13812312.6582,161255557.7577,0.2504,0.2504,5.88176,5.88176,5.88176,0.1134257,5.88176,1.7607447,1.5653933,100141877.0053476,122363000.0,94072533.3333333,122363000.0,0.08565,0.0061551,0.1,0.2266415,2.75,0.1071489,0.05067,0.73773,0,5.954,3498,0.0017021,1.4288628,6032540,46942000,7.7814652,185,137198556,6216145535,253740.5405405,2.593,0.488,0.4634847,0.1010787,0.4634847,0.1010787,2.0606212,14.6048639,0.3912697,6.5051552,2.8543626,2.8543626,50579118.48616,2.0,32654694.0159,1.0,2.7125533,4.2014957,4.2014957,2.4005886,1.0,4.392205,2.0,4.392205,2.0967588,ILS,ILS,0.2942421,0.2942421,40.0,25.0,70.0,110.0,3498,2316,6500,3944.275,-11.3145001,51.0362694,-46.1846154,0.5650096,0.5660096,1.4641423,1.0,2.9322338,2.0,0.5169677,1.0,0.5026947,1.0,2.0344155,1.0,0.8794832,0.5,1.5826922,1.0,3.3359917,2.0,2.9422338,0.5126947,0.8894832,3.3459917,3.1441128,140939592.34706,1.0,95450777.1876267,0.6666667,95450777.1876267,42026795.3044,1.0,67586498.21949,1.5,67586498.21949,0.2447061,0.304365,90860533.3333333,100235333.3333333,100235333.3333333,97169530.297,1.0,65228582.6124267,0.6666667,65228582.6124267,8.0491766,None
TLV:FRDN,FRIDENSON,Industrials,Israel,0.5953059, ,414135466.6666667,0.0,34385066.6666667,83636000.0,1.0,1554762000.0,0.0,59864000.0,0.0,342149000.0,1.0,59864000.0,342149000.0,1554762000.0,414135466.6666667,1.0,34385066.6666667,1554762000.0,3.0,59864000.0,1.0,59864000.0,1554762000.0,0.1144602,0.1144602,2.0394939,2.0394939,2.0394939,0.0622593,2.0394939,1.9467057,1.8324483,34496600.9673519,38546000.0,39102133.3333333,38546000.0,0.11551,0.0915276,0.0,0.4509183,4.0,0.2203186,0.01,0.70725,0,39.196,7909,0.0049559,0.7607682,1371760,9409000,6.8590716,406,59271742,3226614463,23174.8768473,-0.747,0.39,4.0754444,0.4167732,4.0754444,0.4167732,0.4586111,7.0220831,0.3966933,6.5483594,4.4471098,4.4471098,27719666.6666667,1.0,14918500.0,0.5,2.138256,3.9730363,3.9730363,2.3990706,1.0,1.9361621,1.0,1.9361621,1.3924604,USD,ILS,1.0,0.2942421,490.253,142.967,109.349,182.247,7909,85,11400,8633.31,-8.3897138,9204.7058824,-30.622807,1.382943,6.9956114,1.5807861,1.0,3.413148,2.0,0.2749664,1.0,0.3680501,1.0,2.105922,6.0,0.4620712,1.0,1.0598734,1.0,1.1040293,1.0,3.423148,0.3780501,0.4720712,1.1140293,2.2685886,382167733.3333333,1.0,384121400.0,1.0,384121400.0,125533733.3333333,1.0,213734000.0,1.5,213734000.0,0.2558466,0.3800865,8816466.6666667,18412533.3333333,18412533.3333333,254741133.3333333,1.0,239445933.3333333,1.0,239445933.3333333,3.7058991,None
TLV:ALMA,ALMOGIM,Real Estate,Israel,0.8333623,r+,303704866.6666667,0.0,36777333.3333333,251041333.3333333,2.0,1086945000.0,0.0,42659000.0,0.0,744909000.0,1.5,42659000.0,744909000.0,1086945000.0,303704866.6666667,1.0,36777333.3333333,1086945000.0,3.0,42659000.0,1.0,42659000.0,1086945000.0,0.4960922,0.4960922,6.9167426,6.9167426,6.9167426,0.1969097,6.9167426,2.9397728,3.0696606,65373813.7824042,59597000.0,52807533.3333333,59597000.0,0.13809,0.1203872,0.0,0.4942804,4.0,0.2519192,0.00045,0.76234,0,1.093,767.6,0.0014239,1.6431212,37333400,58239000,1.5599704,99,209166681,8304704095,588272.7272727,12.532,1.496,3.0213912,0.845721,3.0213912,0.845721,10.1543478,32.1158874,1.3334302,11.797425,0.6811607,0.6811607,24635533.3333333,1.0,97504000.0,1.0,8.4904466,2.1452113,2.1452113,1.9385001,0.5,7.0660555,2.0,7.0660555,2.6592053,USD,ILS,1.0,0.2942421,9.3749,16.071,0,0,767.6,548.1,1036,818.1755,-6.1814977,40.0474366,-25.9073359,0.8997745,0.9007745,3.7942149,3.0,1.2836229,1.0,0.2545911,0.5,0.3226431,1.0,37.5605734,2.0,5.0706197,0.25,1.5700003,1.0,1.6064384,1.0,1.2936229,0.3326431,5.0806197,1.6164384,1.4550307,1469345066.6666667,2.0,794481533.3333334,1.0,794481533.3333334,312065200.0,2.0,263563800.0,1.5,263563800.0,0.1536941,0.2618545,173071866.6666667,184903333.3333333,184903333.3333333,1157279866.6666667,2.0,618772333.3333334,1.0,618772333.3333334,3.3592174,None
TLV:SARN,SARINE TECH,Technology,Israel,2.1914299, ,54796666.6666667,1.0,9731066.6666667,39142466.6666667,1.0,62116000.0,1.0,16456000.0,1.0,176256000.0,1.0,16456000.0,176256000.0,62116000.0,54796666.6666667,1.0,9731066.6666667,62116000.0,1.0,16456000.0,1.0,16456000.0,62116000.0,1.6406939,1.6406939,7.9822603,7.9822603,7.9822603,1.7605679,2.6607534,4.9194337,4.8560731,21265222.890125,21813000.0,15376200.0,21813000.0,0.26492,0.0210609,0.1,0.5185116,2.75,0.2691642,0.22438,0.28929,0,0.039,109.2,0.0003571,1.5260204,351289984,16456000,0.0468445,10000000,101918100,10935943539,1.6456,2.253,0.409,3.5475083,0.2197949,3.5475083,0.2197949,2.5766271,16.3018755,0.3616987,6.2641395,3.0979494,3.0979494,6385433.3333333,0.5,21129000.0,1.0,15.9610311,4.8236121,4.8236121,0.2696408,1.0,0.2662781,1.0,0.2662781,0.5170215,USD,ILS,1.0,0.2942421,2.0343,0,0,0,109.2,87,215,127.0165,-14.0269178,25.5172414,-49.2093023,0.346875,0.347875,9.6431398,2.0,4.7857448,1.0,0.0876982,0.3333333,0.1669561,1.0,5.068844,0.5,9.8200909,1.0,5.2449171,1.0,5.093425,1.0,4.7957448,0.1769561,9.8300909,5.103425,4.9495849,167620933.3333333,2.0,89543200.0,1.0,89543200.0,66111200.0,1.0,70707400.0,1.0,70707400.0,0.2837772,0.3327338,50393533.3333333,55076600.0,55076600.0,17699266.6666667,1.0,18835800.0,1.0,18835800.0,18.7970041,None
TLV:MMAN,MAMAN,Industrials,Israel,9.0452604, ,265783671.03676,1.0,11225414.57956,64121787.68392,1.0,825308485.0902,3.0,16460785.8003,1.0,386709151.1355,1.5,16460785.8003,386709151.1355,825308485.0902,265783671.03676,1.0,11225414.57956,825308485.0902,3.0,16460785.8003,1.0,16460785.8003,825308485.0902,0.5234567,0.5234567,9.128673,9.128673,9.128673,0.1323264,9.128673,4.2685701,3.766886,149863213.8278073,185090000.0,164790933.3333333,185090000.0,0.05984,0.2347211,4.75,1.4622336,27.4725,0.5865982,0.01,0.87675,0,0.987,905.2,0.0010904,1.0433071,46666700,55943000,1.1987777,2407,489333632,12371908562,23241.7947653,7.901,0.321,2.152727,0.0508338,2.152727,0.0508338,6.4639318,25.6742635,0.2534585,5.2844658,1.4122477,1.4122477,36632160.643,1.0,37773329.5875,1.0,13.3580336,12.9544744,12.9544744,1.8417716,0.5,7.3403075,2.0,7.3403075,2.7103002,ILS,ILS,0.2942421,0.2942421,46.0714,33.8542,37.9828,67.5143,905.2,658.9,1333,1013.507,-10.6863593,37.3804826,-32.0930233,0.7307521,0.7317521,1.3241317,1.0,1.3117493,1.0,0.1616211,1.0,0.3548864,2.0,5.8111807,1.0,5.9011514,1.0,0.6096643,0.5,1.1808234,1.0,1.3217493,0.3648864,5.9111514,1.1908234,1.2562864,1092976560.9999201,2.0,564611063.3779,1.0,564611063.3779,113229656.4378,1.0,175980756.53115,1.5,175980756.53115,0.1291542,0.1935374,86084133.3333333,74371533.3333333,74371533.3333333,832703691.40564,2.0,430542612.55004,1.0,430542612.55004,4.5492807,None
TLV:CAST,CASTRO,Consumer Cyclical,Israel,9.2962805, ,437067882.28876,1.0,11438661.6375,71994745.08906,1.0,470756464.5795,1.0,31783443.1578,1.0,432900452.9619,1.5,31783443.1578,432900452.9619,470756464.5795,437067882.28876,1.0,11438661.6375,470756464.5795,1.0,31783443.1578,1.0,31783443.1578,470756464.5795,0.314839,0.314839,8.6241486,8.6241486,8.6241486,0.1382457,8.6241486,2.0279166,1.8041134,318687574.8694138,389029000.0,315088600.0,389029000.0,0.06752,0.0045857,0.1,0.1550412,2.75,0.0767156,0.08093,0.80653,0,10.568,9114,0.0011595,1.1980598,8247630,108018000,13.0968533,2716,503625267,22117854717,39770.9867452,2.0238058,0.678,2.0238058,0.1585471,2.0238058,0.1585471,2.0238058,14.4760528,0.5481368,7.653626,4.2613519,4.2613519,59192663.64086,1.0,75469273.5027,1.0,8.508238,6.6732492,6.6732492,2.4750443,1.0,2.4210487,1.0,2.4210487,1.5569719,ILS,ILS,0.2942421,0.2942421,468.995,468.995,493.677,575.726,9114,7028,12350,10524.505,-13.402103,29.6812749,-26.2024291,0.7839158,0.7849158,1.4423541,1.0,2.8274966,2.0,0.2353112,1.0,0.2123426,2.0,2.7456804,1.0,2.621998,1.0,1.8450778,1.0,1.8026333,1.0,2.8374966,0.2223426,2.631998,1.8126333,2.3250649,607040636.88492,1.0,625451149.30438,1.0,625451149.30438,176335328.06972,1.0,274548535.09542,1.5,274548535.09542,0.1508168,0.2157662,390973533.3333333,415467800.0,415467800.0,430455928.82738,1.0,442418792.5741,1.0,442418792.5741,5.8477398,None
TLV:GLPL,GOLAN PLASTIC,Industrials,Israel,9.9143996, ,103990513.34622,1.0,9984791.80526,78994980.4256,2.0,110168067.3873,1.0,11885026.9032,1.0,173143527.0819,1.0,11885026.9032,173143527.0819,110168067.3873,103990513.34622,1.0,9984791.80526,110168067.3873,1.0,11885026.9032,1.0,11885026.9032,110168067.3873,0.3736875,0.3736875,8.446429,8.446429,8.446429,0.2544931,8.446429,2.3203932,2.2342615,65123316.5102714,69958000.0,62196066.6666667,69958000.0,0.10788,7.7424238,75.703125,0.2800261,2.75,2.71111,0.0796,0.67734,0,1.12,970.8,0.0011537,1.284279,34231800,40392000,1.1799555,271,139893334,9528525253,149047.9704797,0.225,0.258,0.3071026,0.0789527,0.3071026,0.0789527,0.2455256,5.2050544,0.2132382,4.867772,34.4014129,34.4014129,11643002.96788,1.0,10957281.5619,1.0,12.0152279,12.767157,12.767157,1.7042139,2.0,0.8013567,1.0,0.8013567,0.8961853,ILS,ILS,0.2942421,0.2942421,52.5826,52.5826,40.8975,37.9763,970.8,821.7,1273,1062.441,-8.6255143,18.1453085,-23.7391987,0.6607578,0.6617578,2.2109485,1.0,2.2743809,1.0,0.2873343,1.0,0.0718336,1.0,0.0331376,1.0,0.0082844,1.0,5.0641695,2.0,2.7245877,1.0,2.2843809,0.0818336,0.0182844,2.7345877,2.5094843,126764694.9571,1.0,130929907.66014,1.0,130929907.66014,135549881.3368,2.0,71928265.9906,1.0,71928265.9906,0.190774,0.2652344,146424266.6666667,159423800.0,159423800.0,57741638.14892,1.0,57597381.05536,1.0,57597381.05536,10.2496504,None
TLV:HOD,HOD,Basic Materials,Israel,11.6906627,r+,1512210800.0,0.0,67608333.3333333,501696000.0,1.0,1741335000.0,0.0,122625000.0,0.0,2126686000.0,1.0,122625000.0,2126686000.0,1741335000.0,1512210800.0,1.0,67608333.3333333,1741335000.0,1.0,122625000.0,1.0,122625000.0,1741335000.0,0.1624216,0.1624216,9.360327,9.360327,9.360327,0.1142648,9.360327,1.5656622,1.5472672,184851356.0420974,189195000.0,128071866.6666667,189195000.0,0.07042,0.0547715,0.0,0.0658582,1.0,0.0646832,3e-05,0.86982,0,5.878,5502,0.0010683,1.2132304,12290500,122625000,9.9772182,807,282614104,19897336494,151951.6728625,6.354,0.434,4.5991554,0.2318164,4.5991554,0.2318164,5.9152888,24.5713668,0.3834541,6.442367,1.5823956,1.5823956,38573300.0,0.5,42399500.0,0.5,7.3266769,6.6655056,6.6655056,0.9271734,1.0,0.8422413,1.0,0.8422413,0.918737,USD,ILS,1.0,0.2942421,149.869,0,0,0,5502,44.96,6582,4763.9404,15.4926287,12137.544484,-16.4083865,1.6695752,21.6588774,2.110806,1.0,2.2042756,1.0,0.0569791,1.0,0.0723553,1.0,0.0972625,1.0,0.0614913,1.0,1.5289163,1.0,1.6125818,1.0,2.2142756,0.0823553,0.0714913,1.6225818,1.9184287,1070289266.6666666,1.0,1113839000.0,1.0,1113839000.0,554656133.3333334,1.0,600266600.0,1.0,600266600.0,0.2100922,0.3042842,249274466.6666667,292434800.0,292434800.0,507978866.6666667,1.0,505221800.0,1.0,505221800.0,5.3599595,None
TLV:CRSO,CARASSO,Consumer Cyclical,Israel,12.7458803, ,4113669400.0,0.0,208753866.6666667,1168999333.3333333,2.0,4332457000.0,0.0,276833000.0,0.0,2408502000.0,1.0,276833000.0,2408502000.0,4332457000.0,4113669400.0,1.0,208753866.6666667,4332457000.0,1.0,276833000.0,1.0,276833000.0,4332457000.0,0.2551079,0.2551079,6.334825,6.334825,6.334825,0.1054711,6.334825,1.1590196,1.1443486,978135233.0540745,1002898000.0,869434266.6666666,1002898000.0,0.0639,0.0566321,0.0,0.0691105,1.0,0.0642142,0.161,0.67252,0,2.682,1700,0.0015776,0.8861881,91404896,276832992,3.0286451,989,1104977404,45694892937,279912.0242669,0.635,-0.111,0.6334701,0.0658445,0.6334701,0.0658445,0.6346175,8.2162884,-0.0667889,0.2433211,9.982115,9.982115,447892866.6666667,0.5,1736031000.0,1.0,2.4670574,0.6364964,0.6364964,4.2810153,2.0,2.019419,1.0,2.019419,1.4220626,USD,ILS,1.0,0.2942421,109.403,68.924,47.043,43.7787,1700,1549,2381,1994.705,-14.7743651,9.7482247,-28.601428,0.3629808,0.3639808,1.4761097,1.0,5.9942833,4.0,0.1210871,1.0,0.1071985,1.0,4.3750206,1.0,40.2265087,8.0,0.3429297,0.3333333,0.9592084,1.0,6.0042833,0.1171985,40.2365087,0.9692084,3.4867458,5212296466.666667,1.0,5219447066.666667,1.0,5219447066.666667,3327714666.6666665,2.0,1730555400.0,1.0,1730555400.0,0.1530388,0.2599677,39377666.6666667,-66064400.0,-66064400.0,3548439133.3333335,1.0,2325927777.7777777,0.6666667,2325927777.7777777,3.7238222,None
