Symbol,Name,Sector,Value,Close,MA,Grade
TLV:FRDN,FRIDENSON,Industrials,0.0038,7909.0, ,0.1047
TLV:FORTY,FORMULA,Technology,0.00431,34800.0, ,0.1025
TLV:MTRX,MATRIX,Technology,0.00572,8300.0, ,0.1
TLV:RLCO,RALCO,Consumer Cyclical,0.00856,5586.0, ,0.0978
TLV:HLAN,HILAN,Technology,0.01361,19420.0, ,0.095
TLV:DUNI,DUNIEC,Real Estate,0.0143,18800.0, ,0.0928
TLV:NFTA,NAPHTHA,Energy,0.01583,1863.0, ,0.0906
TLV:GLPL,GOLAN PLASTIC,Industrials,0.0233,970.8, ,0.0884
TLV:SCOP,SCOPE,Industrials,0.04915,14700.0, ,0.084
TLV:BRMG,BRIMAG,Consumer Cyclical,0.05049,3060.0, ,0.0818
TLV:AZRM,AZORIM,Consumer Cyclical,0.05278,1292.0, ,0.0792
TLV:CRSO,CARASSO,Consumer Cyclical,0.07269,1700.0, ,0.0765
TLV:INFN,INFINYA,Basic Materials,0.08481,29560.0, ,0.0738
TLV:KAFR,KAFRIT,Basic Materials,0.08921,2590.0, ,0.0715
TLV:SALG,SHALAG,Consumer Cyclical,0.12518,1174.0, ,0.0684
TLV:MMAN,MAMAN,Industrials,0.13683,905.2, ,0.0662
TLV:SPRG,SPRING,Financial Services,0.1384,2410.0, ,0.0635
TLV:SHNP,SCHNAPP,Consumer Cyclical,0.15831,2050.0, ,0.0613
TLV:ALMA,ALMOGIM,Real Estate,0.16064,767.6, ,0.0585
TLV:SHAN,SHANIV,Basic Materials,0.19493,473.9, ,0.0557
TLV:CPTP,CAPITAL POINT,Financial Services,0.19577,84.5, ,0.0535
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,0.26661,5613.0, ,0.0504
TLV:MLTM,MALAM TEAM,Technology,0.2938,8171.0, ,0.0466
TLV:DLTI,DELTA BRANDS,Consumer Cyclical,0.66509,6548.0, ,0.038
TLV:DELT,DELTA,Consumer Cyclical,0.00049,16700.0, ,0.0356
TLV:ACCL,ACCEL,Technology,0.70501,120.0, ,0.0353
TLV:LAPD,LAPIDOTH CAP.,Energy,0.00258,5852.0, ,0.0351
TLV:ELCO,ELCO,Industrials,0.01186,21300.0, ,0.0328
TLV:PIU,POALIM IBI,Financial Services,0.91666,1283.0, ,0.0323
TLV:BRAN,BARAN,Industrials,0.03279,985.8, ,0.0303
TLV:LAHAV,LAHAV,Real Estate,0.00148,494.8, ,0.03
TLV:SLARL,SELLA REAL EST,Real Estate,0.0057,946.0, ,0.0292
TLV:YBOX,YBOX,Real Estate,1.21033,120.6, ,0.0285
TLV:DANE,DANEL,Healthcare,0.05642,45330.0, ,0.0282
TLV:GLRS,GLOBRANDS,Consumer Defensive,0.03133,34310.0, ,0.0278
TLV:EMCO,E&M,Technology,0.0389,966.7, ,0.0273
TLV:SANO1,SANO,Consumer Defensive,0.07331,30840.0, ,0.0273
TLV:EXPO,EXPORT INV,Financial Services,0.02756,4107.0, ,0.0271
TLV:ELCRE,ELECTRA REAL E.,Real Estate,0.03081,5376.0, ,0.0269
TLV:PRSK,PRASHKOVSKY,Real Estate,0.03227,10730.0, ,0.0265
TLV:NTO,NETO,Consumer Defensive,0.05065,18610.0, ,0.0265
TLV:HNMR,HANAN MOR,Real Estate,0.03421,3558.0, ,0.0262
TLV:MSLA,MASLAVI,Real Estate,0.10591,1354.0, ,0.0257
TLV:AVGL,AVGOL,Consumer Cyclical,0.12206,202.3, ,0.0253
TLV:DRAL,DOR ALON,Energy,0.13739,12490.0, ,0.0239
TLV:IDIN,IDI INSUR,Financial Services,0.17855,8843.0, ,0.0231
TLV:NXTM,NEXTCOM,Communication Services,0.19053,850.6, ,0.0228
TLV:TSEM,TOWER,Technology,0.15904,16070.0, ,0.0225
TLV:MTRN,MAYTRONICS,Technology,0.16043,4745.0, ,0.0222
TLV:GOSS,G 1 SECU,Industrials,0.2293,427.6, ,0.022
TLV:PLRM,PALRAM,Industrials,0.2693,4249.0, ,0.0213
TLV:SPNS,SAPIENS,Technology,0.24281,8558.0, ,0.0209
TLV:AFHL,AFCON HOLD,Technology,0.29054,15190.0, ,0.0208
TLV:VTNA,VITANIA,Real Estate,0.24447,2467.0, ,0.0206
TLV:WLFD,WILLY FOOD,Consumer Defensive,0.27484,3291.0, ,0.0203
TLV:MSBI,HAMASHBIR 365,Consumer Cyclical,0.37983,116.8, ,0.0201
TLV:BVC,BATM,Technology,0.28222,146.4, ,0.0199
TLV:GOLF,GOLF,Consumer Cyclical,0.3955,662.6, ,0.0198
TLV:SRAC,S.R ACCORD,Financial Services,0.28547,5026.0, ,0.0196
TLV:SPNTC,SPUNTECH,Consumer Cyclical,0.51597,500.8, ,0.0193
TLV:PTNR,PARTNER,Communication Services,0.36962,2630.0, ,0.0191
TLV:RANI,RANI ZIM,Real Estate,0.33847,518.7, ,0.019
TLV:BRIL,BRILL,Consumer Cyclical,0.54811,3498.0, ,0.019
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,0.57295,4125.0, ,0.0187
TLV:RPAC,RAPAC,Energy,0.39522,3360.0, ,0.0186
TLV:NAWI,NAWI,Financial Services,0.43028,2727.0, ,0.0185
TLV:HMAM,HAMAMA,Consumer Defensive,0.61305,680.0, ,0.0183
TLV:OVRS,OVERSEAS,Industrials,0.42075,455.4, ,0.0181
TLV:HOD,HOD,Basic Materials,0.6624,5502.0, ,0.0179
TLV:HRON,HIRON,Real Estate,0.65086,228290.0, ,0.0177
TLV:HAMAT,HAMAT,Industrials,0.54731,3047.0, ,0.0175
TLV:TDRN,TADIRAN GROUP,Consumer Cyclical,0.5768,47360.0, ,0.0169
TLV:HARL,HAREL,Financial Services,0.81571,3386.0, ,0.0166
TLV:ORL,BAZAN,Energy,0.5983,125.8, ,0.0165
TLV:ISCD,ISRACARD,Financial Services,1.00587,1195.0, ,0.0165
TLV:ZUR,ZUR,Financial Services,1.10627,1019.0, ,0.0162
TLV:BLSR,BLUE SQ REAL ES,Real Estate,1.00017,24180.0, ,0.0161
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,0.60809,19290.0, ,0.016
TLV:AMRK,AMIR MARK.,Basic Materials,1.14438,3834.0, ,0.0158
TLV:FOX,FOX,Consumer Cyclical,0.63094,43750.0, ,0.0155
TLV:VISN,VISION SIGMA,Industrials,1.21121,7540.0, ,0.0153
TLV:LHIS,LACHISH,Industrials,1.23213,980.2, ,0.0152
TLV:MGIC,MAGIC,Technology,1.21521,6550.0, ,0.015
TLV:CMDR,COMPUTER DIRECT,Technology,1.36349,29350.0, ,0.0147
TLV:ESLT,ELBIT SYSTEMS,Technology,1.30092,79200.0, ,0.0146
TLV:INRM,INROM CONST,Basic Materials,0.66783,1591.0, ,0.0145
TLV:TEDE,TEDEA,Technology,1.40056,1846.0, ,0.0144
TLV:KRUR,KERUR,Consumer Defensive,1.48689,8363.0, ,0.0141
TLV:SHVA,AUTO BANK SERV,Technology,1.75063,2053.0, ,0.0139
TLV:LUDN,LUDAN,Industrials,1.59079,1701.0, ,0.0138
TLV:MGOR,MEGA OR,Real Estate,1.76552,10990.0, ,0.0136
TLV:BOTI,BONEI TICHON,Real Estate,0.77515,3826.0, ,0.0136
TLV:DLEKG,DELEK GROUP,Energy,1.70698,43600.0, ,0.0135
TLV:RMN,RAM ON,Basic Materials,1.86912,1605.0, ,0.0133
TLV:CAST,CASTRO,Consumer Cyclical,1.77213,9114.0, ,0.0131
TLV:ARAD,ARAD INVESTMENT,Industrials,2.01606,41230.0, ,0.0126
TLV:STRS,STRAUSS GROUP,Consumer Defensive,1.12493,9055.0, ,0.0124
TLV:GVYM,GAV YAM,Real Estate,2.56288,3108.0, ,0.0124
TLV:ILX,ILEX MEDICAL,Healthcare,2.02244,12160.0, ,0.0123
TLV:MVNE,MIVNE,Real Estate,2.67113,1053.0, ,0.0121
TLV:NTGR,NETANEL GROUP,Real Estate,2.25748,1132.0, ,0.0119
TLV:DIFI,DIRECT FINANCE,Financial Services,2.69279,77000.0, ,0.0119
TLV:ELMR,ELMOR,Industrials,2.34026,1189.0, ,0.0116
TLV:GNRS,GENERATION CAP,Energy,2.75628,120.0, ,0.0116
TLV:ELTR,ELECTRA,Industrials,1.27998,189180.0, ,0.0113
