Symbol,Name,Sector,Value,Close,MA,Grade
TLV:NFTA,NAPHTHA,Energy,85.03636,1863.0,r+,65.707
TLV:MMAN,MAMAN,Industrials,9.04526,905.2, ,58.2374
TLV:LAHAV,LAHAV,Real Estate,418.24243,494.8,r+,37.3264
TLV:CRSO,CARASSO,Consumer Cyclical,12.74588,1700.0, ,36.7879
TLV:BLSR,BLUE SQ REAL ES,Real Estate,5059.29861,24180.0,r+,36.4575
TLV:FRDN,FRIDENSON,Industrials,0.59531,7909.0, ,33.0747
TLV:GLPL,GOLAN PLASTIC,Industrials,9.9144,970.8, ,30.1117
TLV:BRMG,BRIMAG,Consumer Cyclical,268.64256,3060.0,r+,29.6259
TLV:PLRM,PALRAM,Industrials,19.2401,4249.0, ,29.6198
TLV:SANO1,SANO,Consumer Defensive,90.378,30840.0,r+,29.1779
TLV:ISRS,ISRAS,Real Estate,688.52331,66680.0,r+,28.6871
TLV:AZRM,AZORIM,Consumer Cyclical,1624.58418,1292.0,r+,25.5244
TLV:SALG,SHALAG,Consumer Cyclical,1693.73909,1174.0,r+,24.6535
TLV:RLCO,RALCO,Consumer Cyclical,13.09648,5586.0,r+,23.2608
TLV:CAST,CASTRO,Consumer Cyclical,9.29628,9114.0, ,18.3337
TLV:GOLF,GOLF,Consumer Cyclical,112.72282,662.6, ,16.7799
TLV:HNMR,HANAN MOR,Real Estate,14.64344,3558.0, ,16.4326
TLV:EMCO,E&M,Technology,174.11519,966.7,r+,16.4172
TLV:SPRG,SPRING,Financial Services,1737.48957,2410.0,r+,15.4923
TLV:VILR,VILLAR,Real Estate,24002.11543,15560.0, ,14.7654
TLV:BRIL,BRILL,Consumer Cyclical,0.37568,3498.0, ,14.4205
TLV:HRON,HIRON,Real Estate,6726.13789,228290.0,r+,14.3917
TLV:VISN,VISION SIGMA,Industrials,5850.70057,7540.0, ,14.3708
TLV:NTO,NETO,Consumer Defensive,1765.58072,18610.0,r+,14.3038
TLV:LAPD,LAPIDOTH CAP.,Energy,246.16698,5852.0,r+,14.2109
TLV:AFPR,AFI PROPERTIES,Real Estate,418.26279,16450.0,r+,13.5195
TLV:KAFR,KAFRIT,Basic Materials,61.8456,2590.0, ,13.4205
TLV:WILC,WILLI FOOD INTE,Consumer Defensive,18605889.29975,5613.0, ,13.4
TLV:PLSN,PLASSON INDUS,Consumer Cyclical,11520.75147,19290.0,r+,13.0212
TLV:ELDAV,ELDAV,Financial Services,96326.05753,276.5, ,12.8931
TLV:KEN,KENON,Utilities,1486.5033,14150.0, ,12.8042
TLV:MSHR,MISHORIM,Real Estate,28.91041,939.5,r+,11.6848
TLV:YBOX,YBOX,Real Estate,685.63111,120.6, ,11.4559
TLV:DRAL,DOR ALON,Energy,181.49935,12490.0,r+,11.263
TLV:DRSL,DORSEL,Real Estate,2072.79007,1378.0, ,10.4196
TLV:ARPT,AIRPORT CITY,Real Estate,2470.84816,6134.0,r+,10.276
TLV:AFHL,AFCON HOLD,Technology,91.1492,15190.0,r+,10.0326
TLV:ALMA,ALMOGIM,Real Estate,0.83336,767.6,r+,9.8311
TLV:EXPO,EXPORT INV,Financial Services,51794780975866.95,4107.0,r+,9.5339
TLV:CPTP,CAPITAL POINT,Financial Services,121357418.06932,84.5,r+,8.9713
TLV:ARAD,ARAD INVESTMENT,Industrials,75230.2189,41230.0,r+,8.9653
TLV:KRDI,KARDEN ISRAEL,Real Estate,189.32221,271.1, ,8.9054
TLV:MRHL,MERCHAVIA HOLD,Healthcare,6857.02781,43.8, ,8.8168
TLV:BIG,BIG,Real Estate,15.49594,41820.0,r+,8.7565
TLV:VTNA,VITANIA,Real Estate,107215.50082,2467.0,r+,8.6058
TLV:DLEA,DELEK AUTOMOTIV,Consumer Cyclical,1062.66422,4125.0,r+,8.4154
TLV:SHAN,SHANIV,Basic Materials,1133.98955,473.9, ,8.3711
TLV:PTBL,PROPERT & BUIL,Real Estate,14772.15065,28610.0, ,8.2355
TLV:HOD,HOD,Basic Materials,11.69066,5502.0,r+,7.9513
TLV:SNEL,SYNEL,Real Estate,221924.4178,5112.0,r+,7.7601
TLV:LUZN,LUZON GROUP,Industrials,2246.82965,197.0, ,7.6525
TLV:PRSK,PRASHKOVSKY,Real Estate,803725528.85625,10730.0,r+,7.5761
TLV:WLFD,WILLY FOOD,Consumer Defensive,12875.7973,3291.0, ,7.4729
TLV:EQTL,EQUITAL,Industrials,42707.86767,11380.0,r+,7.4124
TLV:ELCRE,ELECTRA REAL E.,Real Estate,13.76564,5376.0,r+,7.332
TLV:GVYM,GAV YAM,Real Estate,4195.21596,3108.0,r+,7.1017
TLV:SHNP,SCHNAPP,Consumer Cyclical,4206.67827,2050.0,r+,7.0937
TLV:DLTI,DELTA BRANDS,Consumer Cyclical,392.07322,6548.0,r+,6.7855
TLV:NTGR,NETANEL GROUP,Real Estate,486510.39748,1132.0,r+,6.7213
TLV:MLTM,MALAM TEAM,Technology,10065036.04007,8171.0, ,6.567
TLV:BRAN,BARAN,Industrials,281.97012,985.8, ,6.5546
TLV:GOLD,GOLD,Industrials,211.22248,14440.0,r+,6.1063
TLV:ASHG,ASHTROM GROUP,Real Estate,124354.9564,7800.0,r+,5.775
TLV:KARE,KARDAN REAL ES,Real Estate,18.6061,372.3,r+,5.6396
TLV:PTNR,PARTNER,Communication Services,5305.50676,2630.0,r+,5.579
TLV:MLSR,MELISRON,Real Estate,10430.98623,23920.0, ,5.3878
TLV:IDIN,IDI INSUR,Financial Services,136.77259,8843.0, ,4.732
TLV:KRUR,KERUR,Consumer Defensive,2977.78993,8363.0,r+,4.5796
TLV:MCMN,MICHMAN,Financial Services,49201097.01057,22220.0, ,4.3921
TLV:SPNTC,SPUNTECH,Consumer Cyclical,46863742.82065,500.8, ,4.3744
TLV:ASGR,ASPEN GROUP,Real Estate,20357.10318,899.2,r+,4.3479
TLV:MGOR,MEGA OR,Real Estate,1398.59968,10990.0,r+,4.1827
TLV:SLARL,SELLA REAL EST,Real Estate,7031171.61152,946.0, ,4.1748
TLV:HAMAT,HAMAT,Industrials,2254.70827,3047.0,r+,4.1722
TLV:SRFT,SARFATI,Real Estate,0.11337,2983.0,r+,4.0642
TLV:HMAM,HAMAMA,Consumer Defensive,2291.65817,680.0,r+,3.753
TLV:SCOP,SCOPE,Industrials,886.65077,14700.0, ,3.552
