"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ILX,ILEX MEDICAL,Healthcare,Israel,198.716269, ,3771416000.0,0.0,148654600.0,763317466.6666666,2.0,1031099000.0,0.0,202740000.0,0.0,1703896000.0,1.0,202740000.0,1703896000.0,1031099000.0,3771416000.0,4.0,148654600.0,1031099000.0,1.0,202740000.0,1.0,202740000.0,1031099000.0,0.3513251,0.3513251,7.6316254,7.6316254,7.6316254,0.0024573,7.6316254,1.2216932,1.2099294,302296333.3333334,308118000.0,229027133.3333333,308118000.0,0.19663,0.169525,0.0,0.1845507,1.0,0.1845686,0.10105,0.61936,0,11.244,8699,0.0012926,2.1825163,10035000,202740000,20.2032885,254,362201084,253372860,798188.976378,0.133,-0.105,0.6907015,0.217792,0.6907015,0.217792,0.2724254,5.4694384,-0.024302,0.2475698,28.0136363,28.0136363,416453200.0,2.0,109111500.0,0.5,0.8697282,3.31955,3.31955,0.7182306,1.0,0.586432,1.0,0.586432,0.7667885,USD,ILS,1.0,0.2942421,0,0,0,0,8699,61.28,10300,99.88,8609.4513416,14095.4960836,-15.5436893,1.6872656,23.0728215,15.7546498,6.0,5.4277139,2.0,0.0467171,0.3333333,0.1401594,2.0,4.9795765,2.0,5.3021329,2.0,4.6921383,2.0,2.342001,1.0,5.4377139,0.1501594,5.3121329,2.352001,3.8948574,1575278266.6666667,2.0,1322893900.0,1.5,1322893900.0,935217466.6666666,2.0,556295400.0,1.0,556295400.0,0.2532549,0.4644467,322900866.6666667,355520800.0,355520800.0,299695266.6666667,1.0,325633866.6666667,1.0,325633866.6666667,2.0312735,None
TLV:MRHL,MERCHAVIA HOLD,Healthcare,Israel,4126.6162616, ,35301066.6666667,0.0,4583333.3333333,-5060133.3333333,0.5,10609000.0,0.0,5852000.0,0.0,-16808000.0,0.25,5852000.0,-16808000.0,10609000.0,35301066.6666667,4.0,4583333.3333333,10609000.0,1.0,5852000.0,1.0,5852000.0,10609000.0,0.8597754,0.8597754,10.465116,10.465116,10.465116,0.8490223,10.465116,1.274951,1.2749719,7155233.9026079,7155000.0,5738666.6666667,7155000.0,0.55161,0.523628,0.0,0.5814605,1.0,0.5532329,0.05489,0.58682,0,0.043,43,0.001,0.8946322,68026200,5852000,0.0860257,1,9122870,900727702,5852000.0,1.05,0.303,1.0491475,0.4334278,1.0491475,0.4334278,1.0497869,10.4959108,0.335607,6.0431594,9.9688006,9.9688006,-4814933.3333333,0.5,-5212000.0,0.5,52778.7069246,175035.8973873,175035.8973873,0.048832,2.0,0.0187907,1.0,0.0187907,0.1380793,USD,ILS,1.0,0.2942421,0,0,0,0,43,0.5,78.8,57.24462,-24.8837707,8500.0,-45.4314721,1.0855683,1.6366016,90.6153138,2.0,54.5292982,1.0,0.5427687,1.0,0.0899268,1.0,16.0914743,1.0,17.3111111,1.0,9.3262472,1.0,9.0796799,1.0,54.5392982,0.0999268,17.3211111,9.0896799,31.814489,83941600.0,2.0,47105600.0,1.0,47105600.0,82035066.6666667,2.0,46241600.0,1.0,46241600.0,0.2242315,0.2265527,7298600.0,6615200.0,6615200.0,953266.6666667,1.0,864000.0,1.0,864000.0,25.0180097,None
TLV:POLY,POLYGON REAL ESTAT,Real Estate,Israel,4580.5600798, ,84655733.3333333,0.0,9000733.3333333,74581600.0,2.0,22781000.0,0.0,10608000.0,0.0,163116000.0,1.0,10608000.0,163116000.0,22781000.0,84655733.3333333,4.0,9000733.3333333,22781000.0,1.0,10608000.0,1.0,10608000.0,22781000.0,2.0596947,2.0596947,21.79655,21.79655,21.79655,0.0243571,21.79655,3.0721818,3.0721772,15273955.0809309,15274000.0,15250866.6666667,15274000.0,0.46565,0.452954,0.0,0.5238723,1.0,0.4818254,0.01,0.52196,0,1.681,3817,0.0004404,1.6623564,5146820,10608000,2.0610785,5,46924228,55487808,2121600.0,0.536,0.303,0.3005173,0.1036392,0.3005173,0.1036392,0.4771293,7.1574548,0.2531598,5.2814987,45.6826878,45.6826878,13588733.3333333,1.0,14956000.0,1.0,3.4531716,3.1374852,3.1374852,0.1338298,1.0,0.1181038,1.0,0.1181038,0.3446623,USD,ILS,1.0,0.2942421,0,0,0,0,3817,16,3817,24.17,15692.3045097,23756.25,0.0,2.0,64.0,52.4595172,6.0,9.5550949,1.0,0.0,1.0,0.0,1.0,870.4533333,1.0,643.9,1.0,4.4802966,3.0,1.8367158,1.0,9.5650949,0.01,643.91,1.8467158,5.7059054,264495866.6666667,2.0,136996600.0,1.0,136996600.0,233683600.0,2.0,122560200.0,1.0,122560200.0,0.1774326,0.1865534,6664666.6666667,11531600.0,11531600.0,15406133.3333333,1.0,14436400.0,1.0,14436400.0,2.1466958,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,107217.0471837, ,524981533.3333333,0.0,71105800.0,39004466.6666667,1.0,183423333.3333333,0.0,34632500.0,0.0,182772000.0,1.0,34632500.0,182772000.0,183423333.3333333,524981533.3333333,1.0,71105800.0,183423333.3333333,0.3333333,34632500.0,0.5,34632500.0,183423333.3333333,0.317193,0.317193,6.2533356,6.2533356,6.2533356,0.0023581,6.2533356,1.7413247,1.7205688,102723154.4440689,105172000.0,106582933.3333333,105172000.0,0.12587,0.1340036,0.0,0.0074938,0.0625,0.0901225,0.0763,0.69976,0,59.968,37030,0.0016194,8.8923663,1176000,69265000,58.8988095,209,174610135,129760766,331411.4832536,-0.185,0.009,0.0324203,0.0641167,0.0324203,0.0641167,-0.1306449,0.2369355,0.0227792,1.7592772,-47.8651285,2089.2036253,76334933.3333333,1.0,45960500.0,0.5,2.2874211,3.7991348,3.7991348,3.9821065,1.0,3.7068512,1.0,3.7068512,1.9263185,USD,ILS,1.0,0.2942421,0,0,0,0,37030,33100,43800,37222.58,-0.5173741,11.8731118,-15.456621,0.7345794,0.7355794,1.2521831,1.0,1.270747,1.0,1.6013685,1.0,0.9966443,1.0,2.5948527,1.0,5.758486,2.0,1.1534084,1.0,1.1902131,1.0,1.280747,1.0066443,5.768486,1.2002131,1.2404801,263721000.0,1.0,308647466.6666667,1.0,308647466.6666667,53000466.6666667,1.0,65866133.3333333,1.0,65866133.3333333,0.2122073,0.6258013,29191800.0,41832733.3333333,41832733.3333333,210720533.3333333,1.0,242781333.3333333,1.0,242781333.3333333,1.7334777,None
TLV:ENDY,ENDYMED LTD,Healthcare,United States,336978.1184533, ,18865933.3333333,1.0,3202733.3333333,-18643866.6666667,0.5,22223000.0,1.0,4683000.0,1.0,-78308000.0,0.25,4683000.0,-78308000.0,22223000.0,18865933.3333333,1.0,3202733.3333333,22223000.0,1.0,4683000.0,1.0,4683000.0,22223000.0,0.9348072,0.9348072,243.13637,243.13637,243.13637,0.9095254,243.13637,6.6928308,6.734141,3279483.9971863,3239000.0,2569066.6666667,3239000.0,0.21148,0.8965787,4.75,0.4953287,2.75,0.5354625,0.01,0.57975,0,0.022,534.5,4.12e-05,8.669368,13736200,5027000,0.3659673,41,22219984,2161942031,122609.7560976,-0.177,0.442,8.7508137,0.2442524,8.7508137,0.2442524,2.0549534,14.5851088,0.3925631,6.5154857,118.3172162,118.3172162,3095733.3333333,1.0,1056000.0,0.5,7.1776157,21.0416516,21.0416516,0.5386939,1.0,0.4084841,1.0,0.4084841,0.6401276,USD,ILS,1.0,0.2942421,0,0,0,0,534.5,7.6,838,634.31573,-15.7359695,6932.8947368,-36.2171838,1.269027,4.1766215,8.895814,3.0,3.4507814,1.0,4.426015,12.0,0.2591015,1.0,9.801299,3.0,4.9291968,1.0,10.5053971,3.0,3.8879931,1.0,3.4607814,0.2691015,4.9391968,3.8979931,3.6793873,16727200.0,1.0,19914857.1428571,1.0,19914857.1428571,22224933.3333333,2.0,13764333.3333333,1.0,13764333.3333333,0.3351511,0.4402272,9402133.3333333,11579571.4285714,11579571.4285714,5614733.3333333,1.0,5772428.5714286,1.0,5772428.5714286,14.8852105,None
TLV:KSTN,KEYSTONE REIT LTD,,Israel,455369.5435326, ,266707428.5714286,0.0,37812914.2857143,20739500.0,0.5,106248000.0,0.0,12838250.0,0.0,25411250.0,0.25,12838250.0,25411250.0,106248000.0,266707428.5714286,4.0,37812914.2857143,106248000.0,1.0,12838250.0,0.25,12838250.0,106248000.0,1.4667969,1.4667969,1466.0891472,1466.0891472,1466.0891472,1.7715175,1466.0891472,1.7383823,1.7383486,89644519.9729181,89648000.0,56703371.4285714,89648000.0,0.48333,0.5460321,0.0,0.1549692,1.0,0.3957771,0.3306,0.03631,0,-0.116,693.8,-0.0001672,0.6914554,92345600,51353000,0.5560958,10000000,155830399,18822018994,5.1353,4.8649199,0.055,4.8649199,2.5496083,4.8649199,2.5496083,4.8649199,22.3065635,0.6786521,8.4880343,301.3593574,301.3593574,9961542.8571429,0.5,50786000.0,1.0,15.6431992,3.0683732,3.0683732,-0.2118594,2.0,0.4816917,1.0,0.4816917,0.6950401,USD,ILS,1.0,0.2942421,0,0,0,0,693.8,634.3,1038,864.284,-19.7254606,9.3804194,-33.1599229,0.2947733,0.2957733,2.9309629,1.0,0.8169768,0.25,5.6017365,1.0,1.1946334,0.5,0.0035252,0.0833333,0.0134183,1.0,305.3487126,6.0,26.2530316,1.0,0.8269768,1.2046334,0.0234183,26.2630316,13.5450042,2013821142.857143,2.0,1354720000.0,1.0,1354720000.0,1369350571.4285715,2.0,902984066.6666666,1.0,902984066.6666666,0.1094767,0.1142176,325656714.2857143,243059933.3333333,243059933.3333333,644470571.4285715,2.0,677603900.0,1.5,677603900.0,4.1478606,None
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,Israel,967266.0042079, ,5042741066.666667,0.0,56541800.0,94362200.0,1.0,1662455000.0,0.0,20876500.0,0.0,573739500.0,1.5,20876500.0,573739500.0,1662455000.0,5042741066.666667,4.0,56541800.0,1662455000.0,1.0,20876500.0,0.5,20876500.0,1662455000.0,0.2009674,0.2009674,4.369048,4.369048,4.369048,0.0972675,4.369048,3.7795398,3.5466212,100827743.5188789,113255000.0,90659533.3333333,113255000.0,0.02511,0.0414654,0.0,0.0052024,0.25,0.0249259,0.11504,0.78469,0,0.84,369,0.0022764,5.048143,149743008,41753000,0.278831,1573,334113156,16170275820,26543.5473617,-0.363,0.072,0.3202257,0.8237002,0.3202257,0.8237002,-0.1921936,0.2307806,0.2599251,5.3482846,-22.7325403,4398.9804269,67640800.0,1.0,40006000.0,1.0,4.9395211,8.3515762,8.3515762,3.7085958,1.0,4.7640445,2.0,4.7640445,2.1836691,USD,ILS,1.0,0.2942421,0,0,0,0,369,365.1,669.5,525.2415,-29.7466023,1.0682005,-44.884242,0.0256242,0.0266242,2.9011759,2.0,1.4227684,1.0,0.6990558,0.5,1.4111234,1.0,3.5874026,1.0,1.2103882,1.0,1.837765,2.0,2.2662288,2.0,1.4327684,1.4211234,1.2203882,2.2762288,1.8544986,1519440400.0,2.0,961644266.6666666,1.0,961644266.6666666,204884600.0,1.0,426264100.0,1.5,426264100.0,0.1217092,0.1489755,-3344000.0,55897066.6666667,55897066.6666667,554523933.3333334,1.0,677468200.0,1.0,677468200.0,4.1594473,None
TLV:EQTL,EQUITAL,Energy,Israel,1075950.3654131, ,614372333.3333334,0.0,644993333.3333334,5585810000.0,2.0,2333296000.0,0.0,900872000.0,0.0,18426793500.0,1.5,900872000.0,18426793500.0,2333296000.0,614372333.3333334,0.25,644993333.3333334,2333296000.0,1.0,900872000.0,1.0,900872000.0,2333296000.0,2.0390978,2.0390978,15.301487,15.301487,15.301487,0.5796601,15.301487,3.081009,3.0810209,1544157900.3915577,1544146000.0,1763705800.0,1544146000.0,0.38609,0.3340721,0.0,0.367181,1.0,0.3634477,0.16145,0.37196,0,8.143,12700,0.0006412,1.9450212,36891000,900872000,24.4198314,423,4757601098,135251873640,2129721.0401891,0.189,0.295,1.1588996,-0.1287041,1.1588996,-0.1287041,0.4314749,6.8186749,0.189074,4.5982638,35.4632148,35.4632148,766107966.6666666,0.5,1268795000.0,1.0,6.2100922,3.7497004,3.7497004,3.1001467,1.0,5.2058364,2.0,5.2058364,2.2826302,USD,ILS,1.0,0.2942421,0,0,0,0,12700,99.77,14390,12208.722,4.023992,12629.2773379,-11.7442669,1.7634748,30.0756829,3.7364014,2.0,3.8160084,2.0,0.5441304,2.0,0.2020963,1.0,6.1934881,1.0,5.7636952,1.0,0.4460619,0.3333333,1.3307022,1.0,3.8260084,0.2120963,5.7736952,1.3407022,2.5833553,43055420800.0,2.0,33346729900.0,1.5,33346729900.0,7868743733.333333,2.0,6727323300.0,1.5,6727323300.0,0.1270153,0.2339124,862139600.0,794551333.3333334,794551333.3333334,11524864133.333334,1.0,11651330600.0,1.0,11651330600.0,2.8266507,None
TLV:SPRG,SPRING VENTURES,Financial Services,Israel,1610625.9154684,r+,55507477.49976,4.0,8932523.20724,5068526.14197,0.5,22317969.0429,1.0,3871711.112325,0.25,73562878.9368,1.0,3871711.112325,73562878.9368,22317969.0429,55507477.49976,4.0,8932523.20724,22317969.0429,1.0,3871711.112325,0.25,3871711.112325,22317969.0429,0.689115,0.689115,27.68317,27.68317,27.68317,0.9132676,27.68317,0.7538483,0.7527369,69546947.6971116,69752000.0,41895466.6666667,69752000.0,0.69392,7.391457,12.3834375,1.997388,2.75,3.3619216,0.01,0.78124,0,1.01,2796,0.0003612,3.1859616,8419880,52633000,6.2510392,5,52273267,6927043186,10526600.0,3.6662124,2.347093,3.6662124,2.347093,3.6662124,2.347093,3.6662124,19.3973559,2.347093,15.5702251,7.550891,7.550891,-2796908.47348,0.5,-3361421.7504,0.5,5350.5522482,1555093.977591,1555093.977591,0.2869071,2.0,0.1996308,1.0,0.1996308,0.4478006,ILS,ILS,0.2942421,0.2942421,0,0,0,0,2796,24.89,3000,2471.3096,13.1383943,11133.4270791,-6.8,1.8628622,41.7911576,3.7325064,0.3333333,6.0095379,1.0,1.8154075,1.0,1.0285714,1.0,0.0,1.0,0.0,1.0,2.8445189,0.1666667,9.9233251,1.0,6.0195379,1.0385714,0.01,9.9333251,7.9764315,68361698.64808,2.0,44885749.6287,1.0,44885749.6287,58887495.35088,2.0,37415825.436,1.0,37415825.436,0.186257,0.2034779,32200400.0,30712200.0,30712200.0,9474203.2972,2.0,7469924.1927,1.0,7469924.1927,23.7722631,None
TLV:GVYM,GAV-YAM LANDS CORP,Real Estate,Israel,1943693.6948674, ,698063724.3388801,4.0,215451264.74338,1597408347.35952,2.0,188012463.1212,1.0,301661414.5515,1.0,3304358497.2207003,1.0,301661414.5515,3304358497.2207003,188012463.1212,698063724.3388801,4.0,215451264.74338,188012463.1212,1.0,301661414.5515,1.0,301661414.5515,188012463.1212,6.4038851,6.4038851,9.723386,9.723386,9.723386,3.4953999,9.723386,7.0273841,7.0274175,572558439.1198761,572553000.0,521553200.0,572553000.0,1.6317,54.0662959,36.9075,3.6939627,2.75,19.7983195,0.02142,0.47797,0,3.579,3553,0.0010073,2.3232526,214480000,1025214976,4.7800027,54,4023626279,219619485043,18985462.5185185,-0.342,0.083,1.7994895,0.0603824,1.7994895,0.0603824,0.1933724,4.6474126,0.0773456,3.0311076,50.2832207,50.2832207,313486631.84384,2.0,196085289.3768,1.0,12.8350809,20.5197763,20.5197763,4.4983498,2.0,1.1346668,0.5,1.1346668,1.0662074,ILS,ILS,0.2942421,0.2942421,0,0,0,0,3553,37.4,4100,3531.8503,0.5988278,9400.0,-13.3414634,1.7307143,26.8752383,3.1652529,2.0,1.5693048,1.0,1.2041299,0.5,3.5565803,2.0,7.4132455,1.0,30.5034862,4.0,1.7350822,1.0,0.4211084,0.5,1.5793048,3.5665803,30.5134862,0.4311084,1.0052066,6571123603.70612,2.0,5279209076.1699,1.5,5279209076.1699,1877247845.81644,2.0,992112762.289,1.0,992112762.289,0.1571414,0.4040596,624430200.0,-158338933.3333333,-158338933.3333333,2078665567.0747,1.0,3367808481.1499705,1.5,3367808481.1499705,6.3530031,None
