Symbol,Name,Sector,Value,Close,MA,Grade
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,-1.70145,29390.0, ,59.0376
TLV:CPTP,CAPITAL POINT LTD,Financial Services,-1.5373,85.4, ,44.221
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,-1.3537,3078.0, ,40.452
TLV:MRHL,MERCHAVIA HOLD,Healthcare,-2.04816,43.0, ,38.6314
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,-1.367,2103.0, ,38.3918
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,-1.31955,979.7, ,36.8129
TLV:KEN,KENON HLDGS LTD,Utilities,-1.71364,14440.0, ,32.0107
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,-1.12476,2964.0, ,26.7973
TLV:MLTM,MALAM TEAM LTD,Technology,-1.18375,8030.0, ,25.4576
TLV:YBOX,YBOX REAL ESTATE L,Real Estate,-1.27872,128.0, ,25.2419
TLV:BRAM,BRAM INDUSTRIES,Consumer Cyclical,-1.16792,246.8, ,24.4833
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,-1.54325,5403.0, ,24.451
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,-0.79661,1150.0, ,23.753
TLV:PLSN,PLASSON INDUSTRIES,Industrials,-1.21591,18960.0, ,23.0275
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,-1.06171,76270.0, ,22.1551
TLV:PLRM,PALRAM INDUSTRIES,Industrials,-1.12436,4233.0, ,21.4673
TLV:FRDN,FRIDENSON LOGISTIC,Industrials,-1.25874,7372.0, ,19.6969
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,-1.08949,471.7, ,19.5657
TLV:VILR,VILLAR INTL LTD,Real Estate,-1.09522,16690.0, ,19.4208
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,-1.04188,11340.0, ,18.9241
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,-0.79269,18390.0, ,18.2516
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,-0.6695,516.5, ,16.7518
TLV:EMCO,E & M COMPUTING,Technology,-1.00532,1167.0, ,16.1795
TLV:KRDI,KARDAN ISRAEL LTD,Real Estate,-1.41693,277.8, ,15.6969
TLV:DRAL,DOR ALON ENERGY IN,Energy,-1.18031,12540.0, ,15.6135
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,-0.50381,5671.0, ,15.0452
TLV:VTNA,VITANIA LTD,Real Estate,-1.08742,2676.0, ,13.2085
TLV:NTGR,NETANEL GROUP,Real Estate,-1.20194,1488.0, ,12.5149
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,-0.67424,291.0,r+,12.3768
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,-1.24482,8257.0, ,11.905
TLV:YHNF,M YOCHANANOF & SON,Consumer Defensive,-1.17697,19520.0, ,11.9037
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,-1.17287,2676.0, ,10.698
TLV:DIPL,DIPLOMAT HOLDINGS,Consumer Defensive,-1.22454,4813.0, ,10.6152
TLV:ELCO,ELCO LTD,Industrials,-0.7208,23400.0, ,10.2666
TLV:SMT,SUMMIT R/EST HLDGS,Real Estate,-0.99767,6655.0, ,9.7729
TLV:YAAC,YAACOBI BROTHERS,Real Estate,-1.92748,65.6, ,9.7382
TLV:ONE,ONE SOFTWARE TECHN,Technology,-0.89101,5889.0, ,9.7275
TLV:SPGE,SUPERGAS ENERGY LT,Utilities,-0.50049,6869.0, ,9.3659
TLV:HRON,HIRON TRADE INVS,Real Estate,-0.65257,245000.0,r+,9.088
TLV:DLTI,DELTA ISRAEL BRAND,Consumer Cyclical,-1.37656,6344.0, ,8.8894
TLV:MMAN,MAMAN CARGO TERMIN,Industrials,-1.26064,1069.0, ,8.7981
TLV:SHAN,SHANIV PAPER IND,Basic Materials,-1.04936,484.3, ,8.1716
TLV:ZNKL,ZANLAKOL,Consumer Defensive,-1.28336,1899.0, ,7.8658
TLV:ASGR,ASPEN GROUP LTD,Real Estate,-0.82286,989.5626, ,7.45
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,-1.2757,31110.0, ,7.4229
TLV:BLSR,BLUE SQUARE REAL,Real Estate,-0.44982,27790.0, ,7.1497
TLV:MGDL,MIGDAL INS & FINAN,Financial Services,-0.97236,570.0, ,7.1431
TLV:GOLD,GOLD BOND GROUP,Industrials,-1.43233,15830.0, ,7.0674
TLV:DRSL,DORSEL (B.A.Z.),Real Estate,-1.14895,1444.0, ,7.0553
TLV:MTRX,MATRIX IT LTD,Technology,-0.89334,8790.0, ,6.6072
TLV:MSHR,MISHOR REAL ESTATE,Real Estate,-1.66779,994.5, ,6.4532
TLV:PTBL,PROPERTY & BLDG,Real Estate,-1.377,35590.0, ,6.3129
TLV:AZRM,AZORIM INV DEV,Consumer Cyclical,-1.02799,1459.0, ,6.0138
TLV:ELSPC,ELSPEC ENGINEERING,Industrials,-1.2177,380.0, ,5.7432
TLV:LVPR,LEVINSTEIN PROPERT,Real Estate,-1.13642,10810.0, ,4.9991
TLV:ZUR,ZUR SHAMIR HOLD,Financial Services,-0.86044,1224.0, ,4.9914
TLV:ELCRE,ELECTRA REAL ESTAT,Real Estate,-2.17416,6000.0, ,4.938
TLV:MGIC,MAGIC SOFTWARE ENT,Technology,-1.12882,5975.0, ,4.8031
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,-1.47725,1558.0, ,4.7623
TLV:AFPR,AFI PROPERTIES,Real Estate,-1.41294,17140.0, ,4.726
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,-0.93629,4850.0, ,4.6173
TLV:PEN,PENINSULA GROUP,Financial Services,-0.25585,212.6163, ,4.5717
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,-0.81563,2781.0,r+,4.4496
TLV:ARAD,ARAD INVESTMENT &,Industrials,-0.24352,45420.0, ,4.3257
TLV:GAGR,GAON GROUP,Basic Materials,-1.11388,658.5, ,4.1408
TLV:AVGL,AVGOL INDUSTRIES,Consumer Cyclical,-2.08139,244.3, ,4.1124
TLV:TDRN,TADIRAN GROUP LTD,Consumer Cyclical,-1.11944,53560.0,r+,4.0516
TLV:SARN,SARINE TECHNOLOGIE,Technology,-1.45679,98.8, ,4.0226
TLV:NXTM,NEXTCOM,Communication Services,-0.82736,699.5, ,3.9925
TLV:SRAC,S.R ACCORD LTD,Financial Services,-0.59956,5137.0, ,3.9065
TLV:AUDC,AUDIOCODES,Technology,-1.08978,7551.0, ,3.9033
TLV:MMHD,MENORA MIVTACHIM,Financial Services,-0.63568,7802.0, ,3.8564
TLV:ARPT,AIRPORT CITY,Real Estate,-0.92816,7001.0, ,3.8449
