Symbol,Name,Sector,Value,Close,MA,Grade
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,0.00033,24360.0, ,0.0979
TLV:DANE,DANEL-ADIR YEHOSHU,Healthcare,0.0007,35660.0,r+,0.0956
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,0.00097,3066.0, ,0.093
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,0.00124,3800.0,r+,0.091
TLV:PIU,POALIM I.B.I,Financial Services,0.00133,1091.0, ,0.0889
TLV:PLSN,PLASSON INDUSTRIES,Industrials,0.00234,16160.0, ,0.086
TLV:MTRX,MATRIX IT LTD,Technology,0.00243,7735.0,r+,0.0841
TLV:TTAM,TIV TAAM HLDGS 1,Consumer Defensive,0.0026,740.0, ,0.082
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,0.00305,2589.0,r+,0.0796
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,0.0034,948.4, ,0.0767
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,0.00369,8297.0, ,0.0749
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,0.00419,1803.0, ,0.0731
TLV:YBOX,YBOX REAL ESTATE L,Real Estate,0.00515,108.1, ,0.0689
TLV:INRM,INROM CONSTRUCTION,Basic Materials,0.00564,1369.0, ,0.0666
TLV:MLTM,MALAM TEAM LTD,Technology,0.00614,7749.0,r+,0.0645
TLV:AVGL,AVGOL INDUSTRIES,Consumer Cyclical,0.00701,214.4, ,0.0604
TLV:EMCO,E & M COMPUTING,Technology,0.01046,916.7, ,0.0547
TLV:NTML,NETO MALINDA,Consumer Defensive,0.01081,11570.0,r+,0.0526
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,0.01148,4536.0, ,0.0505
TLV:ONE,ONE SOFTWARE TECHN,Technology,0.0142,5342.0, ,0.0473
TLV:MRHL,MERCHAVIA HOLD,Healthcare,0.01604,39.7, ,0.0449
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,0.02497,14980.0,r+,0.0397
TLV:ALMA,ALMOGIM HOLDINGS,Real Estate,0.00089,661.7, ,0.0351
TLV:FRDN,FRIDENSON LOGISTIC,Industrials,0.0824,7601.0,r+,0.0332
TLV:MRIN,Y.D. MORE INVST,Financial Services,0.00232,998.6,r+,0.0327
TLV:SHAN,SHANIV PAPER IND,Basic Materials,0.08506,425.6, ,0.0314
TLV:KARE,KARDAN REAL ESTATE,Real Estate,0.00332,359.0, ,0.0299
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,0.08636,1005.0, ,0.0296
TLV:KEN,KENON HLDGS LTD,Utilities,-0.04382,12250.0, ,0.0293
TLV:SPNS,SAPIENS INTL CP NV,Technology,-0.00386,6936.0, ,0.0291
